"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ef0678d814a7f54381e2a76ec872846f57747d13","2018-07-01T08:54:02Z","5","23","6","29","1","0","0"
"99d900978871f830319d51bd7f0ba765289aabe3","2018-07-01T08:25:39Z","6","50","9","59","1","0","0"
"3ff291632741c5cd4fe0360f41a00f47b7a838db","2018-07-01T08:25:39Z","7","31","14","45","1","0","0"
"1eddc93ef65af93d1a1b75836ba11e1bf678f9ae","2018-07-01T08:25:39Z","8","41","11","52","1","0","0"
"ada0f3698d58a82d7bf8a5e310570575f299a5f9","2018-07-01T08:25:39Z","1","3","1","4","1","0","0"
"2a4a1cc83d97f6852ee88a4963b1aba6e179373d","2018-07-01T08:25:38Z","2","9","0","9","1","0","0"
"ed9d164277478cc0a9f45686192861e6a0fc02b8","2018-07-01T08:25:38Z","3","9","3","12","1","0","0"
"9ef44458e30861022b2679d5f1e35150a4ab59d9","2018-07-01T08:25:38Z","3","29","7","36","1","0","0"
"f6117f034e317f4f5429227b772bfba4a1ff53fb","2018-07-01T08:25:38Z","2","19","9","28","1","0","0"
"0b705ce43605086d8755267c3d5348fbb3739586","2018-07-01T08:25:38Z","1","17","0","17","1","0","0"
"5703c1a02bcee62e893be7ae0cdc5143313f47e8","2018-06-20T16:33:58Z","5","23","42","65","1","0","0"
"cb03084bab7190e2ced9ec61e97879d3f1eb6a8b","2018-06-20T16:20:29Z","1","1","1","2","1","0","0"
"69b08649c669b96d200b4e751dc314d71fca78e5","2018-06-20T16:20:29Z","2","2","2","4","1","0","0"
"a90b1fda902946b9b486557f4dc0a3e821dbc74b","2018-06-20T16:20:28Z","1","4","4","8","1","0","0"
"4ddc09a665a8ed18deeda19b3bd77a80044ddd97","2018-06-20T16:20:27Z","2","2","2","4","1","0","0"
"f94b666853fc7549ad0a9e627fedc786e7bff145","2018-06-20T16:20:26Z","3","3","3","6","1","0","0"
"aebfdb5a44eae5711023bc8cece7ff8d6c6e6c9f","2018-06-20T16:18:22Z","1","1","1","2","1","0","0"
"94a4371903e94b880aea369c5c8f8221c0ba477f","2018-06-20T16:18:22Z","2","2","2","4","1","0","0"
"5bec24fb90567a0a5463fc13e587449197e5362a","2018-06-20T16:18:22Z","2","4","8","12","1","0","0"
"045c7b9802225ee52afc110e92e4fc96aae822a6","2018-06-20T16:18:22Z","1","0","4","4","1","0","0"
"84a44312ffb6eb359d4c9461cd90b375da7d8ba4","2018-06-20T16:18:22Z","1","1","5","6","1","0","0"
"f918dff80247c8c2c75a8c8b15031dc9849be98a","2018-06-20T16:18:22Z","1","1","5","6","1","0","0"
"e7f98f46b48a1f0b5f4cb422dfe084bdf13f2b51","2018-06-20T16:18:22Z","1","2","5","7","1","0","0"
"ff9a5d180c8a808a6ffa59b17521947803ad76a2","2018-06-20T13:36:29Z","3","80","13","93","1","0","0"
"248b077e102fce99ca710a9ea31adcfb5bb4279e","2018-06-20T13:33:36Z","3","80","1","81","1","0","0"
"54ef8fe1cce6585c7f0d8becde9308202e84041b","2018-06-18T16:06:47Z","2","73","0","73","1","0","0"
"8021f82ee83c8def1028e19ae9758da36abc2c6f","2018-06-18T16:06:47Z","1","7","1","8","1","0","0"
"09e5801c42c7d17a4d04c01adbc2c592dbc99ef9","2018-06-18T16:06:00Z","1","36","13","49","1","0","0"
"cde35751e7dc6575fb73f74bc4a105bd91787049","2018-06-18T15:56:14Z","1","34","0","34","1","0","0"
"266d93675d7d9f98ddcf5c4c285f2d8d8ecb4f1f","2018-06-18T15:56:13Z","1","10","0","10","1","0","0"
"e12eff52b852d88519b763ee52220af987f24696","2018-06-18T13:24:04Z","160","160","152","312","1","1","1"
"c747cd1e99b3d46ffc251ba3f6594a1265bb2ee1","2018-06-09T13:52:35Z","0","0","0","0","0","0","0"
"9e28041e154b2ea75c3ddff35d4d1068e7594ea9","2018-06-09T13:51:31Z","8","8","0","8","1","0","1"
"8d6cbde83901a00ec5b56217e9529f2a2a9c5a84","2018-06-09T13:45:20Z","152","152","152","304","1","1","1"
"074df636fbd482cea3f797eece296524a877fd67","2017-12-04T17:28:26Z","0","0","0","0","0","0","0"
"d83bd6b610667769e8864cfca8a8328b13a40c3f","2017-12-04T08:15:19Z","0","0","0","0","0","0","0"
"64ad861c6379799039c3b2bcbc243c0af5bf98a4","2017-11-29T09:33:51Z","1","2","2","4","1","0","0"
"d15f1ee6940422dd45625e4ecc6efc69f71ff091","2017-11-28T18:48:06Z","1","2","2","4","1","0","0"
"e3aea30b88f25e84708845534cbc9e3f31d76089","2017-11-20T07:59:26Z","11","114","42","156","1","1","0"
"15c60157c522e8a9c48edb548f6038dd9207bd33","2017-11-18T20:13:17Z","11","114","42","156","1","1","0"
"05a2fc4df6b745639d8bb2569d6ea3bb264fad6f","2017-11-04T10:54:00Z","15","211","65","276","1","0","0"
"fd8c1bf486c4daf9ca555f00d94d64249965830f","2017-11-03T08:09:11Z","0","0","0","0","0","1","0"
"0252416f4af48b0471d9b344650976936e6d9e25","2017-11-03T08:03:47Z","0","0","0","0","0","1","0"
"b98300bcaf5d403286dec9b6b11b881d145ff491","2017-11-02T16:45:03Z","0","0","0","0","0","1","0"
"07daa98de58fa6fc2916f7fb1b24ddbc326793b2","2017-11-02T16:44:55Z","0","0","0","0","0","1","0"
"53df7a7de50f7b51b24f30433fef62533017975a","2017-11-02T16:29:12Z","1","1","1","2","1","1","0"
"9482acfceb4b704c21a6bfcd7f9f307c2284eb19","2017-11-02T15:29:25Z","1","1","1","2","1","0","0"
"f554af2cef03e4f9e77ff8e3dad2cf18734e7938","2017-11-02T15:29:25Z","0","0","0","0","0","1","0"
"8a79e0533e7f20ad46ff475f02117201ef99b2bb","2017-11-02T11:07:16Z","0","0","0","0","0","0","0"
"0732dc3a210d2b953717c5524e787be0bb77ad9d","2017-11-02T10:43:52Z","8","56","5","61","1","0","0"
"c0d303e07cac60333d61e15bfec32ab4fb5c93f5","2017-11-02T10:43:52Z","2","2","4","6","1","0","0"
"468f7333961a02b73bfe2da68b9f70352ce24e42","2017-11-02T10:43:52Z","1","21","2","23","1","0","0"
"1fb59098afd110c6f8c256367677c363392abd5d","2017-11-02T10:43:51Z","1","86","14","100","1","0","0"
"4774e2e503b995fd812a3a529e1b8e0abf4462d9","2017-11-02T10:35:26Z","0","0","0","0","0","0","0"
"44f1d55bc101af5d123fb0387e44132f36aa9bd7","2017-11-02T10:23:49Z","0","0","0","0","0","0","0"
"1ed0c4a90ca6af5bae66402b7ecbd7b05021acc4","2017-11-01T18:52:39Z","6","62","12","74","1","0","0"
"b1bd67473edbf087973d70be5cbaad4269ccbd95","2017-11-01T18:52:39Z","3","5","49","54","1","0","0"
"31d9e9f57aafea63e383743c8260e0ed68e3d50b","2017-11-01T11:24:18Z","3","5","0","5","1","0","0"
"19569cfa018d0e2fdbda54eb4cfd30e1cd4f9adc","2017-11-01T11:18:34Z","10","95","136","231","1","0","0"
"a1697b796e7132c6709816e7e024bdfb997f976e","2017-11-01T11:07:28Z","3","5","0","5","1","0","0"
"bed73446e38707c30eef23d29fe6ddc1c8bdca16","2017-11-01T10:29:17Z","10","95","136","231","1","0","0"
"53b21d110aca5109f2f0a6611a61f08dbd733f80","2017-10-31T20:53:44Z","19","103","0","103","1","1","0"
"7613d451d29c8f68fdbb2cd7b396556567876a0b","2017-10-31T20:50:18Z","0","0","0","0","0","1","0"
"cbee11ccda338d0dc4c16de40ce72414da1f2bbd","2017-10-31T20:50:16Z","19","103","0","103","1","0","0"
"f0781480aee67d0a961da042b8a860366e112d30","2017-10-31T12:27:45Z","2","47","4","51","1","0","0"
"177b023e7d8feb8161b9d9d5ee55af0c9a6c4778","2017-10-31T12:25:03Z","3","3","0","3","1","0","0"
"d4eee5d9cad65c813c8a09388377c652159e10ce","2017-10-31T12:17:58Z","1","18","0","18","1","0","0"
"e77702a8acf9f72ee5bb7d00631326af828ba7ec","2017-10-31T12:13:56Z","3","3","0","3","1","0","0"
"becc2cb54b2305f05f5377202720b7e12fe24a14","2017-10-31T11:47:54Z","5","8","7","15","1","1","0"
"21ad7ccee6e5a08c4b4a167c5d1514acb43e1391","2017-10-31T11:34:05Z","1","3","3","6","1","0","0"
"d76bb2f62b1c9d41cbadf669f4e72661ee691a20","2017-10-31T11:33:17Z","1","1","1","2","1","0","0"
"1f3d0d7cf1f4bfd30ff324d52eee012b6b2f1e67","2017-10-31T11:27:11Z","1","1","1","2","1","0","0"
"a5b1fe73d5a7b5f641606dfe4a6943ff7d008070","2017-10-31T11:25:37Z","1","3","3","6","1","0","0"
"14f32bbe548b5cae945a27105b9803e017963d0a","2017-10-31T11:25:14Z","1","1","1","2","1","0","0"
"1363ffa6c87dba1dc23d445d25e138b45fc53d0f","2017-10-31T11:16:32Z","2","3","2","5","1","0","0"
"f7e34c9da5b1effdc6ba85b69175ce9dd71685df","2017-10-31T11:00:30Z","3","5","5","10","1","1","0"
"f6ab64e2b28405836aaf71aa0618e6effbbb2f5b","2017-10-31T10:52:55Z","1","1","1","2","1","0","0"
"b9a79147d6fa985d0b306696a0e21b06ba0fcec4","2017-10-30T22:58:46Z","1","29","4","33","1","0","0"
"ea7d89d4ec635903d3e402ebb665c3b09d70df34","2017-10-30T19:44:50Z","0","0","0","0","0","0","0"
"4acc50aef107c1abc5e42fdd5a3144292d480532","2017-10-30T16:34:05Z","0","0","0","0","0","0","0"
"1868ef6fb601f58cd7c040cf2041f62ce123ffcf","2017-07-30T11:44:32Z","0","0","0","0","0","1","0"
"1cce92eb569591bb1ed08714a35f08419525afaa","2017-07-30T11:28:13Z","0","0","0","0","0","1","0"
"d6411377241a1062be0bff50b01f52b20dd8b836","2017-07-30T09:18:30Z","0","0","0","0","0","1","0"
"ffbffe1b0a14434da35bcd33e7d55dd2b7f3829c","2017-07-30T09:10:41Z","2","47","4","51","1","0","0"
"977abb8c3876ffa024c485efe29eb5b41faa91d4","2017-07-30T07:27:14Z","1","10","0","10","1","0","0"
"649d21672d3f6024179e6f4c7804545b63a08b65","2017-07-30T07:27:13Z","1","37","4","41","1","0","0"
"3978dfef9fab70820739630bf4331efd306b5a6c","2017-07-07T16:06:10Z","1","4","0","4","1","0","0"
"0fc78f9e1cbe2d7084a18398eeeff1c3a5aa0abf","2017-07-07T13:39:03Z","1","4","0","4","1","0","0"
"f6867f84753f3316edeac56c4a1ad1ce6c000f61","2017-07-07T12:23:24Z","2","9","1","10","1","0","0"
