"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3eaeac09a7f084463a94850c763d21fdb4c18fce","2017-06-12T10:35:36Z","2","66","24","90","1","0","0"
"9bbe07ba44747e13b5ed85aaafddc52b1111ac00","2017-04-13T06:21:40Z","3","15","6","21","1","0","0"
"0c87b4eb38e3072326a4c7cf7c19ce0dc09d4b49","2017-04-13T05:32:58Z","1","3","46","49","1","1","0"
"c3f7e7dbd2afcb86ef9cf31eff6b345da4ea47a0","2017-04-11T08:16:33Z","1","2","0","2","1","0","0"
"0af6ef4be164bb325d30a851436aa923529b9d1a","2017-04-11T07:38:18Z","1","4","4","8","1","0","0"
"c9394ca24b828bfbfccec184e55ec6c41f9535e7","2017-04-11T07:18:28Z","1","2","0","2","1","0","0"
"e8ae1ec05323b6a3b3fc1ad66b460da7333b7107","2017-04-11T06:40:05Z","1","4","4","8","1","0","0"
"cd7405ca6168ad23a41d1a57cb58cd3515efb9f2","2017-03-24T09:55:25Z","2","23","16","39","1","0","0"
"6ceaf867d34cd4af6761c63c804cf086609544b0","2017-03-24T07:53:04Z","2","10","1","11","1","0","0"
"fae69445dbb25bea73d04f26603586b779a5f438","2017-03-24T05:28:13Z","2","2","51","53","1","1","0"
"07e16eab5e12ddf7624681060f8809290eb07a9e","2017-03-24T03:45:59Z","1","46","3","49","1","0","0"
"ab3b778b721e81c1d5f8c79e660d8058e7f6f232","2017-03-13T07:52:50Z","1","15","8","23","1","0","0"
"07a9806e0733f599c75e305b08c0881d2bf89e08","2017-03-13T07:45:44Z","0","0","0","0","0","1","0"
"f99835bc5417fa169555c4931b1cbc6de3a8086a","2017-03-13T07:22:16Z","2","39","6","45","1","0","0"
"a9d1eb9bad93dd8da981d380e37f58e35f847af5","2017-01-23T17:43:14Z","0","0","0","0","0","0","0"
"475546b638d5dbfddfcb5ac4c694185a0c7b73ba","2017-01-23T06:18:09Z","1","1","0","1","1","0","0"
"07b948b2fffe2d410a71746aa9f4d4b680ca42b6","2017-01-23T06:03:24Z","0","0","0","0","0","0","0"
"70799b7b03bfcd7265ce4856dcc96af7cd49223f","2016-12-20T08:05:30Z","1","3","0","3","1","0","0"
"aa7dcf67e3bd4cb1052c865a344ea40882924017","2016-12-15T05:41:38Z","4","14","5","19","1","0","0"
"061e4a39f0b42ac4b65e0e146d52edc6c6981139","2016-12-13T08:29:01Z","5","267","26","293","1","0","0"
"d2ceaa7200ca5340daba7843c6b894632903cd51","2016-12-13T04:36:29Z","0","0","0","0","0","1","0"
"f0eef9ade1969f9dafef7138172468e409c3210c","2016-12-07T09:18:43Z","4","48","15","63","1","0","0"
"5dd1fedf95d928d3846a2bed3d7928d9c13b39f6","2016-12-07T04:29:27Z","1","2","1","3","1","0","0"
"9e0e84569ff1544da20f9f62c25a9249a871a566","2016-10-21T10:12:46Z","11","67","69","136","1","0","0"
"d0b508a5ea4fff2bbb3313fe86216980ed08aac0","2016-10-21T08:43:03Z","1","1","1","2","1","0","0"
"f230fd89b518c85bbd24116dd76acb54e6f6808f","2016-10-21T08:31:16Z","1","1","1","2","1","1","0"
"cd46df84e94545bebe1939afa09a68be6a7ac8be","2016-10-14T02:55:01Z","6","25","19","44","1","0","0"
"e5eddecb7a51fffa03e3edc86f07a0cc4aa1e850","2016-10-14T02:22:38Z","6","25","19","44","1","0","0"
"f0dddd7b6eeb8aa3fa67957896c5f51f12ea6a1f","2016-10-14T00:45:18Z","7","78","30","108","1","1","0"
"ebc177251d5980a7351c7aa8371902cace5c63b3","2016-10-04T02:19:12Z","1","5","1","6","1","0","0"
