"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1656288d1cb4a92dfbcff8276f4d7f9e3390419b","2017-10-16T20:54:26Z","2","8","1","9","1","1","0"
"06eb09503b34d94a7922a9c1189508e99aa5035f","2017-10-16T20:46:03Z","2","8","1","9","1","0","0"
"6fe6ccad06de9c58e1aadc56aa9751dccdc78c08","2017-10-16T20:46:03Z","0","0","0","0","0","1","0"
"f30c595f8b1ec81891a2728e72726da1728557cd","2017-09-12T22:45:34Z","0","0","0","0","0","1","0"
"b3394000d48fa4523de4c786348a0ea3b696ac55","2017-09-12T10:03:31Z","0","0","0","0","0","1","0"
"530fdf6cc3b1bbc8b68690a3780283940917b52e","2017-08-02T00:30:00Z","0","0","0","0","0","1","0"
"a391a4a1f4ef54f66fa113fec906bc24f3fe49b2","2017-07-23T14:48:57Z","0","0","0","0","0","1","0"
"37988a34b6ee6c5d7420f6f3239bbbcd6612bfdd","2017-07-23T14:43:31Z","0","0","0","0","0","0","0"
"1ad6aa20060d0c0808c1ef9ed31e71181a470095","2017-07-23T14:38:35Z","0","0","0","0","0","1","0"
"d71a8e3d940f23f2437c2c2038a8f1c3bbb3e5f7","2017-07-23T14:35:57Z","0","0","0","0","0","1","0"
"79984619fe5e1946b295472df71613ee51f9cc85","2017-07-23T14:31:10Z","0","0","0","0","0","1","0"
"00143bd690c4a592f214ac5740b0f82bd06bfe24","2017-07-23T14:14:48Z","0","0","0","0","0","1","0"
"b166e76730a78a61a2fe6364656fa946a1542862","2017-07-23T14:11:57Z","0","0","0","0","0","1","0"
"f3f15cb944a86a8e698849877129c6018c2cd078","2017-07-23T14:09:28Z","0","0","0","0","0","1","0"
"71a523cb232261770bb5cb51fa426d32720cd49b","2017-07-23T13:51:53Z","0","0","0","0","0","1","0"
"000bef2c3e8b6c05801af90a865324a58cfdc4eb","2017-07-23T13:50:25Z","0","0","0","0","0","1","0"
"32e8e23fbfa35978be0ded67c5c259c5bcdec3b9","2017-07-23T13:45:46Z","0","0","0","0","0","1","0"
"6c07dd90d6dfa11b7757dc98b69199e2e4c21dab","2017-07-23T13:40:11Z","0","0","0","0","0","1","0"
"94b3d0972264e5cf4d2c6454c44f90fc39e664b1","2017-07-07T17:40:40Z","7","38","32","70","1","0","0"
"b94f35da3c646ac5ab01ac36f69a0ad714c1d9e5","2017-07-07T17:26:09Z","7","38","32","70","1","0","0"
"821b49515697a69de5b8421d6377716ed2f5dbb4","2017-07-06T21:07:55Z","0","0","0","0","0","1","0"
"7d1b5015aa01508b184733518583eb3a43344726","2017-07-05T19:06:50Z","0","0","0","0","0","1","0"
"444a7879991a16ca9c3156de88f31e641ac0cd82","2017-06-08T17:13:16Z","7","73","28","101","1","0","0"
"03d95786b2a960c352cbe3071f604066a5a2244c","2017-06-05T18:51:29Z","7","73","28","101","1","0","0"
"75fe212cd5da0ddda3551f933315f407ae0d441d","2017-06-05T18:05:25Z","0","0","0","0","0","1","0"
"b15e6f8064e217348dd289080781162a33d995f3","2017-06-05T17:21:26Z","0","0","0","0","0","1","0"
"19480d3da9e7ba43ffb3b9a9ee85ebc0ad960763","2017-05-21T22:13:50Z","1","1","1","2","1","0","0"
"e4bde9efe4a5697cbedad2fd8a2d25e0767824d5","2017-05-20T09:40:20Z","1","1","1","2","1","0","0"
"858798bae8670aa9170e1281383b146223930a8b","2017-04-28T17:48:05Z","0","0","0","0","0","0","0"
"dad272324207eee7a3d8205a2b19cf47cf36e2cf","2017-04-28T16:09:16Z","0","0","0","0","0","0","0"
"884434b8033b829c866e91c00a53c6631e618819","2017-04-18T15:45:49Z","0","0","0","0","0","0","0"
"22aa7e58463472dbc40f7f96ad46a8cd139cf2be","2017-04-18T15:39:33Z","0","0","0","0","0","0","0"
"85bacc620ae1d12dfe43bd53e0442449aaaf592d","2017-04-18T15:31:52Z","0","0","0","0","0","0","0"
"d9cbea3be9ac6f373a9d8014adb5b707214d70d0","2017-04-18T15:31:16Z","0","0","0","0","0","0","0"
