"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9c5371c6de3ec8232d8f722c1fff8c58c01c6563","2017-07-23T20:23:06Z","0","0","0","0","0","0","0"
"fd861d1245096edd907121ff8d377b439e773686","2017-07-23T19:56:19Z","6","16","14","30","1","1","0"
"05bdfb897f2ed25809834bfd115a95f40b9c9d10","2017-07-23T19:55:01Z","6","16","14","30","1","1","0"
"3e7dfb3f2342ec981293f2e5401069d024c498e0","2017-06-14T00:25:53Z","9","402","25","427","1","1","0"
"072738360dadebe6ea4824dd66df71c8bcc9bc80","2017-06-12T18:58:54Z","0","0","0","0","0","0","0"
"14a60ffa9a93343040cccb9d663738ae66d5c84e","2017-06-06T22:06:04Z","0","0","0","0","0","0","0"
"d70726dab66fe08ff9c5e0b59fcc2181396bfa50","2017-06-06T21:56:51Z","9","402","25","427","1","1","0"
"5c0bedd58b7989d2a2634c6295f0c968383b8156","2017-06-01T02:48:00Z","0","0","0","0","0","0","0"
"cdbd3eb9f0d285c5de9f64ff5733986042101b61","2017-06-01T02:47:46Z","0","0","0","0","0","1","0"
"35ffaafbdf39917f96ae9716e330faf9c73a5def","2017-05-01T00:32:55Z","0","0","0","0","0","0","0"
"8c2274404dc85ab4c537e725ae90d8cc50d84c2f","2017-04-22T19:13:34Z","0","0","0","0","0","0","0"
"dab5d459796c27ebf379e0a2097ed2be52fcc288","2017-04-22T19:03:41Z","5","96","77","173","1","1","0"
"003dd1f2190ef8e87b5fb655e8583e0cc4280bb8","2017-04-13T21:12:31Z","0","0","0","0","0","0","0"
"4fe46e1a861f5758b8468f07fa8a61c773e48768","2017-04-13T09:19:08Z","0","0","0","0","0","0","0"
"3818580e5c812d53a469cba05b8ea0496a00e240","2017-03-28T14:40:07Z","0","0","0","0","0","0","0"
"70dad7067773fb9288db0c168f78f652690284ef","2017-03-28T14:39:44Z","0","0","0","0","0","0","0"
"548f2bec3e17558dfb893d540e307b6a5fdf5bf8","2017-03-03T13:46:14Z","0","0","0","0","0","0","0"
"8b82ce49890977f8acfb61a12570b8343f1017b2","2017-03-03T02:49:12Z","0","0","0","0","0","0","0"
"efba1265656fd32515f86ac857b56a2b1fcadd36","2017-03-03T02:30:14Z","0","0","0","0","0","0","0"
"f6adf36e3336501d9c3e132b3d764d811d5303d0","2017-03-03T02:14:55Z","0","0","0","0","0","0","0"
"82fe818cd930c6799f17d3c2c6be9180b9b29b75","2017-03-03T02:14:01Z","10","431","47","478","1","0","0"
"1c7382a6817713a006064cd6d53aeeb053ee7c4d","2017-03-03T02:12:56Z","1","0","4","4","1","1","0"
"373ed2de97827b6016af3a0f9cc56c717ec4d7a2","2017-02-15T18:31:27Z","1","87","0","87","1","0","0"
"301d176050001d442d2e596af293513b2c3917c9","2017-02-15T18:23:49Z","1","87","0","87","1","0","0"
"ad7fa7400922bcaccf4852f6f5faed36c139c485","2017-01-24T02:13:34Z","0","0","0","0","0","0","0"
"9818b115b42c0b2f137407051cda24bfaedc829e","2017-01-24T02:12:13Z","0","0","0","0","0","1","0"
"d1537026387246afb0f68ba20790ffc2f34f4f42","2017-01-24T02:05:36Z","0","0","0","0","0","0","1"
"19744d3f202345c62d8c6b8f2012ea6ef6f5372d","2017-01-24T01:26:05Z","3","23","6","29","1","0","0"
"d47452c0d84f9795a22a71f1946c5fe7c659bc8a","2016-12-15T19:29:14Z","3","23","6","29","1","0","0"
"edcd765a63e9cb6f15f8de0300fa63665da3aaed","2016-11-19T22:41:16Z","0","0","0","0","0","0","0"
"22ec71e00a9b4abe1b8d60b256e387e02520a1e5","2016-11-19T22:30:15Z","2","49","1","50","1","1","1"
"0352c3c91ba1a00f2e4e5b143d108d329b7da925","2016-11-01T21:44:07Z","0","0","0","0","0","0","0"
"de5c9d9cc35fb1a060b61df4662cea299a888347","2016-10-27T14:20:52Z","0","0","0","0","0","0","0"
"37b4418274553022b540084f139d1983454ac556","2016-10-20T03:23:00Z","0","0","0","0","0","1","0"
"8247f5feb70ec5359e775efe059561782d39ede6","2016-10-20T03:12:32Z","0","0","0","0","0","0","0"
"0d0a46bee2a2dff2184a175225f2eeebd57a11e5","2016-10-15T19:58:36Z","0","0","0","0","0","0","0"
"a7ec88129b245826ad3c0b4ee891b9005b5dff95","2016-10-15T19:53:44Z","0","0","0","0","0","1","0"
"e30c6ba6137a4e000425e6d12106175f9b5cf15b","2016-10-15T19:50:06Z","0","0","0","0","0","1","0"
"28fa03331cb4649db175009d36731e2f597c1019","2016-10-15T19:40:19Z","0","0","0","0","0","1","0"
"239f751b2668506d53dc51e5a1eeab8d054f5968","2016-10-15T18:54:50Z","3","96","11","107","1","0","0"
"166c5eecd1f7136d57d9e0339d3e8a7796d053b7","2016-10-15T18:20:44Z","6","123","54","177","1","1","0"
"97b7fcecd5afde21ca22c94cd3434ccd5367f9ae","2016-10-15T16:29:10Z","1","94","0","94","1","1","0"
