"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"73fcff7b6b420614da28e0537153ff08d6ba0362","2018-08-21T14:01:22Z","4","25","21","46","1","1","0"
"b72c9f030693f7fb99e8d555b1f3be6d6890c0a7","2018-08-21T13:57:08Z","0","0","0","0","0","0","0"
"5c7dcbf981baffff7afbcd8253e55daa80b95703","2018-08-21T13:46:13Z","1","5","7","12","1","1","0"
"88b00f636b1bc6bf157d0068e0cd2e97367ebfd5","2018-08-21T13:46:13Z","1","2","3","5","1","1","0"
"526757dcacbbca6f1f521e7a390d37904c3eacb5","2018-08-21T13:46:12Z","0","0","0","0","0","1","0"
"a058e5e843af3425d9c984e7458aa873a82eca49","2018-08-21T13:46:12Z","2","18","11","29","1","1","0"
"dc3faad2709c2ebf2b35439208fa929ebe63c967","2018-08-21T13:19:33Z","0","0","0","0","0","0","0"
"04a304e7cab0647052af43086955a72d0bbdd85a","2018-08-21T10:33:05Z","1","2","1","3","1","0","0"
"72cad8c9d5bf25d6ed3bdad493cee0aee5af8a70","2018-04-17T13:02:39Z","0","0","0","0","0","1","0"
"b878c6194dd6eb2a6a33940f5e6f88fe32650f87","2018-04-17T12:35:28Z","0","0","0","0","0","1","0"
"86a4eb030e2cd21702e78ea392f40db35228ccd8","2018-04-17T12:18:20Z","1","2","5","7","1","0","0"
"00f76d6cc0a9025e809d3ee8bd8847f66f3a4869","2018-04-17T12:18:15Z","3","12","0","12","1","0","0"
"ed09e71308c0667081c025573a77d970f69091d4","2018-04-17T12:13:23Z","0","0","0","0","0","0","0"
"294261ae11a5a1a1a3c63a9bfd4f5da2c302d7ee","2017-09-16T14:08:04Z","0","0","0","0","0","0","0"
"c85513d7abea8005a921350c8135e36ac21793dc","2017-07-17T05:56:21Z","1","2","5","7","1","0","0"
"e31d7c01ca2d45941311f589e1df39077e8124f3","2017-06-12T06:47:07Z","3","12","0","12","1","0","0"
"59c66587bbf996bc2baddd0e7dee4dee87931a84","2017-04-13T17:20:35Z","0","0","0","0","0","0","0"
"9899db60017ef529bffd26f2df27a60f2c367466","2017-04-13T15:10:34Z","0","0","0","0","0","0","0"
"eee5bd34e21017be44c9de2ed7a411599713d663","2017-04-13T15:06:56Z","0","0","0","0","0","1","0"
"22a5e709e3d94db5ebbc6fca9a2a828b6f394742","2017-04-13T15:05:24Z","0","0","0","0","0","0","0"
"283749467106b88349317f36274e5c483ce41342","2017-04-05T07:29:47Z","0","0","0","0","0","1","0"
"554fd36be2641f778cdf0e7952a3365b4e04595b","2017-04-05T07:21:57Z","0","0","0","0","0","1","0"
"cdd76b424e874e6d5efd8557e94f3cb6ebd2dfd3","2017-04-05T06:20:48Z","0","0","0","0","0","0","0"
"653c9c65eb105e7b7b5282e6f3a3cd28ca797ed1","2017-04-05T06:19:41Z","0","0","0","0","0","0","0"
"daaaedf4a97a6a44ce0b651b53dd0f203aea1ac6","2017-04-03T14:22:44Z","0","0","0","0","0","1","0"
"b9be5303ab2f82a6dd0a3e028d16397f7d244dca","2017-04-03T13:55:08Z","2","34","0","34","1","0","0"
"4a78b836d07ae101f0c2227cc31912e6b7498686","2017-04-03T13:10:45Z","5","72","12","84","1","0","0"
"45be8631be673c8259f5fad327a17ace892e3202","2017-04-03T10:38:50Z","5","72","12","84","1","0","0"
"ec946ff91746dbee4a196ccfd7a09b5d0bc5ccd2","2017-03-27T05:45:56Z","0","0","0","0","0","0","0"
"9da46e78551d7b00732f4ca02d3f3c98e269ac0b","2017-03-27T05:44:14Z","0","0","0","0","0","1","0"
"884d7a3c57614326183cb91808ffd2594f1f8d58","2017-03-21T07:36:30Z","1","1","1","2","1","0","0"
"1df55b07e2ca29545b69a1d92626056181cd4e88","2017-03-14T10:50:24Z","0","0","0","0","0","0","0"
"ed2026a588ebd2267952f81187ab9bed750f241a","2017-03-03T09:57:06Z","1","5","1","6","1","0","0"
"d6af329fa20a93fe93905d89aeb7d29ef5a977bf","2017-03-03T09:43:38Z","0","0","0","0","0","1","0"
"4c101e73e6bfc6d376bb610fea5afc29082d8398","2017-01-28T13:50:29Z","3","19","19","38","1","0","0"
"e15bd81ce521847e6de8c4094b8bb952b859ba6c","2016-12-12T10:49:59Z","0","0","0","0","0","1","0"
"7b2f3650fdfb1193572b092ed0dfb49936453153","2016-11-17T11:21:30Z","0","0","0","0","0","0","0"
"a736445fe8815d3fb2eb3b31d390f6ec24c9d147","2016-11-16T10:34:42Z","0","0","0","0","0","0","0"
"f854e6196b5a7efa996af64e36af5673dae9dd2f","2016-11-16T10:32:51Z","0","0","0","0","0","1","0"
"67405328bff7c61eb53f562ac25f8353d41270c4","2016-11-14T12:37:41Z","0","0","0","0","0","1","0"
"c1f4466fff74604dacc255a072dbe3512a19ab2b","2016-11-14T11:22:38Z","0","0","0","0","0","1","0"
"a47dee49b25ffa329df6f13af37b5c7320b4e90e","2016-10-31T10:49:05Z","0","0","0","0","0","0","0"
"dae9c42a2ffd9eb9c693edce14473fcfb727de49","2016-10-21T10:00:04Z","0","0","0","0","0","1","0"
"0cc2a181c8dd78910994345761442a574ca9b1bc","2016-10-21T08:42:03Z","0","0","0","0","0","1","0"
"6aedaf8d340245dee386438d7fd838efca138e26","2016-10-04T07:03:19Z","1","1","1","2","1","0","0"
