"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"aa19056e8239aa4880add713a0c3fec6b73a80a4","2018-09-23T21:22:10Z","3","24","6","30","1","0","0"
"179eee007c0b505ab7a120abb1d1365909e39197","2018-09-22T19:59:56Z","0","0","0","0","0","0","0"
"6307b4fb65c149ae6faadb4c568f76c21f127381","2018-09-22T19:50:17Z","0","0","0","0","0","0","0"
"03339bf7868f5fc67fc121403f92c427db8eafb1","2018-09-21T19:45:26Z","0","0","0","0","0","1","0"
"8f296c80cd48e492b775a01576f8fdfcebff3523","2018-09-21T19:45:10Z","0","0","0","0","0","1","0"
"0952b41177b4522c478e994aaa31a42d28c950b4","2018-09-21T18:08:17Z","9","306","83","389","1","0","1"
"44c41e231b237a5469c2ccab47fc97f8a7f773b2","2018-09-20T14:05:26Z","0","0","0","0","0","0","0"
"8dc5c7318283fb0f58890c169943556066d03a3f","2018-09-20T07:11:07Z","1","1","1","2","1","0","0"
"df0cbad20963b38072a54832781d9fc800dab7c3","2018-09-20T07:09:41Z","2","84","1","85","1","0","0"
"2811e4801411ca59d325b00534e4e600d20d4694","2018-09-19T09:20:50Z","9","77","22","99","1","0","1"
"784ee5c277f032461a5c75087a570b41dc4736fc","2018-09-19T08:01:13Z","4","17","7","24","1","0","0"
"7b79fb8cc0bcfab88d13fff50dca84dd8a31a55a","2018-09-18T20:34:37Z","8","223","83","306","1","0","1"
"59d48bf2c5863d9e20c909168ccd9aa3ab7e6c2b","2018-09-18T12:55:52Z","8","40","19","59","1","0","0"
"d5b754d28a687bbddaa6169be9d9647e2a11218f","2018-09-18T08:46:43Z","1","27","3","30","1","0","1"
"02c6d4b2d4e44a3b2097ab2e94ab945d09ae0311","2018-09-17T21:38:22Z","40","176","140","316","1","0","1"
"ffd7945a64bca7cdac7b4ba3dd92bdc3997e541c","2018-09-17T12:22:44Z","11","183","4","187","1","0","1"
"9e1de34acc6c87d531c0b71380aaffe785225ad2","2018-09-17T10:27:45Z","40","176","140","316","1","0","1"
"cbe61c673ea103e4c9969f18893e72c06e9764b8","2018-09-17T10:21:39Z","2","9","5","14","1","0","0"
"65ddb5e168cb4daf65098a3e5ab2c8476a758bdc","2018-09-17T08:09:48Z","11","135","76","211","1","0","1"
"4462e604b5856f2634c2745100664d9dbd782a59","2018-09-14T10:44:08Z","8","119","3","122","1","0","0"
"2424bcdd4cb7fcc660f3cf18569a38b4d95fccf2","2018-09-12T16:54:46Z","1","24","6","30","1","0","0"
"d6767c85dd6a426499cdf8afb93c4e829f7c4640","2018-09-12T14:49:29Z","1","7","7","14","1","0","0"
"1d052f1ab4ee7dc0439689a09485efe57f2178d2","2018-09-12T10:17:30Z","1","24","6","30","1","0","0"
"9de4ad5d48acdacebdccf5a286a63a7b06fa2dfc","2018-08-07T13:47:52Z","1","6","0","6","1","0","0"
"cdb311be90169ae9050c21a01c58e6102f00a6e5","2018-08-07T12:14:50Z","0","0","0","0","0","0","0"
"0b488d6a7f10d2a588d7a9adf692bb4210119204","2018-08-07T12:11:50Z","1","6","0","6","1","0","0"
"d7ead7b097f9b26082b21e655103a1159f820b8f","2018-07-18T15:19:13Z","0","0","0","0","0","0","0"
"c08fabb9dd6c99aa5b6adac7cc2d609a9a9f0a5a","2018-07-18T15:18:33Z","0","0","0","0","0","0","0"
"3b80b3452f3d34901ee1e1e886c946c6986aaec1","2018-06-14T09:05:55Z","0","0","0","0","0","0","0"
"8314f972d529f00731d316310d9b1dd84539fe91","2018-06-13T21:31:46Z","12","25","87","112","1","0","0"
"847334123cc8e527675db300e372238bd970a6e6","2018-06-13T19:45:49Z","0","0","0","0","0","0","0"
"688ffd7aa18f0319e846a0ae895a58a59889480a","2018-06-13T19:44:09Z","0","0","0","0","0","0","1"
