"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"300076c5ddfb782c2f7ebf3f1360f298834a9333","2018-09-13T19:51:39Z","4","26","66","92","1","0","0"
"032c6b3ed9a5895f8e27dd05a8fe515c1952793a","2018-09-12T19:40:12Z","4","14","46","60","1","0","0"
"7e5fed99908d0e63ed98e66e4d78e65b02fc480c","2018-09-12T19:40:12Z","1","17","25","42","1","0","0"
"cd08af28940a9517d13e20729bbb64d8964badd6","2018-09-10T22:54:09Z","2","4","1","5","1","0","0"
"62b6e5bdcbde3db2201392e9b0c56f9c45a98a11","2018-09-10T22:53:43Z","1","10","8","18","1","0","0"
"0eceb9bcc7ddc463fb24b554aa339dc734d96c68","2018-09-10T21:12:04Z","1","10","8","18","1","0","0"
"8835b1e485891577cd757ab2f69e5d58c4ad8945","2018-09-06T23:31:31Z","2","4","1","5","1","0","0"
"6c66210ee1bcd186a70659eb2aae61266b4e89e3","2018-09-04T18:25:35Z","10","42","3","45","1","0","0"
"0351dc8694ca5069af2710e6e073d27cb33fafac","2018-09-04T16:05:03Z","6","22","0","22","1","0","0"
"7af007ad2ffc7fad772594d86487da915827d66b","2018-09-04T16:05:03Z","5","20","3","23","1","0","0"
"de73504be0b1481de9e17206eb62cce621a0540d","2018-09-04T13:44:25Z","69","452","216","668","1","1","1"
"9760bf551bce392dde13c397bd037be6fa2d1aab","2018-09-02T23:56:51Z","3","0","79","79","1","0","0"
"cda778e4919b07e9e84f4f70f991769339101c34","2018-09-02T23:17:25Z","3","0","79","79","1","0","0"
"a8f41118e39a802061d6eac23a2545bc88dff68a","2018-09-02T22:57:41Z","17","180","84","264","1","1","0"
"18bbd7678382d69ae556caf9165dad2583f05387","2018-09-02T22:57:41Z","57","273","133","406","1","1","1"
"83b6ab06207bd1f9eba3b80e40adec9b0445d591","2018-09-02T22:43:30Z","16","994","132","1126","1","0","0"
"24b2fbcc9dede37ac62e3a321eba47a5d0d26d97","2018-09-02T22:42:39Z","38","193","198","391","1","0","0"
"60125b37510c1f75746d90fc2c23dfc781f5a220","2018-09-02T22:35:11Z","12","9","28","37","1","0","0"
"96be7af3f6bd7885bfc7643fca73717bf48e0ef8","2018-09-02T22:31:12Z","38","193","198","391","1","0","0"
"56882dc6c3ad31105f2a01b26841c1126d944f6c","2018-09-02T22:13:58Z","12","9","28","37","1","0","0"
"3af2e6c022e11e2dc534f14cb1820895858d4376","2018-09-02T21:47:28Z","58","154","162","316","1","0","0"
"c043eb0df4f79f450c46abaac089fcb68adb7992","2018-09-02T21:35:09Z","58","154","162","316","1","0","0"
"ffd57c4e8682c25c3541245f3b5ebff0f7b4b192","2018-09-02T21:04:02Z","19","38","53","91","1","0","0"
"f24cb76d9e7531804faef933c269aac17a3b5e72","2018-09-02T20:49:48Z","19","38","53","91","1","0","0"
"ae76f07ada9966f258cd9ffbdeefb77c08580e93","2018-09-02T20:48:21Z","12","19","68","87","1","0","0"
"9c9b3e32cc9584688e2f7b27894f5e80b5f48da5","2018-09-02T20:48:09Z","7","4","15","19","1","0","0"
"86dde4dabf59156d185778ae6fb756c834258d3a","2018-09-02T20:31:34Z","7","4","15","19","1","0","0"
"dbea2cafa6dbf7500e2f4664f6f14a658b6f13b6","2018-09-02T20:27:28Z","12","19","68","87","1","0","0"
"97c0d7d4e9fbd70e2bc9fc5da4033f5c48b71657","2018-09-01T15:47:34Z","7","39","27","66","1","0","0"
"70b9120888f23461a20ac8f66fbc826100d769af","2018-08-27T13:00:33Z","2","22","8","30","1","0","0"
"9c9c9d475f8a8884236ad0fd3ae4054cb4053650","2018-08-26T23:25:07Z","7","39","27","66","1","0","0"
"5d98c15bce7a29c48c6c4f69e118bf0faeec9db4","2018-08-26T16:09:29Z","4","45","21","66","1","0","0"
"5f7dac455658431fb4af6c80688af5b516b266fc","2018-08-26T15:18:22Z","3","19","11","30","1","0","0"
"942ecb5a4ec295106749660cc4c238b72ccb28fd","2018-08-26T15:18:21Z","3","28","70","98","1","0","0"
"4ea798fdf6cbdea13690d891387d072c0440cbbf","2018-08-26T14:02:15Z","2","4","30","34","1","0","0"
"95465ea6d7b6d6eea7736463dbbe663465346fe8","2018-08-26T14:02:15Z","6","898","0","898","1","0","0"
"721c97fe39a923f7c0cbf28b261d2a76b41792fe","2018-08-20T16:33:12Z","1","20","8","28","1","0","0"
"95140865137a44c4f3a7f53cce510c54d44ccd76","2018-08-20T16:18:44Z","1","2","0","2","1","0","0"
"f3ef980587f7889a8250bb5889f9e88daf2dde99","2018-08-17T20:21:05Z","8","72","43","115","1","0","0"
"666264add0c439a2f12ee37a5f393d9de53ae809","2018-08-17T20:19:16Z","3","10","15","25","1","0","0"
"c8de3e6a18f2dff23380eb9da8ab3de60e00b818","2018-08-17T16:22:53Z","5","47","3","50","1","0","0"
"ea07d248dfa676ced0e73dd20315cb92417a8732","2018-08-15T21:01:59Z","6","28","43","71","1","0","0"
"33e74567c570bcbb4ba19b7317b7299e0697a9a1","2018-08-15T01:55:00Z","1","15","8","23","1","0","0"
"5c50f367e4cc371e2608a6d63085c599225cd768","2018-08-14T14:08:30Z","3","10","15","25","1","0","0"
"262e0840ba131f6c0fdcd220a282184aa92ac7d6","2018-08-09T16:12:20Z","2","11","1","12","1","0","0"
"95f6079a31bdb089930991e7960783e988ceda29","2018-08-08T22:17:48Z","2","134","1","135","1","0","0"
"02db5651aa55ca5fb283ed5a3390ebb4ae39aaf3","2018-08-05T17:43:08Z","1","125","0","125","1","0","0"
"880f00ac515eebafe5b4ccb31ee0f4919e35d552","2018-08-05T13:28:57Z","1","9","2","11","1","0","0"
"229a0a03c995f18d9d2c673a1f64a50c4b17256d","2018-08-05T12:50:47Z","1","2","1","3","1","0","0"
"6fc4acfb988b32e5f002589e0aa04fda2bec045d","2018-08-04T23:42:39Z","0","0","0","0","0","0","0"
"ae38778ec1fc85b1c563be8c23c14645c30248b3","2018-08-02T12:58:20Z","0","0","0","0","0","0","0"
"da6eca639c3f5c4cb6df99470a0feb5ef191da2e","2018-07-26T21:44:11Z","0","0","0","0","0","0","0"
"28f0aa642b07b2025b510028239c19ceb43f170e","2018-07-26T21:30:14Z","10","54","25","79","1","0","0"
"efac64da936526e5ac85dcddf1b0de5b6faaf70d","2018-07-25T00:02:15Z","6","141","95","236","1","0","0"
"9eefb0be409071ebd9db27985647bc2e1b523cd2","2018-07-23T15:32:45Z","1","46","10","56","1","0","0"
"79d6d79d1aa8de52f346be9835a9970f3cddc98d","2018-07-23T15:12:32Z","5","86","73","159","1","0","0"
"e7bf621822d63ad16aa4d30507e6643abd7ab2c4","2018-07-23T14:37:54Z","1","20","24","44","1","0","0"
"f610be227b49396d5e08582223bbaeb7b03b3da7","2018-07-23T14:20:41Z","2","5","4","9","1","0","0"
"de61ec288c3e704a700f9d55fab91f60b5712606","2018-07-23T12:25:30Z","1","1","2","3","1","0","0"
"ee777e62ebe26babb299c4e5d82a0477d22d03e9","2018-07-23T12:25:30Z","1","1","1","2","1","0","0"
"1f0f4285d276df740236b6bc457d22e26f4aa356","2018-07-23T12:25:30Z","3","21","19","40","1","0","0"
"f40e7378fb43475bb972093ca4a51d126265ba80","2018-07-23T12:25:29Z","6","31","3","34","1","0","0"
"c8da50f94513cb26fa20af3d5e7c717595c7534c","2018-07-23T11:24:29Z","26","194","257","451","1","0","0"
"31f121de1a4b643f6e499a48f4bc44c4352bdb97","2018-07-23T11:18:58Z","4","7","3","10","1","0","0"
"91164e04ed031f5b957e0e9800b4222d91409e32","2018-07-23T10:54:09Z","4","7","3","10","1","0","0"
"de49c9d6c22a7cd8686d54c492ac08236157e8b2","2018-07-22T16:34:16Z","18","168","216","384","1","0","0"
"dc785a8e92cb8f8344ff37c1636ce259cad2c503","2018-07-22T16:31:41Z","2","8","2","10","1","0","0"
"87132562f83619f2dffc021c99049119867bcd96","2018-07-22T16:31:41Z","15","33","54","87","1","0","0"
"b35074315c33214313f230c486c6bdd8a6fbe452","2018-07-22T16:21:51Z","8","194","2","196","1","0","0"
"510478046854891793a2353674bcfc2b93beb458","2018-07-22T16:06:21Z","2","68","1","69","1","0","0"
"e56b03d7bc49ae722d23870c50f9a1973a78a97f","2018-07-22T16:06:21Z","3","15","2","17","1","0","0"
"5e9dfa3656ac63772c0de703a1d5e1c336b0af14","2018-07-22T11:33:15Z","1","16","2","18","1","0","0"
"92e11f0f2b471d29bd7e3c23a8d17ec0c4a13c18","2018-07-21T14:43:36Z","14","382","438","820","1","0","0"
"c91b482d30f9907f054d36270938e37ca4ae2e97","2018-07-21T14:40:47Z","1","16","2","18","1","0","0"
"4faf17fbf22dad6610c459ab071edecdb8ba071e","2018-07-21T14:06:17Z","6","7","10","17","1","0","0"
"9ada669e0bcf608ffce6cf6ba9156d219089d41e","2018-07-21T14:06:17Z","2","131","171","302","1","0","0"
"2dd7d00f8d8fd4193ad3abb3414edb3b76fabe5d","2018-07-21T14:06:17Z","5","6","5","11","1","0","0"
"9f84e43541e1ebfa01b9e2f2c4e572eb89b451d3","2018-07-21T14:06:17Z","6","46","35","81","1","0","0"
"e814b5dca0e394d2f8b911f27d697a8d36a8f14e","2018-07-21T14:06:17Z","3","76","160","236","1","0","0"
"c787845ebea07c03f351ce40b5f0ac106e21aa95","2018-07-21T14:06:17Z","3","81","22","103","1","0","0"
"7d11244dfe6d415e50adc36a083f5775834ac91b","2018-07-19T14:35:31Z","3","22","1","23","1","0","0"
"4ecb0d14e4537f51ffed84322ec4f50cb9a3bb0f","2018-07-19T14:21:01Z","3","22","1","23","1","0","0"
"b3c0021edbc8a0d9b73beb2f45eee3fbc21ced33","2018-07-19T11:04:54Z","28","184","192","376","1","0","0"
"0af83029cc7365eed83b6fb3c85e3359ea2cf78f","2018-07-19T10:40:57Z","27","151","160","311","1","0","0"
"50e955d2da1b4c925e0fcc1d36d32823a1fba988","2018-07-18T17:25:43Z","6","47","46","93","1","0","0"
"83f3ac06b6d2a5268b6a1101302f2d222304da2a","2018-07-18T17:25:19Z","26","527","515","1042","1","1","0"
"7c16fe2e3584a2bddb8c814690bc3312598ce0d2","2018-07-17T20:43:42Z","1","0","3","3","1","0","0"
"902d959c109bce84d81ebcd714cdcd3e0ca55f2c","2018-07-17T19:53:30Z","4","25","54","79","1","0","0"
"7ca3806c33a744be88b5209d4c5d4d65e9437a52","2018-07-17T19:33:04Z","8","82","96","178","1","0","0"
"9cb5c70e4bbe3bde7296df576142ab8049c59e6e","2018-07-17T18:39:18Z","7","34","31","65","1","0","0"
"f046313d98300a1f409de54ac633bdaa401fb96f","2018-07-17T18:39:18Z","8","48","32","80","1","1","0"
"2b972116125d6f7b3bdf177287728e2f479c4ea5","2018-07-17T18:39:18Z","5","40","42","82","1","0","0"
"6758b6546e6df007e755e0754dc5411d76128093","2018-07-17T18:39:18Z","7","291","243","534","1","0","0"
"4e22b1c509801fcdc9338f5958d306e45a1e8760","2018-07-17T18:39:18Z","6","29","36","65","1","0","0"
"766b463274de943eeef2dc6e7f5e6aafe1a62b75","2018-07-17T18:38:44Z","22","417","394","811","1","1","0"
"fe8477cd9b00b72170ea771b5597e5cdaba4b59d","2018-07-15T18:45:05Z","9","73","22","95","1","1","0"
"ec9ba959f841407f1a536ea268c46d06db7ed2b5","2018-07-15T18:08:11Z","15","265","300","565","1","0","0"
"e4b6175c455bc2b9d58cc55cd9af2c977d1d2803","2018-07-15T16:36:49Z","11","81","74","155","1","0","0"
"6bb8805aa996e1499bc3eeed6ff3a780c970151d","2018-07-15T13:29:52Z","2","70","0","70","1","0","0"
"4a0b761867002224aac4e77346e3567b16ca5a3d","2018-07-15T13:12:25Z","4","43","1","44","1","0","0"
"5fe780a828242cc818a6b83dfe90725c6ac9f6d3","2018-07-13T11:59:40Z","17","118","96","214","1","1","0"
"6e9f63446aebe17ab1c0b951ba003402713de6d6","2018-07-12T11:43:14Z","1","12","0","12","1","0","0"
"60bfe335aaaf073e53fcf9cb59303a0f92633d8f","2018-07-11T18:15:00Z","6","15","48","63","1","0","0"
"e2c09e41559fbdd3cb1a004cd7796ada82f311ae","2018-07-11T17:57:51Z","8","35","11","46","1","0","0"
"a63fcfd7fcf25666bb5ae1b5d1ff87f867cd4155","2018-07-11T17:45:18Z","6","7","7","14","1","0","0"
"6e18375d1989a44e2d79f6563fcfbcde9f631069","2018-07-11T17:41:13Z","9","61","30","91","1","1","0"
"3dcf1a59baafd0bc15e23e56a985d8d4347fa1aa","2018-07-08T21:10:03Z","1","12","0","12","1","0","0"
"fc6c47159b8cfd79dd30c21b70e9a7eb5f8654df","2018-07-08T16:52:12Z","0","0","0","0","0","0","0"
"b6f59f40e1056b53b483d16bb9b5247bc6234933","2018-07-08T16:36:37Z","0","0","0","0","0","0","0"
"012befd59e08c43caddec47d42f5a5d73ac3c2f1","2018-07-08T14:32:44Z","3","3","2","5","1","1","0"
"0d3bfe233b05a4a7253b8230c41cbe7ea8fff272","2018-07-08T14:06:19Z","0","0","0","0","0","0","0"
"87ac35ed68e682bba3337559d58503373f28b7bf","2018-07-08T14:06:19Z","0","0","0","0","0","0","0"
"f6713ea55a1f40057a0265b70341c381d241d19f","2018-07-08T14:06:19Z","0","0","0","0","0","1","0"
"f63b4097a1acef101052ba24d9c2a84fa2b51a01","2018-07-08T14:06:19Z","3","3","2","5","1","1","0"
"ea68bbaabf8a39af79e31bcdd001ab41e6e1f7bf","2018-07-08T14:05:56Z","54","427","317","744","1","0","0"
"228bba0bf1127fddb488e41c6e1df0205069be06","2018-07-07T22:58:59Z","3","3","3","6","1","0","0"
"89c5b6d656773a03eb0128da06cfe5d96709a2ba","2018-07-07T22:41:27Z","5","13","18","31","1","0","0"
"5edccbec0ca6fe2c7fb59079ad351315788840e6","2018-07-07T22:23:30Z","1","3","6","9","1","0","0"
"c73719fa864188627b6c24794301c782736a018b","2018-07-07T22:15:39Z","0","0","0","0","0","0","0"
"408f725b61ec64d5de5fa5c06bb4c6e8e582fdb0","2018-07-07T17:09:31Z","12","50","38","88","1","0","0"
"c0d0a437c8e273418ec4d206e47ce011cbcad057","2018-07-07T16:38:00Z","4","19","19","38","1","0","0"
"cfa6e678cbc47ce27c4ee832a48b1c653e61aa28","2018-07-07T16:22:28Z","4","25","14","39","1","0","0"
"b2a11c6136f1de30e4921d38a1c342f08133e0eb","2018-07-07T16:12:50Z","8","39","31","70","1","0","0"
"c6b804f0f5d32b0d56c648c5a9a6fb0c8f3841c2","2018-07-06T22:09:03Z","5","70","20","90","1","0","0"
"5393404513fdb18afc9ec0a348ae198d9cc7bc52","2018-07-06T21:41:03Z","3","12","4","16","1","0","0"
"c44bdfbb7b05c08bb422152161dc05b12eaf6074","2018-07-06T21:27:27Z","3","33","92","125","1","0","0"
"87d0e05a92d73956a439878f01736163a1312724","2018-07-06T15:24:16Z","8","13","11","24","1","0","0"
"63142f222ac33c64cdce512edc7e29f87c7a079b","2018-07-06T15:13:01Z","4","15","9","24","1","0","0"
"a4e8046217024fe36be5b5d26fa0701792f30bd8","2018-07-06T14:50:47Z","6","36","12","48","1","0","0"
"548f908d7ca3740b0013316980fd4fa4e5014566","2018-07-06T14:41:36Z","5","15","13","28","1","0","0"
"de2b99a066767d2f17ea0b932a9e20482a514c89","2018-07-06T00:02:57Z","9","33","12","45","1","0","0"
"ae6c8edf01520c5328f6c66383e91d9b7a79b0d6","2018-07-05T20:57:45Z","5","55","20","75","1","0","0"
"e1f7b1c2345f6b131f41767146f52b3c336a1e8d","2018-07-05T20:27:30Z","29","585","396","981","1","0","0"
"bfd46acc9ff08a33624d2454ef167b98ed17307b","2018-07-05T11:49:59Z","23","359","175","534","1","0","0"
"154ffc51f693c5adc75c90108389598989f6d378","2018-07-04T17:37:39Z","3","2","11","13","1","0","0"
"1854191290698d27f8af63fd4f73ab5245ea577a","2018-07-04T17:26:08Z","2","4","10","14","1","0","0"
"46f7b6e00827ccaf80034d219e805a49cd26a583","2018-07-04T17:26:08Z","2","21","18","39","1","0","0"
"6640b91a967b0b14c1a21bb88df2e472d7d96f00","2018-07-04T17:26:08Z","20","235","225","460","1","0","0"
"c195e462224bb21188bce748d163154ddb5ffd04","2018-07-04T16:20:58Z","3","11","2","13","1","0","0"
"f2b3f5b7cb9d51b7cacd118b08eaffc6af2570ef","2018-07-04T15:59:35Z","4","6","8","14","1","0","0"
"1d6506b098ed760167fef40be76f2cd6373e2f29","2018-07-04T11:49:17Z","171","192","124","316","1","1","1"
"b46594fed41d6c7a1abc8f514b0ba1876c9b8201","2018-07-02T14:19:21Z","171","192","124","316","1","1","1"
"4384834d1990112d196b6db9fdc6a781eeab12b2","2018-07-02T14:17:14Z","82","522","493","1015","1","0","0"
"0403523fabeea80fb95a1e693ab3b1087869a7f9","2018-07-01T16:49:22Z","5","27","9","36","1","0","0"
"f16b65edd63a5d436b67d9c7a6f59254c83ca5da","2018-07-01T16:49:22Z","9","101","25","126","1","0","0"
"4f4918c39b9360b888b908f585fb7385beea42aa","2018-07-01T16:46:17Z","10","9","9","18","1","0","0"
"a2cf5a08c116df423aa41c04599f1c87c42f553e","2018-07-01T16:46:02Z","4","101","172","273","1","0","0"
"a02a5d5f03f2a77b1ca654d02ef1513a0f55f7ca","2018-06-30T23:23:46Z","5","14","15","29","1","0","0"
"ac3cb66ce67e982cec7c56049e6e3c9eb016e130","2018-06-30T23:04:09Z","5","13","13","26","1","0","0"
"b30c2f7811a7e35aa07cbf9a0c38a0ca5f1305e3","2018-06-30T23:03:38Z","4","31","37","68","1","0","0"
"21220c41b5239f8eaa9519e23b37326a74f80f8b","2018-06-30T22:32:31Z","2","6","36","42","1","0","0"
"d5437270a6530f291fab27fbf67f9f711611e1f7","2018-06-30T22:25:59Z","4","106","101","207","1","0","0"
"aa32778e55fcbc659083900d4608217b9fa0deff","2018-06-30T20:08:02Z","5","28","8","36","1","0","0"
"f284664f018cf73bc14aab3969b2b2b5351c5625","2018-06-30T19:34:20Z","4","14","28","42","1","0","0"
"c5d1d12e94471941d2d65ea7ecbf19ec7e69c113","2018-06-30T19:26:24Z","6","78","47","125","1","0","0"
