"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"7283e03c08776e542352166a1edcedf2adc0ef48","2018-09-25T06:20:44Z","0","0","0","0","0","1","0"
"523705eae1405009f18a47a61604a66e2215d73a","2018-09-25T06:20:38Z","0","0","0","0","0","0","0"
"c476cc65bf9abc9f2a1e371490112d558b465a58","2018-09-25T06:19:47Z","91","192","221","413","1","1","0"
"e9675e5bf48784d4d4da1afa255d337421ac5b92","2018-09-24T07:21:46Z","0","0","0","0","0","0","0"
"49d94b859943d754d6c7b8a1843c3302aba2b9ec","2018-09-24T06:50:44Z","0","0","0","0","0","1","0"
"c862c56bf85a08ceb5040556260d7cf9331ef595","2018-09-24T06:50:39Z","0","0","0","0","0","0","0"
"354b7561e9a88a602aea50f55a9949c8a0001037","2018-09-24T06:39:46Z","0","0","0","0","0","0","0"
"7d95fdf61a0aae87abb7319eeeb504fb0c5b03a0","2018-09-24T06:17:49Z","7","40","18","58","1","0","0"
"56640b09df56270029afd0c5fff6e93b41009815","2018-09-24T06:17:29Z","1","3","1","4","1","0","0"
"5922b3660cc0ae8b18fea51a67946e40465d9bfc","2018-09-24T05:34:51Z","1","1","1","2","1","0","0"
"e76e4454f8031c13c8773759b13d68fdc83d45bd","2018-09-24T05:30:12Z","5","51","154","205","1","0","0"
"c567cbb970b747ce29a8f46ca115934a4a2aa9e3","2018-09-10T15:20:39Z","3","5","5","10","1","0","0"
"4a6840b5495baa422e7a485621c01d47a66fe37d","2018-09-09T15:21:33Z","1","7","7","14","1","0","0"
"074176b4574ce41fadf3fba09213e902ede914ac","2018-09-09T15:21:08Z","2","36","12","48","1","0","0"
"073bf89653b3f6871018802f7912c8119a93643f","2018-09-06T16:33:16Z","0","0","0","0","0","1","0"
"e0c22eeb8db663067f9dd1b688d811c5e4302724","2018-09-06T16:32:35Z","1","17","22","39","1","0","0"
"604299aa4f15a191cc7f8247dfd0724d8324aed0","2018-09-06T14:17:40Z","1","4","5","9","1","0","0"
"871abd0def51af9ae862fefee3911259d0943a88","2018-09-05T01:52:45Z","1","1","1","2","1","0","0"
"27e228fb1182041e3f56cecf2133ab804343a289","2018-09-04T02:02:52Z","0","0","0","0","0","1","0"
"b82850ab09cb6fdb1b5818f41319adfb58b5bcd0","2018-09-04T01:44:58Z","0","0","0","0","0","1","0"
"3f58e5842daefd6298d86b578fb345d3fac601dd","2018-09-04T01:05:37Z","1","1","6","7","1","0","0"
"817e100bb01f9e6e14e92697c935cc3786315935","2018-09-03T23:52:48Z","2","7","0","7","1","1","0"
"2695bc625bfeb89d5d0dd3fb247ef203eca659d6","2018-09-03T23:52:32Z","1","6","1","7","1","0","0"
"df59c11ce2628a0fb687dedce7769eded0637582","2018-09-02T23:50:27Z","1","4","3","7","1","0","0"
"f71402c8959cf7e65b8674d39112de2dc43ce0a2","2018-08-30T16:35:48Z","1","11","9","20","1","0","0"
"9be40fb1c03f3bba53597f5cb2db823dbd8c97bb","2018-08-29T14:37:00Z","0","0","0","0","0","0","0"
"fbf00bc8c14515e23ec68b948b783b454eaf0971","2018-08-14T00:59:20Z","0","0","0","0","0","1","0"
"f4f47a815a662f33d9732c3b56771004afc08c1f","2018-08-14T00:59:08Z","0","0","0","0","0","1","0"
"add5015f88675d75630cdd10789045b8d811a448","2018-08-14T00:58:57Z","1","22","0","22","1","0","0"
"6e0b13adcbb3dac5ddc720a0cbfa354d7f30d4a5","2018-08-13T02:56:25Z","0","0","0","0","0","0","0"
"df1beca376fe06f0d80ffce8db6215126c4c18c4","2018-08-13T00:00:03Z","0","0","0","0","0","1","0"
"89dff1364d70ca8d8f3034ad7bae0b408a50e156","2018-08-12T23:59:59Z","0","0","0","0","0","0","0"
"0e6a65b3a6d175b27bc3ac178ee415309fde91e1","2018-08-12T23:54:24Z","3","66","9","75","1","1","0"
"8ce8f8da667571c5126e3e01fd56f7a5574607ed","2018-08-11T21:00:14Z","0","0","0","0","0","0","0"
"d45382f220ef16dfe1c169a9a7f0f3f53fb26fa7","2018-08-11T19:46:38Z","0","0","0","0","0","0","0"
"76b76e7a6d8ee65339b86a65a4f41ea2db75fd1e","2018-08-11T19:40:03Z","0","0","0","0","0","1","0"
"416d637b9795c0827dc0a27fb359173c80f9ecce","2018-08-11T19:37:55Z","1","2","2","4","1","0","0"
"9d233a0f9ce099c2bc0f44116a48e330befa01b2","2018-08-08T18:52:20Z","9","398","21","419","1","0","0"
"1db1a0be1449fc0c952ad2d337b153807edcfef3","2018-08-08T17:58:39Z","0","0","0","0","0","0","0"
"1718548f6eb9ae5fce15b543c4a2484b7d742ff9","2018-08-08T17:54:25Z","0","0","0","0","0","1","0"
"f675a5575db138e759f09e71806d1a913539ecd0","2018-08-05T23:53:54Z","0","0","0","0","0","1","0"
"afef4edf2e982da814c3afd7970754a221aca111","2018-08-04T23:06:21Z","0","0","0","0","0","0","0"
"4750fbd71bddb2b7f7303bf7ec2ed877cf0a542e","2018-08-04T20:23:31Z","3","41","14","55","1","0","0"
"3f9ee24b530d21414fbc5eddc7c52f2d23fc89cb","2018-07-26T18:22:59Z","9","111","107","218","1","0","0"
"ee8b95409c3615785ca86aa47a52a2ab8e977943","2018-07-26T16:38:36Z","6","166","14","180","1","0","0"
"73805e4bf70fcae1eb53f8f478a85b3e437e9049","2018-07-26T05:45:07Z","0","0","0","0","0","0","0"
"94aa75328ce3b79e17a463f9b60ac7559204f997","2018-07-26T05:18:09Z","0","0","0","0","0","0","0"
"12de9c5e830fa32dd5eef74f35cfd4adda6e8d25","2018-07-26T05:09:50Z","1","2","0","2","1","0","0"
"6f2645a233c71c8c8c65f2fbc6c3928c8e572e2d","2018-07-26T04:36:46Z","0","0","0","0","0","0","0"
"9ce2cc88edd35925d0e3a9be21970fabb2047231","2018-07-20T21:15:49Z","1","5","5","10","1","0","0"
"3f78dfccf1df264f2cd502f9edd1369e78b6ec14","2018-07-16T06:45:03Z","2","2","7","9","1","0","0"
"dd05077e8430e056dfcf351945a86fd068d14c62","2018-07-16T06:44:39Z","1","7","1","8","1","0","0"
"3f3fdbd95ac4f9915ccd98da7456145600e8e028","2018-07-16T06:18:32Z","7","32","9","41","1","0","0"
"f11924da41056a5a8129e157695f64ca287353c8","2018-07-16T06:00:53Z","0","0","0","0","0","0","1"
"c32f18ede7873f4c5e16493456340ef9878830d9","2018-07-16T05:08:03Z","15","886","193","1079","1","0","0"
"4ea04fd194649d48b217f91c260735f7d0852187","2018-07-16T02:05:08Z","0","0","0","0","0","0","0"
"44cd5011948d1a576de2ddf4e69e385b88acf077","2018-07-16T01:52:19Z","0","0","0","0","0","0","0"
"e07d6727fc273359b250110d8d476008d3e8a495","2018-07-09T06:36:54Z","0","0","0","0","0","0","0"
"45b5adb62fd62d2aef10784f53ba03f2e1c2462c","2018-07-09T06:08:09Z","0","0","0","0","0","0","0"
"406e60882d800ccf9699c6ad8d75e5561734df7a","2018-07-09T05:38:40Z","0","0","0","0","0","1","0"
"ee7962628204f30b51018aa5ec138b9fec8073a4","2018-07-07T17:52:28Z","0","0","0","0","0","1","0"
"dc3442ce098cfce09a00f7ef6ec98c03ba8436a9","2018-07-07T17:48:23Z","0","0","0","0","0","1","0"
"9414eb502d91c840471c82b89f9a642b367ea215","2018-07-07T17:15:28Z","0","0","0","0","0","0","0"
"ddea81ea20defd94c6d0e32131c16dc14521f05a","2018-07-07T17:15:07Z","1","19","4","23","1","0","0"
"9d9a2e3928feed0a2b5752299e9055dd552eb21a","2018-07-07T16:48:57Z","6","131","67","198","1","0","0"
"17b64db1b082b11397b122f43179de7e9ddf791c","2018-07-07T16:48:49Z","0","0","0","0","0","1","0"
"b1291e557114422970ef27eeb29df14b68713e10","2018-07-07T06:58:51Z","1","1","1","2","1","0","0"
"e003f34c73dbb7bdb3ccc8d15c6fcaaedd1f23dc","2018-07-07T06:58:20Z","0","0","0","0","0","0","0"
"5e47d7323ec0b28bab94c1bb64611384fa5c9062","2018-07-07T06:57:58Z","1","1","1","2","1","0","0"
"e6cad9a3e6d0da9ffa21440162348deaea48cda8","2018-07-07T06:57:35Z","1","12","0","12","1","0","0"
"0ccaba54f146c0b2b3371d45c62e8bc03be64b6d","2018-06-29T16:03:49Z","0","0","0","0","0","1","0"
"1926e58226518d3b11ea986aa940927aa0d082da","2018-06-28T19:42:40Z","0","0","0","0","0","0","0"
"5293ac55bb9e5d53036fe73119b305d83e328a49","2018-06-28T01:20:27Z","6","67","131","198","1","0","0"
"86a8f396c3e09da913ce27f90eaca9044b25271d","2018-06-27T20:14:27Z","0","0","0","0","0","1","0"
"ed3a018b7df48f7019226d876fef9b4718a15d07","2018-06-23T21:00:35Z","2","17","8","25","1","0","0"
"cd547e41a623cafd3d7c2918fbb43ff7bc93f642","2018-06-18T16:41:31Z","0","0","0","0","0","1","0"
"42e776f2740129e3e19bac77c919113cad0f9992","2018-06-18T16:39:56Z","0","0","0","0","0","0","0"
"8ce2bef08477279a25cf357bf7ce4d325b0aab97","2018-06-14T15:54:09Z","1","17","5","22","1","0","0"
"b0064c3da245c3ccd0e4b0e15c9d6829b2ab2d25","2018-06-12T17:58:31Z","0","0","0","0","0","1","0"
"6906ad530616d110983d853ce0fbefb922774ac5","2018-05-18T00:58:55Z","0","0","0","0","0","0","0"
"95f07d18ba24b36c114ecdc1d7274971ad490172","2018-05-12T01:46:08Z","0","0","0","0","0","1","0"
"f490a68d7dd630d2368af4198229600c6d3ad745","2018-05-12T01:45:43Z","1","1","1","2","1","0","0"
"1d45e4dc4b8c7c1759375ffadd4ac742cae97efb","2018-05-12T01:42:07Z","3","61","53","114","1","0","0"
"b4913b5138de5eefdad4ab26192060d22a8067ac","2018-05-12T01:16:51Z","1","9","0","9","1","0","0"
"24d005475621588014eb1d7676def6dd62ee0e96","2018-05-12T00:09:34Z","0","0","0","0","0","0","0"
"d88ff2aeb8fd012186820150a8a1d60730721832","2018-05-12T00:08:17Z","2","19","10","29","1","0","0"
"a692b2b44787b1ef33e45ba3a59c73a4bec7a706","2018-05-12T00:07:14Z","0","0","0","0","0","0","0"
"c360f7cc0a1cc1bb197c0cafd8ec6c7448d02d44","2018-05-09T17:45:48Z","0","0","0","0","0","0","0"
"6b291eb66b699aa40807a1e5af39e490778b3b1e","2018-05-09T17:45:25Z","4","89","13","102","1","0","0"
