"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"01dd51d1ad601463b7fd6fb2601772c12768c73b","2017-01-31T09:43:06Z","0","0","0","0","0","0","0"
"8c3f674ad943f780c4a62f381e78b931ab660e17","2017-01-31T09:42:21Z","0","0","0","0","0","0","0"
"6066dd8a2d39e9a4d823c16858323e34983a13a5","2016-12-01T10:03:00Z","0","0","0","0","0","1","0"
"1a23f27790c460977ff909074842da95a450518f","2016-12-01T09:40:37Z","0","0","0","0","0","1","0"
"d67766ac0ece1e5b60a51b934d3d84bab7bbd31c","2016-12-01T09:31:14Z","14","3595","258","3853","1","1","0"
"646324cfed6b1e35019a9a7681c900572b1a1fa3","2016-10-12T09:27:24Z","22","118","93","211","1","1","0"
"970ebc62f5846a03f1539281a289362adbb1a923","2016-10-12T09:12:52Z","2","15","20","35","1","0","0"
"d0f038456437298191da6413b505fcf1f2d01a40","2016-10-12T08:59:47Z","0","0","0","0","0","0","0"
"630c52122cf17606df51a96b8827598294c43325","2016-10-12T08:22:33Z","21","92","71","163","1","1","0"
"253ab3ef7b587a6da1bf36e0a58d2873c3e0384a","2016-10-12T08:21:34Z","2","11","2","13","1","0","0"
"8cba2de651832540e895cb9f041497f37e435783","2016-10-12T08:21:20Z","1","15","13","28","1","0","0"
"2e6d517936a4daf52e5d63e7ed81238fae5f1429","2016-10-12T08:19:24Z","0","0","0","0","0","0","0"
"f833f74acd4bd4445a221776eca8211ff3c39e1a","2016-10-12T08:14:31Z","1","1","1","2","1","1","0"
"e059e69dd2c82eed14b20ac35c7b3310c66cc7ed","2016-10-12T08:13:19Z","20","91","70","161","1","0","0"
"9c5cf7577a17d773db5469a6dd8822ec381ae7b7","2016-10-12T08:12:08Z","0","0","0","0","0","0","0"
"f3dfefa8350cbc12294658dbbd8aaa811625317b","2016-10-12T08:09:58Z","0","0","0","0","0","0","0"
"df9a0c3790a6cacc25dd4ff5520b2a1e50ed7e34","2016-10-11T13:28:17Z","0","0","0","0","0","0","0"
"7f3a51ffc621ed8cae1504782fd5d445936732f2","2016-10-11T10:25:35Z","1","1","1","2","1","1","0"
"cf5f9fb7fd38c078b04c0a16b279650655e2a3fd","2016-10-10T10:04:45Z","0","0","0","0","0","0","0"
"3fb47e5303ae447f3ef452aa868ebb27b05f679e","2016-10-10T09:43:42Z","0","0","0","0","0","0","0"
"82fff4295010bfdb790c23eaba9773ee95e1e525","2016-10-10T09:23:55Z","0","0","0","0","0","0","0"
"2aea33dafc8fb421e283881507875738c47f3c63","2016-10-10T09:03:41Z","20","86","71","157","1","0","0"
"1ef12d28cd306dd87c293417b37bcebb5624f68f","2016-10-10T08:09:12Z","2","11","2","13","1","1","0"
"e5f34acbb78b0b26f4373ed5a036ba34c730fed0","2016-10-10T08:08:25Z","0","0","0","0","0","0","0"
"3f4dbda7b6bacb1b549b2b4409353bc0659f1f51","2016-10-07T07:09:39Z","0","0","0","0","0","0","0"
"1548bf6784cad149532a8867802a5cb987393a37","2016-10-05T14:40:05Z","2","13","20","33","1","1","0"
"872781ccd574aa784f88ddf7612ba53445d0b6f6","2016-10-05T14:23:27Z","2","10","4","14","1","0","0"
"f2c36823dc0db3d4846e26c8bc9cbc5c22a079f1","2016-10-05T13:53:28Z","2","11","2","13","1","1","0"
