"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"57cbd409bfe87314697d272da0ec8b9d05f9b528","2018-03-23T09:55:34Z","0","0","0","0","0","0","0"
"10f680f1aa842b8a6e3093b121ac448bcb2f844b","2018-03-23T07:37:14Z","0","0","0","0","0","0","0"
"6c2e1503e30f648f1360abeac7a11f7ef3591445","2018-03-23T07:25:46Z","0","0","0","0","0","1","0"
"9c56495757201df9a535870f0212d64af5c947fb","2018-03-23T02:04:56Z","0","0","0","0","0","1","0"
"1db8974136fe8329e280a43b1e3be5da11c7182b","2017-12-26T06:59:49Z","0","0","0","0","0","1","0"
"cc3810bb17130ca48410774e87de46ecc1fbf43f","2017-08-09T03:32:57Z","0","0","0","0","0","0","0"
"fe6c54b117a2056b59024e403967423e1e7e8d5b","2017-07-03T02:51:01Z","0","0","0","0","0","0","0"
"f67dadac1715a03b2a20a1a1a06b6889488da8fb","2017-07-03T02:50:22Z","0","0","0","0","0","0","0"
"f8a3453ed0a3dee67264936480c3dfde6ce41367","2017-06-29T10:08:35Z","0","0","0","0","0","0","0"
"208c0a81ab0a028b60bf2799c2a71623cb189b1b","2017-06-22T10:07:37Z","26","2360","967","3327","1","1","1"
"b9e44ac0945340547a62a4b26dc70027d054cdb4","2017-06-22T10:07:17Z","0","0","0","0","0","0","0"
"80ac0ff3e6fc040d22d039fcfa21e52954d38871","2017-06-22T09:27:04Z","0","0","0","0","0","1","0"
"d54f163985b65158a3c1a1d0f9717f0d669e6724","2017-06-16T09:27:39Z","0","0","0","0","0","0","0"
"ab345d5754fee0563dee22dd8dc45ac33db160e1","2017-06-15T09:03:14Z","0","0","0","0","0","1","0"
"8896a68b3c5612f52f5682c6e1173ff425e49401","2017-06-15T08:56:02Z","0","0","0","0","0","0","0"
"126520f603f37d520e9330017b83bb70005a9943","2017-06-15T07:25:57Z","0","0","0","0","0","0","0"
"cfd16e18c5a58221d8806d73eac275aa55eed6e3","2017-06-15T07:15:05Z","0","0","0","0","0","0","0"
"4cde1c686f1946b8f85cdecc0ba75a14bb300c19","2017-06-15T07:10:04Z","4","0","0","0","1","1","1"
"355f89bf553e2d8f24ca48c0fc3b844fc5b39e15","2017-06-15T07:09:49Z","0","0","0","0","0","0","0"
"90654c5704b637134f7cc3ef8737e995232c43cc","2017-06-15T06:03:08Z","0","0","0","0","0","1","0"
"8767abd8714c8d62c04be9412ccd7b1b9597cdcf","2017-06-14T06:10:45Z","0","0","0","0","0","0","0"
"2c1d52be526fb66a790a6565441d781dbb53bdc4","2017-06-14T06:09:30Z","0","0","0","0","0","0","0"
"dde9a36768bfd5e0869e7db26e3ad1c4c99ec71d","2017-06-14T06:09:19Z","0","0","0","0","0","0","0"
"7da520d5206efcad1c25cb84065286d9dd4c69ad","2017-06-14T03:37:42Z","0","0","0","0","0","0","0"
"5a31c85d343b5625faa7f83c78fe5f394abd20e4","2017-06-13T10:24:44Z","0","0","0","0","0","0","0"
"167ede1c967c271cf8b676cbdcf180dff5a83289","2017-06-13T10:23:25Z","0","0","0","0","0","0","0"
"b5bee4aa2364f8e0af5d00005ecf8d95d824b579","2017-06-13T07:27:43Z","0","0","0","0","0","0","0"
"1d52c269aae9d668f0da8e013f6426846ae644ad","2017-06-13T06:41:34Z","1","1","1","2","1","1","0"
"f53a5619642c9baeb895008c00d68bbcf0ae4901","2017-06-13T06:36:11Z","8","59","252","311","1","0","0"
"cee3cbbed958b73c59948ea507aae70b3ecbe548","2017-06-12T08:12:41Z","0","0","0","0","0","0","0"
"63be99ae6c8ddb1175ebf7cb9958ae0cd36528b8","2017-06-12T07:56:06Z","2","4","7","11","1","1","0"
"75251c18bd50398307bf9aea1b98ac5ed25d5557","2017-06-09T09:57:55Z","0","0","0","0","0","0","0"
"cb27a2d9b0fc6aeee0fb960338072b7a13ffe446","2017-06-09T09:54:22Z","0","0","0","0","0","1","0"
"39f60beb381fca188dd995aa7206619e5e29efd1","2017-06-09T09:45:43Z","1","17","1","18","1","0","0"
"a226dc74fb508e86664c723ff41cc68339c12055","2017-06-09T09:36:14Z","1","9","0","9","1","0","0"
"f71b8d4e090791181872d55fcec4f93d41160d33","2017-06-09T09:35:59Z","3","11","483","494","1","1","0"
"cace43f40fd680a14d120b144db1f59e6f50db7e","2017-06-09T09:20:11Z","0","0","0","0","0","0","0"
"c6e668ff68bfbe5e49d340d9da04798eaac45f97","2017-06-09T08:28:32Z","0","0","0","0","0","0","0"
"b555a744c3600f1f84f380bf1a9b94273b1c87a6","2017-06-09T08:26:44Z","4","49","14","63","1","1","0"
"2ad507e4301bfc6017b7991bbcbf20103e4b5709","2017-06-09T07:17:31Z","0","0","0","0","0","1","0"
"12279dbcf3568c5655137c7266015e6e8157242f","2017-06-09T07:17:06Z","4","92","10","102","1","0","0"
"3d1d85ebb95130db7e11a4ccb8045f15d4d9035a","2017-06-09T07:16:51Z","1","95","0","95","1","0","0"
"988d7ebfc51707d19b800b358e87fea5609f9df4","2017-06-09T07:16:40Z","1","0","22","22","1","0","0"
"faed97bc49ae10480c501e03e6badd1ed41532e3","2017-06-09T03:51:40Z","0","0","0","0","0","0","0"
"81d47bb62f1d65de68c98bd49d836a2875e368fa","2017-06-09T03:51:14Z","2","16","15","31","1","1","0"
"4f84ada4e60e8bf3974b5ce85ae1f69a0059be98","2017-06-08T09:53:14Z","0","0","0","0","0","0","0"
"e47f418eff6cc16f0cfb929ec6473050e65bd7c7","2017-06-08T09:52:58Z","7","260","198","458","1","1","0"
