"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"46d36638ef0167a7d0cf240d2c70fdba03fc570b","2018-09-29T20:18:46Z","22","234","283","517","1","0","0"
"57cfdbb7c2323b7601d26c3c57ad786bae5dea2a","2018-09-19T03:54:41Z","1","8","2","10","1","0","0"
"e3f094e7d85de4e107e706c7804556ef63b733f0","2018-09-19T03:54:01Z","1","37","9","46","1","0","0"
"adae57c632c3ceae7ea68b9e68c41dab3a857c9e","2018-09-17T20:51:17Z","1","37","9","46","1","0","0"
"881f6d7ee1e6521a7cc1b23f057a7f030ecbcef8","2018-09-11T22:19:43Z","0","0","0","0","0","1","0"
"b38a3c0ed36a69a5bba218d678c6da199bf92adf","2018-09-11T22:19:23Z","0","0","0","0","0","0","0"
"120b130961cdbd8731d313f5d8251132aace5342","2018-09-11T21:58:52Z","0","0","0","0","0","1","0"
"9d593f03c0df3a214898a630639a6f3a85bdc654","2018-09-11T21:17:37Z","0","0","0","0","0","0","0"
"5e7659afe6512f1d20a69a5e6ba069c3e74ed363","2018-09-11T21:12:44Z","22","234","283","517","1","0","0"
"02f0fdd492eb727bf45afc0a285c704903fc175b","2018-09-11T18:20:35Z","3","121","69","190","1","0","0"
"415f5c3bdf74363a4027f25e6ea939a3915367b3","2018-09-09T08:37:26Z","3","22","1","23","1","0","0"
"bc7c9eac2d97761df8c4be976b5a1ad00d785769","2018-09-09T02:20:19Z","1","8","2","10","1","0","0"
"25be132f6c80c18d6b1fc6338d021634ef7930a6","2018-09-07T22:54:56Z","1","2","6","8","1","0","0"
"f5ee481c8787960d8b91cd3f2d33c47295de7e85","2018-09-04T16:54:43Z","2","25","0","25","1","0","0"
"2ed781b98b42660076f8a965608a91b0febec488","2018-09-04T00:10:46Z","1","1","1","2","1","0","0"
"6f3189fb94f0c1a647a5ada605c505e00caf51f5","2018-08-26T03:29:28Z","11","217","182","399","1","0","0"
"db032333e5e094fd96bbb82d36e851bc14b7a5ad","2018-08-25T23:33:53Z","11","217","182","399","1","0","0"
"a52f432da93333bc98bc38854af9ef7c5dc30626","2018-08-25T21:58:51Z","26","270","151","421","1","1","0"
"466781f8feca2418e5d36eb45aa0cc0a7d8e1b62","2018-08-25T21:48:36Z","26","270","151","421","1","1","0"
"589b0d617f9ba0b0e3e1834483810f9d19a874b4","2018-08-25T20:18:08Z","0","0","0","0","0","1","0"
"dc07525f37ac5eb22f166acb1dd6d879d6f7d422","2018-08-25T20:10:17Z","0","0","0","0","0","1","0"
"2c2407eea6be6e557620b8e844d920747e8c9501","2018-08-25T14:41:36Z","1","3","1","4","1","0","0"
"c07445bd4a0ece40e11b74bee7eba5584a6e4802","2018-08-24T04:01:47Z","8","35","32","67","1","0","0"
"10c819ff0710a6d1f68edd276261c71434c01574","2018-08-24T03:50:06Z","8","35","32","67","1","0","0"
"3f1bfeb06a29cbe9c0fadfba50212b924f0bb4a7","2018-08-24T00:16:57Z","4","274","248","522","1","0","0"
"6b5dc0f442d603590c543f6780f8fd05ff86e112","2018-08-23T23:53:37Z","1","2","0","2","1","0","0"
"933a37d7004e8fb1fdefb2ec38c2006b6f7b5413","2018-08-23T23:53:37Z","2","9","19","28","1","0","0"
"b96812b28c25deebdb76b444b535ff17c42feedd","2018-08-23T23:27:08Z","4","267","233","500","1","0","0"
"e893b53ee54c26da9bba4c0eeba7050bc3768089","2018-08-23T06:37:16Z","2","73","16","89","1","0","0"
"49ab80ebba5c8e1f814dec65f8958a6bbe5db7e5","2018-08-23T06:17:30Z","2","73","16","89","1","0","0"
"4769bf12f9b19f66d9ecdc9b130e3288dd034acd","2018-08-20T15:43:06Z","3","65","17","82","1","1","0"
"81be14c02d29e2ea6cc260855c14c47d2ae27850","2018-08-20T15:14:06Z","3","65","17","82","1","1","0"
"e2f6f11b0ef7785c47b67bfd737f29104f1f5822","2018-08-20T15:01:21Z","1","15","1","16","1","0","0"
"1bd77268671e8b20ca3cf7fde6ed411e197eef48","2018-08-19T22:19:17Z","0","0","0","0","0","1","0"
"383565e3d8307d97bd9be1a83f4559ba954ee079","2018-08-19T21:47:46Z","0","0","0","0","0","1","0"
"99cc85e769c8a7fa4e79ab30e0d5bea6c6277c26","2018-08-19T21:38:41Z","1","15","1","16","1","0","0"
"b6fde29ba4431a2e68f480c98796f9ba0f88ce12","2018-08-19T19:29:58Z","0","0","0","0","0","0","0"
"1cf433de22be8b6ad6af454c503c95193c1cb015","2018-08-19T19:22:10Z","0","0","0","0","0","0","0"
"4e0cac10beec73065f25d45404fc93e6e92baf56","2018-08-19T19:20:35Z","0","0","0","0","0","0","0"
"34e1f3919e17854d006208fe3b14766b4016733c","2018-08-19T18:02:54Z","0","0","0","0","0","0","0"
"5efd60721935df4f3a7a57ca61859f9f3bff9eb8","2018-08-17T00:20:39Z","11","32","239","271","1","0","0"
"5cef77a7723403c8037b7561fb6745210d971c4e","2018-08-17T00:20:23Z","0","0","0","0","0","0","0"
"67b5122dfdebf633c379383766cccf110f083d88","2018-08-17T00:04:40Z","0","0","0","0","0","0","0"
"92e30701421c771b1a93b58c68c80f645947feb9","2018-08-16T23:52:04Z","1","9","0","9","1","1","0"
"82084a63799e7f1feed6e04a422a7a580b82ea9b","2018-08-16T23:46:01Z","1","9","0","9","1","1","0"
"c67274a612ae91f4b94d6e69b12f2cf833f24937","2018-08-16T19:48:02Z","11","32","239","271","1","0","0"
"43df72ea0e6460fed29592faeec0a2eb1e089a61","2018-08-16T13:02:06Z","1","4","0","4","1","0","0"
"01b192026d5bfcc424ea45ab55ffda14f48b0880","2018-08-16T13:01:03Z","0","0","0","0","0","1","0"
"1c87bdeef01289f71db571bbbcd30b5376847af2","2018-08-16T13:00:48Z","0","0","0","0","0","0","0"
"c5df1bcf1e8a5bf7e0b2e572785ef5c8c69a66fd","2018-08-16T13:00:12Z","0","0","0","0","0","0","0"
"0bfac1bf87f02dbf80962ead31811c68550b9077","2018-08-16T12:59:38Z","0","0","0","0","0","1","0"
"45674f0294d376448d7dbd7219ad6239b6db71cb","2018-08-16T12:59:01Z","0","0","0","0","0","1","0"
"662505dbabd0830a67c8efb96abc9ca132d3b822","2018-08-16T12:58:18Z","0","0","0","0","0","1","0"
"0f544881bf174af282704cdd290227b86637830c","2018-08-16T12:58:03Z","1","1","1","2","1","0","0"
"457232dca48225c072c00c4891bb81888f0dc2ac","2018-08-15T23:22:29Z","0","0","0","0","0","1","0"
"2b80b9324b6cab2110ca077514244fef299773c3","2018-08-15T23:19:22Z","1","4","0","4","1","0","0"
"05b88b54aae6e4d04a95fa72581e8e3717a3760c","2018-08-15T22:52:50Z","1","1","1","2","1","0","0"
"0db1d86187c775e40cbab8e6442eda2ee850b7a1","2018-08-15T02:22:44Z","1","1","1","2","1","0","0"
"acb40feecf5faaf328db84fd1264612b3a7e5b5a","2018-08-15T02:13:22Z","1","1","1","2","1","0","0"
"c41d6771dd0a5bf1eba20096096f94412e500c0e","2018-08-10T21:49:56Z","0","0","0","0","0","0","0"
"f0dd50c0d0b90ca09e135ac851f7f30c465f3946","2018-08-09T23:58:11Z","0","0","0","0","0","1","0"
"6a100eb86ad2b60e68442ba38e4ef65696b6a269","2018-08-09T23:57:25Z","0","0","0","0","0","1","0"
"6fca6f1a499e5ec6324f3a4d7a169302f43c5629","2018-08-09T23:54:11Z","0","0","0","0","0","1","0"
"39223a03182430bef935710065bc2bde6128b962","2018-08-09T23:53:25Z","0","0","0","0","0","0","0"
"5c98e036b4d201b9bbe36fad6f1835e3787dcdf4","2018-07-08T23:18:15Z","15","41","90","131","1","1","0"
"5b06aebb4b3e5206bdcc6678d0dc377c9cb1a80c","2018-07-08T22:58:25Z","15","41","90","131","1","1","0"
"82dbf676cdbb588d58b31db9bb6ac61c470f4574","2018-07-08T22:57:15Z","0","0","0","0","0","1","0"
"03c1bf38cb0f91bd229968dbcfae46899f13901d","2018-06-19T17:42:27Z","2","5","5","10","1","0","0"
"31779ac2cb971c4534cc17bd437fab1aa0083d3d","2018-06-19T17:42:09Z","2","72","46","118","1","0","0"
"f71004720bcbdb74457ab10fecff4591f1769e12","2018-06-19T17:28:39Z","2","5","5","10","1","0","0"
"011c60668e16e9f337da4ad1d15e1f0d57efff11","2018-06-19T17:21:59Z","0","0","0","0","0","1","0"
"ec1e0e352e383223238938ce63673052526c7d7b","2018-06-19T05:11:07Z","0","0","0","0","0","1","0"
"dfbf3c1cd5c6c3f296b62beb1c697d8054888dba","2018-06-19T02:41:47Z","0","0","0","0","0","1","0"
