"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"eddcea5c0c7d624ad63baa20e746b41090db2b56","2018-10-01T22:17:41Z","0","0","0","0","0","0","0"
"9bbe317d739045751310550dbe655a550ae40fe7","2018-10-01T18:26:06Z","0","0","0","0","0","0","0"
"af840474aaa30fc3135687e7b6350edd95bded2f","2018-09-27T18:54:24Z","0","0","0","0","0","0","0"
"1b20221b962cbf9f66839ad94980b02310910ca3","2018-09-25T22:01:27Z","24","29","58","87","1","1","0"
"6f23c2bffa9fcfa1defd59fa4cb46723c8b54eb1","2018-09-19T22:31:19Z","0","0","0","0","0","1","0"
"1804a7bae15f9049c8919abb865334a9522071ec","2018-09-19T22:30:59Z","0","0","0","0","0","0","0"
"3c2a1684eba8f43e65cff3fe7b0da52ca5f88fa4","2018-09-14T15:30:39Z","52","2191","88","2279","1","1","0"
"a79f1ec859e32f67f31decd6c88b6c681c7efda8","2018-09-13T22:49:26Z","0","0","0","0","0","1","0"
"d301a8c95859c8bc5f98aee5c522c5171c0b7065","2018-09-13T21:01:27Z","12","623","168","791","1","1","0"
"4003f8a68abed581956000ad40d9541bcd701b13","2018-09-13T20:14:29Z","0","0","0","0","0","1","0"
"594579b8cecf6156c8a258f5cddf82cd7508ce1e","2018-09-12T15:37:50Z","28","1037","66","1103","1","1","0"
"ab0315ab4c7a630ca9c0b8d2a28cdf9c997a3fc6","2018-09-11T23:34:36Z","2","8","15","23","1","0","0"
"d466c828b7ed47dde08b92152e43a0cac08b00b8","2018-09-11T22:38:54Z","0","0","0","0","0","1","0"
"7e8fc931dbfe1f540188195dd4ccb71225d849de","2018-09-11T20:21:10Z","6","122","0","122","1","1","0"
"a86a500aff9a8b1ef945145dc651de18654d930a","2018-09-11T17:51:41Z","1","7","16","23","1","0","0"
"0f89f8d620847dd13d4aa2cc52a4217a9996fe3a","2018-09-11T16:51:20Z","6","206","8","214","1","1","0"
"0b1494f28bdfe8a545b1bfb3ffe279f05b0dd94d","2018-09-11T16:24:46Z","8","347","6","353","1","1","0"
"4c7982c944660c9d78470f75009abc0b44bcc72b","2018-09-11T16:24:37Z","4","161","5","166","1","1","0"
"367fdbe539f529e3173eb7b51d6b95ff306f7e12","2018-09-10T21:11:02Z","3","210","3","213","1","1","0"
"fae27e4195dfb749a8fcc96f92a6954e1561ec7f","2018-09-10T19:42:27Z","8","321","20","341","1","1","0"
"1379602ff948ec02ce66c31af13df45519a39685","2018-09-10T19:40:07Z","0","0","0","0","0","1","0"
"83e7d91388e35f750c6d3dc0d00167e0a4987556","2018-09-10T19:39:57Z","6","173","5","178","1","1","0"
"8451cbc8f4453dd4533d15687dbdc2fbf965a7c1","2018-09-10T19:38:32Z","10","758","22","780","1","1","0"
"1d7459bce702334d3ad212954b5522e2b52ce763","2018-09-10T19:35:56Z","5","103","2","105","1","1","0"
"2ef64f4925f9496bc63a6a3147caa5962e2c597f","2018-09-10T19:35:00Z","4","145","1","146","1","1","0"
"5c9982d4296136ee8617cb1f428af076ba67673f","2018-09-07T21:52:38Z","7","328","17","345","1","1","0"
"e1e8816bf502c7af46537edf668e006e349faf9f","2018-09-07T20:51:18Z","28","1368","75","1443","1","1","0"
