"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"fd87a3475aedf64243fc0cc5f225dcbf2484bbab","2018-09-29T11:06:45Z","0","0","0","0","0","0","0"
"4ad36ab927e8e469e97468b37217fccfd4993bcd","2018-09-28T12:32:58Z","0","0","0","0","0","0","0"
"501d4ad8deb013f36abda18794fbf58c04bd190b","2018-09-26T11:56:00Z","0","0","0","0","0","0","0"
"fafe4c119230a7378ab18ea1dd0634d8eb55a538","2018-09-26T11:54:37Z","0","0","0","0","0","0","0"
"8599fcc5802872c90a361218340fc0aa5e4fb3c3","2018-09-26T11:53:33Z","0","0","0","0","0","0","0"
"e2c49e04eb4c3e1bb897828cad575b068b5e5183","2018-09-25T06:53:20Z","0","0","0","0","0","0","0"
"1bc6d5bff0657fe35c95bd7f98a8ff643700d1f8","2018-09-25T06:45:48Z","18","503","73","576","1","1","1"
"0f697d0703723b9954627c388b08bd6925acff72","2018-09-24T20:58:41Z","4","57","3","60","1","0","0"
"471df065c8f6057a6ac54f38d7014958c242496a","2018-09-24T18:18:01Z","0","0","0","0","0","0","0"
"a0483933c333d9a3eb899303959f550b6685838c","2018-09-24T16:16:15Z","0","0","0","0","0","0","0"
"bdbc2564ba113e1316306333febb1763b1003aaf","2018-09-24T16:11:48Z","0","0","0","0","0","0","0"
"6787cf48d2ceaa7590053e9625ab3721a49de6b8","2018-09-24T14:32:34Z","0","0","0","0","0","0","0"
"0fea2e21cc69cbd304eef79c5c54a610e1a1c769","2018-09-24T14:30:06Z","0","0","0","0","0","1","0"
"408fb5b23d582932e6371b57146ae571deaaf9f3","2018-09-24T14:22:32Z","0","0","0","0","0","0","0"
"816e95bb28e1a30d849964f22a24e36202dfdb40","2018-09-24T14:22:19Z","0","0","0","0","0","0","0"
"421fd039fe5745d6119113b936d9111966307705","2018-09-24T14:07:05Z","0","0","0","0","0","0","0"
"2d311ff1866977d77d6b0018dbc2a7a2ee511040","2018-09-24T13:49:16Z","0","0","0","0","0","0","0"
"9f65f52f289c91b717ad094119bc193a92d2cff1","2018-09-24T13:25:09Z","0","0","0","0","0","0","0"
"8cd958e0c4acc3a1447533a183c098d834367898","2018-09-24T13:16:36Z","0","0","0","0","0","0","0"
"d7c943526b27761f54a00427a623ef1c81b9f790","2018-09-21T23:07:42Z","0","0","0","0","0","0","0"
"3cbe9385fb7a410b7cda94336416f1d9f4a28b06","2018-09-21T23:07:21Z","0","0","0","0","0","0","0"
"9615668ae7290bbfab43c0feb26597c9976d533c","2018-09-21T20:33:26Z","0","0","0","0","0","0","0"
"f0c18b7c2074bb88a92df526525dcf8845afd854","2018-09-21T20:13:16Z","0","0","0","0","0","0","0"
"b6b3b3173bb6369001bf4bfeec5e0bca89793fe0","2018-09-19T08:11:09Z","0","0","0","0","0","0","0"
"3adaffbcb5659843a7a7cd146078c5a6fd202922","2018-09-16T10:04:14Z","0","0","0","0","0","0","0"
"fe3ac34093d8e4158b7bb154b96aa114cf5a77e9","2018-09-14T21:17:05Z","0","0","0","0","0","0","0"
"a5c67376af4bdddef163480441cc773004b86471","2018-09-14T19:37:20Z","0","0","0","0","0","0","0"
"c29715f238df001cb80d17373f0bda8b170c065d","2018-09-13T15:58:46Z","0","0","0","0","0","0","0"
"495802333c5c356a2876ca711a648131a80043a1","2018-09-13T15:57:27Z","0","0","0","0","0","0","0"
"e5afe48913816ab124cc89e54e747545bef30243","2018-09-13T15:57:18Z","0","0","0","0","0","0","0"
"ace99ff83fcf494267c5817da293033c9cc9f194","2018-09-06T14:33:15Z","0","0","0","0","0","0","0"
"d4b4ee116861919d0ba70f3edea774d1ab252182","2018-09-04T08:31:08Z","3","4","4","8","1","0","0"
"652ea5f171cf243c763bb46a8dedf10638ddf42c","2018-09-03T13:11:43Z","1","7","5","12","1","0","0"
"e12310869ebefb1a264abb593126a52481220c7e","2018-09-03T13:11:09Z","0","0","0","0","0","0","0"
"1c9e83dc943bb9a6dde5b90ba73b643b98061c13","2018-08-24T13:13:39Z","0","0","0","0","0","1","0"
"843cbf4ff685a3f211f3b5c31613943d1672bb88","2018-08-24T13:13:12Z","0","0","0","0","0","0","0"
"ee92cab64dc398aaf71fabca80eb370e17da23bc","2018-08-15T06:59:59Z","0","0","0","0","0","0","0"
"d17ffb86c5dec08c38aac11005bf152bd5e794fb","2018-08-14T15:06:10Z","0","0","0","0","0","0","0"
"da8e79cd7aa2d62fb1209892c83c440b8f80e0b6","2018-08-09T12:25:37Z","0","0","0","0","0","0","0"
"1da60b2feb260748a3da268486717d854193e7b6","2018-08-09T12:24:25Z","0","0","0","0","0","0","0"
"851e6dc57b2bbf5839ed50eabe5e3f557ce20b76","2018-08-08T14:42:31Z","0","0","0","0","0","0","0"
"06988e65667ba16fbfb415fdd500c7c81123a32a","2018-08-08T14:40:59Z","0","0","0","0","0","0","0"
"ee8ab0fe13a7dc5e0ced7f1385387c1fa286b7ea","2018-08-07T13:12:00Z","0","0","0","0","0","0","0"
"ae35e4f2169a01f481ada98a00ceeccc94aa6e56","2018-08-02T15:13:38Z","0","0","0","0","0","0","0"
"a5a93a73c29bdeced8620bb71c0b86ce49a86f1d","2018-08-02T01:45:42Z","0","0","0","0","0","0","0"
"03478f62329b56dded7ef3bb1b8248ee4efa0028","2018-08-01T08:42:58Z","0","0","0","0","0","0","0"
"f9da44fb0a77308800a1b16e9f6b667082301450","2018-07-30T20:24:57Z","0","0","0","0","0","0","0"
"83c26fd01cb5b6b559fae22a2441a858f70b41a7","2018-07-30T20:13:29Z","0","0","0","0","0","0","0"
"68bf3d03ed7a34cbb31666abbf3a45287882cd1c","2018-07-30T17:39:10Z","1","1","1","2","1","0","0"
"e41a6e2b583e839b64c02f8148eba95703bdaaa7","2018-07-30T16:49:00Z","0","0","0","0","0","0","0"
"0fe7906c371000525856e331b5b594cb48cc6215","2018-07-30T16:46:38Z","16","448","79","527","1","1","1"
"9ac03d0222c548643c85bebb3c345fb454e55cf5","2018-07-30T16:42:33Z","4","57","3","60","1","0","0"
"b8132bf8ab00fd8f6d25d1babef2e7cd9c5a3079","2018-07-30T16:33:30Z","4","57","3","60","1","0","0"
"860662e0b0e5668503fd6119867abf62b789f677","2018-07-23T17:26:36Z","0","0","0","0","0","0","0"
"3c1b47ca9ba98f2481f1a920c4f20e9431a57fa5","2018-07-23T12:58:51Z","1","4","0","4","1","0","0"
"6edd31682a68d66830d97edb853e013a6b5afa0f","2018-07-20T19:02:34Z","2","9","1","10","1","1","0"
"074963544a099d62695fb1977e82538362495d57","2018-07-19T19:07:55Z","1","1","0","1","1","0","0"
"63c62b0fb193943913ec51f3ffc553bb7944d26e","2018-07-18T13:26:30Z","1","8","1","9","1","0","0"
"07496bb17b641c8b2732615ad40ff6d77b0acb5a","2018-07-16T11:14:12Z","0","0","0","0","0","0","0"
"cb05f6a50346f92800ce77853cf8cb30971312a3","2018-07-13T19:19:25Z","0","0","0","0","0","1","0"
"538f9faf381162896aee72ec50b5bf71fbbcd027","2018-07-11T09:10:38Z","1","2","2","4","1","0","0"
"0577e9950414bb37375113b0bc80bcf407958da5","2018-07-11T08:58:34Z","1","8","1","9","1","0","0"
"5489c7da9482a1e885904f9b309b369918e5b493","2018-07-10T22:02:04Z","1","4","0","4","1","0","0"
"228239baf6609817a281222261ac5c71c04b1a92","2018-07-04T11:29:17Z","1","8","4","12","1","0","0"
"56c807bdebc0e558f0a1580d09ef7188cdcdc83b","2018-06-30T15:00:35Z","1","8","4","12","1","0","0"
"236758147d558b67f0caef808325985edcd2f633","2018-06-29T14:43:21Z","2","20","29","49","1","0","0"
"0b816adbfda6edb5d6db088e35a0689ee2175297","2018-06-29T14:35:41Z","1","6","4","10","1","0","0"
"5b97763e492f54db2f71f935a997b8c0c03eb608","2018-06-28T21:53:55Z","1","6","4","10","1","0","0"
"cb62502a47c1b00a251a1aade2f6f3321c4e8988","2018-06-22T11:42:21Z","1","5","1","6","1","0","0"
"8e1a71dc286cb8bcaa6e3a41e0cefd7c59d492cc","2018-06-19T14:43:08Z","1","1","1","2","1","0","0"
"aca37d30e529444adfa6429c71635ddb663df8b5","2018-06-19T14:04:42Z","1","1","1","2","1","0","0"
"5f9a3e71271422f16de362f9d7567355f783fd11","2018-06-18T16:51:42Z","0","0","0","0","0","0","0"
"d36835ce5e9a6a4551c560575cbc1f29ba81a7f6","2018-06-18T14:49:43Z","0","0","0","0","0","0","0"
"cba518e9479c8cb515d6701b6b27bb2b3b9ebd63","2018-06-18T12:39:26Z","0","0","0","0","0","0","0"
