"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3b764bd280ba146ea266da62d0bb3e6639b1eb17","2018-09-30T21:30:04Z","0","0","0","0","0","0","0"
"aaf74c9a97dc0f04c4481e0c2f9766438ba56d01","2018-09-30T19:48:59Z","0","0","0","0","0","0","0"
"ad99f97c84126ad1a66b5718d98f2adfaf3beb16","2018-09-23T22:41:30Z","1","6","112","118","1","0","0"
"35597ed7720ef01abe1c111e22308468e605cf01","2018-09-22T10:11:28Z","3","6","6","12","1","0","0"
"ff47aa490750bd43fc81b450ddced4c754186c47","2018-09-21T01:52:41Z","0","0","0","0","0","0","0"
"9ea7d478692ef7756afa5eaa91d190a0d50776b8","2018-09-21T01:50:33Z","2","13","13","26","1","0","0"
"2219317513ced6b6dc06e0faec42de4e003dbed6","2018-09-18T13:09:52Z","2","13","13","26","1","0","0"
"2bde9c9c04ecf07ef3bd565168d58257f0cb0f32","2018-09-15T23:19:31Z","0","0","0","0","0","0","0"
"24c375fe4319a9e597ed25a8460879d5f4b23d42","2018-09-15T23:19:22Z","1","2","2","4","1","0","0"
"de63d0b3f59ef6c45a03a8b25a9a00b3b5faacde","2018-09-15T18:21:36Z","0","0","0","0","0","0","0"
"e57e16ded8b46bade31922eb298393142b322270","2018-09-15T18:21:28Z","0","0","0","0","0","0","0"
"2dae34054a6cd174a9879051fbd82ace53cd7e5e","2018-09-15T18:20:38Z","1","1","0","1","1","0","0"
"a98524aaded9d0443e9d8e649d66f136df4a29a3","2018-09-15T17:34:03Z","0","0","0","0","0","0","0"
"18bab897be061caf55c4dfa5c6fb47f358978975","2018-09-15T16:15:48Z","0","0","0","0","0","0","0"
"bf3fc3d677cc8d68804831695d9fdfdded3359a3","2018-09-15T16:11:17Z","1","21","11","32","1","0","0"
"696f9bb2614cb6e72e1fc0631237e63ee59e97da","2018-09-15T16:10:48Z","0","0","0","0","0","0","0"
"d80f7f8f1331920563b173e9e9a8a3b2d0b7cd1e","2018-09-15T16:09:58Z","17","1329","122","1451","1","0","0"
"bda5c7b30c797309c27053fe595922c32153659d","2018-09-15T16:08:30Z","0","0","0","0","0","0","0"
"79df4a90535ace037b3653ac5c0a699b1d790a24","2018-09-15T16:07:24Z","17","1329","122","1451","1","0","0"
"c39b3267f1b970112fd96a5608ad2cec931ac277","2018-09-15T16:03:28Z","5","10","16","26","1","0","0"
"7e42a99cf3f01ca7f0ff69617d9903448ec3f8a5","2018-09-12T22:29:15Z","3","42","12","54","1","0","0"
"c0f51d81a896d4aee95fac9db6cf3d7180746499","2018-09-12T17:37:00Z","0","0","0","0","0","0","0"
