"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1ef435a864bac010f16b53742d0c033a43871e6b","2018-09-29T00:46:57Z","0","0","0","0","0","0","0"
"1be0db4777cbe5fdb62e7b272940f3a2e851d569","2018-09-29T00:09:21Z","0","0","0","0","0","0","0"
"8bda6546e878f31d0e8eb778e099d703ce646dd5","2018-09-28T17:30:24Z","0","0","0","0","0","0","0"
"53ed7e168e931b8696ac1bf525a3fd4823646666","2018-09-27T23:07:16Z","0","0","0","0","0","0","0"
"fae09eb4cf7c9857c9eaf2ff9f32082ed2a8076a","2018-09-27T23:07:11Z","0","0","0","0","0","0","0"
"75e3a77d591c0a3fcb749366d798c071c76e9d53","2018-09-27T23:03:45Z","0","0","0","0","0","0","0"
"d9eef0fd512223d4bc7cd9b9a4b8d3484ad2ac5f","2018-09-27T20:55:57Z","0","0","0","0","0","0","0"
"95cea768a147f812cc6852348f4908647f88792d","2018-09-27T20:55:18Z","0","0","0","0","0","0","0"
"2e3ded763a9df2acdbae36450d392345554a678d","2018-09-23T07:51:18Z","0","0","0","0","0","0","0"
"6a011e11889a7d11bb39731b0dc56c0e281c370b","2018-09-23T07:51:10Z","2","5","0","5","1","0","0"
"584559ea7599e90eb294020c2db888f11fe2fde1","2018-09-22T22:03:22Z","0","0","0","0","0","0","0"
"458c0829b33d32199b84d9317574920fa66a58c6","2018-09-22T22:02:35Z","0","0","0","0","0","0","0"
"ea4c732c9593e5db24b1d46d6284a7977d5001f7","2018-09-22T22:01:51Z","0","0","0","0","0","0","0"
"ffe0806bf861d3a4a1ac65705455e0526023a4a9","2018-09-22T22:01:17Z","0","0","0","0","0","0","0"
"5e2b49c34377c10668681ea4a232580a03e189d5","2018-09-18T07:45:12Z","0","0","0","0","0","0","0"
"d7efcf315faeb7711b85f639d06030e726a7fd39","2018-09-13T13:49:49Z","0","0","0","0","0","0","0"
"b0c0ac10f437a40b4d7d6184d21cdbbdea2886ed","2018-09-13T02:42:11Z","0","0","0","0","0","0","0"
"44b626aaaab82d027a9204752d0ace3790d52662","2018-09-13T02:41:03Z","1","4","0","4","1","0","0"
"5e360608af485bdec2ddaf61b782e4c5a76d63c5","2018-09-13T02:38:11Z","1","4","0","4","1","0","0"
"b5142460ac02382d0cf32118cbdfb382a8f81371","2018-09-12T20:39:56Z","1","1","0","1","1","0","0"
"a135dd346e5e847e1f0d4c864ea57a67881a3848","2018-09-12T20:01:28Z","0","0","0","0","0","0","0"
"bbacb953458fffc38cba846d1e5b27e3066e78f1","2018-09-12T08:27:36Z","0","0","0","0","0","0","0"
"33d9acdf5de831198f3a36202a6e8bbc565da260","2018-09-06T19:56:36Z","1","1","0","1","1","0","0"
"00174b63b8f2c9081fc151455973137bf51b52a2","2018-09-06T08:44:27Z","0","0","0","0","0","1","0"
"443bf88c63d315bbe82501b8c662f64a4d40c439","2018-09-04T23:05:45Z","0","0","0","0","0","0","0"
"0580f2710fa96ad3557a8d3ef3bb28e6f35489f3","2018-09-04T22:26:56Z","0","0","0","0","0","0","0"
"77c48c9dfc3d3718f9319705c51bdebf86948af9","2018-09-04T22:19:32Z","0","0","0","0","0","0","0"
"37c31a3c92a6d0e884e0cf5732faeea56d115cc4","2018-09-04T22:17:54Z","0","0","0","0","0","0","0"
"3b0d4592303e41cf4ba0ed69c450970755e91f90","2018-09-04T22:17:19Z","0","0","0","0","0","0","0"
"f45d6a2c3e63e9904f9472325ba2dcd960504a88","2018-09-04T22:15:30Z","0","0","0","0","0","0","0"
"3ba26eb45a7b6602c5051e2a20e272afcad25852","2018-09-04T22:08:56Z","0","0","0","0","0","0","0"
"3c0323fbb0a4cfb3ec2d4eede93bbda8ac0d71f4","2018-09-04T02:02:52Z","0","0","0","0","0","0","0"
"536bdc474d80fadc68604c2f12a32375bb9e32dd","2018-09-04T02:01:12Z","0","0","0","0","0","0","0"
"470595498aeb9ed02a9875185f1a02e87d90c5af","2018-09-04T01:31:18Z","0","0","0","0","0","0","0"
"be5a588b7682017c518acf3aa28661f307c4fdd1","2018-09-04T01:31:04Z","0","0","0","0","0","0","0"
"a0c196f4c974e3741705a9563da79664411d0ba1","2018-09-04T01:30:30Z","0","0","0","0","0","0","0"
"3d40935cc192a95331e7a002f272eb8bca8df5b9","2018-09-04T01:30:19Z","0","0","0","0","0","0","0"
"09d0db21bb5bb62be70ba7c612c9f4599d25f04f","2018-08-28T02:09:05Z","0","0","0","0","0","0","0"
"69415e2a69aa7e43e16a9a545c0e873e66eacf03","2018-08-28T01:20:49Z","4","60","0","60","1","1","1"
"03734bbe521ee2e07db0ade2fb0216afeff7cc46","2018-08-28T01:19:37Z","0","0","0","0","0","0","0"
"b6512e4316daa6f9b34657625a20233c40fbf9a7","2018-08-28T01:19:15Z","0","0","0","0","0","0","0"
"152978d11151d374e3f894229a95cb8303c3cc89","2018-08-28T01:17:15Z","0","0","0","0","0","0","0"
"67a388911d3a1bd87478d49922848f2af768405a","2018-08-28T01:16:59Z","0","0","0","0","0","0","0"
"b6ee8f7fed86d54dc6ee1f648de685e84985eb62","2018-08-28T01:05:41Z","0","0","0","0","0","0","0"
"a26dc264b289164f6d1f28c2f08147a3d44ba6b2","2018-08-28T00:55:33Z","0","0","0","0","0","0","0"
"444581d205e75fea70c618b9263b36a11ced58d7","2018-08-27T23:25:05Z","0","0","0","0","0","0","0"
"994da821e04a5e8dd26bbc1b1512e3fbb9bd0e20","2018-08-27T23:22:13Z","0","0","0","0","0","0","0"
"7b8f79b36a6eda1452b3cab1f35165f2ebcf9769","2018-08-27T17:42:49Z","0","0","0","0","0","0","0"
"7d805f13633f5a93d343ba6930ee99994423f57a","2018-08-20T18:52:06Z","0","0","0","0","0","0","0"
"f7fd5dc5b70c5394cd1ab826c29083d26f9555eb","2018-08-16T22:32:36Z","0","0","0","0","0","0","0"
"887010f291266d9e8f53ec3a525ee4a602d6ed27","2018-08-14T17:29:01Z","0","0","0","0","0","0","0"
"5b3f08781e728e126d5da0908ea6039e48ce8f88","2018-08-09T16:58:57Z","3","132","35","167","1","1","0"
"f41831ceacb1377c90649be3aaaaf3e6c9e36078","2018-08-09T16:58:03Z","0","0","0","0","0","0","0"
"86d655c3d1c8a81f6b841d7379ba624903440b32","2018-08-08T22:37:18Z","0","0","0","0","0","0","0"
"8084b160d5c48bd0874ee2d16b0318c8d6721a9e","2018-08-08T22:34:07Z","0","0","0","0","0","0","0"
"9d228353438a39381009af1d7bee456ced012da6","2018-08-08T20:56:11Z","0","0","0","0","0","0","0"
"53c5afeee988e2b737546a8d49f95c742c22c9c8","2018-08-08T20:43:47Z","4","60","0","60","1","1","1"
"7dc9e85793b7b2e11c04a1cb25a57d0c16b91040","2018-08-08T20:29:58Z","0","0","0","0","0","0","0"
"7bc58b9a830aa6405c8c01226b4ddc0f78d0126c","2018-08-08T20:29:42Z","0","0","0","0","0","0","0"
"8dbc2554dcd11da518eeb21538a4cecc672485b1","2018-08-08T06:12:09Z","1","27","24","51","1","1","0"
"40cafdcb2edf60a8a331bfcdf2c15c1392b85136","2018-08-08T06:10:03Z","1","27","24","51","1","1","0"
"9dc218c7a1e58c67ff1f1074c515b181f5cc849c","2018-08-07T18:43:09Z","0","0","0","0","0","0","0"
"4fc0aab31c682f6ffcef509e8795ba0706b97833","2018-08-07T18:37:11Z","1","55","2","57","1","0","0"
"ca3e49a1957d09ebc1c2e9485d6a539a3556c14e","2018-08-06T22:28:55Z","4","60","0","60","1","1","1"
"f0ee82122503fcbe9ddef5bc2813d456ba96a154","2018-08-06T21:23:33Z","0","0","0","0","0","1","0"
"8d5f81a494277a8a70e03ba5a877da49075a9845","2018-08-06T08:40:11Z","0","0","0","0","0","0","0"
"8fcdc6e02a98e5cfaee98c6f327b91ebe432fdc6","2018-08-06T08:39:39Z","3","50","9","59","1","0","0"
"38ba3735ed3be97f5be0511b1ba3449a619679a8","2018-08-06T08:21:27Z","0","0","0","0","0","0","0"
"ba159c3fa74a90472694de58f54af3d7e37eadc2","2018-08-06T01:31:33Z","0","0","0","0","0","0","0"
"4419b2897d4a03e833243d47ef58237dfe4add52","2018-08-06T01:17:11Z","0","0","0","0","0","0","0"
"84dc9f57d86d1fe6ee074e9b7f8a18ff91ebc286","2018-08-06T01:16:43Z","0","0","0","0","0","0","0"
"1cc38d1a9c22a6a635e780e98633457ee51ee1c6","2018-08-06T00:36:17Z","0","0","0","0","0","0","0"
"7854a23d13376054ff7b98fae9b3b7089ad9b998","2018-08-06T00:35:15Z","1","7","7","14","1","0","0"
"3a1d81930e271ffac13ceaba680cb7befc0c7b12","2018-08-06T00:34:16Z","1","3","1","4","1","0","0"
"bd48a001c00a8f7af7ca790ed50c318e59bfff6a","2018-08-06T00:27:49Z","1","3","40","43","1","0","0"
"c9e2ba0547a9a73f12366b4faf76c1f4ea9bb3fd","2018-08-05T21:06:25Z","0","0","0","0","0","0","0"
"55e0e4dcfa7f67cdc28ea53738dff46344a9ed04","2018-08-04T21:28:33Z","0","0","0","0","0","0","0"
"91194edbc9a6352326a8bf00d390cf58419ff99c","2018-08-03T23:09:57Z","0","0","0","0","0","0","0"
"1d57576c2777adfbbceb2cc7ba7ad73242547cdc","2018-08-03T23:07:57Z","0","0","0","0","0","0","0"
"7c14f416a571aca28102a8c208e1f879c76bc863","2018-08-03T23:05:48Z","2","43","2","45","1","0","0"
"2b99f0e12a7a9f711fe833bbdfcd6f1ac252cc0d","2018-08-03T22:59:23Z","2","43","2","45","1","0","0"
"a60a1277b7849edbb0f2424d6c4629711410e52e","2018-08-03T22:54:55Z","1","1","1","2","1","0","0"
"725497e149cbe2308a3848e9af4dbbbefe9cf210","2018-08-03T22:54:18Z","1","1","2","3","1","0","0"
"9ff16ed550e9ad2572df3a50a068b98a70493bcc","2018-08-03T21:55:46Z","0","0","0","0","0","0","0"
"9def59078bbc00b13336bd87618aa5d381e0fbba","2018-08-02T19:15:04Z","0","0","0","0","0","0","0"
