"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4af5d12138ecd0cd1eaedf23ceb1c0fc0f177298","2018-09-20T04:09:51Z","0","0","0","0","0","0","0"
"6ce8eaffb8385a0229c68dc2b673c9a2c697c63a","2018-07-02T09:34:16Z","0","0","0","0","0","0","0"
"8114017ea6ab4426aff5afb4d300caa7c75b5523","2018-02-07T13:05:09Z","0","0","0","0","0","0","0"
"cbbe9d6fcafb4b8e7c1847e9fc56f110889f9dc3","2018-02-07T12:50:07Z","29","29","29","58","1","1","0"
"e0796d127c47267296e0c61dc7c30052fcdfb3bb","2018-02-02T04:02:00Z","1","20","0","20","1","0","0"
"6f7f760443cd5cac26bc2c5f226d76907901bdb3","2018-02-02T04:01:27Z","0","0","0","0","0","0","0"
"dac9db8d12bbf3a415cf3cc24d5369a6df80b98c","2017-11-21T02:05:34Z","0","0","0","0","0","0","0"
"96dc46cc56791dc49eb221b4c509d22c88f10c39","2017-08-25T00:38:31Z","0","0","0","0","0","0","0"
"1dd8e83b3eefbd1267f7d6b6be3b9118bcc4351d","2017-06-29T22:58:22Z","0","0","0","0","0","1","0"
"b496a294a97e6e631c290c4d8269443f8160319c","2017-03-21T18:51:31Z","0","0","0","0","0","0","0"
"ca6eb1fcaa416fd740a1b205b4aceac69d106837","2017-03-17T22:18:48Z","0","0","0","0","0","0","0"
"effd59ef1e4fa5af20d859cbd0c6e290ccddc5c1","2017-03-17T21:55:13Z","30","54","51","105","1","1","0"
"b5b4d0da0a48846be02448a4b12bdc144e07effb","2017-03-17T21:54:07Z","0","0","0","0","0","0","0"
"10ce5eb2892727b69c47b607ad83e183d62cc368","2017-03-17T21:01:16Z","0","0","0","0","0","0","0"
"e1ac1307e3e308ab48393459fdeb2637590ceba3","2017-03-17T20:55:15Z","0","0","0","0","0","0","0"
"ab2ca66ee3c082ec024f8391349745d8d247be94","2017-03-17T20:54:22Z","2","25","22","47","1","0","0"
"d568e59cbdd4186072dd9160729df974a64799d0","2017-03-17T20:52:37Z","0","0","0","0","0","0","0"
"7dbb374c43cba33aa65c12c667581ef8c1641f94","2017-03-17T20:33:08Z","0","0","0","0","0","0","0"
"54da2bf1a5cfcaa2f4534c7daecd82db4b948126","2017-03-17T20:32:05Z","0","0","0","0","0","1","0"
"de583bd37ee8fcab1b617e869e8c8aecb5a04b1b","2017-03-17T20:31:28Z","29","29","29","58","1","0","0"
"fbd7c745970728399acea1f68f26c35379fceb79","2017-03-17T20:26:03Z","1","15","3","18","1","0","0"
"86b39882b15af912e91d3e13ea01267867ef4c5e","2017-03-17T20:22:56Z","2","25","22","47","1","0","0"
"797956781eb1ad6f8b14fe7b30010b3f78098a67","2017-03-16T22:09:02Z","0","0","0","0","0","0","0"
"6b3864f4e9f067be6f6299486fed359782e07cf7","2017-03-16T22:05:04Z","0","0","0","0","0","1","0"
"0729276becf3bd4213137bca00214d3cf94865c5","2017-02-08T12:44:11Z","2","25","22","47","1","0","0"
"7114ba1e1e057a2d50d184a3563101bf7c4357e9","2017-02-06T15:10:12Z","0","0","0","0","0","1","0"
"563bbcde18e069fb3a55e21c449f4775eca180e2","2016-12-03T16:45:59Z","0","0","0","0","0","0","0"
"18fd3df28c190748dc7e6317440426201053c1f4","2016-12-02T05:19:57Z","2","12","12","24","1","1","0"
"69f1dc9b7ea58bec048d04701ce7df957fec3567","2016-12-02T05:12:36Z","0","0","0","0","0","0","0"
"242fd709f137cd9c4557140e1f44d5966964e64b","2016-12-02T04:51:16Z","0","0","0","0","0","0","0"
"ed7cfa28facccd1f777e98e2cc9d94563191a681","2016-12-02T04:49:46Z","0","0","0","0","0","1","0"
"015e2b84237a65c968627d5732535203f292fe77","2016-12-02T04:48:59Z","2","12","12","24","1","0","0"
"e629e15569916b42f88048d9eb6a96e9eea873c8","2016-12-02T04:36:07Z","3","25","31","56","1","0","0"
"0c6f1f47378e7a58871cc748487e2180bcdf30a9","2016-12-01T01:11:54Z","3","25","31","56","1","0","0"
