"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e2c4d9d3001c38e2cdec5c95c58442c95f170605","2018-09-25T04:20:09Z","0","0","0","0","0","0","0"
"b17347709683ab6ae0869a23db341dcdf4fb5e51","2018-09-24T17:33:56Z","0","0","0","0","0","0","0"
"e111f63e4b708028e29457df9c4eda55068ae8d8","2018-09-24T17:33:56Z","0","0","0","0","0","1","0"
"fac3cb30846f9111ad396a77df234a98514bb9db","2018-09-24T17:33:56Z","1","6","1","7","1","0","0"
"4b790ad5dde1afae2adda7ef123a7624e243d1f6","2018-09-24T17:33:54Z","0","0","0","0","0","1","0"
"e5bc4c66db3cb6e96760f2c64f2f27413fc5f09e","2018-09-24T07:07:19Z","0","0","0","0","0","0","0"
"0ca6b03ca701bcf9b9341ddf3b017fc698b3e859","2018-09-24T07:07:16Z","0","0","0","0","0","1","0"
"e33e690cba6045ab8c0788807b506afb0ad8bc0d","2018-09-24T06:55:23Z","0","0","0","0","0","1","0"
"7227caeaecea154b949bdebf5ae48f7d81441eed","2018-09-24T06:50:01Z","0","0","0","0","0","1","0"
"e86eef73bea630159d022bf9cfa0768fb27c2c29","2018-09-24T06:46:57Z","0","0","0","0","0","1","0"
"c2d7690ef32005b6c6e0713eb13294bf3b910064","2018-09-21T12:22:21Z","7","217","1","218","1","0","0"
"7881211f78de4644c9a9a0d8be11707cfab48879","2018-08-17T08:38:04Z","1","7","0","7","1","0","0"
"a62dd11a42496ec586bb6435fc2d1719e6da22fe","2018-08-15T15:03:57Z","1","1","1","2","1","0","0"
"6458b5c5687baa0d106d8890b6b448292170c578","2018-08-15T14:51:25Z","1","1","1","2","1","0","0"
"9fb7de6fe83826ea8134eb245253cd484a489c2a","2018-07-06T06:31:38Z","1","22","13","35","1","0","0"
"1e5871486e4504cde451340a90f2401642729f8c","2018-06-27T11:08:20Z","2","63","1","64","1","0","0"
"80371c04b9d3e4f5f86dbcd218d7c9ec3b103db4","2018-06-24T08:39:02Z","0","0","0","0","0","0","0"
"68e0bb7fad0b93d52a62d9fd1b1d002104ab7048","2018-05-10T08:02:11Z","3","19","2","21","1","0","0"
"22ea395daa11e204288ef90ef5b531ce3b5b1b75","2018-02-22T23:42:06Z","0","0","0","0","0","0","0"
"0cbcea7715a939999a2a6999858487f5da92f091","2017-12-29T00:10:49Z","0","0","0","0","0","1","0"
"f868b8e35a8ce148bc61a9076f413c649c091f45","2017-12-29T00:08:18Z","1","1","0","1","1","0","0"
"9512c7554e835f27360b9efc89e05da905604686","2017-12-29T00:06:32Z","0","0","0","0","0","0","0"
"2a6d9fc79b3d3f8ddb018edb27a99c12e1a98973","2017-12-29T00:06:04Z","1","1","1","2","1","0","0"
"42f375f959e64e204b43983c7b1f582dc44e2ffc","2017-12-29T00:05:24Z","4","16","4","20","1","0","0"
"37becae619944ea77c9e030012ca4256d9ece918","2017-12-29T00:02:21Z","0","0","0","0","0","0","0"
"304c1cb7a9fc50a9addd0f52edff76afb9d60488","2017-12-28T23:48:29Z","0","0","0","0","0","0","0"
"0afd55d31d1057f47251b08e206f19516150d54f","2017-12-28T23:47:39Z","1","1","1","2","1","0","0"
"3a60ecb78082a227b11d608209f0b718283d4fd1","2017-12-28T23:43:22Z","0","0","0","0","0","0","0"
"e5b869911dd7d0dc429dc1e8a831815e01ed12d5","2017-12-28T23:43:04Z","0","0","0","0","0","1","0"
"4556718581bc5fe32bb21833f38f580b5b8b2782","2017-12-28T22:52:13Z","4","12","6","18","1","0","0"
"d18432456512736dfdccb718caac6e9bdf43447a","2017-12-28T22:47:16Z","0","0","0","0","0","1","0"
"d9bdbfe7e00e82d67d12e59f811211a16074fa49","2017-12-28T22:25:00Z","2","6","0","6","1","0","0"
"19ffdf6765bbc7040172a3b8f6e0c12dc3d13b70","2017-11-01T15:33:59Z","1","1","1","2","1","0","0"
"1983a5303592b33a2aed2d0e2408fa0b003742a5","2017-10-25T15:58:58Z","0","0","0","0","0","0","0"
"50ed10a51a5a1a9e3ee798492c98ee3566d4ee50","2017-10-17T08:37:58Z","0","0","0","0","0","0","0"
"98f1e6d04986281cbf7f3e862d63ad97a640f690","2017-10-17T08:22:20Z","0","0","0","0","0","0","0"
"653074ee1e7e8198c60089275ce1cc25f54d69a4","2017-08-14T10:12:52Z","0","0","0","0","0","0","0"
"156575f948232fff053d2619f3348a9b897ddeee","2017-08-08T06:02:52Z","0","0","0","0","0","0","0"
"c5accb83f024ae2c8d61c81067428d8d4d8a3a7a","2017-08-08T06:02:52Z","0","0","0","0","0","1","0"
"6cdd9bf939ee220c1ca1acaa64375c4cc5df7eb9","2017-07-28T03:31:46Z","1","3","3","6","1","0","0"
"d0afaad82235b5b5121dee1c08f0badf8033e5f8","2017-07-28T00:37:51Z","1","1","1","2","1","0","0"
"68709f14486b26dfc0259fcaa44d199de2ed6000","2017-07-26T17:25:43Z","1","2","2","4","1","0","0"
"bdc227f83e5672e115deb4a1e91a3f5a4fb03060","2017-07-06T08:07:56Z","1","1","1","2","1","0","0"
"59791f8f97f98afa106e63d6e9bc7e51a8211a61","2017-07-05T14:32:31Z","1","1","1","2","1","0","0"
"c569664ebcd20a896e6e2d10cb22567fa7541377","2017-07-05T14:20:16Z","0","0","0","0","0","0","0"
"140d95dfdd107bd4996048cc3ba5adfeca257e2e","2017-04-20T06:07:29Z","1","1","0","1","1","0","0"
"05910cc9c7fe5de8a0b44231b06c98bd7e251088","2017-04-13T21:57:21Z","0","0","0","0","0","0","0"
"f1c51afb77995142ff7b484477ad4e60a4107b43","2017-04-13T21:56:54Z","0","0","0","0","0","0","0"
"c15b5521f2793a32c9a03349e0680c0e37f73b7f","2017-04-13T21:44:44Z","0","0","0","0","0","0","0"
"8a9fb55c9796279f368109f0f82fa32dff2b7a42","2017-04-13T21:35:42Z","0","0","0","0","0","0","0"
"d1af809ea7b1f6c62efe746be98f85570f1f4eb5","2017-04-13T21:35:04Z","0","0","0","0","0","0","0"
"d94f5cfa67037139b872ee3ac8981104c1c57cd1","2017-04-13T21:30:06Z","8","358","131","489","1","0","0"
"31f5a97549903aead8ec14624833d627fbc46318","2017-04-13T18:21:00Z","9","929","24","953","1","0","0"
"47272b0d73a5fb47d4cbb9fe2a57ab563ea84660","2017-04-13T18:19:30Z","1","1","1","2","1","0","0"
"b187ddb65c5e7e4ceed9157a3f270f62040b142a","2017-03-31T19:11:16Z","1","1","3","4","1","0","0"
"10fe52e24340cbdb29fdaa65b21f507455f9a87a","2017-03-30T16:13:38Z","1","1","3","4","1","0","0"
"b92b0f768e28a92d1d215ad30f7b22d704a7bb61","2017-03-28T20:41:14Z","1","1","4","5","1","0","0"
"e35e48396aefa0f16fd5f93cbf7d016bc9669f06","2017-03-28T11:54:01Z","1","1","4","5","1","0","0"
"c42f0b3743ea24697a78cfb04a02ba03cec35fde","2017-03-20T23:38:46Z","0","0","0","0","0","0","0"
"7133e9aff5ed3c2dffd28e5d069a6d75a72e2150","2017-03-15T03:42:59Z","4","522","0","522","1","0","0"
"c729a3a24324c205d136f463589a8b1241d6c2a4","2017-03-15T03:42:59Z","5","407","24","431","1","0","0"
"cef057af82ca89edca1ddb2fa25c5c281697205d","2017-03-15T03:40:08Z","0","0","0","0","0","0","0"
"b0ee15bdd39bc00b8d617da7108da7ced82a3440","2017-03-14T17:37:06Z","0","0","0","0","0","1","0"
"a2ca0387be54a9c91c963fab6830996613eddcc9","2017-03-14T09:47:23Z","0","0","0","0","0","1","0"
"c5e7572afe8d609d12e723fc65e5cd96468137f4","2017-03-14T09:36:17Z","0","0","0","0","0","1","0"
"3ecf01eb4e954ee13372256e2d84cd9319771e31","2017-03-14T09:36:14Z","0","0","0","0","0","0","0"
"53030dc4edfc214b0450368c97a1b3097d74952e","2017-03-14T09:35:21Z","0","0","0","0","0","0","0"
"eb0d74b3c6f709c8bd832dc4dadb5ab88035ab5c","2017-03-13T20:53:02Z","2","260","219","479","1","0","0"
"53303b7e8bbff5c38c4126562f6d174d339c0637","2017-03-12T14:30:10Z","5","17","19","36","1","0","0"
"29a43f5db93f84112605356fb5e6317f36a825fd","2017-03-12T11:29:32Z","5","17","19","36","1","0","0"
"9567db194aff8268b3e99ad88f549250e807950f","2017-03-11T21:34:11Z","2","38","9","47","1","0","0"
"5a414d53c7a0909a909f8c500b77732fedb91eeb","2017-03-11T21:33:45Z","1","4","1","5","1","0","0"
"898ed21de017bea14986c0d3e213df940fbc5e7a","2017-03-11T20:46:44Z","1","16","2","18","1","0","0"
"24f7fff40eae2ea6c576da7d621a37f79b2a7cac","2017-03-11T19:12:44Z","1","4","1","5","1","0","0"
"e94789e53856e8618cd48b1c751ffdc5e0520d10","2017-03-11T19:01:30Z","6","21","13","34","1","0","0"
"1506dd23bb6050ed454c845e55659768e7d557ce","2017-03-11T18:43:20Z","8","355","136","491","1","0","0"
"5c480f50c6dcc0e51a0c684b363183e66e2e62b2","2017-03-11T18:29:47Z","1","1","1","2","1","0","0"
"1ce0a741beeb605a469a8f70668d498327b0897a","2017-03-11T18:02:24Z","0","0","0","0","0","0","0"
"a2eb108683307bff15a19cf50226db3a076b76ba","2017-03-10T16:14:47Z","2","38","9","47","1","0","0"
"ecea16e2065954ffdbf29435a32a184b6719b7cb","2017-03-10T15:04:53Z","0","0","0","0","0","0","0"
"83f2bd8ea76f8c99a74cd398338ac30a7e6fc6e7","2017-03-10T01:36:45Z","2","260","219","479","1","0","0"
"44fe4bb878f52d413d4eaeb9637b30a2525e725c","2017-03-08T20:53:53Z","2","13","7","20","1","0","0"
"e6ee51d9cd3bddcbe23cda1133e5a28aad4275e2","2017-03-08T13:37:35Z","2","13","7","20","1","0","0"
"dc84e6f710a9488cb04ddb1c1a81e202a47efa6a","2017-03-07T19:25:10Z","11","230","189","419","1","0","0"
"5adb74be99af07854e100c3005b3acc20d71af5b","2017-03-07T10:20:23Z","11","230","189","419","1","0","0"
"7603ac22a987a96510aa6d196d81b6ae95c8ff21","2017-03-03T20:39:13Z","1","1","1","2","1","0","0"
"8f071b571d97d151ecfacb718b415eb021f5b54e","2017-03-03T20:16:46Z","1","1","1","2","1","0","0"
"bfa7162d0efe183d1353216aa21239fdae1bd9d0","2017-03-02T19:00:57Z","10","289","156","445","1","0","0"
"e4fa468e2c6a33decc8e0979cea00f839e7bae07","2017-03-02T15:41:45Z","10","289","156","445","1","0","0"
"6ac57a4e037dda6caeec0f5dc017ceb3420a7395","2017-02-23T08:56:44Z","1","1","1","2","1","0","0"
"42f0f75199e85d4b0ff34d8355df4a439f98231d","2017-02-22T19:27:23Z","1","5","1","6","1","0","0"
"327621fd75efaa2555bd145456452d0d9c97e4ca","2017-02-22T08:50:46Z","1","5","1","6","1","0","0"
"300c5f63eb24e069ae90a418abed38817d7f4a03","2017-02-17T15:58:17Z","1","2","1","3","1","0","0"
"a61af2ad145f95c1228609e9380b8449d5274efc","2017-02-16T18:49:17Z","1","2","1","3","1","0","0"
"26c35e846d9d69d3267b6c8330755190be78685f","2017-02-16T18:39:13Z","1","1","1","2","1","0","0"
"0b4ddfafb88ed718296141e20cb6d6c919d65112","2017-02-15T19:07:57Z","1","1","1","2","1","0","0"
"845caefe6a59bd826062fd4854657e160d3c3e6a","2017-02-15T18:53:37Z","9","117","98","215","1","0","0"
"a8c91f351c1d420be8c775a0d69a80888016292c","2017-02-15T18:46:12Z","9","117","98","215","1","0","0"
"7c271178f734374ae1ce46305e549b72f5a2b14b","2017-02-15T18:31:56Z","1","1","1","2","1","0","0"
"e39bc37686ee77ac6b49773ddd0d255474b7d663","2017-02-15T16:50:53Z","1","1","1","2","1","0","0"
