"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d47a12a372c89365e2aa2481ba7d0a32409b607b","2018-09-25T06:20:32Z","0","0","0","0","0","0","0"
"c54745f3f9f3a611eb4bc6e5b05438129db35937","2018-09-10T02:49:29Z","1","2","5","7","1","0","0"
"bbe9b916b61539bb815737ad2e4cd4c34aa67e40","2018-09-04T08:48:40Z","3","4","4","8","1","1","0"
"dbbc47085600a638b4df4b08ae029a9731587a96","2018-09-04T07:09:53Z","0","0","0","0","0","1","0"
"e84ab32eca6847a25ec32c3c93608f852336d2ad","2018-09-03T06:40:14Z","1","1","1","2","1","0","0"
"943de4e8b06a25d109830bfd1e3a4ed68aecaf8c","2018-08-31T20:25:56Z","0","0","0","0","0","1","0"
"6af314442e642bd5366213f80be1b232e44af93a","2018-08-30T04:54:12Z","1","5","0","5","1","0","0"
"03788734b0315b11a03c310fa5bf5825098d664b","2018-08-29T13:01:27Z","4","15","2","17","1","0","0"
"86b66fce017896fbc41d4da6431ac4f38f39dad6","2018-08-10T10:22:41Z","3","43","18","61","1","0","0"
"cea293577f7e6e3302126fe48d5081fc84ec0e68","2018-08-10T08:18:38Z","0","0","0","0","0","1","0"
"418e7180aae55ec7aec353b503e3929cfc1ffd4e","2018-08-10T07:49:53Z","4","28","21","49","1","0","0"
"f9bb105b20e50b25bd1f68517a8cd981ad487799","2018-08-10T07:11:57Z","1","1","1","2","1","0","0"
"4fae1f4d9138b21b18a608b1c26f017fe1ccb4cd","2018-08-10T07:10:03Z","9","97","51","148","1","0","0"
"eeffcd1508aff6dc67c496ea45a4eba8caa2c92c","2018-08-07T02:44:39Z","0","0","0","0","0","1","0"
"4f615275ba29688507c4e57e50ff9c18297dd6fd","2018-08-07T02:43:24Z","0","0","0","0","0","1","0"
"8aa8faaa9d5d34d389613b3ed15d01f48e75dfab","2018-08-06T05:13:08Z","0","0","0","0","0","1","0"
"78d49f245a4cd9a0a6db7a683ecc86c84e546ed4","2018-08-05T04:08:18Z","0","0","0","0","0","1","0"
"568d3caff46cf086793e0d7c6cba254e13d1981b","2018-08-05T04:06:14Z","0","0","0","0","0","1","0"
"0f99698d2168cee51c0304932a37cd8b29765bbf","2018-08-05T03:43:09Z","0","0","0","0","0","0","0"
"51e07d83392466639a2fa4ccfc76a77740808a75","2018-08-05T03:42:02Z","0","0","0","0","0","1","0"
"17af8e349eb5149cd080ef19c522430c666411be","2018-08-05T03:33:14Z","0","0","0","0","0","1","0"
"32af97493b52fef0a60884e91352d69e86d1751a","2018-08-05T03:31:54Z","0","0","0","0","0","1","0"
"564a715e3237ac5ab9e1b26084b323c8636a5dc7","2018-08-05T03:30:38Z","0","0","0","0","0","1","0"
"5f88a6499dece60290c08182cff46d2215c0a865","2018-08-05T02:34:11Z","0","0","0","0","0","1","0"
"2cff5c56214fe27e43c6d913980e558e93fd42e7","2018-08-05T02:32:48Z","0","0","0","0","0","1","0"
"d541aa44bbac81ea665cd4d4ebb8afefd4bc2a49","2018-08-05T02:25:26Z","0","0","0","0","0","1","0"
"9bec6057f659c0b0c77af0f4b8d6279dc20cc019","2018-08-05T02:23:05Z","0","0","0","0","0","1","0"
"fc4a14575558b4a03c1f5bcd7c3ba68a6eefe148","2018-08-05T02:19:12Z","0","0","0","0","0","1","0"
"e3188fe9d015a99f8e137b30714c7709c6dce39c","2018-08-05T02:15:34Z","0","0","0","0","0","1","0"
"6f54775a39342783120ec42dded3779f2f7cba31","2018-08-05T02:08:00Z","0","0","0","0","0","1","0"
"ddc4ec7a50586385f09c00f7075b8388b9b93327","2018-08-05T02:05:02Z","0","0","0","0","0","1","0"
"b48f8a4d8399ac0bd33f7343566bea35df22e088","2018-08-05T02:03:11Z","0","0","0","0","0","1","0"
"d21ae21a76f11475d4acdbe30a75939414190f07","2018-08-05T02:01:33Z","0","0","0","0","0","1","0"
"df6b1df4ade7ded51d725ad3577bb8bffe64a497","2018-06-20T11:43:07Z","0","0","0","0","0","0","0"
"8afe14e05b9d135253a2aa4638612cb833145879","2018-06-15T09:06:05Z","1","3","2","5","1","0","0"
"4b3cf8df8d72cafc09eb77e0ec246b9cd742060b","2018-06-15T03:50:46Z","1","8","1","9","1","0","0"
"127ce03ae51d87a3b3ca1782302c5c96bb6a27be","2018-06-14T12:39:25Z","4","32","14","46","1","0","0"
"641ee7c552592721f4011cc305dc7819506d0f85","2018-06-07T04:39:43Z","1","6","1","7","1","0","0"
"cc00565ccba7f532b764fcc6fe5a78c5905f7fac","2018-06-07T04:39:30Z","1","6","2","8","1","0","0"
"19e67e633d575fffeff458bc8370ea6de86edbbe","2018-05-25T03:31:56Z","0","0","0","0","0","1","0"
"60cd90dc62d12a73401b0fd5f1c9f0a0210bd227","2018-05-25T03:31:54Z","5","55","15","70","1","0","0"
"130e11e3fd24f9967f4e3a7ca012b8ec92901406","2018-05-24T06:23:04Z","1","15","21","36","1","0","0"
"cb23db0b51cb13b7d2266fcc10970fba96f79bc8","2018-05-24T06:22:30Z","0","0","0","0","0","0","0"
"f2f46b1a8dde53f286f394ec72bb88944e46f9e6","2018-05-16T02:23:01Z","1","10","4","14","1","0","0"
"fb7ac266d01ad1368c13f53d96164336639781e7","2018-05-15T10:06:59Z","1","1","1","2","1","0","0"
"97dfa7caadd25767905b81372b58fcc91d575139","2018-05-15T09:47:44Z","1","9","8","17","1","0","0"
"d9f8574368e2f85870e33e37b055796b1714985b","2018-05-15T09:47:17Z","1","21","15","36","1","0","0"
"f4e080c78d8e9b3109878f257cb7165b7eaeabdb","2018-04-09T07:14:17Z","5","379","78","457","1","1","0"
"8c66cc64818ed577de64cce36a618850f3009dca","2018-04-09T07:13:57Z","1","9","9","18","1","1","0"
"e2f7bd9988887a6c3f0e98e5144522aa1b93caa9","2018-04-09T04:43:22Z","0","0","0","0","0","0","0"
"4baaf9db08f7045690dd20e48d56521fb9b6b47d","2018-04-09T04:01:04Z","1","55","23","78","1","0","0"
"519657ae31bdfa15debea61eab9e67454fab06c2","2018-03-26T03:53:57Z","0","0","0","0","0","0","0"
"ff67380889f3f3b9febb0891825520234a81dc84","2018-03-26T03:53:32Z","0","0","0","0","0","0","0"
"4fbe2549d5a23b93d74ff5a954a191cbab494a72","2018-03-26T02:15:52Z","22","908","309","1217","1","1","0"
"5d48d7dfbd82e36b3113265052718c74d2d9046d","2018-03-25T12:15:22Z","0","0","0","0","0","0","0"
"68192b63341040cbb6d0209002f319ced439ca7f","2018-03-24T17:35:52Z","0","0","0","0","0","1","0"
"e51c5ff53c154896e34fdd16484d0bfa37bd67ec","2018-03-24T17:25:12Z","2","148","59","207","1","0","0"
"7956e18e00fc6cb422d4c90b8726574135a5648b","2018-03-24T15:02:43Z","0","0","0","0","0","0","0"
"b6779efb04da71524ec6aefdef97b54a83c2122d","2018-03-16T11:44:46Z","0","0","0","0","0","0","0"
"ece3e1b70c4d46d69c98e7595513595a49851c11","2018-03-16T11:44:46Z","1","15","5","20","1","0","0"
"6d67fe398e1bce05f9ada37f6ee44bd15d4b63f2","2018-03-16T11:44:43Z","1","0","1","1","1","0","0"
"da6680c5a0e65e2fce236dd50d5b406317655b4a","2018-03-16T11:44:43Z","1","2","3","5","1","0","0"
"70541b7e509c56b298b5ffe55fde5fdaa425e971","2018-03-09T13:48:11Z","2","179","7","186","1","0","0"
"8adca7f8ba509d78d270f043255cc3d688536832","2018-03-08T06:39:27Z","6","52","47","99","1","0","0"
"34583630ded26a18a6b396746642a7b6db4b70cc","2018-03-08T03:12:51Z","1","1","1","2","1","0","0"
"d2142786ba34eaee50602e78e88abfe139864967","2018-03-08T03:12:51Z","4","32","21","53","1","0","0"
"d22ab8c1847dbe889d39aadd91887c59a538008f","2018-03-08T03:12:30Z","1","4","3","7","1","0","0"
"8f04297bd29534f88e800747109e932e0ef619e0","2018-02-22T03:41:45Z","1","4","3","7","1","0","0"
"683a6bc10a88ebcb1633e0dea8d0780ce67752e6","2018-02-13T05:30:45Z","8","121","105","226","1","1","0"
"45c1c1983170150a969a8db665b2b6694ee97f6d","2018-02-13T05:25:17Z","2","5","54","59","1","0","0"
"9179ba145af426bf70e51dd99618d3a0a8149f14","2018-02-13T05:17:58Z","1","56","63","119","1","0","0"
"bf27c39e671761b95d2d29ae2826e7112db307fe","2018-02-13T04:51:09Z","1","21","23","44","1","0","0"
