"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"af670f964a4750707d98cda31cfa95244eb3ec07","2017-11-27T19:04:02Z","0","0","0","0","0","0","0"
"68a5f3109ee585df276b3f541fdef31360331433","2017-09-21T20:47:34Z","0","0","0","0","0","0","0"
"37e4fa268e38ebdf4abd6b3f763deb3a71caca53","2017-09-21T19:48:16Z","0","0","0","0","0","0","0"
"c914abeab8911817803d84c9dfde489136f97cc2","2017-09-20T14:10:50Z","0","0","0","0","0","1","0"
"7009d4a3aed2c9897386a2eb7725a01943c27519","2017-09-20T14:10:38Z","0","0","0","0","0","1","0"
"28d60500dc289686cdaadeb0b31842bcca738d6a","2017-09-20T13:55:11Z","0","0","0","0","0","1","0"
"15eaaaf96e8b29b624c12b1c9f704bbb72240b9c","2017-09-20T13:55:01Z","0","0","0","0","0","1","0"
"3e415cbfda3b549747df1eb5c3a250d7630cc87b","2017-09-19T23:42:36Z","0","0","0","0","0","0","0"
"d621a4c179e1b8761e0795ff5f284d1a9c9e89a2","2017-09-18T14:45:06Z","0","0","0","0","0","1","0"
"4ebb02bf9bf2152d6ca5a3f97725ee14cccd950f","2017-09-18T08:26:01Z","0","0","0","0","0","1","0"
"9870fa4291f5c813ed929aec26c94bee2b92d2b7","2017-08-29T18:07:09Z","0","0","0","0","0","1","0"
"7a4ce7a5d04e5603e5e573203983fa1c57caa4c1","2017-08-29T16:59:42Z","0","0","0","0","0","1","0"
"826999ea3ce1a3eb82db5263c511c7ba9ed5bae6","2017-08-23T01:20:09Z","0","0","0","0","0","1","0"
"fd1b951aca0370a6467f7000e70415126932f454","2017-08-23T01:11:34Z","0","0","0","0","0","1","0"
"d7195fac7d6b8575ec3c35f168ac023517052db2","2017-08-15T06:35:51Z","0","0","0","0","0","1","0"
"99fe764cad0376689bea70866195520a38fb5410","2017-08-15T06:18:35Z","0","0","0","0","0","1","0"
"604c77d0800037aa2e19d516f1ca229aeb321278","2017-08-15T06:18:07Z","0","0","0","0","0","1","0"
"7383d227e880f05bb7035439bcb26cff2371fa00","2017-08-10T06:34:45Z","0","0","0","0","0","0","0"
"e43f8b896c66e6364c82295eebca54742cfb3958","2017-08-04T19:55:48Z","0","0","0","0","0","1","0"
"fd5a4de39e3115ce38e0d2eeb711294fafb82e0a","2017-08-02T21:57:46Z","0","0","0","0","0","1","0"
"5c39a23ce5115eceb3aa97a1b0e9ee0f23c2dd92","2017-08-02T21:04:38Z","0","0","0","0","0","1","0"
"343af950d65a058a13b6b27ef226f742fe58cd36","2017-08-02T15:14:26Z","0","0","0","0","0","0","0"
"87deb20e73c67d146989d68a5197ce7d288d46b0","2017-08-02T06:02:58Z","0","0","0","0","0","0","0"
"0c2a54f4f1e168477c7db249df3273d2271ca107","2017-08-01T02:42:34Z","0","0","0","0","0","1","0"
"e262256a51e6525c447c6485dc94fb479c05080f","2017-08-01T01:58:48Z","0","0","0","0","0","1","0"
"0c8740b461927d171acc12997bc68fafbe18929a","2017-07-31T22:12:30Z","0","0","0","0","0","0","0"
"4867c2378138b19c20771fbaf8858e9b99f4454d","2017-07-31T22:01:35Z","0","0","0","0","0","0","0"
"e53b82548d624a4a1ec7f82f38d614528df9eb78","2017-07-26T23:40:00Z","0","0","0","0","0","1","0"
"97ea1c8cad5df58b14e5dfec8a23d072cc24d08f","2017-07-26T00:33:15Z","0","0","0","0","0","1","0"
"006f5d7a3e798747283c14141f3cfe85bedd1283","2017-07-25T23:54:27Z","0","0","0","0","0","1","0"
"4e69b22e3b209172004bf91056b3fe00b09ba1f5","2017-07-24T18:17:55Z","0","0","0","0","0","1","0"
"6a9af309c5948577e15c8fc83e56ec052780404f","2017-07-21T01:55:49Z","1","1","1","2","1","0","0"
"c70ad33491a82b11749f89e140837f3c9c656c55","2017-07-20T21:26:49Z","1","1","1","2","1","0","0"
"f24d3df837e9018b4d0a6b51b2018c4a7947894f","2017-07-20T16:28:27Z","0","0","0","0","0","0","0"
"ee7993756bc1d67a758711fc846b71487a3f6c35","2017-07-20T16:16:00Z","0","0","0","0","0","0","0"
"db50c87490183e77bc92d1d43203ab99bbf37f87","2017-07-20T05:22:05Z","2","2","2","4","1","0","0"
"ea81a856afe4f2f2d31ae6be28534ca858f53624","2017-07-20T05:11:10Z","2","2","2","4","1","0","0"
"bc4f3a51af688f115b4f0fe22be7618c05752b60","2017-07-20T05:11:02Z","6","99","12","111","1","0","0"
"98a5ecef62d7a426ce44eded2cb8ea13971a20d4","2017-07-20T05:00:01Z","6","99","12","111","1","0","0"
"1ebc942b8f6597be45866f683d089fc4a200ad06","2017-07-20T04:56:22Z","8","70","76","146","1","1","0"
"cace175fa24f2aeb21901583fd3a1ece794d5d5e","2017-07-20T04:41:54Z","8","70","76","146","1","1","0"
"335c33a3c72fd2184281a5bc0453263f8c714a0b","2017-07-20T02:21:49Z","2","5","9","14","1","1","0"
"135f0bf4b1fded1796950c6fd072467ddeffbb18","2017-07-20T02:09:36Z","2","5","9","14","1","1","0"
"71af1a248870c22cb1ba6469795d10fce5dbf2e8","2017-07-20T01:54:02Z","8","9","23","32","1","0","0"
"5a76b764ff7c260fb18c924f127683ee02c83ea9","2017-07-20T01:43:45Z","8","9","23","32","1","0","0"
"199ce463988ec7c9b9b16bc27e3097c4cba40846","2017-07-20T01:40:15Z","5","0","627","627","1","0","0"
