"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3f560b7600587648cafa545c2b0b69f4820fd1d9","2018-05-08T11:05:10Z","0","0","0","0","0","0","0"
"0f626caf897184cf5841df3cc9107415f12323aa","2018-05-08T09:26:07Z","0","0","0","0","0","0","0"
"40b1310102dfe3da77f850baef2fe89794b62013","2018-04-09T09:48:56Z","0","0","0","0","0","0","0"
"b7f41761acf4ad4b97780298c6ba7b36fbd79879","2018-04-05T08:40:46Z","0","0","0","0","0","1","0"
"8e1ae73c0ab9b6b300a7ead3d62cb706fcc988e8","2018-04-05T08:33:44Z","0","0","0","0","0","1","0"
"d219fd5e8612012bc3540dd53a486a1e63353037","2018-04-05T08:16:12Z","4","31","14","45","1","0","0"
"154b7f77bf171282d4898880b526447bc4342b6e","2018-04-05T07:52:41Z","1","1","1","2","1","0","0"
"7ddf640147691fe869a3922e20ee7a1e03b78222","2018-04-05T07:52:29Z","4","31","14","45","1","0","0"
"8319036035207a2cb3c7bdfde7e699a50a88599b","2018-03-28T15:51:49Z","9","888","79","967","1","1","0"
"f140b2cd793c51b8a66ae5a300cbf22d0d05f1a0","2018-03-28T15:50:29Z","1","4","4","8","1","0","0"
"9f402187b43777fae1cab3d21e88ac39b8d174d4","2018-03-27T11:10:49Z","0","0","0","0","0","0","0"
"544aa9651dfb3db68e6cb509cdc02d4bd99e84b9","2018-03-27T10:48:07Z","2","35","2","37","1","0","0"
"f8a38c76f2262b4fa96e4ef0c2735412d9905ff2","2018-03-27T06:51:49Z","2","11","4","15","1","0","0"
"dc3d1af171e5ec82162abde5cb05793ab67bcfd5","2018-03-26T07:44:24Z","1","35","14","49","1","1","0"
"b5ab3b8586babaea9fd9a0f85586880440cc9b86","2018-03-23T11:39:27Z","3","182","224","406","1","0","0"
"90b5700843b2dd481166ce8a19a51d1adc6f249f","2018-03-22T16:11:30Z","1","1","2","3","1","1","0"
"425ff34d8c8f409d13f563b621a6cef0eecd43ba","2018-03-22T15:00:41Z","3","27","40","67","1","1","0"
"615fd91f1823eb065ced4a36198cc06f70018d16","2018-03-22T11:45:50Z","2","4","3","7","1","0","0"
"6b16bc5dcfe1fee164ea55f3c511599c8dd67c93","2018-03-21T12:39:32Z","7","843","38","881","1","1","0"
