"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1e1b075f137c6e1afa7b3d5e89691609061e7c5c","2018-08-13T11:57:06Z","0","0","0","0","0","0","0"
"224bfd6ea2eed9fa2dd0a6a26a5d5cca72c0c9b9","2018-07-16T18:58:28Z","0","0","0","0","0","0","0"
"c1a3786c17f4fa066736b32f05c72694625ac907","2018-06-17T19:56:24Z","3","25","0","25","1","0","0"
"2af07f95cfffed9d8ff7a385e980255a3f2ef3ce","2018-05-30T20:35:42Z","0","0","0","0","0","1","0"
"4e7ee70b73cf2e2c04b56ef77cffa3d78c34f826","2018-03-30T19:11:59Z","1","1","0","1","1","0","0"
"aec45c4f10e3769d7449bcb7b82b5d09689512a4","2018-03-06T13:05:41Z","0","0","0","0","0","0","0"
"c1918b32fb7a9466a737dc6a61f71261cf6a5b83","2018-03-05T17:15:42Z","0","0","0","0","0","0","0"
"a2774c7bde1889bcaeb21075ec9ce85658bea13e","2018-03-04T12:20:58Z","0","0","0","0","0","1","0"
"2f061a1da534a08fc44a17a3526c3efe6e94fae0","2018-03-04T12:10:44Z","0","0","0","0","0","1","0"
"70f4159e3ae1e557fe72a903c53e95f71faa3e03","2018-03-04T11:55:54Z","0","0","0","0","0","0","0"
"295193d6134c855a4a5de8da6672620b73fdb4f0","2018-03-04T11:40:32Z","0","0","0","0","0","0","0"
"d8f3157e97003a2a7225b90f8c88ae507672b1d1","2018-03-04T11:34:54Z","4","61","5","66","1","0","0"
"a7d91dbed69f11fc9529175f1b6cd23edf73edc8","2018-03-04T11:19:06Z","2","9","12","21","1","0","0"
"e8257760da9c36c5f7b512b8dbc0c84ada20ad7c","2018-03-04T11:14:00Z","5","88","9","97","1","0","0"
"2f022c0a70b0faea61d8b72100d536426cad25c8","2018-03-04T11:05:59Z","2","63","47","110","1","0","0"
"3fd9354cd778f0576297ca5586bfe9dee7ee2bb4","2018-03-04T10:53:53Z","4","48","10","58","1","0","0"
"c98a04a407472ea3d54344585c38bc0c2db02df5","2018-03-04T10:53:43Z","2","33","3","36","1","0","0"
