"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8ba209a64d8ad3042150bba829279114b21b99c3","2018-09-27T23:42:41Z","1","2","1","3","1","0","0"
"617430a72f990ab6ce76837e25af3e57cbb91bfe","2018-09-17T09:39:00Z","0","0","0","0","0","1","0"
"6da3e5fe20bed2c059050a4ba0a32630b2d33033","2018-09-11T14:22:10Z","0","0","0","0","0","0","0"
"c18f679f3499b152c0d640cecbb287b429506b4c","2018-09-10T15:37:17Z","0","0","0","0","0","0","0"
"ae8ddd649944363557305c4a3dabd7d140f4eddc","2018-09-10T15:37:17Z","0","0","0","0","0","0","0"
"354c76947143d9a1739a9f7db0b2e16f7c6f0462","2018-09-10T13:53:15Z","0","0","0","0","0","0","0"
"9c4d52c50a4ef3f9f62b0602803cb00dfd07cd85","2018-09-10T12:45:54Z","1","2","2","4","1","0","0"
"e42faa6b93c1838e4063c139ac4a2edc47c68200","2018-09-10T10:03:36Z","0","0","0","0","0","1","0"
"3e65cfc9e7af29caedbb3e0be54653ac96cd0da3","2018-09-10T09:32:27Z","0","0","0","0","0","1","0"
"27eca6b3d923134c1d2068e626a9b5620a5919ab","2018-09-07T13:03:25Z","1","1","1","2","1","0","0"
"0951efb7111f9979784a36668d80ca4069893cf4","2018-09-06T14:01:19Z","0","0","0","0","0","0","0"
"2fa42dc08e9d0ea3f1f046d046addadfa4a1f210","2018-09-06T14:01:19Z","0","0","0","0","0","0","0"
"4baa0ad3c5c4458546f7ab6a0b046b69c2b82fc1","2018-09-06T14:01:18Z","0","0","0","0","0","0","0"
"de53d3d0aa3f5e4b5a2d8914cebeb8469b306bfc","2018-09-06T12:04:03Z","0","0","0","0","0","0","0"
"ddbe80b3fa63fde007d623f8872b8b7c2e4ac874","2018-09-06T09:57:21Z","1","1","0","1","1","0","0"
"0b4c4bbcf20f88cbf5f29eaae1943c2cfc35722b","2018-09-06T09:57:21Z","1","5","2","7","1","0","0"
"34baa40953d829ff286bdfae2ad9bf3701011c37","2018-09-06T09:57:21Z","1","1","2","3","1","0","0"
"fe424ae39bf5b4c825397fcd2033d77fdfb32214","2018-09-06T09:57:21Z","1","11","6","17","1","0","0"
"fd28ded1600dc6de053eb694329c62365525b08e","2018-09-06T09:57:21Z","1","8","1","9","1","0","0"
"6ed7934ee108b28231179a0c7ce9b4d1c0285ef0","2018-09-06T09:57:21Z","1","6","3","9","1","0","0"
