"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"23c0f5f6f1d24d96d369c58aacdda05e5a871eb3","2017-11-11T13:21:36Z","13","86","35","121","1","0","0"
"8291cb1ba9f11b080d4a4bc749732bb8b8439a76","2017-08-11T08:29:31Z","1","5","1","6","1","0","0"
"9d8fe8a0d5077508df8b0c5866aefe16a68cc038","2017-08-11T08:21:39Z","1","1","1","2","1","0","0"
"ca30af7586f0c6a8694864d9bee52984d66f8abc","2017-08-11T08:15:05Z","13","81","34","115","1","0","0"
"62d7d28a325d42609f7688b0a25c411a4d491db7","2017-04-01T17:37:52Z","0","0","0","0","0","0","0"
"83eb0da4ffca2809dab9cf12d9a4885480ac24b8","2017-03-27T09:08:15Z","0","0","0","0","0","0","0"
"46e011f75a478b2be18664ffcf1a1bf30f00e10c","2017-01-22T10:46:18Z","1","1","1","2","1","0","0"
"98621014179b77094a699e47901a3f25667b3e87","2017-01-22T10:25:32Z","3","11","7","18","1","0","0"
"fcbb1f46587c070947b170bf9c85eb75eb550b42","2017-01-21T19:57:34Z","8","72","62","134","1","0","0"
"3c5415b2c855180b1c70c58ba5de201cb12d57b1","2017-01-21T17:39:14Z","21","315","118","433","1","0","0"
"3d0b4c7e9c48bd47b443511d5b4c1769ebae1c73","2016-12-16T15:47:59Z","1","1","0","1","1","0","0"
"ef58c3e80bfe11b7804d61b83c103e420ee5e0a2","2016-12-16T08:12:57Z","1","1","0","1","1","0","0"
"d5a16b496e4ba59bce190e7e1f0e46de9646d1af","2016-11-08T17:53:54Z","4","76","98","174","1","0","0"
"dbde81dfef9d36661a5a2ed7634a089848c746e1","2016-11-08T17:29:59Z","20","391","99","490","1","0","0"
"339a0b75b01774c86ad43713a135d41d97a2f394","2016-11-07T20:23:44Z","2","72","72","144","1","1","0"
"28447881327e9cc9e4fd6f810e38f1aba1003142","2016-11-07T20:16:07Z","46","1873","1209","3082","1","1","0"
"7924b70c7bcf02756fb9d807b15fa91d2b85bc1e","2016-10-28T03:57:19Z","1","0","1","1","1","0","0"
"63b29253914e1d709be237bb4d9f8deee6bcf215","2016-10-27T08:17:35Z","1","0","1","1","1","0","0"
"0247388479fcde14fb0e5f9487beb0be17f92fed","2016-10-27T05:06:38Z","0","0","0","0","0","0","0"
"697ba03fdfc35e45551ac25e59e4780d7b491ae7","2016-10-27T05:00:36Z","0","0","0","0","0","0","0"
"5000a28814d5b5ff5be473e3bdb78526c5ae355a","2016-10-27T02:54:31Z","0","0","0","0","0","0","0"
"de988c5d6560a8a24dabd165a27b1732914ad1af","2016-10-25T09:50:37Z","1","35","13","48","1","0","0"
"63ac29050f3079e3c9c00cd1ce027327e74b3bff","2016-10-25T07:28:59Z","1","22","4","26","1","0","0"
"3ab0f88807ac8a1d4ad10ab5c379ffc98b8c90a7","2016-10-25T05:13:47Z","1","14","10","24","1","0","0"
"cb5facf7e7bd88f1875bf8d1a904c30120f7ee27","2016-10-24T13:23:10Z","30","691","667","1358","1","1","0"
"b9a5c9c3c70d8543fe4bc51cf15e67f5c675f4dd","2016-10-24T11:27:29Z","0","0","0","0","0","1","0"
"c4e053dbdb49db282ef93040923b7c490b912d4d","2016-10-24T11:26:42Z","6","7","6","13","1","0","0"
"b596ab089e1b2becc146c574fb6467c1e05f8e7b","2016-10-24T10:13:38Z","0","0","0","0","0","0","0"
"e550b775b0a3c0ca2502d7213d9a5bd7d912e8b3","2016-10-24T09:21:43Z","0","0","0","0","0","1","0"
"c50a495ceeedb5361531a79a256f42a1a50d766b","2016-10-24T09:20:59Z","13","41","15","56","1","0","0"
"e65a98e4cb75023604436eac6bde8ad885495984","2016-10-24T08:50:42Z","30","661","664","1325","1","1","0"
"66bb201660bcf354726a2606359a6a48e1805f1e","2016-10-24T05:39:00Z","0","0","0","0","0","0","0"
"4704c5b3dcb431fc75e58cc97257e0150ad5a2ec","2016-10-24T05:38:47Z","5","53","39","92","1","0","0"
"d251e24dc021ea406ffb9e5e745d231928830def","2016-10-24T05:07:39Z","5","53","39","92","1","0","0"
"8b6844b02b9e4671a04cb16deb93b33b718143cb","2016-10-12T20:39:42Z","0","0","0","0","0","0","0"
"66303e78168a3ec6e468dc7ed39d866a419f83bc","2016-10-12T20:39:14Z","0","0","0","0","0","0","0"
