"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4abb282da535dc475a3685058833f801696849b3","2018-10-02T06:27:45Z","1","5","0","5","1","0","0"
"4718304b8cd83b2130ff89f9f9922545cc4819a9","2018-10-01T12:49:18Z","1","5","0","5","1","0","0"
"c8ef788159aa182f7e064127f7797a8fb4e1cec3","2018-09-25T06:25:17Z","2","2","2","4","1","0","0"
"7a1960e4bf4e55bab25e49858e90bd3a4a15957f","2018-09-25T06:24:33Z","3","87","27","114","1","0","0"
"167b984db992b8e1ca1f3f78c0283c5aa3b812b7","2018-09-21T06:03:03Z","2","2","2","4","1","0","0"
"a59955b6733ec9123a666211ce5eca13480709c6","2018-09-20T12:17:47Z","2","2","2","4","1","0","0"
"f48b68871abaaf31ad20891419d21284df3f4360","2018-09-11T12:56:05Z","1","3","1","4","1","0","0"
"5c9b1ad6616ae6aeed4a2fb5716eb725308e44d7","2018-09-11T12:09:00Z","1","2","4","6","1","0","0"
"88970a966308d72cb0e3146b479548e3536c6592","2018-09-10T09:00:49Z","1","21","21","42","1","0","0"
"47b4e745e2ad70a7e2f5a3da4dabd59f08d69893","2018-09-10T09:00:01Z","1","26","6","32","1","0","0"
"4ef7cea1a2b256f752ef0fe6f1121b354e6d2cfa","2018-09-07T14:54:15Z","1","45","21","66","1","0","0"
"643ce0354b728042cb5be9a044b3a4440d3bfacd","2018-09-07T11:13:01Z","1","161","56","217","1","0","0"
"8bfc381e67d61b95fe038691c76a69ecc8e315aa","2018-09-07T09:31:55Z","1","2","2","4","1","0","0"
"0eedad8fa74082b5c2ad7e5e4bd87e70a51b22a9","2018-09-05T11:48:41Z","5","43","36","79","1","0","0"
"e9a232e68acca6a62cb9608f07b0725fbb4d7ec5","2018-09-05T06:51:23Z","1","14","3","17","1","0","0"
"de941da02a9a873e766aa6aefc287146bd95dc48","2018-09-03T11:40:36Z","0","0","0","0","0","0","0"
"c20dbfcaa618c5aced65a5e50febe0a5902fc8c8","2018-09-03T11:39:59Z","1","7","0","7","1","0","0"
"2f4446f4127253ded7b1aafa5679a362dc30ea52","2018-08-30T13:11:08Z","0","0","0","0","0","0","0"
"e5318cf074dbc08a0219064768e2df609739004f","2018-08-11T22:36:52Z","0","0","0","0","0","0","0"
"2753eb092219fe5f01d261fedc31b9162dd1c288","2018-08-09T22:21:42Z","1","73","0","73","1","0","0"
"59f7a97fceb7588d0c6d23f313627819c0eb19a8","2018-08-09T22:21:11Z","1","1","1","2","1","0","0"
"0e2c29c8ddab9c72fecd9bd7e1030285e014df41","2018-08-09T22:10:33Z","1","73","0","73","1","0","0"
"9ef186d8a7732d3d5e2e311cef95d9b48de5c63c","2018-08-07T19:21:21Z","1","73","0","73","1","0","0"
"99655516e3b7c786293a2919c43b71f3f5e9dd76","2018-08-07T19:00:13Z","0","0","0","0","0","0","0"
"3a75017ea67bfdb67a21ab2b54d93ef63e262300","2018-08-07T18:59:46Z","1","1","0","1","1","0","0"
"6b81bb6aa1d9d46f2eba206f3bfc6ea44ee27730","2018-08-07T14:45:27Z","1","1","0","1","1","0","0"
"3b2f58b17fc75eaa9d22823e4bafb8b0b2a3f65d","2018-08-04T11:22:13Z","0","0","0","0","0","0","0"
"fef8c8ad06fd0922f789b06103fa9b2e6b1f027f","2018-08-03T17:21:46Z","1","22","3","25","1","0","0"
"c8dc7178d0f3e94a3b92324a3c8acfa05691d8d8","2018-08-03T14:25:46Z","2","134","138","272","1","0","0"
"2a8a427693b63c1fe92a2b8dd31e3883d3055154","2018-08-03T13:55:23Z","3","25","15","40","1","0","0"
"e0940a662c13438e1cf3eb271e13c6c418885874","2018-07-31T11:28:17Z","1","4","10","14","1","0","0"
"2deb6c8f8cddc73874870d6efac0b444a8f82684","2018-07-26T13:15:47Z","1","1","1","2","1","0","0"
"2bda63ccf3d1c6df1a9f7a99051722d989b87051","2018-07-26T13:14:06Z","8","44","13","57","1","0","0"
"6c2a37bbf257c9fb3c8b2a299c73caad82a20755","2018-07-20T11:34:44Z","4","7","4","11","1","0","0"
"b765a8148e9081a1ea39a6b08f039d5c95b6ca4c","2018-07-20T08:04:04Z","20","106","107","213","1","0","0"
"abd606900d3638610d0e7fb8cfaf9f3cb35690b2","2018-07-20T07:05:32Z","15","15","15","30","1","0","0"
"d3b95cd9556a0645c88f5a31282e550c27e12d1f","2018-07-19T13:41:17Z","3","7","7","14","1","0","0"
"9d01ed63f4362194c46f7058e99440b46e66b9ec","2018-07-19T08:57:12Z","0","0","0","0","0","0","0"
"1ab28a0aa82a2f6e6ff8efae37d587c1b77d8ec0","2018-07-19T08:56:53Z","25","1281","2301","3582","1","0","0"
"6b01ff24e35612356542b3e0386dbcb50457da8a","2018-07-17T04:13:25Z","0","0","0","0","0","0","0"
"145e31e2be4d8bd40fbf2450f2b93e0d9555f05e","2018-07-16T06:25:45Z","1","4","3","7","1","0","0"
"4330a1ec075b74b128dc3a08277aaaa0f97cdc31","2018-07-16T05:35:26Z","0","0","0","0","0","0","0"
