"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"16225efbddc411673881d0d9bd61a95a01a92704","2018-08-15T13:32:32Z","0","0","0","0","0","0","0"
"b8a3342eb199f30569eccb81cc3626392284ddd6","2018-08-15T13:18:14Z","0","0","0","0","0","0","0"
"37f5bf28e96d9dee03a4b97728cc2976f9c248c7","2018-08-14T01:46:20Z","0","0","0","0","0","0","0"
"7a17ae0b3edb9f4fbe811e5333a83e382e115ad6","2018-05-26T14:56:23Z","2","24","6","30","1","0","0"
"7cad4c3b262f2bb052f6c813f725b74285dce871","2018-05-25T19:17:03Z","3","10","10","20","1","0","0"
"05074386d3582e9ea98148eaf6fd44eeaca964da","2018-05-21T13:58:13Z","5","25","25","50","1","0","0"
"a490ebdb7852768364a9e577f89c3871c4d3392c","2018-05-19T06:42:21Z","1","18","0","18","1","0","0"
"3c1535d72427008b7a775987ddada4a923c865ef","2018-05-16T13:46:01Z","1","1","1","2","1","0","0"
"a6284df9c7dde5ba4b2e803e6538ef83b4406ab7","2018-05-03T01:28:45Z","1","1","1","2","1","0","0"
"bfb300835fd0a1ddc2c063a9583dc5ce50600280","2018-03-27T12:44:48Z","1","22","3","25","1","0","0"
"06e9ad280ff52a55060ede400466e64c028b2612","2018-03-20T00:10:29Z","0","0","0","0","0","0","0"
"2362c930d19f33571de851bfa842cb7d0787ccb5","2018-03-19T13:57:06Z","1","22","3","25","1","0","0"
"2a6b5bacc5ab888a54a65c51ebdfa43ea02f3bf3","2018-03-15T02:18:23Z","3","295","32","327","1","0","0"
"a509a28ed47a5a31e0981a6de3949a7b46c5aa4a","2018-03-11T21:22:05Z","1","22","14","36","1","0","0"
"1c1ef5b21120a3e96739bd56ec20c07c2b4efa5a","2018-03-11T20:57:23Z","2","123","71","194","1","0","0"
"74b9a60f98b352a15581d98018a8a5d3318308aa","2018-03-11T20:28:24Z","3","290","35","325","1","0","0"
"b63b976acb140e6e0142a9e1cceae89102a7dccd","2018-03-07T17:35:56Z","2","123","71","194","1","0","0"
"97e180444d78609865e9c8612bbf76283064d29d","2018-02-25T10:08:58Z","0","0","0","0","0","0","0"
"d402a99fd87dc5c5d20f24342656237b18629838","2018-02-10T17:09:26Z","2","64","9","73","1","0","0"
"7073bc8c47aa26fe97e3ad6d545f7c7d843cb3a7","2018-02-04T17:43:35Z","2","64","9","73","1","0","0"
"61cdfefc364fd7d55b51eb00e8095d72e7138cdf","2018-01-31T01:46:24Z","0","0","0","0","0","0","0"
"fbad2d00171197cde64d0fa9d50ac2cc2ffbcdf9","2018-01-20T09:39:07Z","1","1","1","2","1","0","0"
"15719886f739259800b1cd3f50fd00776b8a48ef","2018-01-17T17:41:48Z","1","1","1","2","1","0","0"
"ca45b02ffcdb51bd8ad2f4f7fd4ec5434f921ebf","2018-01-14T16:18:46Z","0","0","0","0","0","0","0"
"b6efbabc3202feefbd8cd66a307d247f66496c3b","2017-11-17T11:47:49Z","0","0","0","0","0","0","0"
"9eb8c27724a669841f7a6ab38f7916bf8d4c691d","2017-11-17T11:33:50Z","0","0","0","0","0","0","0"
"195963357c4d79c40a14443af8a48edab03626d0","2017-11-17T11:24:17Z","0","0","0","0","0","0","0"
"28efdb4860672faa3154db52cb6aa4669dbb0a1c","2017-11-17T11:24:03Z","0","0","0","0","0","0","0"
"c88653ca2e4fe70d550b42781232fced3f0e2397","2017-11-14T16:23:53Z","0","0","0","0","0","0","0"
"b3068d9fe411978ad6dffe6fc47ec0194513e879","2017-11-14T16:23:52Z","0","0","0","0","0","0","0"
"dba4afd0cfd88408215f7b8a0725d104ef450337","2017-11-14T16:23:36Z","0","0","0","0","0","0","0"
"26160e1619326410e15e1bb6dc792546ddac4ec2","2017-11-14T16:23:36Z","0","0","0","0","0","0","0"
"b7e2eee4d692a0fd9b8c98ed66a67fc5fbbdd3ab","2017-11-14T16:23:36Z","0","0","0","0","0","0","0"
"28e09dc4938e65bbf022302972559ac0179b5ebc","2017-11-11T22:12:06Z","2","2","2","4","1","0","0"
"4a4b2db8c113e5843d9a1e7221cdb4ad75d0f0c2","2017-11-06T15:28:28Z","2","2","2","4","1","0","0"
"f16682bf4486d2a47d2dc4cf1b3fe59179f141b8","2017-11-03T02:42:29Z","1","3","3","6","1","0","0"
"18952b5ac0a0497378ae1462a8780b332d3cd859","2017-11-03T02:32:24Z","1","3","3","6","1","0","0"
"d2a66a42878e3da79f462caf2c1b364945e1a427","2017-11-03T01:02:26Z","1","16","2","18","1","0","0"
"722003d4790f8888cde4c8c35a0fcb484753a156","2017-10-30T16:33:10Z","9","207","101","308","1","0","0"
"ed8745cd634f3276b7f7bef4bf0f49987c83256d","2017-10-30T12:18:59Z","1","16","2","18","1","0","0"
"057e0c75caeb64fab06072c54d8373ed67722ff6","2017-10-27T17:28:20Z","5","185","82","267","1","0","0"
"cdf3cf7f814ad6a75ac51b1ec74f0d59ce8f6e6a","2017-10-18T01:05:29Z","0","0","0","0","0","0","0"
"2565abdaaae445fd150f63c07acbffda72fbbd92","2017-08-27T15:59:26Z","3","37","36","73","1","0","0"
"de855c50aa4435fa54510e299e10c1481ef59ea0","2017-08-19T22:23:07Z","3","37","36","73","1","0","0"
"4cb1ae802a314a6d84667eb0ec99a6347d0b4cb4","2017-08-18T02:30:01Z","1","15","1","16","1","0","0"
"2e0a8137bd911736ded8bda32c07203a0a97e9a6","2017-08-14T17:01:31Z","1","1","2","3","1","0","0"
"f177c972589463674c4e3883a494cf4c1f186721","2017-08-10T23:12:41Z","1","5","5","10","1","0","0"
"7d8353401ad0943a00423cb4f3e7d71a4b6a162f","2017-08-10T23:05:57Z","1","2","1","3","1","0","0"
"7fed0230806031033eaeda8ed1a2851103b91fee","2017-08-10T01:52:36Z","1","15","1","16","1","0","0"
"d9b8507e6ac4bf76f089ab96222273126ae45a4a","2017-07-19T23:57:32Z","2","58","30","88","1","0","0"
"d345bc528e57dddcf6a9916141ff4174422cdba3","2017-07-15T23:51:18Z","2","72","16","88","1","0","0"
"6f238a369812246c33e841684904f423709fff8d","2017-07-15T16:17:27Z","2","72","16","88","1","0","0"
"4dbc5ef8036017c05c107d5e62be322213726930","2017-07-09T22:48:40Z","1","1","1","2","1","0","0"
"5c80c9157d86b5f22bf5b905b23a4039d37de348","2017-07-09T22:47:09Z","2","2","2","4","1","0","0"
"a129ebe8e47df8121fdc3f37801610f682d57ae5","2017-07-09T22:09:14Z","1","16","3","19","1","0","0"
"641b68dd55c0682c3ca32034347fd1972131b123","2017-07-08T01:33:46Z","1","15","3","18","1","0","0"
"643b25140f84231667683b8c8179eb1809b710cb","2017-07-08T00:48:42Z","1","29","26","55","1","0","0"
"3997a90d584e2f2cd0fea9e514b2b8984b835c0f","2017-07-07T16:24:27Z","1","3","1","4","1","0","0"
"1736a60ffe00b1e529cc43a7ba6df0a2b72472de","2017-07-07T16:17:45Z","1","3","0","3","1","0","0"
"e8b1b66888f95341b629aa6667b2820823a1ca2f","2017-07-07T16:17:39Z","9","198","101","299","1","0","0"
"5024f2d210ac9f1868baf7b8317758bf0b5e8001","2017-07-06T23:07:50Z","3","117","65","182","1","0","0"
"16baa323cff49ff9000bc7aa0a90791be84d5627","2017-07-03T17:03:02Z","1","4","1","5","1","0","0"
"52845366bd4f6ae6a947aea5169d682679f6914a","2017-07-03T17:03:02Z","1","50","20","70","1","0","0"
"e7e6ed9205b7aa127a70d3cf4e0275e7dc3d4f8b","2017-06-23T17:40:41Z","3","67","48","115","1","0","0"
"1add1247fa0e0a2d832d0ae8bda0db13d4ef3368","2017-06-12T07:05:26Z","3","31","9","40","1","0","0"
