"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b83cae51b5f3d31d52d0de0060e5ecd336a15895","2018-09-16T02:20:07Z","1","2","0","2","1","0","0"
"7ea4eb0f0fcc24978a6000479051d175b29f6a40","2018-09-04T13:52:48Z","0","0","0","0","0","1","0"
"593646eda0dd47573067eaefdd9f65278d973ccd","2018-09-04T13:39:48Z","4","137","4","141","1","0","0"
"f7eab7587188953d6232ffb082620f9f1c2e63f2","2018-09-04T12:43:30Z","1","6","0","6","1","0","0"
"4e5557a770bc0750a78b01b2a1a78aa145b9fbf5","2018-09-03T23:10:36Z","2","232","136","368","1","0","0"
"a274ff744b9e5581483ccd054030640f5fe5c672","2018-09-03T13:27:00Z","1","2","2","4","1","0","0"
"f4df55cc6bded85a3585a3056a965aae74acdcd1","2018-09-02T11:46:25Z","0","0","0","0","0","0","0"
"69c1a4e843d0d8261814b5cca84d3bd1dccc3f9c","2018-09-02T10:13:49Z","2","124","11","135","1","0","0"
"321844ebdaf44101b7bb8ed8e0474871467b6f08","2018-09-02T08:58:45Z","4","4","4","8","1","0","0"
"3b8b6d829a1b2747565cd30603f985c7f590f04a","2018-09-02T08:38:31Z","12","112","69","181","1","1","0"
"972350f6468d29fab17fe7f1502571685020515e","2018-09-02T08:32:40Z","1","3","1","4","1","0","0"
"c6df09e1f4cf137c25ca0d302824549e5035b1bd","2018-09-02T08:27:55Z","1","1","1","2","1","0","0"
"0e794f7fff772272236f5295c9d202724f3c4191","2018-09-02T08:27:55Z","1","9","8","17","1","1","0"
"0cae02a5cce16e883c2b2ec848ac4fa236dda262","2018-09-02T08:18:54Z","1","11","3","14","1","0","0"
"ba2a4165f5552768ce888f2e6b69018ce831f934","2018-09-02T07:53:52Z","1","3","2","5","1","0","0"
"621c993772d10462233f4eb4d42c64cdb64610d8","2018-09-02T07:30:26Z","2","3","44","47","1","0","0"
"28cc92d9b7bd32a1331536629025fb5509bfc59a","2018-09-02T07:27:30Z","2","10","6","16","1","1","0"
"d07b76aa55988635c50890b16ac6282789f4c971","2018-09-02T07:20:51Z","1","13","3","16","1","0","0"
"c05ab142b847735741c0eba136504bfb474412a8","2018-09-02T07:18:21Z","2","58","2","60","1","0","0"
"5b083dd0db525574b5b55edc59a46a9afba75247","2018-08-26T09:57:33Z","0","0","0","0","0","0","0"
"cd6c04d9fd254c41b8d50fb80c7780acf1057539","2018-08-26T09:53:22Z","0","0","0","0","0","1","0"
"4394d7ef9493459981606b26b3ae6036e5b2d831","2018-08-26T08:02:06Z","0","0","0","0","0","0","0"
"9080a488df863bcf8a74eeca65bc2c6a80eb324b","2018-08-26T07:30:21Z","1","0","1","1","1","0","0"
"015875a60d5c03afb3262c6ac88b0087267710f8","2018-06-24T14:04:48Z","1","2","2","4","1","0","0"
"ecb86ab42ade2b5b83d39c0ecc12b03d3d9a915d","2018-06-20T09:04:44Z","7","17","60","77","1","0","0"
"78b4701359ef807192549d74f82a79e9f47bd4b3","2018-04-22T01:46:28Z","0","0","0","0","0","1","0"
"f87a0d0d2a1345e324e1f12923b2af569729e43f","2018-04-10T12:55:39Z","1","2","0","2","1","0","0"
"a6a608c12cd8572379b9ddd4ea7c1924b76db3c9","2018-04-07T13:57:07Z","0","0","0","0","0","0","0"
"35502926d74b49d2984ce2035ab1072354bdf715","2018-04-07T12:09:18Z","0","0","0","0","0","1","0"
"b06f28cfb51e165b2d92c6330324f68886f8e1ca","2018-04-07T11:25:55Z","1","23","0","23","1","0","0"
"93e1f3982fa0b2ad2e1d2ffc3ffc224353dd9f6b","2018-04-07T11:24:34Z","5","119","35","154","1","0","1"
"e9aa3e4b7b35907f7c2ccbbe6f8cd532763f8a70","2018-04-05T14:10:57Z","0","0","0","0","0","1","0"
"39bc082adf2afcdb889e6b39fcbcf98147f09a94","2018-04-05T14:05:39Z","1","42","17","59","1","0","0"
"8f472cde1674e64a2fffffbdea7d79e469b9078a","2018-04-05T13:51:18Z","2","17","2","19","1","0","0"
"0719bf4596ea5edf02e3837557a1b048da7b79b1","2018-04-05T13:19:20Z","1","1","1","2","1","0","0"
"82526235dcc6acfb06298c0977373f83c33a5200","2018-01-01T07:34:49Z","1","1","1","2","1","0","0"
"11036504184b5c54db970f61b420b618ba9de569","2018-01-01T07:33:30Z","2","2","2","4","1","0","0"
"498d980dc50048eac371209f9c8a89488dfb90ff","2017-12-30T03:06:09Z","0","0","0","0","0","0","1"
"0e584d556ba41eb746161d66cc7942321ae4ea69","2017-12-30T03:01:18Z","0","0","0","0","0","0","0"
"568072f51487f263103a841d42c5e7734b51951e","2017-12-30T02:59:50Z","3","26","0","26","1","0","1"
"c90a0c81db1876baef197d2eb92c1d21645ab4e0","2017-12-30T02:58:32Z","1","6","18","24","1","0","0"
"c5cae9cbbc7bb1a47ad098d1ea05000e76c34cd1","2017-11-27T05:29:10Z","1","1","1","2","1","0","0"
"c96f5ffb64295f67ad42297db76444e7ed58272f","2017-11-27T03:49:16Z","1","1","1","2","1","0","0"
"399522f0649e8a14e959cd7b22d09b82fc71d00e","2017-11-12T05:21:37Z","0","0","0","0","0","0","0"
"12019cb8eedcc9bc182341e46cf96108351ac21c","2017-10-21T05:48:50Z","1","3","1","4","1","0","0"
"d5947437cc6272cb3f1b186cadee74f1f8072cbb","2017-09-17T02:44:41Z","0","0","0","0","0","0","0"
"1c3556a817925ef978f35cd797de6890c84711a1","2017-09-17T02:38:12Z","0","0","0","0","0","1","0"
"d0ea01c12346e355575a505c4cb242746ec56a41","2017-09-01T00:50:49Z","0","0","0","0","0","1","0"
"2b50dac36f595d61dd9a52457de6a7c2270996e8","2017-08-31T13:11:34Z","2","5","3","8","1","0","0"
"3d0091331d77f458b613555ff112d5398c8854ff","2017-08-30T13:38:25Z","3","32","10","42","1","1","0"
"d20fa11f126e1ebb3e9a9b787884b59755458509","2017-08-28T13:13:00Z","0","0","0","0","0","1","0"
