"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e8eb9f3bad23962d03db4af936abeeabd8b4071b","2018-08-31T23:26:46Z","0","0","0","0","0","0","0"
"232d61c18441a80d07ae214a71ec4e51b92e1e97","2018-07-17T14:51:00Z","0","0","0","0","0","0","0"
"b65ded643b790e26161352636bd78b94a95b52e6","2018-07-11T20:14:58Z","0","0","0","0","0","0","0"
"cbc9c01a227c044924ba8d1fe01b8b2586612f81","2018-07-11T20:13:34Z","0","0","0","0","0","0","0"
"7486da3af0deeb53f2f717d761d974fa77d548a0","2018-07-11T20:12:59Z","0","0","0","0","0","0","0"
"81732fab188f8ab642f1490eefcd620c74d50d56","2018-07-11T20:10:14Z","0","0","0","0","0","0","0"
"7e269ac2490f25611c027b81171f667de8ab1dcf","2018-07-11T17:46:26Z","0","0","0","0","0","0","0"
"022ad070e68e1e3a4b88f21084e8829a74bde361","2018-07-10T21:42:03Z","1","23","5","28","1","0","0"
"ecc414777d98181af7aaca4699604876d2dd8557","2018-07-10T21:37:22Z","1","1","1","2","1","0","0"
"239b1e62129e7eadfefd881827b7d4ac4fed46b7","2018-07-10T21:36:50Z","0","0","0","0","0","0","0"
"4d40d6f32cd13f81749bf1a850b308da2f2a72f4","2018-07-01T07:49:58Z","0","0","0","0","0","0","0"
"0776d7674381d8f21f6e6345610757b0bffb383d","2018-07-01T07:49:40Z","0","0","0","0","0","0","0"
"2cba6ff9f7700c3e8f8d4a175b6509b9614f43c4","2018-06-21T08:37:16Z","1","23","5","28","1","0","0"
"dd2ff51cd0b52d501e0c918fecb4f0e1cfb8e2e5","2018-06-14T03:41:31Z","1","19","13","32","1","0","0"
"61083b6a66d08d4570584c1cd0d8356b652c66c1","2018-06-14T03:35:31Z","1","19","13","32","1","0","0"
"e1311611174509d7f6fbc157f35ca6a6d0ab3b5a","2018-06-13T21:24:47Z","3","12","45","57","1","0","0"
"2b699587a93bb317d730c6a7b6db78499946b5f6","2018-06-13T21:21:51Z","3","12","45","57","1","0","0"
"701c5a196e3b7aee6cd072499f67b295a58be356","2018-06-13T03:53:00Z","1","1","1","2","1","0","0"
"c401e730aa736188dd63b7dfebd55c131b8c629a","2018-06-13T03:49:29Z","1","1","1","2","1","0","0"
"5fe9a7a8fa685fc4c78f9f6b998315d6257c264b","2018-06-13T02:46:09Z","1","45","11","56","1","0","0"
"4a81351ab54721c5f87cf3674e470afcbfa54faf","2018-06-12T23:47:02Z","1","45","11","56","1","0","0"
"a88a3b0a98c6a03bec9d84880df19976c53ef9f9","2018-06-12T14:56:10Z","1","3","0","3","1","0","0"
"89d1f2f74f0d5baa73e0c974e20273f0836f8777","2018-06-12T14:51:08Z","1","3","0","3","1","0","0"
"6d44dbbc390cb5fecf4d07b14f981d8b163d32f9","2018-06-12T05:24:20Z","1","1","1","2","1","0","0"
"b9640cec5de6cbfe01fd322564067a39a40696f0","2018-06-12T05:20:57Z","1","1","1","2","1","0","0"
"58267258189962ef57f8592bcb106e40912ee93a","2018-06-06T22:03:16Z","1","7","2","9","1","0","0"
"e4928527728fd8aec5f7e772d0b082e79ff6aeb8","2018-06-06T21:59:04Z","1","7","2","9","1","0","0"
"eaf6034531143f9944b43c26b3ff523f95cab40b","2018-06-06T21:42:06Z","1","3","25","28","1","0","0"
"029ef72bc7ac453f4dc298f91c842b03dee1ed72","2018-06-06T21:39:21Z","1","3","25","28","1","0","0"
"a988d06e1e91b3e592132656ac831274d10a031b","2018-06-06T21:33:06Z","1","3","2","5","1","0","0"
"12632f770fb37eafe6542454e9192ba90261f9f6","2018-06-06T21:28:17Z","1","3","2","5","1","0","0"
"a523d22cbbbf6e71524893da5551b2dfa83c8c17","2018-06-04T20:31:00Z","3","60","34","94","1","0","0"
"bc301355383afb42e65d1be98e5db57821c219a0","2018-06-04T19:40:03Z","3","60","34","94","1","0","0"
"3e53cbdd99b9ffb8e38295a908e29e9b28b86190","2018-06-01T23:49:54Z","2","51","1","52","1","0","0"
"7f068fc170ff26efce03fd73ad6ba269628465a1","2018-05-28T22:35:39Z","2","51","1","52","1","0","0"
"c8761dd24b6ecd5421d1bfd6d479e03456afbd50","2018-04-17T17:56:21Z","0","0","0","0","0","0","0"
"039be12399b496daac5b23e27d6d0e62fa41f833","2018-04-16T22:35:25Z","0","0","0","0","0","0","0"
"c0a9f3d3a384d44162e1814431be1651c656b151","2018-02-02T21:36:23Z","1","1","1","2","1","0","0"
"95ceab2ca15c1600feffb4e90e58c3c4f64a610f","2017-08-24T22:21:11Z","1","12","8","20","1","0","0"
"f4047650f2b654bb9ef33f2408212915e410e835","2017-08-24T22:14:18Z","4","166","76","242","1","0","0"
"344f211ef94b78e91f6a070fa92e3c55b9c77cbc","2017-08-24T18:58:51Z","4","166","76","242","1","0","0"
"5c4501bbd44ab8b4d03dc5e53beed711bbaab0e9","2017-06-06T04:01:15Z","1","12","8","20","1","0","0"
"e2d95e581a8bd75faae81f166daa4297add747c5","2017-03-02T17:28:59Z","0","0","0","0","0","0","0"
"9bcc50ccb36849316cbad09287d6bef93ba7c80d","2017-03-02T17:22:34Z","0","0","0","0","0","0","0"
"ed86b3e8b9dbb20333033ca287802e30051201da","2017-03-02T02:42:23Z","1","1","0","1","1","0","0"
"89f794971348d8a5a757e8e3931d7f3378b60c5a","2017-03-02T02:38:35Z","1","1","0","1","1","0","0"
"9d8c43a08bd9e5b4dc23a8c961b0a5eaf14bb671","2017-03-02T02:23:14Z","3","26","48","74","1","1","0"
"673479265536f5ccf178f9d6311962ee6709ef0d","2017-03-02T01:45:27Z","3","26","48","74","1","1","0"
"dedfa28726e1825b18d29b4e8836886fda0710be","2017-02-06T17:52:22Z","1","1","1","2","1","0","0"
"e9de6d19b04463a8536dcb3daddc05d81d9a538a","2017-02-06T17:44:29Z","1","1","1","2","1","0","0"
"5bbbc5e035a8c1aba9eadf8e7d11ee60e60f746d","2017-02-03T20:30:12Z","1","28","28","56","1","0","0"
"c04df86675ce795c91e6845df1efe9263b2b9c27","2017-02-03T20:25:43Z","1","28","28","56","1","0","0"
"50c424332ef2c1058fce7c3f5703d751e147a51e","2016-12-14T00:59:31Z","2","19","7","26","1","0","0"
"04c73cc804e5e78205f0227ec7db81a3f07d639f","2016-12-13T21:28:05Z","2","19","7","26","1","0","0"
"107bf2024e257f5a10f8180bb2cfa01221dc37d5","2016-11-18T18:10:45Z","1","5","0","5","1","0","0"
"4444852ebad0ababe3c50a8dc656a8241519de64","2016-11-18T18:07:39Z","1","5","0","5","1","0","0"
"de8321359bc44a1bf3c669ed7e97926993c6f9e6","2016-10-28T00:53:01Z","2","28","7","35","1","0","0"
"0ae5c513d3edbf6e983f58b462e84f15a546d765","2016-10-28T00:25:15Z","2","28","7","35","1","0","0"
"d446da3443a912a62487a0efbdbd9b0afe349a3b","2016-10-28T00:03:25Z","0","0","0","0","0","0","0"
"33834484954da686f78e1fa993ce97a346a02543","2016-10-28T00:01:37Z","0","0","0","0","0","0","0"
"fa5a6de40284167c27bfe011079f2906ea0c7a02","2016-10-27T23:53:56Z","2","28","7","35","1","0","0"
"0256e8ae6a06eb9c4f37a35fe2bf53c019cd6d3d","2016-10-27T23:39:55Z","1","1","0","1","1","0","0"
"bd819f674c7546fd6d81bcbaf28441ae8233d249","2016-10-27T23:33:46Z","1","1","0","1","1","0","0"
"0eb73927ceef536c530c6caba76def7ae76bbf41","2016-10-19T21:54:43Z","17","1286","44","1330","1","1","0"
"4693ca789669925ad6b7c501feee35aea5f3e580","2016-10-19T21:34:06Z","0","0","0","0","0","0","0"
"5b682ace0786c5df9296c8a15ed5d6ebfab3baea","2016-10-19T21:30:10Z","10","235","8","243","1","1","0"
"d9131f4ce5912becaa6144ae6ec631214c0b0f1d","2016-10-19T15:57:37Z","0","0","0","0","0","0","0"
