"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4c22e33b8a6168ec8d86daaa8cdcb365fe5ed477","2018-09-28T21:03:49Z","0","0","0","0","0","0","0"
"6e4ae4fedf67ba28771d52e626f94c79c54db275","2018-09-28T19:56:26Z","9","30","29","59","1","0","0"
"b1bae4ffbb3aee8c67edfbb520488c5e54e5effa","2018-09-25T20:43:09Z","2","7","8","15","1","0","0"
"748160e6bbf821204d622ed09c719f35fc4bccd7","2018-09-24T23:08:33Z","4","68","57","125","1","0","0"
"80b4b741cdbfe36b34e52235d9676e4d76c31501","2018-09-24T14:36:14Z","15","5043","4751","9794","1","0","0"
"6ecffe5e2cb068af2b0030cea61c6240042f2eaf","2018-09-21T21:34:18Z","1","1","1","2","1","0","0"
"011bc0ab21fe67bbc3ebbdd75479852a8dc5cd64","2018-09-20T19:01:35Z","44","0","51","51","1","0","0"
"f93c6d02c57002e5a92c19b4ed0d862d070b6ff5","2018-09-20T15:50:41Z","1","1","1","2","1","0","0"
"73b400a723a744de2f769d060217d036021de363","2018-09-19T17:54:45Z","3","56","15","71","1","0","0"
"e86ed45e8f5a0fbafa28076409978ca3420e88b9","2018-09-19T17:42:24Z","1","2","1","3","1","0","0"
"82a55cc16032f04b490b70d84c0115551bcb571d","2018-09-19T03:48:04Z","16","156","72","228","1","0","0"
"bf75c255086dfd7b812ba56e5c3259e3e6469bfc","2018-09-18T21:26:04Z","2","2","2","4","1","0","0"
"a7a1fd05f001b01fa057a6cea99d6644e307b4e5","2018-09-18T02:37:18Z","3","33","3","36","1","0","0"
"4077eed1d1a0d16f044bf2fb30b03ac55634f486","2018-09-17T21:24:28Z","1","1","1","2","1","0","0"
"9d8df7c4aea0f9a04c003d8fd27f8b27b5172f87","2018-09-17T19:45:54Z","1","7","1","8","1","0","0"
"f195aba0fd62bfb6ae484dbc265ba3d612000e92","2018-09-17T18:32:53Z","0","0","0","0","0","0","0"
"86063536f39106949146a490c65775eec4852ff3","2018-09-17T05:20:07Z","9","29","21","50","1","0","0"
"76a5bfc2cb8c9c2471d05f76f7ea9a7071ba0b34","2018-09-14T22:12:53Z","1","7","2","9","1","0","0"
"d8534171e70a88cde01e99e57ee567e1bd7c616b","2018-09-14T21:29:14Z","1","6","0","6","1","0","0"
"04db583af7efdbe0aae454b92827066ab1c938e5","2018-09-14T00:14:38Z","5","198","40","238","1","0","0"
"c8ec22a44991cfcb639f88a534e9f8e4ee40ea50","2018-09-13T18:42:59Z","19","294","79","373","1","0","0"
"f3a8accebbb181447e0fcabe3794bbb629ee92bb","2018-09-13T01:06:23Z","0","0","0","0","0","0","0"
"ecf49850be9328da4284d68fefe56281b346fb44","2018-09-12T18:10:41Z","1","1","1","2","1","0","0"
"1e2338a517e0d7bc0e60c1bcc7c2abf7343c1070","2018-09-12T17:57:12Z","1","42","28","70","1","0","0"
"1d03ead43fff3b80815572507ad5fbdc83449fb7","2018-09-11T17:38:15Z","0","0","0","0","0","0","0"
"efdb51dbbc25ae79ff615b7f18a474586649fc52","2018-09-11T06:38:19Z","1","29","30","59","1","0","0"
"088304c9ec749f8f815dd33d8c28cf70e26d4c73","2018-09-10T23:10:06Z","3","9","9","18","1","0","0"
"48dd86a7e3425c79f7bbfa5717da8c85bcc457c0","2018-09-10T06:42:03Z","4","222","12","234","1","0","0"
"4a97a08fede570bcd565db1e5028553102c1b2b4","2018-09-09T01:01:17Z","5","115","51","166","1","0","0"
"cc1d5843c5257a5585d80ef317bad4558efeb75c","2018-09-09T00:59:23Z","0","0","0","0","0","0","0"
"5856717cc4f6f919754af796a1a29d79de77687a","2018-09-09T00:29:14Z","3","81","11","92","1","0","0"
"41ba4bcad05bdacaf1371af70185a0896dd29483","2018-09-08T01:15:25Z","5","5","20","25","1","0","0"
"bb84f30df09fe4c4ff3f18d2dd9c05158529300a","2018-09-07T20:25:21Z","0","0","0","0","0","0","0"
"75eee837e5a78b3a099b3942a8cc4bf397a07857","2018-09-07T17:54:31Z","0","0","0","0","0","0","0"
"3e298c52fb5634531cca86437cd85e9ce7cf2a51","2018-09-06T23:23:04Z","9","518","42","560","1","0","0"
"149804ac5ce6fe005bd00c5a244b535c2e7b527a","2018-09-06T23:22:22Z","18","885","15","900","1","0","0"
"f4453b80cbdf6ecabef4f95b21a7276b2a505d9e","2018-09-06T00:27:59Z","0","0","0","0","0","0","0"
"1582a4a8b6272b48e86cfd35ad2f3259e17718ac","2018-09-05T16:25:59Z","0","0","0","0","0","0","0"
"bc4b79223383ab5070a7207ebab8ceb47c0bac19","2018-09-05T04:44:20Z","1","82","18","100","1","0","0"
"5c608d420fd128423406fa894673df0dc423d3d5","2018-08-30T19:35:51Z","2","88","15","103","1","0","0"
"68be15680ddff766e2e77ceb74a092070503ed02","2018-08-30T04:34:14Z","1","35","31","66","1","0","0"
"7fc2964e4c347a5f283edddd8a51bc2ca46f51e2","2018-08-28T14:11:14Z","5","131","37","168","1","0","0"
"b2a700332e5fef1ae2e86c867715f814ea1513c5","2018-08-27T18:27:15Z","1","2","1","3","1","0","0"
"f83c84c0fcd49eca9b7adc621dbbf387c5be8bed","2018-08-24T20:00:23Z","1","40","7","47","1","0","0"
"eaffbed50070c6866338ee8500f38eb357677078","2018-08-24T19:22:19Z","12","273","251","524","1","0","0"
"55da42fc077a21734a47ec896163fbab5a5349e8","2018-08-24T18:10:23Z","2","3","6","9","1","0","0"
"e281eb51cfd7292250313897b699664ab4be5a65","2018-08-24T17:44:34Z","4","142","179","321","1","0","0"
"9f2fb9077c5ded3179223ccaae94e52f3fafbde1","2018-08-23T15:36:21Z","1","15","3","18","1","0","0"
"de79bd418c014b3fd0da92a733a2c2670dd3fa75","2018-08-23T15:13:30Z","0","0","0","0","0","0","0"
"47fcb43024c60ab86571e7950f4c3aa83d54f09e","2018-08-22T23:18:27Z","7","105","149","254","1","0","0"
"0fb3522d687c60e85732c482f41d75f68a7ad2cb","2018-08-22T21:38:07Z","7","674","4","678","1","1","0"
"bd1b33963af04a80ac91f83a20c877ec2fecb08a","2018-08-22T18:39:15Z","24","182","159","341","1","0","0"
"5fe14616505ff1a2b03329ecbc58cb9b6f6f7bac","2018-08-22T00:35:58Z","1","16","116","132","1","0","0"
"4f588e9a1adc851b65899d382662a3b75b46be80","2018-08-21T18:06:42Z","2","40","2","42","1","0","0"
"55ee27b12f247044a45cc874824699e471d08c06","2018-08-21T17:56:50Z","2","20","6","26","1","0","0"
"a658be41b71733cf50e54fed5784da4837d208cd","2018-08-20T18:26:57Z","0","0","0","0","0","0","0"
"ba65116bae17730b94f77352c4c65a69c2f894d4","2018-08-20T17:01:14Z","0","0","0","0","0","0","0"
"1de584b5df9de04f907616fb9f382c1109a80586","2018-08-17T19:57:05Z","68","9060","1883","10943","1","1","1"
"2c540de430e3339d48e96c548184a45a645a3800","2018-08-17T18:35:53Z","1","7","5","12","1","0","0"
"f0ac4ffc0c733b0ac30378e1692d6a3db217b42b","2018-08-17T18:11:37Z","1","37","32","69","1","0","0"
"108322de75dd14cb56af68218806a6663a1ca3d2","2018-08-16T21:04:48Z","0","0","0","0","0","0","0"
"bc8f40eebcc4f335ea8b1c4763a31b60dbb1889d","2018-08-16T20:41:13Z","1","3","3","6","1","0","0"
"76e0e71b486c86ad61426421321fee58439be134","2018-08-16T18:40:06Z","1","12","6","18","1","0","0"
"076c280d05483f42b1413cc1c7be1cf1af6deac7","2018-08-16T17:58:42Z","91","17","18196","18213","1","0","1"
"fb222af754348363e9102def5b4b21f99a4a20e7","2018-08-15T20:32:38Z","0","0","0","0","0","0","0"
"a0c06486edc86ce6ed528721b5431595908da50a","2018-08-15T18:49:32Z","3","31","0","31","1","0","0"
"ed1d82aac984f87624f2453bba27534f14b65965","2018-08-15T16:32:40Z","0","0","0","0","0","0","0"
"08a3bea76a7ce9ef1992766e8190d9b45da29de4","2018-08-15T16:28:45Z","21","712","243","955","1","0","0"
"3df16a3e5f67d9de0276b46987306351a7392118","2018-08-15T00:56:32Z","0","0","0","0","0","0","0"
"2f89f3c185e2b51a3d374f5584108dac2d606eb6","2018-08-13T20:41:50Z","0","0","0","0","0","0","0"
"1a614bb0673270533c4bd41fabfa99d6f80b3ecb","2018-08-13T18:40:01Z","0","0","0","0","0","0","0"
"4b6636b1fc115f6c05814b8c0cda1efbc5d5b3af","2018-08-10T23:34:10Z","2","19","2","21","1","0","0"
"24cceb7a5a13905f4d58fcbc1160db395719541e","2018-08-10T22:00:49Z","0","0","0","0","0","0","0"
"b7595f8e90675ebe7cce65978ec96aaeba36fa2e","2018-08-10T17:18:11Z","2","10","15","25","1","0","0"
"1e03f2cc765f3e005d1a87ee518804c4e41ca718","2018-08-10T10:00:23Z","0","0","0","0","0","0","0"
"c37d7d36871a6fe714802f7e7507da23d94779f4","2018-08-09T20:24:36Z","0","0","0","0","0","0","0"
"313ad1e79da832b3f39cc230da48be21569b5321","2018-08-09T17:26:08Z","2","2","2","4","1","0","0"
"7111b3daaf8a9277b2636b46312670a93a122400","2018-08-08T21:23:18Z","3","32","0","32","1","0","0"
"f49e573013e57ca9f3f8b2905a074f9b7a293f87","2018-08-07T21:19:17Z","2","1","14","15","1","0","0"
"30bd7a82f4439895245774ae6fa1befef032db83","2018-08-07T19:58:30Z","0","0","0","0","0","0","0"
"87427b72365f32f53c66e20f761efe3faaab84eb","2018-08-07T19:40:54Z","7","112","12","124","1","0","0"
"7df565db9552b5c9519a2db187c30e051d67ad28","2018-08-07T18:53:15Z","0","0","0","0","0","0","0"
"8ae2ed300d4a38b4b309f6b81eb4da86f1ef090c","2018-08-07T18:52:49Z","1","1","1","2","1","0","0"
"73197de153ade373b5b2bb311d140237a7f278b1","2018-08-07T18:27:25Z","1","6","5","11","1","0","0"
"b5fe53e833337e05aa822f0ecbce3acf9dad9d80","2018-08-07T18:01:15Z","0","0","0","0","0","0","0"
"8f7ee5ce049ed0e034239c4bd874900f71e05e85","2018-08-07T01:59:09Z","6","105","27","132","1","0","0"
"c68c1971ba45c8b3cd79d9456721d9ebe45826c5","2018-08-06T23:12:08Z","1","8","8","16","1","0","0"
"ee1a18260afab9e545f8f413ba2cc470d1fb8a94","2018-08-06T17:27:33Z","2","9","2","11","1","0","0"
"fe0e2aac91cd071647b6d67a63c1cd7377f0c751","2018-08-03T18:10:42Z","0","0","0","0","0","1","0"
"3a055fed9d24a6fcc1fa689a6cd9e2c78f60af96","2018-08-02T23:42:31Z","1","3","2","5","1","0","0"
"61280588c68592b30ce5b4188782327839f047eb","2018-08-02T19:02:59Z","1","9","12","21","1","0","0"
"8d5012c32af81778364b06b09bc317db12c57255","2018-08-01T22:48:30Z","1","4","9","13","1","0","0"
"5df9751df3f0c73d3b97177e514511651413ef95","2018-08-01T22:39:17Z","7","167","72","239","1","0","0"
"28801ce05468f7a0e4f7b410b90d025fd5ddd27e","2018-08-01T21:58:03Z","4","168","3","171","1","0","0"
"5050b1993b5f8b90078185f0f116108f5c43d865","2018-08-01T18:22:07Z","1","6","5","11","1","0","0"
"4b43834013486781267a3401f4842b9a480721b3","2018-08-01T18:21:05Z","1","4","4","8","1","0","0"
"dab09d756dc4351be3722c94fb0833cc0ceb2cc4","2018-08-01T18:20:27Z","1","8","5","13","1","0","0"
"825f687fff2641ae51453fe272f9d0fc609829f6","2018-08-01T18:13:37Z","1","3","3","6","1","0","0"
"45f89843664e3bc471ceb01193e1f1e9f70a14d2","2018-08-01T16:52:56Z","12","136","118","254","1","0","0"
"27c7641af9204b01b3ab13c484061f533955e5d6","2018-07-31T00:34:23Z","0","0","0","0","0","0","0"
"43b13f43ee35997cc0a97e164fec8cd74f104ee0","2018-07-30T20:50:26Z","1","21","13","34","1","0","0"
"988423fb92cbf37f916150dd4f3dd00bad7c8ae7","2018-07-30T20:03:54Z","1","2","2","4","1","0","0"
"c1301c436ddb98e943d087a35b5ae97aa8c1420c","2018-07-30T18:40:31Z","2","2","2","4","1","0","0"
"e387d08c63b2036170caa1d042e52195ec2b3196","2018-07-30T17:09:57Z","1","6","1","7","1","1","0"
"65a6aa6a7a47333bb13c5d7dbb4d6284b3ab80f0","2018-07-28T22:25:08Z","1","5","0","5","1","0","0"
"e311beddd1010ac16a50c7fdc40ad70007383a88","2018-07-28T22:23:55Z","1","15","13","28","1","0","0"
"edfc1a72021df958f0075818a14e8597e1949a8c","2018-07-28T22:23:06Z","2","133","80","213","1","0","0"
"4a6deb6ebbd7e639a0fb89ddcbc189dbe3d407f6","2018-07-27T21:03:37Z","0","0","0","0","0","0","0"
"23c2527994a3682b04ad05bb677e81cfe81ffe5e","2018-07-27T20:27:08Z","6","52","67","119","1","0","0"
"683b00cc356f47044c647b81e000014726d5787d","2018-07-27T18:12:07Z","0","0","0","0","0","1","0"
"f2465ed43b150f0050880b8f422bed79ae3da53c","2018-07-27T17:15:11Z","1","20","4","24","1","0","0"
"254d39ee743461ee763475b502c58b901ad1f14b","2018-07-27T17:14:14Z","0","0","0","0","0","0","0"
"37f46e7d6b72e5218f208d4640c9a044ec1e4a37","2018-07-27T03:25:33Z","0","0","0","0","0","0","0"
"d82c0d3c013a327bac457dbc7d006cfc2cddad50","2018-07-27T03:22:20Z","0","0","0","0","0","0","0"
"5c60c7a5bfd5d32ef1eda2ed0ce61369cdaf5591","2018-07-27T03:04:04Z","0","0","0","0","0","0","0"
"ab48466fdf3326432cf7c8393b12a944d101427d","2018-07-27T02:47:08Z","0","0","0","0","0","1","0"
"9306cbfc76beacdad55d77ca8d855201bd393e72","2018-07-26T15:16:28Z","4","347","31","378","1","0","0"
"9e3dc5cdead744c62c97ab0cc3c6e9d490a17676","2018-07-26T06:03:00Z","1","3","5","8","1","0","0"
"296c29b312f3f26bc63e65d1b3772d6ce2a28af6","2018-07-26T00:27:40Z","0","0","0","0","0","0","0"
"807c848bf9624db0e51c5f59d79a170dd535bff4","2018-07-25T23:12:11Z","0","0","0","0","0","0","0"
"0d904883fdf178a19652d5eebf9b726cc1dbce01","2018-07-25T20:19:53Z","1","6","5","11","1","0","0"
"2eca63a8c35c8040ce6796952a3e5a82dee499e4","2018-07-25T14:33:54Z","0","0","0","0","0","0","0"
"c539fa29ab31b5deb06bb80e0815f75356b59ac7","2018-07-25T01:05:55Z","0","0","0","0","0","0","0"
"a6f412d92aff9cb2e17567822f9783bab824cafe","2018-07-24T23:48:29Z","2","32","24","56","1","0","0"
"631fd6d766019079e233e2a8ec51a95029cbf1b9","2018-07-24T15:01:36Z","5","26","15","41","1","0","0"
"77038ab8d8b7f0fc50be29f1a27eeb748c66aa80","2018-07-21T15:53:34Z","1","4","9","13","1","0","0"
"1f6a99377ca00873b2d5a7ccedb544e76e4e974b","2018-07-20T22:57:21Z","0","0","0","0","0","0","0"
"96779ffb3db84cb9cc56ff4669bfcf3d47e51432","2018-07-20T22:11:43Z","0","0","0","0","0","0","0"
"e97aa13190d51ded80c4c266649b151e874df720","2018-07-20T21:40:47Z","3","4","0","4","1","0","0"
"c05fd32929a8e5f5dc2b802a0ad50902bd5eea6d","2018-07-20T19:48:31Z","8","407","209","616","1","0","0"
"da3a2b88d1612de3a9704780cf960572266afceb","2018-07-20T18:37:48Z","4","93","54","147","1","0","0"
"344836c1c53c75bbae050cd0836a8d22d6b8778b","2018-07-20T17:15:14Z","0","0","0","0","0","0","0"
"d391446cedd5d4e4f94a507742b79039aff8dec0","2018-07-20T17:00:05Z","1","23","25","48","1","0","0"
"8ae099b42fccc31b2edef37fcf592121f63d5409","2018-07-20T00:25:45Z","3","81","2","83","1","0","0"
"ce2c3140b0f16264b502cd6eecdba036f37c0aa4","2018-07-19T23:23:06Z","0","0","0","0","0","0","0"
"697bf9d67745923a4b4a4757ddb51fd5c6a327c9","2018-07-19T23:21:59Z","0","0","0","0","0","0","0"
"9bf04ebeda7dd46be8a1af369d0e077aec4f4320","2018-07-19T22:45:05Z","14","226","100","326","1","0","0"
"47bd2c31b9bd4f718d0e5b3aee03e70576c1debb","2018-07-19T21:51:12Z","5","12","14","26","1","0","0"
"9afd440a8f2f6d9fba1d6f9301189402d556da79","2018-07-19T18:09:55Z","1","8","2","10","1","0","0"
"5a4864a338f33e1c5a5b26e7cb4d9ec4a80daafa","2018-07-19T17:55:01Z","2","119","1","120","1","0","0"
"48d47da8c9bdb0729d8519a80191c916b493b49c","2018-07-18T20:03:43Z","0","0","0","0","0","0","0"
"b66709cfe47afd39126f37a2b1279355381d11ae","2018-07-18T19:41:11Z","1","0","5","5","1","0","0"
"e38c8a6cbc40ade516f2b0b8afc7478378023781","2018-07-18T19:40:28Z","1","3","1","4","1","0","0"
"a106ce70b1431710b71be6648fd80b6838b8b794","2018-07-18T16:05:21Z","13","15","17","32","1","0","0"
"7a45cc435ddb5820f15c00f78bb45e7365f056aa","2018-07-17T23:56:20Z","1","1","0","1","1","0","0"
"4d095fa2bf31a1d1e5fe79dbd7cd8ef88b8436ae","2018-07-17T23:04:33Z","0","0","0","0","0","0","0"
"ba88cbb9e81fccb7353a516f00d4e9f1669a543e","2018-07-17T22:57:09Z","7","1534","1282","2816","1","0","0"
