"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"da508171a11c1e69105ac2e6fe5d2122c45e5e39","2018-10-01T05:20:33Z","1","0","1","1","1","0","0"
"5b7811f20dc54a6181201c0825d83c3b2e154820","2018-09-30T11:17:23Z","3","3","2","5","1","0","0"
"d04bcfe283dd347f6cd5fab9482308e3a7f1d4f6","2018-09-30T10:19:18Z","2","2","2","4","1","0","0"
"f4c46143d0849434e741b66eebfe54eeeb70255c","2018-09-30T10:14:36Z","1","1","0","1","1","0","0"
"40b3b8f5fca536de36a41abef56e4eb63dc84bf9","2018-09-29T10:23:52Z","1","2","1","3","1","0","0"
"3a9dc67e95de8e50e621688814c8e790337ab38c","2018-09-28T05:48:20Z","1","2","1","3","1","0","0"
"54d7b455728441b476cf779b7d1b0cf65d7e27a1","2018-09-19T10:54:10Z","1","1","1","2","1","0","0"
"c958784d6b8f3de628015023b72f348b17429fc2","2018-09-19T08:04:52Z","0","0","0","0","0","0","0"
"4d96755b3c2f205110a43ec6ac5c7e2be2e4ddf6","2018-09-19T07:45:30Z","0","0","0","0","0","0","0"
"8f4ff1a336a7f5275f6218ffa8c6f513e16bc773","2018-09-19T07:42:54Z","0","0","0","0","0","0","0"
"7bbb20b59a21d605ad21a7f59ec6f889f1145842","2018-09-19T07:38:05Z","0","0","0","0","0","0","0"
"70a82d0d72fc66e53b162aa89505a86120319b12","2018-09-19T07:36:23Z","0","0","0","0","0","0","0"
"4342872001aa162ab741776bab6a092943a58f6e","2018-09-19T07:27:47Z","0","0","0","0","0","0","0"
"515fd62820c39a80fd3b607e732928cb1d55b76d","2018-09-19T07:25:19Z","0","0","0","0","0","0","0"
"c15aca3689a55fed3b50bc3dd45c871f66dee0f3","2018-09-17T10:08:44Z","1","20","0","20","1","1","0"
"7cab6a14df4081bfc5800b63caab9d738dbdc6e8","2018-09-14T04:27:06Z","1","1","1","2","1","0","0"
"6cc17ad21a9acbf95b4c26e76bc52f821a5516da","2018-07-14T12:26:03Z","16","773","816","1589","1","1","0"
"0508939a9840594faa237180ec7134ad6edc6a0b","2018-07-14T08:39:53Z","0","0","0","0","0","0","0"
"79a4b69e36ca092e380a9ae1e96de4e943821224","2018-07-14T08:39:39Z","12","537","561","1098","1","0","0"
"f2df320e97e9570a8871c343059731f3299a09fd","2018-07-14T07:16:06Z","8","525","559","1084","1","0","0"
"7f7db7c48b70631c356758c5583a70a7e73dfd07","2018-07-14T06:49:43Z","9","168","260","428","1","0","0"
"7f4fbf85c2da8348a5a74d0f15f335dc75f4ec5e","2018-07-14T02:01:37Z","189","9036","3477","12513","1","1","1"
"d9dd0685402a838bdc7a6f7cd80c729a451c95e7","2018-07-08T02:27:43Z","3","164","125","289","1","1","0"
"7bfb489dc8998070ce985b3ec1a994b4332527b4","2018-07-04T08:45:34Z","1","57","58","115","1","0","0"
"834b183439bcfa09146372d35a80ac1a2bc8233e","2018-07-04T08:26:11Z","1","25","7","32","1","0","0"
"08afb061365aab6b4678e3dedfa3647d5ff60c7e","2018-07-04T07:21:55Z","1","0","8","8","1","0","0"
"5fb4862f674e5bc9343ea88630760aeacbdbb3f3","2018-07-04T07:11:09Z","7","123","12","135","1","1","0"
"321b4d82f06863e232ac5f0d02de7a48ea56c0af","2018-06-23T11:50:10Z","7","371","278","649","1","1","0"
"14f2584eebbc0c5d79f9e79f0946d1b059aa0d3d","2018-06-23T11:49:45Z","2","30","7","37","1","0","0"
"ce4dd92f979b88c76c9fe7d16600fc426c0c6432","2018-06-23T11:36:57Z","0","0","0","0","0","1","0"
"6f3af581837d67f8f0c36211753dfcd8c6921f60","2018-06-21T08:23:56Z","1","10","1","11","1","0","0"
"118855f3ca1730aae4a4736edbbca27de6afd579","2018-06-20T02:12:40Z","2","4","4","8","1","0","0"
"5cff8933753dfec5c7dbffdfb46a8b8fa28b4bb1","2018-06-20T01:25:12Z","3","77","6","83","1","0","0"
"1b9576a0b229818823e9deb0c237c5880171330a","2018-03-26T08:45:25Z","1","10","1","11","1","0","0"
"630553b9910865e374b87fe78421e3e5448c4520","2018-03-22T05:57:04Z","1","102","72","174","1","1","0"
"8d65fab59ec50ae7413b4ca66fbc92bf02e41f7f","2018-02-14T02:41:26Z","2","277","272","549","1","0","0"
"b1e0ef21896f6ad651ba82b17e1fc5eebd02c60a","2018-01-09T07:01:48Z","2","4","0","4","1","0","0"
"dc832e5d35452bf32ec917f41f5eb5b1b9096955","2018-01-08T04:14:09Z","11","42","21","63","1","0","0"
"d64b2fcbf605012b2f5ba9c294dde6ec7304ffcb","2018-01-08T03:56:22Z","1","3","3","6","1","0","0"
"54d01bdd9b3f6e28eca3485b0747cdeb916dfa07","2018-01-08T03:51:38Z","4","69","59","128","1","0","0"
"6b1a3846954697b30068d2fe6d2f26803d14be73","2018-01-04T04:19:12Z","0","0","0","0","0","0","0"
"afb4eee9ca1d302658c66f5189099fa7c101299f","2018-01-04T04:18:56Z","1","9","0","9","1","0","0"
"2ea46ec08c3338009d7489e5a5bcdb349a5caebe","2018-01-04T04:18:22Z","3","13","2","15","1","0","1"
"7b4b9a41b64a30d9fac8c2d6c5ea3ea55b358e8e","2017-12-24T12:44:40Z","1","9","0","9","1","0","0"
"c2fcfdfc6876cce6b7c75d32c9bae06b7ed53499","2017-12-19T06:15:58Z","3","23","10","33","1","0","0"
"a70201ab5231ad6511884df8420e78909eee156b","2017-12-18T02:32:59Z","2","14","28","42","1","0","0"
"8023f0de338135144df339eac218aea0eef0ffba","2017-12-18T02:11:29Z","1","0","2","2","1","0","0"
"a97a44a9f650c125e4562e018489fd839561852a","2017-12-18T02:10:00Z","2","9","3","12","1","0","0"
"f184247ce758d14ca191f7b40afa6d999aefd8b7","2017-12-17T08:50:54Z","1","2","1","3","1","0","0"
"662604c9213ce8cbd77de3d6ad404e14e4e702d3","2017-12-16T15:12:18Z","1","2","1","3","1","0","0"
"03a93aa2a20906157fd42089a20000ef76b065cb","2017-12-14T07:23:38Z","1","40","21","61","1","0","0"
"589b0c72ee800bba0bf543030b52db6d9f497f93","2017-12-14T07:08:40Z","1","0","2","2","1","0","0"
"e086b74a0936573e6345a244f7e00e8fb379b594","2017-12-14T07:03:35Z","1","42","21","63","1","0","0"
"5c3a0fe639c66b5c612822e6189d9a3c5d3c5da8","2017-12-14T06:25:00Z","1","2","2","4","1","0","0"
"5d910129f1b1c62f0fa866dc65affb1d862e4af6","2017-12-14T06:20:04Z","1","2","2","4","1","0","0"
"beaf569bf5a81559674859f1d2df8c9c4bc58c19","2017-12-14T06:18:52Z","15","1263","183","1446","1","1","0"
"c171fcc113f1af18b504f4dbecfc83f8b2d64b36","2017-12-11T05:33:43Z","13","1192","181","1373","1","1","0"
"1b2160849c2919e9fd807bd2bec946a55169dc14","2017-12-11T05:33:32Z","2","71","2","73","1","0","0"
"29479f1885d3fc83d58efb47f6ebc5ed83600ed1","2017-12-09T13:25:32Z","0","0","0","0","0","1","0"
"a8bd900da2245109474fc98c15a82b47750dcb4e","2017-12-09T13:15:24Z","13","61","78","139","1","1","1"
"020fcf59408aba88c61ec7d97223ae99a9ee773f","2017-12-09T13:15:14Z","12","1186","181","1367","1","1","0"
"3f10cbe9eccca17025c12fd89cbed203140bd3af","2017-12-09T09:23:38Z","1","6","0","6","1","0","0"
"ae988802c420cd4e2b2307eba1657522748f2cb4","2017-12-09T09:20:56Z","1","6","0","6","1","0","0"
"9ffd0ac25c65c5b8d51efb47995074e54917de94","2017-12-04T07:05:33Z","22","154","100","254","1","1","1"
"31d7510b2f14f26245a2c5596be6a3f13909bd64","2017-12-04T06:55:13Z","12","55","78","133","1","1","1"
"1b6329983faaff999b47708071b32d95510a0426","2017-12-01T12:28:11Z","7","40","16","56","1","0","1"
"dc1bfae5b3b00728921257c244b52f0f4ef5de18","2017-12-01T06:33:22Z","1","11","6","17","1","0","0"
"ba895875a093908288fabcc31cc4a8abf081031d","2017-12-01T06:06:19Z","4","60","12","72","1","0","0"
"5915c820bd53e0b7c8361ddcf0cc2aec4958895b","2017-12-01T05:48:48Z","10","290","293","583","1","0","0"
"b0f7ebcb0d3cef9b7c870b530365e6cc022d659f","2017-12-01T04:53:19Z","10","290","293","583","1","0","0"
"ff83362f6212bef146cba6ad8f771468bdc50f2f","2017-11-30T04:35:44Z","1","8","6","14","1","0","0"
"2039facae374bd4b6cc2e6f09c9650644fb9a71c","2017-11-29T06:11:35Z","7","115","26","141","1","0","0"
"4b00a9e2c46a3f1d2cb263f5ca0a51157e0d246d","2017-11-29T04:44:54Z","1","1","1","2","1","0","0"
"d357ce4f57bf7d04d9af30fc280015daa77c3e41","2017-11-29T04:43:07Z","1","5","2","7","1","0","0"
"7495639ca7e6740cf6f7e6494e74bc580b880aa1","2017-11-29T04:39:02Z","2","1","5","6","1","0","0"
"531fa7b8b30997ff6a790afef3d43e11dec8b925","2017-11-25T00:25:55Z","4","111","21","132","1","0","0"
"9234353975e107410c0b7808eeed3276d50d202c","2017-11-24T06:50:03Z","1","8","6","14","1","0","0"
"aa4489fa372cf515fb58e22141b9bf5a47750c96","2017-11-24T05:56:16Z","14","116","165","281","1","0","0"
"5629d9444ce7c853a185f4acdd598339191f23e8","2017-11-22T13:06:48Z","17","567","89","656","1","1","0"
"90d2bd03272d825f4751d3f2ee42ff22afcf879a","2017-11-21T06:19:29Z","3","165","103","268","1","0","0"
"f826ed05e5925634bd4f3dcdd3f9aebeb7825429","2017-11-20T05:47:33Z","5","20","13","33","1","0","0"
"d74ff2968286d32d797a766711a1b2ad1c66e340","2017-11-20T05:11:56Z","0","0","0","0","0","1","0"
"6ab8f53a492ff738e9afe946de1fa88aa66685bb","2017-11-20T05:06:20Z","1","32","15","47","1","0","0"
"7c928dac1264e5835711504462681cb8236b63cc","2017-11-19T14:56:02Z","2","73","38","111","1","0","0"
