"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"432022fc1ca098f2ab419d6e26a09124a518c345","2018-09-05T20:08:41Z","0","0","0","0","0","0","0"
"d86365d0d615e391febc5d8c0fd5da93f1eea1bd","2018-09-05T20:08:32Z","4","91","49","140","1","1","0"
"d49f95fb68d4da51b0aa06d7091bd7a9a84aa8d7","2018-09-05T20:07:14Z","0","0","0","0","0","0","0"
"411960b1878f12912f5c330086a79eb07345a3d8","2018-08-03T09:16:04Z","0","0","0","0","0","0","0"
"7d0787e29ca89b298ecf68db41cdf31f3d9276ab","2018-07-28T00:18:36Z","0","0","0","0","0","0","0"
"ad603efe9147652b5aa41c92f6b5fd12a94954f8","2018-07-27T18:37:34Z","0","0","0","0","0","0","0"
"1375995edbe869e0eabcef316d2388ca7881f581","2018-07-24T22:56:43Z","2","33","31","64","1","0","0"
"ad9007664be1749e6cae6f133a97b5c9f83dc9ce","2018-07-24T22:55:16Z","0","0","0","0","0","0","0"
"fc01366f35e3b2adc51a2cf8e96314afe3995827","2018-07-24T22:54:06Z","0","0","0","0","0","0","0"
"0d6aebbb8ef44067b8d9e28bfa94daf23cab68ae","2018-07-24T20:00:31Z","1","23","18","41","1","0","0"
"7bd2c3fbe17516fa1a7a25ab621b3ab05697ec51","2018-07-24T19:59:53Z","2","36","1","37","1","1","0"
"9ec01b8551e4c099b8330d1a64553cdbbcb551b1","2018-07-24T19:59:21Z","0","0","0","0","0","0","0"
"7dbc5ddc15cef8b98ac1f0de786863fdacb3074f","2018-07-24T19:59:04Z","2","36","1","37","1","1","0"
"4618842cd591779f85e9f32de1db87e7678d51bb","2018-07-24T19:58:23Z","0","0","0","0","0","0","0"
"73170a2076203b1f85ea5b4f381f366d1e658cc3","2018-07-24T19:57:38Z","1","35","0","35","1","1","0"
"c9df334af85496b11b2e98e50b4c93d10705befb","2018-07-24T19:56:46Z","1","35","0","35","1","0","0"
"4f75699eeb92b06e519e4f5305e7b0d6dc61b408","2018-07-24T19:56:02Z","0","0","0","0","0","0","0"
"04f69242997d40273c3157c1a436eebed5ebef8a","2018-07-24T19:55:34Z","0","0","0","0","0","1","0"
"400f4bd4d65a6bfa2a02d65ffc7a6e2f7ab54fd2","2018-07-14T15:21:40Z","0","0","0","0","0","1","0"
"171ef99e047f65f1358713c315a20451a8defb4b","2018-07-14T00:44:53Z","0","0","0","0","0","0","0"
"7c4806bb0bf417dbadc16c2fbb26b156356a08c8","2018-07-12T16:46:38Z","0","0","0","0","0","0","0"
"f09f0ffbc2c70fc6e3ff0a12a13977b7110d5a6a","2018-07-04T00:24:13Z","0","0","0","0","0","0","0"
