"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"58b77282689b1792be6af2ec3537eb066780cdc6","2018-08-15T18:31:53Z","0","0","0","0","0","0","0"
"55c9ece2c42f75d796656b06e780f3038878090e","2018-08-14T14:46:22Z","0","0","0","0","0","0","0"
"aaced02e1d44bc5bc2d1904b67cf402e91f07966","2018-07-20T15:28:44Z","0","0","0","0","0","0","0"
"3f53146bf8fcae1a306a015204ca555765d0c2cd","2018-07-20T15:26:13Z","0","0","0","0","0","0","0"
"0f637fce15bfcd0122b511e0a7c82f859f57d5f1","2018-07-18T21:11:10Z","0","0","0","0","0","0","0"
"02a1846434efde828886d36ca8df59462f4f5507","2018-07-18T21:07:46Z","0","0","0","0","0","0","0"
"52ce6d6432fe6bc1fce1bdd01319d98092440b35","2018-07-05T11:55:25Z","1","7","2","9","1","0","0"
"2c7f0817447ef779ce3c4519d6d9362ca45d2411","2018-07-05T07:09:36Z","1","1","1","2","1","0","0"
"26c6a7a26499b7aa3005b569d69ef85c01c60141","2018-07-04T15:08:51Z","1","6","1","7","1","0","0"
"d08afddc96d39e5eaffe8b39df30f1cbed6d1970","2018-06-26T17:53:48Z","0","0","0","0","0","0","0"
"191f052a160d41912f3925b4fa3e79604a162d43","2018-06-26T12:53:15Z","0","0","0","0","0","0","0"
"9ac1f9f373ed2c59e179f1623e316599814a4eff","2018-06-18T21:40:04Z","0","0","0","0","0","0","0"
"77658af2dc70987bf625d26ee3102b15ba7c5c3f","2018-06-18T21:39:46Z","0","0","0","0","0","0","0"
"b2dc75717a20856e8d91ad86c8125e6cc34a86cd","2018-06-14T21:29:37Z","2","101","357","458","1","1","0"
"671f1e1b6e4a29702176cd95239f7b4ee73bc4dd","2018-05-24T21:44:58Z","0","0","0","0","0","0","0"
"80fa3080b958523cf754f0523150acbf09e4bb78","2018-05-15T15:28:25Z","1","1","1","2","1","0","0"
"1a6d1e4fffd6724334143354a1abfcf6719f0cf4","2018-05-14T20:17:47Z","1","1","1","2","1","0","0"
"2e8f3e90628539b61732f881e20f6e9389ef28a5","2018-05-07T19:39:12Z","3","18","45","63","1","0","0"
