"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"030dc0209b661354755b88b5f129945d4face14e","2018-10-01T17:17:40Z","0","0","0","0","0","1","0"
"b981737775fe790585866442ac6f663caf36d688","2018-10-01T17:17:28Z","1","1","5","6","1","0","0"
"7ac2a022795985da82be5f2f2969d4851c97f144","2018-10-01T16:39:45Z","2","15","3","18","1","0","0"
"6873d03216fc24ef8fe4c72330929df1873de25e","2018-09-29T17:27:04Z","24","265","108","373","1","1","0"
"012dab9ad23715c6432740205bccc6346a21e876","2018-09-29T00:58:03Z","2","7","4","11","1","0","0"
"3de2746834b9e40be6bd6044be9a63659e58cec5","2018-09-29T00:49:36Z","1","2","2","4","1","0","0"
"54fc96a5d7d708fb9a035398ff58bd5d89f2bb9b","2018-09-29T00:34:08Z","8","168","78","246","1","0","0"
"dcd0ff5efd39db682dbb4c303d3a79912e354da3","2018-09-28T19:53:27Z","3","28","5","33","1","0","0"
"17600942860ddf1217371a4380a379f30444fec7","2018-09-28T19:52:59Z","1","1","2","3","1","0","0"
"d7be7f48f25d720cae2c8a889e88c8735367d825","2018-09-28T18:05:06Z","1","0","2","2","1","0","0"
"2b5731ce7f169c2b501effab938451b100ec50f0","2018-09-28T17:04:09Z","4","39","3","42","1","0","0"
"bd44aea27a94a3de070ca8a2385c097dab1ba1f2","2018-09-28T16:25:07Z","1","6","0","6","1","0","0"
"afdd14e391ab189a36cf7ff588417904cf07220d","2018-09-28T16:09:22Z","1","1","0","1","1","0","0"
"2f8172f704bf8d5148cf34dcf99ee797373dff9d","2018-09-28T15:46:25Z","1","6","3","9","1","0","0"
"0508489191478ad32deda35fa6b6b23c5ff4aaff","2018-09-28T02:26:21Z","3","3","7","10","1","0","0"
"d599f4078c9fd01d5aeed246e54aebb9b56dfb4d","2018-09-28T02:12:27Z","2","78","0","78","1","0","0"
"19f1d2b5656287d78fee1d5069a0edc2e069ae00","2018-09-28T01:17:53Z","2","2","1","3","1","0","0"
"774b2b3c51f2289e93e49716e94b7b47c0ebcae2","2018-09-28T01:16:57Z","1","2","1","3","1","0","0"
"0414b1baec738479bbba54a4f0b814a2a9f692a4","2018-09-28T01:16:44Z","0","0","0","0","0","1","0"
"91153c2d6ea92ad89f8581296c8a184dc1c8be5c","2018-09-28T00:06:12Z","1","3","3","6","1","0","0"
"3663d6cf14a02b5682c5d36bf1fed05eef46d6e1","2018-09-27T19:55:02Z","1","3","3","6","1","0","0"
