"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b9adef271957eaeaeb69b6bf08f111569b22df50","2018-09-20T19:04:26Z","1","1","1","2","1","0","0"
"6b79d5e43b710b4e885f43ba716fe074a6b40880","2018-09-20T18:58:29Z","22","42","42","84","1","0","0"
"0c96402fc033c1fdf4f03826cdcfdb11330edea5","2018-09-04T14:34:25Z","3","59","6","65","1","0","0"
"5df91ca8862bc3d871ed3c8c363f9b9fac793e1d","2018-08-01T17:31:11Z","1","2","2","4","1","0","0"
"90c3cccb6fab21e26db10e4649ca2d6af6f9bb9c","2018-07-31T08:37:39Z","0","0","0","0","0","0","0"
"49ea1de34b4c1befececa488e0ac7d91c1848fcb","2018-07-27T12:19:17Z","1","15","11","26","1","0","1"
"6e85ea391d83a75a1333896de904d9b54ee5d013","2018-07-27T12:14:12Z","6","44840","0","44840","1","1","0"
"d80e13abd80d1b64de246ec62e6c2c7bb6938327","2018-07-16T20:26:33Z","0","0","0","0","0","0","0"
"4a316089fab8ba979298bfd483769c8a649bb1e9","2018-07-13T16:44:36Z","6","126","45","171","1","0","0"
"2ec193f8479425c3a66bebf5f2d3493e39e88f7c","2018-06-18T09:10:11Z","1","1","1","2","1","0","0"
"df9f5a479d28c84161de88165917a5cffcba08ca","2018-05-18T14:21:04Z","0","0","0","0","0","0","0"
"694955c98b7cc1896cfa636b56e9d4eefdc868b2","2018-05-09T19:20:28Z","1","1","1","2","1","0","0"
"26adf6894848807d4b75f1fdec57d9489442519d","2018-05-08T16:51:26Z","8","184","10","194","1","0","0"
"a6c356c403ccd658684a01608660bb6abe3e891c","2018-05-08T16:44:39Z","2","29","16","45","1","0","0"
"002fe8184cf6121856c966272d00f7a80c97b803","2018-05-05T16:56:29Z","6","0","41005","41005","1","1","0"
"fb33e72ad270fb79f84b799665f41747fd976c0d","2018-05-01T21:03:40Z","1","1","1","2","1","0","0"
"aaa5262ef42c084406db09bb55f02fb58bfc9789","2018-05-01T14:49:30Z","0","0","0","0","0","1","0"
"a6fd71b7675f5704c8a2f907aa988813323e1548","2018-05-01T14:38:25Z","2","67","11","78","1","0","0"
"a5aac0f4b7f21bad84ddf59253e6b37633983832","2018-04-21T21:08:25Z","4","262","152","414","1","0","0"
"c3d162d9b43bb3aef4f8f43760a594c9c2eddf59","2018-04-21T14:15:15Z","1","2","3","5","1","0","0"
"2c370c07c73dd2930d21878e3ec70bbc8e9aa1ca","2018-04-20T14:37:47Z","1","5","10","15","1","0","0"
"b08cfe3f54711b605c939dbc3382225057bcfb9e","2018-04-18T14:40:51Z","8","74","138","212","1","0","1"
"22e495fbab2a43b03da2e2e829efee3051652a0d","2018-04-18T14:26:01Z","1","1","1","2","1","0","0"
"9cede7a7e6ca35b716c0ebb8926b6b066e99871a","2018-04-16T16:48:57Z","1","4","1","5","1","0","0"
"6764430b5b85b0cd0810a0647596f6266813bc1a","2018-04-16T16:21:15Z","1","0","16","16","1","0","0"
"648655da99ac7cdc48fef7d5b6aaa57148af3d6f","2018-04-15T08:31:57Z","11","1107","79","1186","1","0","1"
"9d6090a7eaa3f81bbba9caa6ebc1966da9ca728c","2018-04-15T07:58:22Z","10","31","1271","1302","1","0","0"
"ade58d2c19c5c86c7aecf2ac4bb7ec500ae330b5","2018-04-07T16:38:49Z","2","3","1","4","1","0","0"
"e34f5e9af59186cedc9842d4c712dfde06f6774f","2018-04-07T16:38:49Z","3","162","58","220","1","0","0"
"144818ea06f0fc252106b2ff65b68b778a410567","2018-04-07T16:38:49Z","1","15","12","27","1","0","0"
"321ac5dbf25d4d3feb44f9d355ad2d34191fbd66","2018-04-07T12:21:58Z","1","19","24","43","1","0","0"
"3975a89f6ad0f2e099ade5c06c44648313d184d7","2018-04-07T12:21:57Z","1","59","9","68","1","0","0"
"7c270c23e6316e4be5f2bc23a4faaf314404a136","2018-04-06T18:47:16Z","1","5","1","6","1","0","0"
"11d7f15322a0983a3d6fff11106160ee720fcd6c","2018-04-06T17:20:13Z","1","1","0","1","1","0","0"
"93b9229397d381b1ad92c77bd549e4a39a043e2f","2018-04-06T17:20:05Z","1","29","15","44","1","0","0"
"1700ec0be4fe50a1b7ea95d6af0e46f876746333","2018-04-01T21:57:43Z","2","0","43","43","1","0","0"
"03f404506c0c0a1001502e816d1725a46e5e5d94","2018-04-01T17:50:32Z","1","42","0","42","1","0","0"
"8663236de0cc714583040405df10ccf6fe734b0f","2018-03-31T10:39:59Z","2","66","18","84","1","0","0"
"37525e6eb7eb73155ff57988ac5b089a91a27d65","2018-03-30T20:58:09Z","1","5","0","5","1","0","0"
"c9a36647a909f531d3afbae5652e975200c27010","2018-03-30T18:49:03Z","1","3","1","4","1","0","0"
"e244453073ceaf36f0aca78b2f4eec536a60a1c7","2018-03-24T21:58:42Z","1","1","1","2","1","0","0"
"0be938b4a7c5b5455c6b6a948ad64c674fcdbade","2018-03-24T21:32:00Z","1","1","1","2","1","0","0"
"52d000b6f9a0ed781848508cdef46c0085531d49","2018-03-22T18:45:07Z","0","0","0","0","0","0","0"
"afa14d69687d5d0ce03207c658d2d237ae166a6d","2018-03-21T15:19:10Z","1","7","2","9","1","0","0"
"b9762057168dc273b73a1b8db32fe4c12c95a9e1","2018-03-21T14:04:03Z","2","45","0","45","1","0","1"
"d30d83c61626993b7b9b5f83127e029a64c3d589","2018-03-18T18:11:57Z","1","68","0","68","1","0","0"
"6aba962d62032df3bb53a6787f90e6ee90c93096","2018-03-15T05:01:53Z","2","6","5","11","1","0","0"
"afe1b69f31614fcf9985e653e1bfe96f62b9fb08","2018-03-14T11:16:26Z","8","15","16","31","1","0","0"
"7e9c45ad55f9d1b64d058e2ff84f4fb025e4ad67","2018-03-13T22:03:48Z","1","8","5","13","1","0","0"
"8ee5e481710d52b687155b0c94d580d21791dfbd","2018-03-13T20:55:47Z","1","4","2","6","1","1","1"
"dbc4c3520989ecd24b2f81c97cca8903ff15ee7f","2018-03-13T15:13:11Z","1","29","10","39","1","0","0"
"c35d892fa6ae0002144db0f20856fca1d65554f0","2018-03-13T12:05:59Z","4","16","6","22","1","0","0"
"9e2b0c05c743d1f473b2ff5afe4f08ff804abc7e","2018-03-13T12:05:52Z","2","2","2","4","1","0","0"
"e0d9683bd54c4e60d71840ad1ab2409016a3e0f9","2018-03-12T07:50:16Z","2","11","0","11","1","0","0"
"4bbb7be0599e3f2952e9804dbf362129d86a7512","2018-03-11T20:36:25Z","92","338","287","625","1","0","0"
"9e16d5fdeb26c6d53ff1a9d63169fe1ad37505cb","2018-03-11T19:53:42Z","4","8","10","18","1","0","0"
"fa5bdbb67228330ec58702852105f9cb0e3336ab","2018-03-11T19:40:28Z","23","179","195","374","1","0","0"
"bdfc1b371670af5cfa3a2340da1d3ed697d1c4de","2018-03-11T19:31:59Z","1","0","2","2","1","0","0"
"d945822e6203a27066cf261ce3d96d2b584825b1","2018-03-11T19:29:51Z","16","153","153","306","1","0","0"
"326e076373c8e01c40a02bcd636dc44fbdb71773","2018-03-11T19:18:36Z","5","16","40","56","1","0","0"
"df1b954b7bf6f0e523cb067cec8559897e19af87","2018-03-11T19:15:56Z","5","0","19","19","1","0","0"
"5b008f90e0ac429be404626ccc3162c3e80c6f09","2018-03-09T16:05:09Z","16","44","47","91","1","0","0"
"faf58ac9a2b3269cb138654cb78c898fb5df8f96","2018-03-09T00:39:55Z","4","41","4","45","1","0","0"
"d6238602509fbfcb116855ee3cbe0e8d0144949b","2018-03-07T15:14:14Z","1","5","3","8","1","0","0"
"2d06e866de6336d58cf495c9f6668013d25360c8","2018-03-07T11:21:48Z","0","0","0","0","0","1","0"
"8e395e2b310385eeeed5964de4841e64f79e0e57","2018-03-05T21:47:26Z","3","17","18","35","1","0","0"
"d231bade1f9f4455ed2c2895830c277c6d5ffdae","2018-03-05T21:04:00Z","2","13","8","21","1","0","0"
"c337970ca87082844a269b6661839e6eb80090f1","2018-03-05T20:52:21Z","1","2","2","4","1","0","0"
"f5becfbfb0fd3774bcc9ab0e343543d7fbbac59f","2018-03-05T20:51:18Z","1","5","5","10","1","0","0"
"fb54451c0b9c7b7ea4eab6ff9ccc3c21bfaf0f18","2018-03-05T18:26:25Z","1","5","0","5","1","1","0"
"b9a31104af4efbbae62b7da63d3299cd8352cc6c","2018-03-05T15:18:18Z","14","28","28","56","1","0","0"
"4722b486287af8ca97254d71b4f2f001469bcd86","2018-03-05T12:46:59Z","1","7","0","7","1","0","0"
"7f5b6753f54f4dbdcb5cd411f722657c8ba6f1c6","2018-03-05T09:35:09Z","40","269","170","439","1","0","0"
"6e46d75c61a618bc3b32336fb3a3d0bc00bb829c","2018-03-04T22:45:00Z","1","7","0","7","1","0","0"
"c9cfd15f7f41fe9c5bd095a99b18773f8f0fd71f","2018-03-04T22:44:18Z","1","1","1","2","1","0","0"
"752b06043ccb28371faed8b0b0a54005c1f958b1","2018-03-04T20:45:35Z","8","5","253","258","1","0","0"
"4971d3fc254323318b050d83fb5d23fcdf6cfc5a","2018-03-04T17:04:23Z","6","15","13","28","1","0","0"
"c7acfee1a4a76775b1f93f64bedbad34985408ca","2018-03-04T16:28:12Z","4","12","6","18","1","0","0"
"bc8828c8585cfd3ce581d6fbbc8a37d86776fbba","2018-03-04T16:28:12Z","4","20","32","52","1","0","0"
"3fb6b5fcb630024058654188e529219dc280746c","2018-03-04T16:27:20Z","1","44","18","62","1","0","0"
"061f5c9841231446e57f543c1e19a10d0e83845e","2018-03-04T15:06:04Z","9","65","23","88","1","0","0"
"52afdc629e343bfdd033a2b714b3653ad9704bab","2018-03-04T14:30:37Z","7","43","25","68","1","0","0"
"2c768bfe07c6bf9d0d8a7c498cb5d7bd4279512b","2018-03-04T14:28:21Z","7","19","22","41","1","0","0"
"d92dfdfd14756b6837aa0065da7c5014e066e9ca","2018-03-03T11:57:58Z","7","299","7","306","1","0","1"
"21d65feb28fe91d4859a9ba71f729f6211764b4c","2018-03-03T09:53:28Z","8","39","9","48","1","0","0"
