"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"92d4560729f8848bd53980b24683afed67f174d6","2018-09-28T09:55:46Z","0","0","0","0","0","0","0"
"905a3c45b83158b903d058059324878ac4656f52","2018-09-28T09:53:05Z","0","0","0","0","0","0","0"
"147f85e3b491897c3ccaecfe4f697f7e7a4fa67d","2018-09-18T10:14:40Z","2","7","5","12","1","0","0"
"02cf79ead195054b2bae7683941f1d2b3297f5b3","2018-09-18T10:12:31Z","2","2","68","70","1","0","0"
"c415e0c74927cfdd9b3e46497849e8642d598131","2018-09-18T10:10:22Z","2","4","5","9","1","0","0"
"9db5e4cede07321ab7312955b48d0938d3363471","2018-09-18T10:06:20Z","0","0","0","0","0","0","0"
"88fb8af25959bedf138dda9a5f349a67506b2993","2018-09-18T09:33:47Z","1","1","0","1","1","0","0"
"ac2ed1f95ed3e88636cba652e6650783fc7a03eb","2018-09-18T08:49:06Z","1","1","1","2","1","1","0"
"88e6e5f75ed162d660237d4d4cec09d464347b48","2018-09-14T10:20:01Z","7","42","11","53","1","1","0"
"dcd930e7c3503a87fa2867e653be6d2bf1fe3c40","2018-09-14T10:07:40Z","7","42","11","53","1","1","0"
"0b9b447b3b3555f01ec1cdc43226b40e41ea45b5","2018-09-09T14:36:15Z","2","3","7","10","1","1","0"
"b6601651cca702b3ec442123ad63e7019e322da8","2018-09-09T14:34:30Z","2","3","7","10","1","1","0"
"86c4bee3c779f958b41112c33caac2a747b9b63f","2018-09-07T15:13:15Z","5","32","21","53","1","1","1"
"066ce77d2d23a1a0bdc3895b9ab1e343801c0218","2018-09-07T14:56:01Z","0","0","0","0","0","0","1"
"273eb5c77b9a3428b92cf7e6413df92e3698d05d","2018-09-07T14:39:48Z","1","1","1","2","1","1","0"
"09ef8bb8927738c725913aa9a44347c166d8835b","2018-09-07T14:23:36Z","0","0","0","0","0","1","0"
"571c9fc68ad739a0d4b2751ff18e8d8d0242865f","2018-09-07T14:11:11Z","2","7","4","11","1","1","0"
"426e7626347118a5028eb5c89749405d8c58916f","2018-09-07T06:04:19Z","1","8","8","16","1","0","0"
"c4f0ddcddd5d45bc71023acb2bd8ee8971a7cb9f","2018-08-22T03:20:09Z","1","16","8","24","1","0","0"
"9e9e54e84a8dd0f19d949c3d1b5207a57e5af58e","2018-07-30T08:55:22Z","10","135","56","191","1","1","1"
"8fee70b638539f625b953fc3658eee5ac78dcbf0","2018-07-30T08:46:36Z","2","2","1","3","1","1","0"
"4c7c83ac6b7fd149d0ddcb4f817c2f44757df1d9","2018-07-27T10:59:29Z","1","0","2","2","1","0","0"
"8fb3b096ab634834d70bf42d5404eae33a877c63","2018-07-27T10:21:00Z","1","1","1","2","1","0","0"
"1b7dd56d025f5da6dd128041a9cca6eda89387c6","2018-07-27T08:00:41Z","3","66","20","86","1","0","0"
"c9a33c7f859b8f538edc0ff82e61c43b19f21912","2018-07-27T07:31:28Z","3","32","17","49","1","0","0"
"849bbc648bda3ed6d7c9b0fb2155ffc185e60e74","2018-07-27T06:57:24Z","4","37","18","55","1","1","1"
"3624e25484a93303d9b2988666ad34fc31cd9285","2018-07-15T16:26:41Z","18","361","193","554","1","1","1"
"96c328650e22e5a0b334123c579f037bdfd5c895","2018-07-15T16:25:12Z","2","6","2","8","1","1","0"
"00cd13df510d55c7d3a2f98ca9502ddd312b6e86","2018-07-11T15:35:21Z","5","43","28","71","1","0","0"
"f4e0a0f77fdf4ac8a8f1b8e54c4705998c084093","2018-07-11T08:30:43Z","9","152","57","209","1","0","0"
"19de84f3a84d55e0552ae7981708eadebe439b66","2018-07-11T05:57:52Z","1","4","1","5","1","0","0"
