"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c105cb719518f9fdf824e1c532ab1807dc9cc780","2018-09-17T21:43:21Z","7","123","90","213","1","1","0"
"4ccbc482656b96e4516828c543204c247129a296","2018-09-12T23:36:43Z","5","102","4","106","1","1","0"
"ecf7bc0c0328e343f8b8bd7a1ec76520c3c1c9ce","2018-09-12T23:09:44Z","2","70","0","70","1","0","0"
"65745b2168b89f245a39191cd200c3e4b89dbce0","2018-09-12T22:40:26Z","2","38","11","49","1","0","0"
"d67eee8190b72a12c3995eb96987e5fcfe257405","2018-09-12T22:00:43Z","3","427","0","427","1","0","0"
"d4944cf115f67ad4244e5e204bade603d23138b6","2018-09-12T21:52:28Z","2","384","0","384","1","0","0"
"439e7e44e4442b30de2fb948de87887d891a170a","2018-09-12T21:23:08Z","3","192","0","192","1","1","0"
"f107fbc8b93883ec5513916c6c7fb5a819e6b498","2018-08-26T21:53:20Z","1","1","1","2","1","0","0"
"29389bef6351bad4b60e8d432a5d1cb208d2db52","2018-07-18T16:43:00Z","1","1","1","2","1","0","0"
"e8ff6d3261e7f5666d2b486352cc04b2874d70ed","2018-06-24T20:23:26Z","4","42","8","50","1","1","0"
"d55406996dd64a5e987225b2d5e4fcd458d2c5f1","2018-06-10T08:09:32Z","0","0","0","0","0","0","0"
"27a87b49d0e02fbdf0a8f25933d4742462eb8370","2018-06-01T04:54:20Z","1","33","0","33","1","0","0"
"2e6d32844e033399e63e42c88e0ea8b587879af3","2018-05-31T05:07:27Z","17","95","52","147","1","0","0"
"5851960f38b4431891a185b5105affbf1ec4228f","2018-05-30T05:27:29Z","82","332","578","910","1","1","0"
"b8e6867709520142be87f72504920b20a63674ee","2018-05-27T05:27:48Z","19","1596","1263","2859","1","1","0"
"94337ab04e22e831d55bac71bdff1e88b8d7301f","2018-05-13T01:57:26Z","1","6","6","12","1","0","0"
"c9d9f36ee503a0f9304e33b45328a75005ab7b25","2018-05-13T00:54:05Z","1","17","3","20","1","0","0"
"a595c2c47a75344316e6c905fcdb058d60590ab5","2018-05-12T18:28:14Z","2","98","2","100","1","1","0"
"7ace6c4085ef6246877f3ebbe157233ca196446d","2018-05-09T16:48:41Z","3","11","3","14","1","0","0"
"689b72607e9639261c21fb39cfc2072ee3e741d9","2018-05-02T08:22:10Z","1","10","7","17","1","0","0"
"916407ea56bbb19567640da7b79ac27104bd45be","2018-04-27T04:17:09Z","11","587","28","615","1","1","0"
"c02c623aedded8174030596989769c2fecb82fe4","2018-04-08T04:20:56Z","9","28","178","206","1","1","0"
