"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"eb2a83b975f5cae9d7372e72af0f78ee0c815edc","2018-09-30T03:33:48Z","6","48","13","61","1","0","0"
"9344ed121f1aba18da23c3edb6bbd210e4ba253e","2018-09-30T02:52:41Z","45","471","477","948","1","0","0"
"c3327e567ee3a34104e742f69fdb77d9d89440bc","2018-09-30T02:28:37Z","22","5406","5243","10649","1","1","0"
"3ed89877796ab113504165578b7555870b589884","2018-09-30T01:49:13Z","1","0","2","2","1","0","0"
"fa8588f766630ecd2b17de5d459ded94bf1dd914","2018-09-30T01:40:05Z","2","7","5","12","1","0","0"
"fa8ffb8e66176e52464cd04156cd565a5e37f2d1","2018-09-29T07:52:23Z","1","18","3","21","1","0","0"
"9da8f9cc5a7e214610758667bb030f640f800380","2018-09-29T05:50:55Z","0","0","0","0","0","0","0"
"af03f07cc7706cda66a98df5360b31424cf657d8","2018-09-27T11:39:46Z","0","0","0","0","0","0","0"
"5ae16b1c7c1b7246b564751ea0cc0bdb72f4d5f0","2018-09-27T09:09:00Z","63","12260","10310","22570","1","1","0"
"a37a7ff1423bd3af364fd21cc452ed2784787d31","2018-09-27T02:34:17Z","7","205","99","304","1","0","0"
"ff592758cfb0ae93a45df0a0e5baf1a15f747a3a","2018-09-26T05:13:27Z","1","18","3","21","1","0","0"
"b04446d24de97556c102eab47191caea672368d2","2018-09-25T10:46:39Z","4","77","70","147","1","0","0"
"40f8c931c7540c826b9dfc8208e2e5950f0b5dce","2018-09-25T10:46:10Z","1","18","3","21","1","0","0"
"a22517adc21101d85c56acb7a839c9bb5e92d1d5","2018-09-25T09:53:54Z","0","0","0","0","0","0","0"
"821f3eced54b8a102fbc25f6ff92946f34fe426e","2018-09-25T02:22:31Z","3","37","27","64","1","0","0"
"00ec70d425e5ebbd0dbcb7211c7354325af99be6","2018-09-21T07:45:52Z","0","0","0","0","0","0","0"
"9d48d23787c8e24689c7a3c8b431c6109e0a5d4d","2018-09-21T07:44:03Z","0","0","0","0","0","0","0"
"9535e82da6a3ed760919747122f25b8ee1ae334e","2018-09-21T07:40:18Z","0","0","0","0","0","0","0"
"fd80f953e97eaf741ace487f950c8d2492ea60a8","2018-09-21T07:30:35Z","0","0","0","0","0","0","0"
"05718a9f20cd8620dcef2bd05c02c0297bb1105b","2018-09-21T07:10:01Z","4","77","70","147","1","0","0"
"19b7f730b640471150796f487f002378dca0cc0b","2018-09-20T10:06:47Z","1","0","1","1","1","0","0"
"4f2b4cea53e9dfc526f6600fbf1c0a3bf955dabd","2018-09-20T09:25:32Z","0","0","0","0","0","0","0"
"e566160f1ea24c3db15b45f51b1b6ad2ce226b42","2018-09-20T09:24:32Z","1","8","9","17","1","0","0"
"74890050d0c323877eb9c1e3dec128e989eb6ee8","2018-09-20T08:48:14Z","4","76","77","153","1","0","0"
"0cda90cdeae57c4d30468ffa581e105c784695da","2018-09-20T08:17:38Z","1","13","3","16","1","0","0"
"1a11153cd28d23e9c9f8fc5c7cdaaf7175e34dad","2018-09-20T08:03:43Z","7","59","53","112","1","0","0"
"d5aa324ce455471cf2ea62d519cecf0062628001","2018-09-20T07:48:52Z","17","742","202","944","1","1","0"
"09df602f3bd060a297bb7362409b344523cb5b8f","2018-09-20T03:30:10Z","6","47","41","88","1","0","0"
"b026c44ea87fd2a392bf3abe59733c9037132910","2018-09-20T02:15:23Z","1","12","12","24","1","0","0"
"19f765df77410c2e56a893a1d77aa98b084cef6c","2018-09-19T07:16:38Z","1","12","12","24","1","0","0"
"4e1675033a6bf9aa5d9edc824d53c56b2b057593","2018-09-18T02:18:32Z","9","199","54","253","1","0","0"
"e9439125bd4beabf385b232cbbf270831bbe53a6","2018-09-18T02:18:22Z","19","669","239","908","1","0","0"
"a11f9e4b34c804cdcd913906694cff80884862b8","2018-09-18T02:06:44Z","1","1","1","2","1","0","0"
"10b0ade627491325199e41aeab4bfc8a764b3fb0","2018-09-17T11:51:12Z","3","75","34","109","1","0","0"
"1a8d6e65cf3b471c6ca90f28f13fed6a3464fd15","2018-09-17T03:18:00Z","1","1","1","2","1","0","0"
"9748fceda8cefb01e673da5575c914e9799d6ffd","2018-09-17T03:11:30Z","1","1","1","2","1","0","0"
"7005c11ac2b64abad4704c1bab1212d657f5e614","2018-09-17T03:10:50Z","3","11","11","22","1","0","0"
"88bf2ae64dd588251bc6200fd10a45828623142a","2018-09-17T02:55:55Z","5","124","19","143","1","0","0"
"cae6df1457a6d4871aa55ec82885dd6f74286b63","2018-09-15T05:28:27Z","0","0","0","0","0","0","0"
"6682c56b9f1f15b544daeb2fda51964c371d8c6b","2018-09-15T05:21:38Z","3","75","34","109","1","0","0"
"5394613ba667f9747673cb8921fc50acedc9d8b5","2018-09-14T08:53:41Z","5","124","19","143","1","0","0"
"6e84b98651df5ff5a9450b25f5edca7fc77101ac","2018-09-14T06:22:55Z","1","52","0","52","1","0","0"
"af1a6a851fa63755414316e3f46c9a699e58054b","2018-09-14T06:07:02Z","7","4155","5057","9212","1","0","0"
"1516cf779db1bcd311c1aa2266403b7399685d00","2018-09-14T06:06:32Z","4","72","19","91","1","0","0"
"db56effd911fffc60fa068993d3e9008c4707754","2018-09-14T03:45:52Z","1","2","6","8","1","0","0"
"f3d1c8b754f030feb175966dce8aad2faa32d490","2018-09-14T03:24:27Z","8","15856","14114","29970","1","1","0"
"abf6a37f3ad07bf2d01e9b29cfef61184fc6ec6c","2018-09-14T03:24:09Z","8","15856","14114","29970","1","1","0"
"e8e00324044f54a385345f99229c3c8cd38b5bd5","2018-09-14T03:22:47Z","17","667","232","899","1","0","0"
"52734eac7e33b7a569b1126e69bea6f6398184fe","2018-09-13T10:53:10Z","7","4155","5057","9212","1","0","0"
"ca61be5f5ad0cb73e42c5c4fb2b3c4278ad4e352","2018-09-13T10:37:26Z","7","4155","5057","9212","1","0","0"
"b28e3d6f188e3f4bd999b292b9b387c5c6d66120","2018-09-13T07:28:54Z","1","6","0","6","1","0","0"
"1ab1f119b86d89eb0bd11ab1d19a9340ba4b15e6","2018-09-12T05:22:19Z","1","6","0","6","1","0","0"
"a332f23b118df9fae99b538ca57410a404218f26","2018-09-12T05:20:40Z","5","15147","12503","27650","1","1","0"
"a6798c61df15741bc5ae4d46e93718db445bbcc1","2018-09-12T01:03:43Z","1","1","1","2","1","0","0"
"8ae8f526a6e6b10896864ef56216c58886c23889","2018-09-11T14:47:53Z","1","6","0","6","1","0","0"
"847634a0f23dbb4094b09e57dc13ef5ddae0603f","2018-09-11T09:13:48Z","1","1","1","2","1","1","0"
"bc8f201b219be35290512a682da4b0b2ebae94f5","2018-09-11T04:31:24Z","1","1","1","2","1","1","0"
"e450c3f83fb6dabba3197214dc32ea29c7809f23","2018-09-11T03:35:47Z","1","1","1","2","1","1","0"
"32910b59830d6b10fdd4a2218a5151af4a922838","2018-09-10T18:19:20Z","20","95","76","171","1","0","0"
"a49796215390b8e74c201ead54e4db95093f5acb","2018-09-07T06:27:19Z","5","15147","12503","27650","1","1","0"
"82f8a9fc980dd428eb45c8f66789564632723897","2018-09-04T04:55:16Z","5","29","4","33","1","0","0"
"f5bf1667a9bdb5559532ea822615628a6dd68bef","2018-09-04T04:35:20Z","2","6","4","10","1","0","0"
"a9cccb3017709f335c57d74354eef72ac97e9df8","2018-09-04T03:39:23Z","12","24","32","56","1","0","0"
