"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4bb19e4b5264f4e3e2332e2a6907d8dbc13d3a93","2018-09-18T12:13:25Z","0","0","0","0","0","0","0"
"b9b4c06ce660a31dfaaa7eca2f8bdfcf501b50a2","2018-09-17T04:30:55Z","0","0","0","0","0","0","0"
"881611f1c74fb36b4e2364378a849b974c53dadc","2018-09-17T04:27:44Z","0","0","0","0","0","0","0"
"2a103fe53f5ca78dd8e39db23541c678569b2a44","2018-09-07T23:02:18Z","2","5","4","9","1","0","0"
"743f240d478b931b34c20b26933220d727cebbc9","2018-09-07T17:25:46Z","3","5","9","14","1","0","0"
"8625b7875372038e5d02e949280dbc0c47dfa968","2018-09-07T15:13:23Z","3","8","3","11","1","0","0"
"40d0c40846940e3780cb5741610182341f6b7c5d","2018-08-14T20:56:07Z","0","0","0","0","0","0","0"
"2b95a52a1b9508ce0e3cdcc0f5d6475a49d550f4","2018-08-14T19:19:28Z","0","0","0","0","0","0","0"
"bee704aedfe47614b3eb3971788413f9b0924c1e","2018-08-10T23:13:34Z","2","141","11","152","1","0","1"
"c1ec3af32937b79ac1bcb1c68223aeb889a6ba1c","2018-08-10T22:08:45Z","2","17","22","39","1","0","1"
"60011923919a6713952277ec9a5e602093118ec5","2018-08-10T22:06:47Z","1","5","6","11","1","0","0"
"3a63f18caeacf4303850db3f251f45ae1f1b579f","2018-08-08T21:47:27Z","2","144","8","152","1","0","0"
"75245ed3df7b72c5ff100d57d50be409a0c72a5e","2018-08-08T11:58:43Z","0","0","0","0","0","0","0"
"4d03eae3ee207109fe01a249025586e0cd2ba961","2018-08-08T07:02:02Z","0","0","0","0","0","0","0"
"32a2fb26dc7f91ca71cf0114b09cf8e92c2c37cb","2018-07-31T13:35:38Z","0","0","0","0","0","0","0"
"e436ad96f816abaed3987553e721dcad26d5cfe0","2018-07-31T06:04:41Z","0","0","0","0","0","0","0"
"7b9e1539dd46385e9b83be43c4112a448129ac2f","2018-07-25T16:29:15Z","3","37","14","51","1","0","1"
"b091c8f641ff113d71a4869a646b2a98dc1abac4","2018-07-25T16:11:50Z","1","1","1","2","1","0","0"
"a3904f505b6a378518ecf5fe53dc765f82eb8de5","2018-07-25T15:56:59Z","3","37","14","51","1","0","1"
"4edef986f417355095ce277ccdab9d4b5a2a884b","2018-07-25T02:39:40Z","2","11","1","12","1","0","1"
"4c631902a070b03361d80e8a50505b8b7bdfd0fd","2018-07-14T13:41:52Z","2","11","1","12","1","0","1"
"c6d1ed44097c578707b2a5079d71923fcc36e9d5","2018-07-13T12:37:18Z","0","0","0","0","0","0","0"
"61af0058efa27183e5190f768fcf53650eba1f76","2018-07-13T10:31:50Z","0","0","0","0","0","0","0"
"1c83360c371a3efb171b5397a7fb5e530f385b06","2018-07-01T16:49:47Z","0","0","0","0","0","0","1"
"1672b9b9b8c7a0fc5dcff26a2f7b795fb6c7e7c0","2018-07-01T14:55:31Z","0","0","0","0","0","0","1"
"207f6e993b08bcdab53a297288313a5aca20a7aa","2018-07-01T14:54:37Z","0","0","0","0","0","0","0"
"8cf5c7a54693fc64a9e1de2d0414225b922ba647","2018-06-30T17:21:49Z","0","0","0","0","0","0","0"
"ea45ea3767a201933eeeb9c3f0f13eacc9b51f07","2018-06-12T21:22:29Z","0","0","0","0","0","0","0"
"31805c4544a604c85fb9693551bd7180d5a6c0fc","2018-06-12T20:30:38Z","0","0","0","0","0","0","0"
"665a5fdc3515a06b0b0069df7e945fd49fc6ec70","2018-03-29T15:26:37Z","1","31","10","41","1","0","1"
"b991b3d68b95fe2b629432b85a491101a67e2a73","2018-03-02T17:28:14Z","1","2","0","2","1","0","0"
"aac654503bae370ae1539a983493d4ae1c2c5c2a","2018-03-02T16:09:48Z","1","2","0","2","1","0","0"
"6ee62071b824dc9f4406bb214d6ead4187d61952","2018-02-21T15:38:35Z","0","0","0","0","0","0","0"
"3b68dc30a1756e3495d3b64a8d36b07ff5d1b3b5","2018-02-21T15:27:35Z","0","0","0","0","0","0","0"
"d22535592e8b0103b62f8a2a24f8c67f8b6399eb","2018-02-21T13:55:34Z","1","4","2","6","1","0","0"
"f09c8d208f800d1a5245294dcd8a5800841864ab","2018-02-21T04:56:31Z","0","0","0","0","0","0","0"
"841251c9b4f16cffed95015b1b1c86b680a08b63","2018-02-21T04:11:56Z","0","0","0","0","0","0","0"
"76ff0bda513ba056da52014958188061be3fae26","2018-02-21T04:10:20Z","0","0","0","0","0","0","0"
"eeb95825bf3763959ddd073d20b11045d2c01131","2017-11-06T02:28:43Z","0","0","0","0","0","0","1"
"e0aebd2f65f2fe8e5d1c7532f5e2c7f276070ff6","2017-11-05T12:44:17Z","0","0","0","0","0","0","0"
"eb7409e1100544e0d4c897a811b4bd60d6425064","2017-11-05T09:32:59Z","0","0","0","0","0","0","0"
"b5578f40836f75d3e91ab7780deae8039fbfe82d","2017-10-24T12:45:36Z","0","0","0","0","0","0","0"
"938dbb1158d9c82a60a16489348a812ca264f79c","2017-10-24T09:02:45Z","0","0","0","0","0","0","0"
"41a577a0e87d763968240f490be9d72f182390aa","2017-10-24T09:00:53Z","0","0","0","0","0","0","0"
"8251d2089cc98eb1d11d4b2f775471066d9e78dc","2017-10-23T10:55:02Z","0","0","0","0","0","0","0"
"d5ba11fbb5cea694c1b9fb7321b947ddec11d9ce","2017-10-23T10:40:51Z","10","31","31","62","1","0","1"
"08f5a6020ea0770440529ff9d0e2191c72367bec","2017-10-17T14:24:30Z","0","0","0","0","0","0","0"
"4fd14f0397e38fd947689b314e7434b945c1f0be","2017-10-17T09:18:37Z","0","0","0","0","0","0","0"
"689f8cb4a5d19f729bbfc32bdcf20571a546d510","2017-10-17T09:16:34Z","0","0","0","0","0","0","0"
"2692aa77bdb2ec2fe23b2e6704b047c6ccfdb0da","2017-10-06T17:50:26Z","0","0","0","0","0","0","1"
"3d44d90d4df1b8d2497a06477e93e662b008a1eb","2017-10-06T15:00:12Z","12","468","27","495","1","0","1"
"1b7460b6c9e46d699aa4cfedc81e817e86575a83","2017-10-06T13:19:13Z","0","0","0","0","0","0","0"
"5c3e6f83204a9fd78ce44db33b43822c7506df84","2017-10-06T13:10:14Z","0","0","0","0","0","0","0"
"aa6958469aa022e7a27bd08463062a28a5c02d75","2017-10-06T12:18:17Z","2","143","0","143","1","0","1"
"4e01644a3789182fbae57280bf04565a09e9b46f","2017-10-02T13:46:34Z","3","115","5","120","1","0","1"
"e1b327f83717034b7890f62b95c022b25e06a5e9","2017-09-29T16:12:52Z","3","115","5","120","1","0","1"
"76bb82cf587636b7f8910f1ed23cb6dda3ac48eb","2017-09-16T01:26:35Z","2","147","0","147","1","0","1"
"002de454d08f93f770bf9a5c37ff89f70f983dbf","2017-09-16T01:13:33Z","2","147","0","147","1","0","1"
"e020acd7347670896331656bcedbba083b5c3956","2017-08-14T16:48:54Z","0","0","0","0","0","0","0"
"095dbc6b5d2213d6bd3211c60fc9c4044e70eb88","2017-08-07T17:36:57Z","0","0","0","0","0","0","0"
"fa44e9f04c2c3815bb0b24bad87d0b409ce095a8","2017-08-07T16:42:04Z","0","0","0","0","0","0","0"
"d774bc2afec6d4878353c3400cf93deb37ae3505","2017-08-04T18:25:06Z","0","0","0","0","0","0","0"
"69423abbfc522e7a57d6c9a8d0f40f7de491d520","2017-07-22T23:10:19Z","1","1","0","1","1","0","0"
"c5e77d575e4c7d2c2493fc0c46b21e7ccaa8010d","2017-07-22T20:40:06Z","0","0","0","0","0","0","1"
"ac20019c2984c66958cc84183d4b74c611bbb672","2017-07-02T20:10:39Z","2","142","0","142","1","0","1"
"2c1d6233e24356694d6f66390b70f3b2832fb428","2017-06-19T07:56:31Z","0","0","0","0","0","0","0"
"2952f07c97b9f0f092ae4187850c00c34db501c6","2017-06-19T07:17:53Z","0","0","0","0","0","0","0"
"d0021d1d3b5b452bda75c451dabecd3dbc8646cb","2017-05-16T12:21:56Z","1","14","8","22","1","0","1"
"6889c6ae604b56249bb21119655ab949ccf95056","2017-05-10T05:26:41Z","1","14","8","22","1","0","1"
"751ae8b1d3f7a5554174f96d3f4dadaf817df6a7","2017-04-27T12:35:24Z","0","0","0","0","0","0","0"
"7690842360446e5f72502c18199fe9c4cda53982","2017-04-12T19:43:58Z","0","0","0","0","0","0","0"
"26b9a66404608cd2c15eff56974c314ee2c882e9","2017-04-12T19:41:33Z","0","0","0","0","0","0","0"
"5b4ec9a9e608a055b0bf9ad1694829e9af3e3d5a","2017-03-27T13:50:05Z","0","0","0","0","0","0","0"
"7a58c2e6a237cb2905d59d259d606aaecc3902fa","2017-03-22T19:41:51Z","2","8","1","9","1","0","0"
"0659ab5985d4e96701b44f7278ae036286ee9c86","2017-03-22T11:23:01Z","2","8","1","9","1","0","0"
"da914846e42f22bbccb1f0f66d0b9a377980ec4d","2017-03-18T09:00:36Z","0","0","0","0","0","0","0"
"180d66b4b25fa06b8c463573e7f42c1495ff81f4","2017-03-06T20:44:51Z","2","16","12","28","1","0","1"
"7473d8ca1b0db34bb8fd7783e303212a9011ca36","2017-03-06T20:13:13Z","2","16","12","28","1","0","1"
"38dce6253c5eb8004fc8ae3e678d6640de448791","2017-03-06T20:12:13Z","0","0","0","0","0","0","1"
"63720f8d05fc31e6779a79d5c074867b131d4ec2","2017-03-02T12:27:16Z","0","0","0","0","0","0","0"
"74a5edfab5e82567eb038aa9884e314861947f0c","2017-03-02T06:45:35Z","0","0","0","0","0","0","0"
"7a09e43becaeeed12e9313914d171fb911cff00d","2017-02-26T00:14:03Z","0","0","0","0","0","0","0"
"0cfdc8f6eda07a6c080709117371eeb3b79904b3","2017-02-25T23:16:23Z","0","0","0","0","0","0","0"
"409981cb33e98a0bf234a8730cd45cbc7ab774de","2017-02-20T21:36:34Z","2","25","1","26","1","0","1"
"870dd28cc7da1cfee35ff16b536aa2baeb598d72","2017-02-20T21:29:54Z","1","2","4","6","1","0","0"
"4d98a0069e549321b0470b9f1abc79087272febc","2017-02-20T20:02:31Z","2","27","1","28","1","0","1"
"01bb93367f3545f6b0aed88c29deb3280a828fcb","2017-02-17T16:46:57Z","0","0","0","0","0","0","0"
"91f81b5ccc248ea8d87243699fb67810768de7bb","2017-02-17T16:00:29Z","0","0","0","0","0","0","0"
"1ab018b2eacb6da885b72d0bc17f00838d321d60","2017-02-12T13:05:27Z","0","0","0","0","0","0","0"
"e54abd214362febeb1fd1fa3f1329eb913a94b6e","2017-02-12T12:10:40Z","0","0","0","0","0","0","0"
"61ccb169c3bdc136019f42efa4c11e53f73c1834","2017-02-12T11:58:54Z","0","0","0","0","0","0","0"
"93d70f6739874a65395f72d48b48ba4dd8d4e963","2017-02-08T14:25:26Z","0","0","0","0","0","0","0"
"d82c9736425716d16898058b74f0163dffffdf4c","2017-01-17T09:55:08Z","0","0","0","0","0","0","0"
"a7653994814b377b88d2de1a9a62b64d8e536a31","2016-12-19T13:40:47Z","0","0","0","0","0","0","0"
"63c3d44e14790f00feb381cc9adc8e638cb3c97b","2016-12-19T13:08:00Z","0","0","0","0","0","0","0"
"3448ef56b05149796adbf20faac521f2ecfd61bf","2016-11-02T18:58:26Z","1","29","8","37","1","0","0"
"ce6d096ef9bad0a562a43e5c9817bbc075969119","2016-11-02T17:37:29Z","1","2","2","4","1","0","0"
