"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b584bf3ddb4e22abd9b147e349f47e8a29534d0a","2018-09-28T21:41:38Z","4","10","3","13","1","0","1"
"14732c5bc02fff197307b82a21148a8b686b87f5","2018-09-27T20:02:26Z","4","10","3","13","1","0","1"
"0c59c0c509bbd0d653d55b56d1e215f630cbbdb1","2018-09-27T15:40:14Z","0","0","0","0","0","0","0"
"6948f4bdfa9ce7038ee4200915dd29eee0c6c88b","2018-09-27T13:33:14Z","4","110","36","146","1","0","0"
"1eaf2576f8ed16cd05157efbafdafc324d25c5cb","2018-09-27T13:01:45Z","0","0","0","0","0","0","0"
"04593e6547e0a30102ee10a35f989d7a4b36d11a","2018-09-25T13:17:39Z","0","0","0","0","0","1","0"
"930b047cc1807ebb78004899f1fbe249f794b1e2","2018-09-25T06:52:43Z","0","0","0","0","0","1","0"
"6631624d0c9f8b8abc88a9fb367a5c404ce499fc","2018-09-25T06:43:41Z","1","2","2","4","1","0","0"
"257d2dc4826e52cdac2c1847fabf88043c2638ff","2018-09-23T19:32:16Z","5","210","3","213","1","0","1"
"515c8d7dbddbb83299a95b7d58e07bacb4d3e85f","2018-09-23T19:25:08Z","2","111","0","111","1","0","1"
"136d09ab8edbcd9f0b3b1460e0f5b655f96d0e1d","2018-09-23T00:11:22Z","2","111","0","111","1","0","1"
"64e2a6c04aeca66a647f83ead02b03bff85453d4","2018-09-18T22:21:48Z","0","0","0","0","0","0","0"
"41e14e35cf505bc8d8cb9d199fa892627ec2f8bb","2018-09-15T21:18:52Z","2","24","24","48","1","0","1"
"2f799eba4cbcdd81809d74427b546bed1e28cbf0","2018-09-15T20:15:42Z","2","24","24","48","1","0","1"
"95a1aaa1e59981214acae59631a4ab82d36e506f","2018-09-15T17:34:22Z","2","41","60","101","1","1","1"
"fe51a01b783e75c7c55e11a30d98dda94269803c","2018-09-15T17:33:46Z","2","41","60","101","1","1","1"
"b6617f681dfc079c0af5599ed2af13c8a2b062d1","2018-09-15T17:29:19Z","1","12","24","36","1","0","0"
"b07aa40b4123aee3d515661a64e49c02290666ba","2018-09-15T15:29:15Z","1","12","24","36","1","0","0"
"8d74c504dd0ad6594b771afafe8a837f5b1fd5f9","2018-09-15T01:44:51Z","0","0","0","0","0","0","0"
"bbe3c9f6fcd63b711a80ee4979f79556320a0a60","2018-09-14T22:46:16Z","2","41","60","101","1","1","1"
"a5d39d06eab594b6bcafdcaede566b387119c9a9","2018-09-11T17:04:28Z","0","0","0","0","0","0","0"
"148e71bb3c931a9c4db4fae57b10864823bcdfdb","2018-09-07T21:05:09Z","2","71","3","74","1","0","0"
"498632a78a5b378a2cafd7f1da2a5d37abb293c0","2018-09-06T23:09:11Z","9","323","1","324","1","0","0"
"5d3a28c0c5d04aaf8fbbdc0dc7f7960ee92a6c03","2018-09-06T23:09:11Z","2","11","14","25","1","0","0"
