"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"57d0434ab01c55e719bb52f3ec96bf12cad0e46c","2018-09-26T09:36:48Z","4","329","2","331","1","0","0"
"a5191eb25f59083973c9344cb32e93692e31a247","2018-09-26T09:35:38Z","1","15","0","15","1","0","0"
"ea90a08196740a8bbcddc902ba31c67303bf2a9b","2018-09-14T04:24:38Z","1","2","2","4","1","0","0"
"92fd66d1458ec03d9584b47d55d25b0202db9d80","2018-09-13T02:44:34Z","8","159","3","162","1","0","0"
"f33779c03f8b1561c14ba686ad4b5719b0982e5e","2018-09-12T17:48:50Z","5","57","1","58","1","0","0"
"5094bcc96546306e100f9c5b0fe5705894947fa3","2018-09-12T17:33:40Z","8","712","0","712","1","1","0"
"5448f343d782cef91bee3729e057615bedfcf42f","2018-09-12T15:57:34Z","3","107","6","113","1","0","0"
"48fd3b05f5e82518e1de354b7567a5bd2ce11b5c","2018-09-12T08:26:41Z","2","33","0","33","1","0","0"
"c184507043bf14b9b7634206d2be18fcec028035","2018-09-11T07:39:19Z","1","8","0","8","1","0","0"
"c3b98efe704c295fae587e7c60b7af39dc020ada","2018-09-10T12:53:28Z","2","12","4","16","1","0","0"
"ebb87cbc94b3e91f1da645314d6c7a50454d5cdd","2018-09-10T03:23:03Z","2","122","190","312","1","0","0"
"fdb235cdf6c9e6e1fbdfd9a6dcce387fc8a1d4dc","2018-09-10T01:09:24Z","3","89","69","158","1","0","0"
"a36bcb7173998da58a243bcecb5a7855b4083da2","2018-09-09T18:19:34Z","1","1","0","1","1","0","0"
"fea718eed9d13584ebda2e9a4cc0607a219d1ad1","2018-09-09T17:16:25Z","4","201","40","241","1","0","0"
"d22168b533c6fe9ca17ef7637fdfbcc8ca98771c","2018-09-09T16:11:28Z","1","18","0","18","1","0","0"
"af6962ba7981b589420f93a18b7d6b2cb0165171","2018-09-09T16:10:42Z","10","878","16","894","1","0","0"
"180959c77ad687299b7bbaf77d59bd591d5600d7","2018-09-09T15:42:20Z","1","9","21","30","1","0","0"
"cfcf15fb84abbc65684f45ef66b5d7230199c015","2018-09-09T15:41:37Z","1","9","6","15","1","0","0"
"576feca2dd7e98756ed5a749a224a19705973372","2018-09-07T08:45:31Z","8","481","18","499","1","0","0"
"768370f19718f8b10af1169bfe4575c6b8d49d49","2018-09-07T08:43:41Z","1","1","1","2","1","0","0"
"506b6c983147948d5093429c5f2f9fa6016b139d","2018-09-06T08:16:25Z","3","69","0","69","1","0","0"
"8c966edd05170b58a1331bd18bb437bc2e96c553","2018-09-03T15:22:00Z","1","1","3","4","1","0","0"
"bad98e34a629a7556b20e07cbb90e1ab0bf2a654","2018-09-03T15:21:36Z","1","1","1","2","1","1","0"
"600b4d3800cade77b838e7d84df7413efeb09431","2018-09-03T15:21:09Z","4","114","18","132","1","0","0"
"7ebe580b3f60a9911035bd342f341b219bce70b8","2018-08-20T07:59:39Z","6","50","26","76","1","0","0"
"16d574797d4e260120ef4bf9f7b489dc4715460d","2018-08-20T06:45:39Z","1","3","3","6","1","0","0"
"d364cefa663eaf8c975422c3c9f39d7e650915f1","2018-08-20T06:36:17Z","1","18","1","19","1","0","0"
"01f03160530090da5e328b0a01e507dec4444e52","2018-08-19T15:36:52Z","3","28","2","30","1","0","0"
"bdf617de0437bfbe713bfd490bf6cd505fa666cb","2018-08-19T05:09:27Z","1","1","0","1","1","0","0"
"0f95c021d1bc13f4c9c0780888df35d69a9c9ca4","2018-08-19T04:53:00Z","4","77","0","77","1","0","0"
"b0396370ef25a50662f131b630f98980c49d3473","2018-08-19T04:34:30Z","2","18","58","76","1","0","0"
"ec0decb6a7bdea9eaf87daa09fba57c9ba467d74","2018-08-19T04:29:40Z","1","1","0","1","1","0","0"
"0a48fdacffbb0163944597ca026975433011990c","2018-08-19T04:26:13Z","1","23","1","24","1","0","0"
"1eb3e389eaf072627a348ebe18ee7998ca33b4f3","2018-08-19T04:09:14Z","2","10","17","27","1","0","0"
"332bedebeec3b8583b732c78fd13f68aef40f68b","2018-08-19T03:59:28Z","2","11","10","21","1","0","0"
"21d867ffd8f9dea0f87219de96ab19d7cc549ba0","2018-08-19T03:54:05Z","1","10","0","10","1","0","0"
"95926865adcfa2b4a76cfb64cee268feef844581","2018-08-18T20:12:26Z","1","9","0","9","1","0","0"
"ef3d4431654c5f70aa8f6d3781fe07edcea04d38","2018-08-18T20:06:13Z","1","21","0","21","1","0","0"
