"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a9c37c25aaa0358c9a4d5168e4a42aa6630a75a7","2018-09-26T18:19:42Z","0","0","0","0","0","1","0"
"dc4d6d597bd6c843d2182d5bc813c8f22423d743","2018-09-26T18:11:48Z","0","0","0","0","0","1","0"
"255530db083d700984a2ed8bc8d54e430e624e6c","2018-09-26T18:04:17Z","0","0","0","0","0","1","0"
"e16ef42ffc351ea1f6f79b27d4a2795b235bcb2b","2018-09-26T16:22:53Z","3","41","13","54","1","0","0"
"75e585841880e69cefe4efc9b981cd0e682fc723","2018-09-26T09:38:27Z","0","0","0","0","0","0","0"
"4ac8a530572a9d50587d48cf9fe5cf08baef7f07","2018-09-26T09:03:53Z","0","0","0","0","0","1","0"
"038cba99f318f7fb4a649e6efb08253271589d8a","2018-09-26T07:58:56Z","1","1","1","2","1","0","0"
"3006662ee860584fede2fd5363f0be987e92ee8c","2018-09-25T13:39:28Z","6","34","31","65","1","0","0"
"c5cc915ec1ea124d4f044098b8beb634daee9290","2018-09-25T11:33:42Z","1","6","1","7","1","0","0"
"20e043dff59b9972bd69cb2980ddfe089edc3ba3","2018-09-25T09:30:20Z","1","9","2","11","1","0","0"
"a43ad4f999846212900da260e41c0540f92bbb56","2018-09-24T20:18:41Z","12","203","39","242","1","0","0"
"89ed723d0e6b3cdc2de2276336d396e338352220","2018-09-24T17:12:01Z","0","0","0","0","0","0","0"
"49f9b1b50d622f28d1c3312dd47bf679f2c8c5fb","2018-09-20T15:01:34Z","12","149","54","203","1","0","0"
"bc2263eb5fd04cb03b2da64d540e95c523e2c93f","2018-09-20T08:46:21Z","2","21","12","33","1","0","0"
"3ccc3afb6d1625fa7866a55fde56ab02a0cd4110","2018-09-19T18:09:36Z","8","58","70","128","1","0","0"
"498fba72d71e2158be2239dcecbd602d116da722","2018-09-19T17:49:00Z","9","143","3","146","1","0","0"
"eb00b3ac35cbc35b038ff4f1013780852dae88f8","2018-09-19T16:33:24Z","3","16","3","19","1","0","0"
"2d5a9f656c02dbbc51142edaa120697e82aa4133","2018-09-19T11:15:21Z","2","33","17","50","1","0","0"
"9df19c92ef672c7aa9a37e0c79b5b656c0333687","2018-09-18T19:48:37Z","1","0","8","8","1","1","0"
"14088fe1e1a9d3d60a0f00713f17c1c3252542d1","2018-09-18T14:56:37Z","0","0","0","0","0","1","0"
"1f3c711ddb0a9ad2a038733f5db23442370de972","2018-09-18T05:07:50Z","2","9","7","16","1","0","0"
"82bebfc5f540960997f9b590462266be62ce2f2c","2018-09-08T10:20:52Z","10","242","78","320","1","0","0"
"a9572e60b88b25bf199809a7ea6f3baa9f947ce0","2018-09-05T14:46:54Z","3","23","0","23","1","0","0"
"d195a320b171e96d5860667b05e334531a30c051","2018-09-05T12:40:47Z","180","2518","1484","4002","1","0","0"
