"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1015db95ecd6127032bcc505ec309b1fabca9072","2018-09-17T01:15:44Z","9","9","696","705","1","0","1"
"7aaa2f8e0a679232e74a8697b2225e48ea8265a4","2018-09-17T01:03:25Z","3","9","7","16","1","0","0"
"8cc642cb0076adbde3af7221e6d710d6907d53ae","2018-09-17T00:52:36Z","6","0","689","689","1","0","1"
"f966cbd78c1ae35d2c3d5d2de98254d6ba346a0b","2018-09-16T22:11:53Z","86","2489","1333","3822","1","1","1"
"92ba1b0fa0921a8388aeb092e24cd4c3f775adaf","2018-09-16T21:54:14Z","86","2489","1333","3822","1","1","1"
"0c21b13d393b8855882a6ddc7f0ec4cde89b09b7","2018-09-14T16:24:45Z","33","150","266","416","1","0","0"
"62acce5be4a03eec54738cbacaf93732802771a6","2018-09-14T15:42:48Z","33","150","266","416","1","0","0"
"daf24506ca8d86f94a97fd19eb82d1e3ee69945a","2018-09-12T15:51:12Z","0","0","0","0","0","0","0"
"8ff2b75dcf295fbd9cb7ceeb7bdae3ea0fcb0494","2018-09-10T15:15:02Z","18","6","519","525","1","0","0"
"edf2014d926421dd5e237be2ba0c8a73b3141cd1","2018-09-10T15:05:02Z","18","6","519","525","1","0","0"
"b7aacae10ab5fbfe07e0271e06e64676082589db","2018-09-10T14:26:11Z","62","91","1401","1492","1","1","1"
"cfd533843742c29e37430333c0e1f1326d3bf539","2018-09-10T14:03:07Z","2","31","20","51","1","1","1"
"2f7dc6f6dab978c0517900fa698519c0ee6c2384","2018-09-10T13:35:49Z","60","60","1381","1441","1","0","0"
"80dcf9e0339d0ea3ca65071aa9399c542c2ccfe1","2018-09-10T02:44:05Z","1","13","0","13","1","1","0"
"5af79931a4801f9ff32367ea802dfa4a7d2ebd4b","2018-09-10T02:04:55Z","0","0","0","0","0","0","0"
"691d0e34cea5f164c28782648805cad0c286a6e3","2018-09-10T01:45:01Z","0","0","0","0","0","0","0"
"db4f90c076a785003742fba663793d59efad22e6","2018-09-10T01:43:45Z","0","0","0","0","0","0","0"
"87e30d14ae65c980367ae91fdbd6b181589a6e6b","2018-09-10T01:39:39Z","7","6","662","668","1","0","0"
"84dd93fd23e11f4d368b9e95ab133ee097590778","2018-09-10T01:29:30Z","7","6","662","668","1","0","0"
"1148a3c6da552fb3f4961cf70911d62be0116159","2018-09-10T01:02:17Z","20","149","133","282","1","0","1"
"945aa209f99e042729645e44523eb7ee94eb0a70","2018-09-10T00:50:55Z","20","149","133","282","1","0","1"
"bfb84559076bc2be22e9cb9f6f564b34296143ab","2018-09-09T20:28:15Z","23","157","107","264","1","1","1"
"035ef101fdb84dbfd941a197d9799cec1b07c755","2018-09-09T20:16:32Z","23","157","107","264","1","0","1"
"51e29bd9aa515156dbc3dcb5b8fdd1ac97c41c93","2018-09-09T16:06:40Z","3","39","4","43","1","0","0"
"83eaba5a2287780b3dcef84fb368d7394744314d","2018-09-09T16:02:30Z","2","38","3","41","1","0","0"
"4a2bed59eb3754f9d03cbbb5dde47cefc02491dc","2018-09-09T16:00:29Z","1","1","1","2","1","0","0"
"2d4a519fd90cec867ee28d2773d174de8f365c38","2018-09-09T15:57:13Z","2","2","17","19","1","0","0"
"fa14435941286d8d06ceb078e42a24786d2e1631","2018-09-09T15:14:10Z","2","2","17","19","1","0","0"
"b6897f7223371444b80dac6e8e1eec2e56dc955b","2018-09-09T03:29:53Z","2","2","17","19","1","0","0"
"47eecc2b0f6de18bd9fa465c34549c6ddf5f2731","2018-09-06T20:36:41Z","0","0","0","0","0","1","0"
"4d2266ba64279af30d91a08b15ac333027062e93","2018-08-27T20:28:24Z","3","189","22","211","1","0","0"
"b1c602ed5fc5df66d730571f849f0075b1eee154","2018-08-27T20:16:30Z","3","189","22","211","1","0","0"
"6bc08a3c3bac7f9b1b6aaada99d9ca8cc9fbbcf8","2018-08-05T14:20:13Z","1","1","1","2","1","0","0"
