"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"af07d8013d6933bc4c69b49eb43e2e366667dd36","2018-10-02T03:58:33Z","15","257","35","292","1","0","1"
"d526d0462215258c7ca4ebd14e2843fd7dfa61da","2018-09-30T04:53:07Z","1","2","3","5","1","0","1"
"b031cfcd806c434e053a4169b8a053b2f95eff47","2018-09-28T03:43:06Z","9","16","1","17","1","0","0"
"cb7e871cff3ecc96b16f47618eead05a936ec1e6","2018-09-28T03:42:29Z","1","2","2","4","1","0","0"
"6b14546e98dc70045769b7a0f3ae6588d815b495","2018-09-27T10:20:41Z","0","0","0","0","0","0","1"
"e5799c08dacfa5b332451ecd44ef1599197277ac","2018-09-27T10:02:59Z","0","0","0","0","0","0","1"
"20f8d4c64a7a28ad5bf95d116b0e30502ab2e39d","2018-09-24T01:04:32Z","1","2","3","5","1","0","1"
"e6a97f6e9a7afe485d4661418031bafb2de98e72","2018-09-23T22:51:30Z","7","30","7","37","1","0","1"
"8a5fa0a57e9eaa365fd2102e095b4cbe7ab16ba5","2018-09-18T21:29:40Z","0","0","0","0","0","0","1"
"de360a054bcc2602bcdaca648a03709a01917a48","2018-09-18T21:27:59Z","1","2","2","4","1","0","0"
"ab3ba68316bac6c1e850803db6d164765fb61fd9","2018-09-15T12:11:20Z","1","185","12","197","1","0","1"
"c3511789cffa4648ab4d04d76c9d7c6385b76b2b","2018-09-15T12:09:50Z","1","18","17","35","1","0","0"
"e45bea82274ae5853eed4aa33e8706c88368abe3","2018-09-13T21:09:56Z","1","5","2","7","1","0","1"
"094ff85fba4de6ab43a1f44547102776a57fe1e7","2018-09-13T21:05:33Z","4","58","8","66","1","0","1"
"a96e96376380838c43cefda7be2dc086baceb779","2018-09-12T11:49:36Z","2","10","2","12","1","0","0"
"17c05a9d31b683897e4b60d81810b62d19bc6875","2018-09-12T11:49:36Z","4","10","4","14","1","0","0"
"c93dfaf661e42421efd29a881e3c1e35794de42b","2018-09-10T22:58:29Z","14","57","9","66","1","0","0"
"4c5aca5ca8bd49fe51a9ad5be9eb8736aa1cd242","2018-09-09T01:48:43Z","20","653","190","843","1","0","1"
"a4850c0f4c2eee1e914311d8f1a7b019b4c81d0a","2018-09-09T01:41:48Z","1","3","2","5","1","0","0"
"b55f8a566361c29cd62de02aded82008689d6b76","2018-09-08T06:58:28Z","1","4","0","4","1","0","1"
"03482afd5090335b8b21930436a55bb637790ac0","2018-09-08T05:11:18Z","0","0","0","0","0","0","0"
"12528517b5ebc995e4be6ab33fd306942844c09a","2018-09-05T03:34:58Z","3","44","49","93","1","0","0"
"4485074df0be836253c7e1c52a8011cd4ffc26db","2018-09-03T01:07:26Z","0","0","0","0","0","0","0"
"3ea1c1a643977bf173e2a835c86d6a14f9b51794","2018-08-31T08:54:20Z","1","40","9","49","1","0","1"
"835497ee7df87299759ef626cb4064d6ca3e05ac","2018-08-30T23:30:16Z","4","239","6","245","1","0","1"
"92695bdd23dce2a5eca58a5bd21fb472713f89eb","2018-08-30T04:16:49Z","3","39","11","50","1","0","1"
"524a9060af0aa82af5d8261958b0853ef9f8088b","2018-08-30T04:01:27Z","1","41","22","63","1","0","1"
"0a3a00f212d4122e35e771c5122b1513dc7014a8","2018-08-29T21:42:45Z","1","54","13","67","1","0","1"
"8b5d0d5da7d5ec44e78cddcf53a25be98ce62ab6","2018-08-29T21:42:45Z","0","0","0","0","0","0","0"
"519c3ee92365bf4f8977863b8c2634b658bf80e1","2018-08-29T21:42:45Z","1","4","2","6","1","0","1"
"9ed2843b79e1dfe47d189be2e8a9b6375d7c8a48","2018-08-29T21:39:06Z","2","7","1","8","1","0","1"
"24db46aa13c1c8ddde427c1e9bff5d62bb33f798","2018-08-29T06:39:01Z","1","24","2","26","1","0","1"
"d049882ef1a6f4332fadf088c4c8099b2134293a","2018-08-28T23:40:38Z","1","5","5","10","1","1","0"
