"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e074cf1a77bf2657037953834031b0e73b964495","2018-09-28T18:46:22Z","2","14","0","14","1","0","0"
"3912da1f70af002c4a4a0ea738c56212f724cbac","2018-09-28T18:46:13Z","0","0","0","0","0","0","0"
"3bab1fbeb2f0bb7705df398cac5254838ce7c825","2018-09-28T18:46:05Z","2","4","4","8","1","0","0"
"0d34c125acd88f9bb36bd334117c1cb01a3a44b9","2018-09-28T18:45:40Z","4","16","4","20","1","0","0"
"8dbe749b9e78a0caa4da949048c82dc50eb8da8d","2018-09-19T16:27:51Z","4","38","2","40","1","0","0"
"0743f9aeb96cccff4b79b2c9935ea1c58e0ccf19","2018-09-19T16:27:51Z","3","55","22","77","1","0","0"
"95521f78d442084e2d9ebd6e2d096a834caccdad","2018-09-19T16:27:51Z","0","0","0","0","0","1","0"
"ec9b5d56271cd3ce1bf145fccbea77c8c3b8aa5c","2018-09-19T16:27:51Z","2","14","16","30","1","0","0"
"88e6fb86f5317bdfd2e8a78899334e9f0ba16987","2018-09-14T03:38:11Z","4","2","24","26","1","0","0"
"e2cf262d89c65a701de72df20c38808640e7e86c","2018-09-12T21:42:09Z","2","13","30","43","1","0","0"
"b62d52926b904a8def90fd427acad53d79fa0e9f","2018-09-12T21:42:09Z","12","587","11","598","1","1","0"
"eb3a9f447715b05c18179bf6313dfd28851bb56e","2018-09-12T20:07:09Z","4","162","20","182","1","0","0"
"b611718c8b4334795dffcc7f043bef49a435506b","2018-09-12T20:03:49Z","2","2","2","4","1","0","0"
"b03e282f246794f3e3cc6dcce6543e449049ce47","2018-09-12T20:02:10Z","4","100","82","182","1","0","0"
"d3abde3e788c5d52502f716be6871d3e18453e88","2018-09-12T20:00:31Z","6","28","14","42","1","0","0"
"3e4d052920b6c090aa544affda1533e049871082","2018-09-12T14:31:12Z","2","4","6","10","1","0","0"
"a149cd450b1ea347fac0a0beaee4ab1e82c15429","2018-09-04T19:52:14Z","2","18","2","20","1","0","0"
"326562f3d22bf0864a1f8264f1720c5a96984243","2018-09-04T19:52:14Z","6","252","6","258","1","0","0"
"83ea00f0b4a5a866981f6dbf847b611bb5b7770d","2018-08-30T19:56:28Z","2","4","4","8","1","0","0"
