"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b25418e39faf09b7609e343ad73ee4e58057dbc8","2018-09-28T08:56:56Z","3","20","20","40","1","1","1"
"d1940b148ee8ca9a1e2f231bcf53015f62ba1827","2018-09-28T01:28:36Z","5","0","0","0","1","1","1"
"91f4d7753b53bbb39c9aec154f1fffed1ccb5c25","2018-09-27T03:47:52Z","1","25","15","40","1","0","1"
"6e2eed17b13b0006569ec66760325e86d5dca97f","2018-09-25T10:02:35Z","0","0","0","0","0","0","0"
"93924b847d41e302ad4f39e2f22da3b9ffd7cf18","2018-09-25T09:29:00Z","0","0","0","0","0","0","0"
"b1fe5bb99cb3f5898f41d168706bdf627681d245","2018-09-25T09:16:19Z","1","8","0","8","1","0","0"
"e7bb73af6c839cc0576283a8923164afaa9ec3fb","2018-09-25T03:50:40Z","6","93","8","101","1","0","1"
"dba67fa0c02477958bf3846cfbc352feb2a74ac4","2018-09-25T03:24:13Z","2","82","0","82","1","0","0"
"d4b65c8011a5c534aa570ce154d8a9706396e391","2018-09-25T02:52:52Z","2","51","6","57","1","0","0"
"570dc15025eaa213c59a41aa7f0c289e36194277","2018-09-25T02:37:27Z","3","19","2","21","1","0","1"
"e63cb07adf38f2b51abb15de8d191159fb239af3","2018-09-25T02:07:24Z","0","0","0","0","0","0","0"
"7bc521f1829e56a1d566e50590e441b66f84e31b","2018-09-25T02:04:18Z","2","14","33","47","1","0","0"
"8a1c4bc3dbefa3489fc366ab7a1054a8708b7b80","2018-09-21T09:13:23Z","4","26","36","62","1","0","0"
"afbe914558f3b7cd99a51f351448d7ffbc8ca8d8","2018-09-21T08:46:26Z","0","0","0","0","0","1","0"
"250e107cddce964b5869b58a58e81b49f5058926","2018-09-21T08:41:10Z","0","0","0","0","0","0","0"
"35de181e2e44f44e8eee7e1a229a21eab3e745b2","2018-09-21T08:40:57Z","0","0","0","0","0","0","0"
"97ba0d9ae68b5c428564bf6297231596d3dbca97","2018-09-20T09:35:12Z","0","0","0","0","0","0","0"
"a1d30f895d6927eb93944d2d47ca5df983b63de1","2018-09-19T08:25:09Z","0","0","0","0","0","0","0"
"3fa2a5a2d3a63ccc01635c751b0d8628b094c366","2018-09-19T08:15:59Z","0","0","0","0","0","0","1"
"d0e674905776d793ad560a3bdfb353524e7d684c","2018-09-19T06:38:24Z","16","0","1257","1257","1","1","0"
"424f2b65270e32c881679ed0b5e2b9f3c0cdfcff","2018-09-18T07:17:48Z","0","0","0","0","0","0","0"
"ad64584fe7955e124cf3749bb9241bb202088c72","2018-09-18T07:17:40Z","0","0","0","0","0","1","0"
"96a1af6f100debf3a9207f2ea831dc0eba7226cb","2018-09-12T09:04:30Z","0","0","0","0","0","0","0"
"6aced37de6f91b4fce26e4be20e49f2698f5ebff","2018-09-11T11:54:50Z","0","0","0","0","0","0","0"
"6b0780f250f7212eba1bcba2e1c0203a36f9687e","2018-09-11T11:54:41Z","3","17","4","21","1","0","0"
"7bd5b882efdef57de12f0f2e592180a7233b8b31","2018-09-11T11:34:40Z","0","0","0","0","0","0","0"
"628eb37779f942c49302eb3c7ca2de499f855600","2018-09-11T11:29:01Z","0","0","0","0","0","0","1"
"1f9f788249deb1e2abb8768c00e30ca2225efc9a","2018-09-11T09:59:35Z","14","371","40","411","1","1","1"
"885c4000ee60a47c9ebfb5afc30556f62275542e","2018-09-11T03:47:37Z","4","51","15","66","1","0","0"
"e91bbd742a83a7e09976953406818d713bc10fb2","2018-09-07T08:53:41Z","1","0","0","0","1","0","0"
"9f0aa5c7140c52633009e0db04bfc7e531064503","2018-09-04T09:43:27Z","18","377","180","557","1","1","0"
"673a4437fb779e5bbba3eeccc0881dafdebb859b","2018-09-04T09:43:02Z","1","1","1","2","1","0","0"
"87f374d184541dcb901260d1f2a657a3ec12e266","2018-08-22T07:48:34Z","1","39","38","77","1","0","0"
"9be813ce3330bd8235d69ddc42530cded811b203","2018-08-20T09:44:39Z","11","0","218","218","1","1","0"
"ccdfbac5db78cb549866ffed5120a3790e79cc5b","2018-08-20T01:21:44Z","13","220","2","222","1","1","0"
"8720912226c2297239e9532a38a0b5609ceb513b","2018-08-19T14:59:26Z","2","2","2","4","1","0","0"
"aaf36b1773da67f6cef44d5f5958fafa1ec799fa","2018-08-19T14:58:38Z","11","218","0","218","1","1","0"
"d031ab090a1d14c48e5af4b848317752947d641a","2018-08-14T06:52:39Z","1","1","1","2","1","0","0"
"cfb138a625e00abba13fa2bd6c1c0481e2379965","2018-08-14T06:52:11Z","7","254","66","320","1","0","0"
"03a852b921da770f8507b0956c600f7734ee22eb","2018-08-14T03:12:26Z","4","92","14","106","1","0","0"
"50640e7ffe0bd789b1622844599e7c3dfceccc75","2018-08-08T08:45:39Z","1","7","6","13","1","0","0"
"190a3d8040de3bd4b61f5de7c9446e07174b4390","2018-08-01T01:33:56Z","1","2","1","3","1","0","0"
"7bc7090e29b61531320c5576edd4af5fe50f5070","2018-07-30T10:23:28Z","2","13","2","15","1","0","0"
"6a69135cfaea5b253b8129b6fd54fbdd6c2f16f3","2018-07-30T08:19:27Z","1","54","3","57","1","0","0"
"30ecea0a14cc22931e1fae2166f788fdcc5bdc2d","2018-07-30T04:09:29Z","1","1","1","2","1","0","0"
"171403c28c4c63b76efac149735842147940e7a0","2018-07-30T03:57:21Z","6","2","271","273","1","0","0"
"b99f0a48fafdbc0b8a52ec1ca8c1330c1cc67b41","2018-07-30T03:47:11Z","1","5","2","7","1","0","0"
"481ad838cf4e8cb342cdc54bb8f2ab7012ba5ccc","2018-07-30T03:27:23Z","2","84","20","104","1","0","0"
"b65ffcee7555bd657c8612fad471ad025af421c8","2018-07-27T11:00:10Z","13","221","4","225","1","0","0"
"d164a57fc54eeccf6d0a5e146b2d6e0e82c043a9","2018-07-27T06:50:08Z","4","63","8","71","1","0","0"
"f6699ecd66313f8ae0c8ea03a0f385636bddfa67","2018-07-26T16:05:56Z","1","1","1","2","1","0","0"
"c40a6c6e7672fba31b51f033d48ea8cb3cac66ab","2018-07-26T11:11:36Z","9","310","178","488","1","0","0"
"898b04ab034b18b3f942228740c400643d2ca1dd","2018-07-25T11:22:08Z","12","207","160","367","1","0","0"
"3d8ee2e0fed314541235bb06757ae94326e6777d","2018-07-25T02:27:30Z","10","165","8","173","1","0","0"
"63dc997d9ab217d9eaff885f69306101aba6eed1","2018-07-24T11:12:19Z","7","100","38","138","1","0","0"
"040b23824f8fdf89a0526064bb559ea5276a849f","2018-07-24T02:59:09Z","1","4","0","4","1","0","0"
"c759110f32a05345519413e2ab4bc5fd4ed8c929","2018-07-23T15:52:35Z","3","104","19","123","1","0","0"
"c6ecf7a40c53733c9126ae997553ff0cd8f9edd7","2018-07-23T10:55:33Z","1","1","1","2","1","0","0"
"f42fca71375b4569d4c6dc40246227307b3fd658","2018-07-23T10:55:12Z","12","317","81","398","1","0","0"
"a80cd470a1709768e3dd499debe8e8c55516b428","2018-07-23T10:05:19Z","1","1","1","2","1","0","0"
"c0df3667f62f24f32c18059ba6095b14945cdc37","2018-07-23T10:04:20Z","1","1","1","2","1","0","0"
"a459f191491de8b4c30f7a7f1c1ef61fe19c99fb","2018-07-21T09:26:36Z","1","18","4","22","1","0","0"
"0063706fe21a2db2d456644baa95c6693337b682","2018-07-21T09:03:05Z","1","3","0","3","1","0","0"
"715c9b07235d2dfc8abb4ea45f9ee4f93240badf","2018-07-21T08:58:26Z","1","184","4","188","1","0","0"
"8ab353ba938882b2443fdea40d2590f6aedf4baf","2018-07-20T13:54:05Z","3","7","7","14","1","0","0"
"31f10570d9c389d8cd321017b360437e6a18645c","2018-07-20T11:12:24Z","4","11","6","17","1","0","0"
"c8c5b7bf160025af1e77a3607b7f3e24044e14cf","2018-07-20T10:06:56Z","1","3","1","4","1","0","0"
"4077daf611983a27c50cf80af4b225033343aa1c","2018-07-20T10:06:28Z","4","43","25","68","1","0","0"
"13dfa76e16f4ac43300f29cce87ed8a02709638c","2018-07-19T08:50:54Z","13","228","229","457","1","0","0"
"92b8f9def722a088195040e0a46508849f36f548","2018-07-19T06:48:22Z","6","77","3","80","1","0","0"
"be0ecc63d2fcb3d928d9bc7ae3c17293707c60a1","2018-07-19T06:16:34Z","1","0","2","2","1","0","0"
"eb3b6a95cd7cebadef78b43f3fabc9ac29663f08","2018-07-18T15:07:49Z","1","2","2","4","1","0","0"
"4232fd355ee949e65c74d76858015af95e815018","2018-07-18T15:07:34Z","1","2","1","3","1","0","0"
"14ed2a999cecd083fa5a7e423a0515705c6893d1","2018-07-18T15:07:19Z","3","87","17","104","1","0","0"
"526a05b8fae45cbcdb1c58daf4cb01c24cf70281","2018-07-18T11:47:18Z","1","6","5","11","1","0","0"
"9dfcb8d0d2233bbea577b77635e362649972bfac","2018-07-18T03:14:41Z","4","6","6","12","1","0","0"
"c3121c18bd19c1e500c4edb1d858e108e7a017f3","2018-07-18T03:00:06Z","43","72","67","139","1","0","0"
"feac6b0227a3791daa078e81603085c63e93c4e3","2018-07-18T02:58:18Z","1","2","4","6","1","0","0"
"aa7dbdb8c3aba6938510c5e1ac676dc0b5afe158","2018-07-17T10:30:34Z","18","425","96","521","1","1","0"
"e52c04801d81d86e630f090ef7417e1b3b972aec","2018-07-17T10:19:19Z","30","45","49","94","1","0","0"
"2c3324ce2771fd3dd88a8593a177052fc9e191f7","2018-07-17T10:18:38Z","0","0","0","0","0","1","0"
"896e3721c62187fc61dd44f1caf1a9b0939b6342","2018-07-17T09:22:28Z","1","3","2","5","1","0","0"
"cce09046f3456b8b21549f8a76617c3cf07041db","2018-07-17T09:20:58Z","1","2","2","4","1","0","0"
"77bb6cade015da2e137fb91781f96edeef00f356","2018-07-15T13:32:47Z","11","79","61","140","1","0","0"
"4ed1db9455c0bff1cad4d23a1e1adc35d92c664a","2018-07-15T02:57:09Z","4","11","14","25","1","0","0"
"0f29ebfe91c71faf433f3220019df85f4e6372bf","2018-07-13T15:01:00Z","4","765","13","778","1","1","0"
"b5544432319d1bd87c4edbcfd30245778c444452","2018-07-13T11:04:10Z","14","424","190","614","1","1","0"
"e116a998614518acc621401abacec9988c7fbb86","2018-07-12T15:03:22Z","4","53","9","62","1","0","0"
