"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9b7284f4d5c7f48e5d164670eb512d16987e5e25","2018-09-29T07:27:32Z","1","12","0","12","1","0","0"
"be51a115dee9935b96e69d35c75ee158a63fd807","2018-09-28T03:47:18Z","1","4","1","5","1","0","0"
"040343b917a3989fe6fba30a6deddb8974a68bb5","2018-09-27T16:14:23Z","1","1","1","2","1","0","0"
"6edfb1da28d7bc880682e7c8c4748a7053afb429","2018-09-27T16:10:01Z","5","156","13","169","1","0","0"
"733a376396386f6cfab3f8ac8e30af2dfe7b2519","2018-09-27T02:43:29Z","1","3","3","6","1","0","0"
"cd7ba294b22a9b392030fe5c6ee06247fc7868c1","2018-09-26T09:09:45Z","1","3","2","5","1","0","0"
"00b718cbb214d82f6781c82b18c0c5c605940b98","2018-09-26T09:08:44Z","1","101","43","144","1","0","0"
"755bbf92741d4fcfed52bf314a5971a53c46b00c","2018-09-26T03:40:00Z","0","0","0","0","0","0","0"
"4fd352b6c3c4027c312b35b7b49ac82bf320f0ad","2018-09-25T09:46:30Z","3","15","16","31","1","0","0"
"0d20194cadada4f131395e9d0fff0a89ca2fe3bc","2018-09-25T07:08:09Z","1","4","4","8","1","0","0"
"84410f79602a561b26957dc5149f599efd44aa2b","2018-09-21T09:59:18Z","6","46","13","59","1","0","0"
"e6b0bc8a856abd7f2d7a2e0f06ccc78dc90e2e0a","2018-09-21T02:35:53Z","2","25","5","30","1","0","0"
"4776efba344514111a763ea871cd8149ca51a9ae","2018-09-21T02:13:36Z","1","9","11","20","1","0","0"
"18dee4e44df7a02cacb3070fda72e22d7078f910","2018-09-21T00:57:27Z","21","180","90","270","1","0","0"
"b411a777b3d3111dcdea0cd6d88151b3358665b8","2018-09-20T03:32:08Z","2","2","2","4","1","0","0"
"cd60e58e1a579749c89c6ac8ddb39f8e8e894ef5","2018-09-19T09:28:43Z","1","18","0","18","1","0","0"
"9135546c847edb3eb6d8abd3efd46f9ab702bd2e","2018-09-19T04:43:47Z","1","13","1","14","1","0","0"
