"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"875077385341b43c6b9802456d69dd1e14ee8048","2018-09-07T23:01:22Z","0","0","0","0","0","0","0"
"d206fd3f18a81a24dfa432317e28b831da7d2194","2018-09-07T22:59:25Z","5","24","11","35","1","0","0"
"d916e999ac9272c0b5c5f9e67b897fb01db01a9f","2018-09-07T22:51:48Z","0","0","0","0","0","0","0"
"4f48ff13809ee510330d8c1bd9eb89587bf957a7","2018-09-07T22:49:18Z","3","144","6","150","1","0","0"
"3780df26a2a8a3410ea7e21e7d1d32d37e1c0baf","2018-09-07T22:45:43Z","0","0","0","0","0","0","0"
"08308ec278ae08c18e35dd0efe8c1162c30dc0fe","2018-09-05T16:11:38Z","4","192","120","312","1","0","0"
"cb9dc4a57f566a3895a31c7663eac015ff4f556e","2018-09-05T16:09:41Z","2","21","4","25","1","0","0"
"5ce55d559776e5874cf9f476a0a2b9fed019b5e3","2018-09-05T16:07:37Z","0","0","0","0","0","0","0"
"20b6f59346d1df73ccef7bb859c391b13ebcd76d","2018-09-05T16:01:29Z","0","0","0","0","0","0","0"
"34cf80fec7e2deffa957227a8cbf68a22184fc5c","2018-09-05T15:59:27Z","0","0","0","0","0","0","0"
"c4cc5a9bdcd548aba3d3046226756b61cb7205d3","2018-09-05T15:57:22Z","0","0","0","0","0","0","0"
"4b83e0cd302273d0e731f84bf5330f160e79a4c2","2018-09-05T15:55:16Z","0","0","0","0","0","0","0"
"81e55116816f0fa054017518b417f72d5fa2253c","2018-09-05T15:53:10Z","2","27","0","27","1","0","0"
"938bccabd8bb7d2061c825d72f09eb74516a8d76","2018-09-05T15:51:05Z","1","23","0","23","1","0","0"
"6da807a1319b844b395d01b0cad8b3d607005873","2018-08-24T17:41:06Z","0","0","0","0","0","0","0"
"4ec6b86577015243539a7bbcb454e6c930c4815c","2018-08-24T17:40:34Z","2","28","4","32","1","0","0"
"eab4becbe6744b1078896aea9bcc6cf4776f3471","2018-08-24T17:40:34Z","5","90","36","126","1","0","0"
"51fb6e84bc7e4c8b524a40ca000779f314e73611","2018-08-24T17:40:34Z","3","29","7","36","1","0","0"
"afea8ceb683465e9f9d167d4f533a9f001ae6fed","2018-08-24T17:40:34Z","2","15","0","15","1","0","0"
"b07ebfb4583b6d355eed3444e823431abd974329","2018-08-24T17:40:34Z","0","0","0","0","0","0","0"
"8025eb8857521ce3919d9dca29ade5f479d60bf6","2018-08-24T17:40:34Z","4","220","9","229","1","0","0"
"6d54ae8c9431fe34ae9b3738b39521d7c2ac981f","2018-08-24T17:40:34Z","1","0","8","8","1","0","0"
"98cd95298ab26657fcf6dddb676a5e163618e2aa","2018-08-24T17:40:34Z","5","120","11","131","1","0","0"
"e9f513d6d2239449762f643cb5a0f72a4b5541b1","2018-08-24T17:40:34Z","0","0","0","0","0","0","0"
"1bad54c2bbd5698136a9e94a41d1762a03dc3347","2018-08-24T17:40:34Z","1","9","3","12","1","0","0"
"825d509e1513ae75a0df458eed41f2bfe0584990","2018-08-24T17:40:34Z","0","0","0","0","0","0","0"
