"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ee74fec53c0e17db82909650c5d041ade2e1b1ca","2018-09-30T18:36:32Z","0","0","0","0","0","0","0"
"7a7e891384740f8bab597b2b6eed4632528956d9","2018-09-30T18:05:57Z","0","0","0","0","0","1","0"
"26d6d96f787470888af5eee784a2ce2fdfce45d1","2018-09-30T18:03:48Z","0","0","0","0","0","1","0"
"3cec7a9ec1c5c196969153d802d264f891a5761b","2018-09-25T19:49:25Z","0","0","0","0","0","0","0"
"b079aec1fdf6e72ffccb4373083b90ce16f562ff","2018-09-25T19:45:25Z","4","12","10","22","1","0","0"
"8f53df91b93107bc3548e68a9d890f9a502e3e11","2018-09-24T09:08:02Z","0","0","0","0","0","0","0"
"709405d96436b70d9874915d90156badeca65399","2018-09-11T10:41:59Z","2","3","3","6","1","0","0"
"f3749a2b9d1185e44add1baf135d5bfff0704fd0","2018-09-11T10:28:14Z","4","14","12","26","1","0","0"
"1d12d94bac64564a70faec05af21d33e17465b7d","2018-09-11T09:55:53Z","1","3","5","8","1","0","0"
"9e56e5cbc1c86980fe61d04bd1e247461611dc99","2018-09-08T18:54:42Z","2","7","10","17","1","0","0"
"1698b066f388142c9e8cbb7e2dc471494f07e892","2018-09-08T18:51:45Z","8","600","0","600","1","1","0"
"4ed039d80764e3682edd8ddda98f41bc5df026e5","2018-09-08T15:08:04Z","0","0","0","0","0","0","0"
"ec6d2a8ebed45a14c4d2af5d19660bac747f6a34","2018-09-08T02:29:51Z","2","7","10","17","1","0","0"
"98c3f93e822c80674458ca6a0e9277f6bbf04c24","2018-09-04T15:22:11Z","2","63","4","67","1","0","0"
"26fbbed62e077deac9402067d77542de76ee44cb","2018-09-01T10:18:36Z","0","0","0","0","0","0","0"
"0f9089dd625260cb91bf13c2dc8f934c03c7d951","2018-09-01T10:18:07Z","0","0","0","0","0","0","0"
"038befea267250476db4579337fb4d8e1fe7d0f7","2018-08-30T07:16:13Z","13","567","174","741","1","0","0"
"9daa3140e493e717252ff1cc69db79c5eb17066f","2018-08-29T16:32:17Z","7","50","18","68","1","0","0"
"8458e426bcce9671078d3246ffcafe649d07b3cb","2018-08-29T11:36:52Z","4","7","8","15","1","0","0"
"e6f84f2f41fdf4102c0008b6967a6598fc8f8523","2018-08-28T11:46:02Z","2","5","3","8","1","0","0"
"74f3799eb4fb6add4ad6761c8b913ddadde16733","2018-08-28T07:47:16Z","1","1","4","5","1","0","0"
"b23d8430af9430825e5295d6672a59549ff09095","2018-08-26T18:01:03Z","1","44","0","44","1","0","0"
"cb6b0b360097266b466419f94d5b5b4c4c388c05","2018-08-26T17:51:25Z","2","2","4","6","1","0","0"
"cd44ef3c81620755aa1f67dfd16287ae25e0e5e2","2018-08-26T17:42:33Z","6","135","21","156","1","0","0"
"1c2ddfad54a3c48c02e9b81a43678ba3502a1489","2018-08-25T22:49:43Z","15","406","426","832","1","1","0"
"f36de036f68a43aafe2bbd760890ae412a602fc2","2018-08-23T12:44:55Z","1","1","4","5","1","0","0"
"b64262303aa1980ac64ead4bc2e8b7fd7bf1a834","2018-08-21T05:50:16Z","2","3","2","5","1","0","0"
"9d012772fda72605eccbb7a3d490e7688c26f864","2018-08-21T05:42:40Z","0","0","0","0","0","0","0"
"e1a2f141c50072dfaf3bbb761be8ff2babf755c5","2018-08-21T02:36:58Z","2","3","2","5","1","0","0"
"cce104a27104e3a54e6894bd59d4a574776a13eb","2018-08-20T13:14:16Z","0","0","0","0","0","0","0"
"16df157181990e8d384f7dfcdc1bac424928d273","2018-08-13T05:13:06Z","4","88","0","88","1","0","0"
"c34004bea5487cbf12f08a613448085e36837187","2018-08-10T19:42:09Z","6","210","90","300","1","0","0"
"3e0cfa56840b02a93fc8fa537cc1d393528783e1","2018-08-05T01:59:53Z","14","447","35","482","1","1","0"
"ce459e8f9feca6c3aec62e493945454dd35222c9","2018-08-01T21:13:47Z","25","1128","4","1132","1","1","0"
"535431fac16923a685afc59e287bc8d2a8d4636a","2018-08-01T21:00:08Z","1","5","4","9","1","0","0"
"facb9e51a6f88765682d1723a2e3601825e275f6","2018-08-01T13:02:23Z","1","5","4","9","1","0","0"
"9eb8c30bcb9ae743f24286441cdfd01537dfb847","2018-07-18T09:06:19Z","1","5","4","9","1","0","0"
"fc87f8b7d325fc9c11e09d77cd89535ec5617be3","2018-07-08T17:39:55Z","24","1123","0","1123","1","1","0"
"b4537537904a9b65acc1c8279de217535dd42290","2018-07-08T17:38:54Z","1","0","1","1","1","0","0"
"d2b900b524ad189c42a4f2ebc99f667e507ef0dc","2018-07-08T17:25:42Z","8","212","130","342","1","0","0"
"2c8d1744df346ca87e8843580c72bb6126f0f15d","2018-07-08T16:07:30Z","6","353","0","353","1","1","0"
"d915b66e70bf8ba7ad07daf8fcc3d9972b8cf435","2018-07-08T06:55:36Z","9","425","0","425","1","1","0"
"328f917749206ce69dbeb703955aa7f2ad27f914","2018-07-01T19:12:04Z","6","353","0","353","1","1","0"
"ae0742347033310272f73033cdad592765ead589","2018-07-01T14:29:07Z","3","122","83","205","1","0","0"
"7add7b833c2874a1c8ae633f8dbf4e637bccd26f","2018-06-29T13:34:31Z","18","744","0","744","1","1","0"
"c7f9266768e566a532280d51b67dc070394233d6","2018-06-28T08:25:32Z","15","698","0","698","1","1","0"
"0453bf9063a8518ce1dd56dcde4eeed106dd4954","2018-06-23T12:24:07Z","5","19","24","43","1","0","0"
"f9bdd58bb7547cd77938c6a4a853656843a67754","2018-06-14T15:34:27Z","3","46","0","46","1","1","0"
"57f60c5ebfdbf538823c88323bc9841505dc3ec4","2018-06-14T15:30:46Z","5","9","4","13","1","0","0"
"51659fe9c55aa3aadd2fd7931da39f56e85ac95c","2018-06-14T15:04:30Z","2","2","2","4","1","0","0"
"04d80f05c8e4ce5a9a2b0124a4011baf3c7215b1","2018-06-14T14:56:14Z","0","0","0","0","0","0","0"
"6636fb151b2620102733c8689ec0f2916d83ad6c","2018-06-14T09:40:41Z","2","28","1","29","1","0","0"
"6a0fa747ad6789ecff06069ab0d07e3dca4955f3","2018-06-14T09:18:46Z","3","3","3","6","1","0","0"
"8b1ed95d6b669c94d5b45b46a2e5d05234f597ad","2018-06-14T09:14:35Z","2","6","6","12","1","0","0"
"6167d06dce9116c9f07c91439e6d297ea72309f9","2018-06-14T09:02:34Z","1","0","10","10","1","0","0"
"49feead13f73fda032da86a9dce7a449b4f52b93","2018-06-14T08:59:02Z","4","0","120","120","1","0","0"
"179a02bcdd3d6d7622715c045d28def548704ef1","2018-06-14T08:52:23Z","2","0","8","8","1","0","0"
