"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8f7889f83e6f2567196b0ea07cfbade9088f3383","2018-09-28T02:27:55Z","0","0","0","0","0","0","0"
"46a66d90e94aca1a35fe163beacb19e0f35c45d5","2018-09-28T02:17:19Z","1","1","1","2","1","0","0"
"7393162b69846edae5622df0bb5a31d89d5038a9","2018-09-28T01:56:39Z","2","4","4","8","1","0","0"
"223e82e8cc6d078a940d551012e1afee13f4197e","2018-09-24T10:55:55Z","1","1","1","2","1","0","0"
"5b70ce94f55b3adeeef06da9f541534bcc667d9f","2018-09-13T04:30:28Z","4","28","11","39","1","0","0"
"63cf6b616df408bc19f53a9fb97b34aaa6fb8935","2018-09-11T02:56:46Z","1","1","1","2","1","0","0"
"2f4e1d22b7bd1b4bfa164c51804de54731d8a0b2","2018-09-09T10:47:17Z","1","6","6","12","1","0","0"
"78902d2a716d39c59ffb17b94e568bfcfddc1c19","2018-09-06T06:43:19Z","1","2","2","4","1","0","0"
"449f31b2717a6cebe1581d940b916f52eab790ac","2018-09-05T01:01:17Z","5","42","15","57","1","0","0"
"30316827791c11e2b6d6bbd253ecb1d30591b665","2018-08-30T01:07:43Z","0","0","0","0","0","0","0"
"d8a0f910b328596302cdec414be418bd7de47ba7","2018-08-28T05:29:22Z","1","37","10","47","1","0","0"
"dd57c2cca04c937de8031f5dfc896f1c45b59379","2018-08-27T13:30:42Z","1","29","12","41","1","0","0"
"c50d69f896332e6817cb371fdfc43b86fbbedc85","2018-08-25T05:46:01Z","3","40","3","43","1","0","0"
"fa35503c768441aad93ed227048d194130ed1c6e","2018-08-24T08:26:46Z","1","91","0","91","1","0","0"
"00cd483bebfbd04f7e3f6fbe3272f49eb7db4fb2","2018-08-17T13:18:46Z","2","10","2","12","1","0","0"
"1ec41b64e6d0bf1a7e305e823a7a5c68bf808883","2018-08-17T05:18:38Z","0","0","0","0","0","0","0"
"41e0bf0df69eaf641105df2b2217c59ee5551e33","2018-08-15T11:29:13Z","1","3","3","6","1","0","0"
"53dcb8b90172a39a22d0b622adb75197f9d0010d","2018-08-03T10:38:48Z","1","14","2","16","1","0","0"
"391002c10e41461e05298c28da47fe6d23950de9","2018-08-03T00:27:42Z","1","9","4","13","1","0","0"
"7cfd1bf5ad06230716c8274fe304e83ceff24f59","2018-08-02T00:30:26Z","1","2","1","3","1","0","0"
"cc6bbc801aa1de1b3010a92e0b9a38de13fd9834","2018-07-31T01:48:31Z","0","0","0","0","0","1","0"
"018138d6fc075bea761ed36bbae9cc9d40774ec0","2018-07-29T01:11:23Z","0","0","0","0","0","1","0"
"0bdad1cc32c59b78d061bc717391a20a6f773f5b","2018-07-28T11:58:36Z","1","2","2","4","1","0","0"
"c24de8951f2f73a32924d8ec20a7bbeba652abf9","2018-07-28T11:58:36Z","0","0","0","0","0","1","0"
"69d392114b82bc0831f61786d6bc49cddd906e84","2018-07-28T11:57:54Z","1","1","1","2","1","0","0"
"a9ab4e920526663309f0a44c739889e64eb6d633","2018-07-18T02:46:13Z","0","0","0","0","0","1","0"
"c036db27ca85191e246b23b9390758225ed81c50","2018-07-17T11:24:10Z","0","0","0","0","0","1","0"
"925bc9eb0303d52d09de0ec43e7cce4e20e5e276","2018-07-16T02:10:06Z","3","10","0","10","1","0","0"
"45b811bfbe94fde93a2a6adcb21d9e7f25715739","2018-07-14T07:40:35Z","0","0","0","0","0","0","0"
"13e6ff1a72c0e3423c50cc02b5746cc98f4418dc","2018-07-12T08:02:50Z","1","1","1","2","1","0","0"
"428c79da3858963be3883808e5f15e36b91364bc","2018-07-12T07:28:44Z","1","38","3","41","1","0","0"
"135c3ed7a461d30226538899b995a3ea9d7318ee","2018-07-12T07:23:14Z","3","3","3","6","1","0","0"
"b53117a35992ef35c71e20c274d3e77e1492288a","2018-07-05T04:57:19Z","2","5","5","10","1","0","0"
"454f1ae7e676f431eccd6d7df63205ddc2f94e18","2018-06-20T07:55:41Z","6","138","1","139","1","0","0"
"a90fa526da6b3a8388aaa5a868afef510230bc60","2018-06-19T13:34:44Z","1","1","1","2","1","0","0"
"9b5d85d9996ece51533a7e23b1ac66e0696a8811","2018-06-17T12:12:33Z","1","3","3","6","1","0","0"
"cc3325732209d75779cfc3d05b342137a4f8b473","2018-06-15T05:23:55Z","4","34","13","47","1","0","0"
"e88ae488b66872fbeac5526d93a7e30be3747429","2018-06-11T02:12:34Z","2","39","32","71","1","0","0"
"8d385ea964e52ef30d56196f1274eb0260ba8919","2018-06-11T01:33:33Z","3","16","3","19","1","0","0"
"d07eb39ce1faebab3ade0ab1d388dee59663e4c3","2018-06-10T15:29:10Z","5","93","24","117","1","0","0"
