"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b7120ee559ccd225f7392cbe44fc55835a656710","2018-09-21T01:43:19Z","1","1","1","2","1","0","0"
"364199bd7a696e56f6df773f6b919263e6d6edd4","2018-09-20T13:22:05Z","1","12","2","14","1","0","0"
"dddf7063aa9a4ae273ee5cfb1a497452ca609a93","2018-08-14T11:04:26Z","1","2","2","4","1","0","0"
"816a958b8332944f6a4b436b01349894c06c95be","2018-08-14T09:32:37Z","3","27","0","27","1","0","0"
"26e7506412ef43e6b624793bbd06b42361546ea2","2018-08-14T08:29:10Z","18","267","16","283","1","0","0"
"432758b75511c2f9cea262193cbc6174bc7d8bc0","2018-08-14T06:55:46Z","10","330","14","344","1","0","0"
"0acb7e125d3a899d503a1b78746247a28c489c21","2018-08-14T06:40:34Z","1","18","30","48","1","0","0"
"bb7f5257abd39ae608074ebea37b570ec56222f8","2018-08-14T02:22:57Z","1","1","1","2","1","0","0"
"1b97cac0cc03077014b5b2c0b56026f02230c639","2018-08-14T00:06:01Z","17","491","2","493","1","0","0"
"cf31202ff193a454f4f47efca281f4fbb72a45c8","2018-08-13T05:59:57Z","5","88","40","128","1","0","0"
"c0b8ac0744f043ef5c34f2136b22554a6533ce72","2018-08-01T03:25:22Z","2","26","26","52","1","0","0"
"d054adb540b257d51ec82c8d1e56629a6c3eae00","2018-08-01T03:24:10Z","1","7","7","14","1","0","0"
"67a59fbb9a80a35cea64be19dde5d2318a6eba11","2018-08-01T03:22:14Z","2","12","12","24","1","0","0"
"2be4717722a1ad33377b9e69b3237a2e71d34e21","2018-08-01T03:02:24Z","4","9","3","12","1","0","0"
"6b7b46bbb509afbe98a3bd709287a71073a30850","2018-08-01T02:54:21Z","10","67","11","78","1","0","0"
"d1fb17ce3021f8bac135aef3fd306d62c877c13c","2018-06-03T14:13:14Z","14","143","28","171","1","0","0"
"42b21ca42350bca5f853e83065e7028622a451f7","2018-06-03T10:56:28Z","1","2","2","4","1","0","0"
"44d68f13b123e147660f890073be8bf45c9e6847","2018-06-03T10:52:34Z","1","2","2","4","1","0","0"
"f72c86fd7fe4210f5113b6aaf18d18c062765fcf","2018-06-03T10:49:02Z","2","2","2","4","1","0","0"
"2f65d0b3dbcc62dd0d6addc3f7313494a42c6146","2018-06-03T10:31:46Z","2","2","45","47","1","0","0"
"85352c3fb4cfd98a764bba8aab2666732bd47b52","2018-06-03T10:12:10Z","2","4","5","9","1","0","0"
"e34bbd05bd69ebde97fe1ae8606a476d6fbdc401","2018-06-03T09:41:11Z","13","95","96","191","1","0","0"
"df040537f47c8bf51ed66d16007c2a3f9f1bb802","2018-02-13T04:08:44Z","6","51","34","85","1","0","0"
