"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"149fd9b6080cee76cf41027cf46acc5353281496","2018-10-01T21:14:00Z","1","16","12","28","1","0","0"
"8a3bbdda2f2dead8b5cf1e6fb29fba952fe50357","2018-10-01T20:04:01Z","1","33","1","34","1","0","0"
"3627d90d2c3e7dd257ba8abad25fb782aecc47eb","2018-10-01T17:30:09Z","2","3","3","6","1","0","0"
"37d0898e6a478ebe1b3446694e30852ff2140beb","2018-10-01T16:02:11Z","0","0","0","0","0","0","0"
"fef3b2c1cae037f945ceb0419a650a012628ba52","2018-10-01T12:45:54Z","1","1","1","2","1","0","0"
"6c5effaa589cdf26ad292ea9b000fdd409430913","2018-10-01T12:43:22Z","2","3","3","6","1","0","0"
"008c4350849bd323f0b4adde03dbe7b5b58ed1e8","2018-10-01T00:36:06Z","0","0","0","0","0","1","0"
"1a93f90adaa6250da86d3c3e1b4c96376d5f53a0","2018-10-01T00:35:53Z","0","0","0","0","0","1","0"
"2fe2ed119bf760ec84ae7a9a850ce1ab964d5189","2018-09-30T12:18:18Z","1","14","6","20","1","0","0"
"beadc5946f4415b28cb6d7a3a9cfb8a2782ab316","2018-09-30T10:37:53Z","1","4","2","6","1","0","0"
"52755f5e55f64fe55f3fdeb6b3b9ee562797052d","2018-09-29T16:47:28Z","0","0","0","0","0","1","0"
"44212d2d820cd3cce690201098e91d79a3239382","2018-09-29T16:45:56Z","0","0","0","0","0","1","0"
"738c10bfc6dd7847ef17ddfde883ab51858dc301","2018-09-29T07:30:23Z","0","0","0","0","0","0","0"
"7bc431f09d05c0a6c0da9798fd773a02a7fce277","2018-09-28T20:35:38Z","4","22","14","36","1","0","0"
"ce68c48704bde42e1b31bb1e8e39c117b65d45ae","2018-09-28T19:21:01Z","0","0","0","0","0","1","0"
"f9cefcb0d4e30e3dd927fd1fa15f7cea83efd2e5","2018-09-28T19:12:14Z","0","0","0","0","0","1","0"
"18027c5b0c4ab9f0dc1fe180282742c0144e672a","2018-09-28T19:04:19Z","0","0","0","0","0","1","0"
"2d7b2b6e24b9df04f72d80906bddd941107469d1","2018-09-28T18:46:29Z","0","0","0","0","0","0","0"
"3e31079822ee92dc21a077dae9602308ba35b760","2018-09-28T18:18:38Z","0","0","0","0","0","1","0"
"143c1c5d2835554780e0aa9baa3bc517bb121561","2018-09-28T16:17:20Z","0","0","0","0","0","1","0"
"c4acc81405068fd969272fdb56c19da161a7015b","2018-09-28T13:11:17Z","1","0","1","1","1","0","0"
"179d59767958a8d40e15c7eed4db82b9ef7b88db","2018-09-28T11:59:14Z","1","12","6","18","1","0","0"
"eed7f5ee06b2014faa15f35daeacb7c1c17b41d6","2018-09-28T07:47:26Z","1","0","1","1","1","0","0"
"93757d891b2e77bfa567bf1dd3913e0b00f60cdc","2018-09-27T21:57:40Z","1","15","18","33","1","0","0"
"c63087f050796a18432470dbe96c75f6d0933da4","2018-09-27T21:32:23Z","1","15","18","33","1","0","0"
"9801bd961dcde1815ae3a590b769cd7bbef17481","2018-09-27T20:07:58Z","1","16","6","22","1","0","0"
"1f31f421770847787f7928f52bc83cf825bba373","2018-09-27T18:15:48Z","1","13","18","31","1","0","0"
"3caef8ec3278f0554f23098beaf25be6adf19679","2018-09-27T18:12:15Z","1","64","36","100","1","0","0"
"45c837daa920e85f84f288a7337016a853054add","2018-09-27T16:47:40Z","1","19","1","20","1","0","0"
"84a85225e70a426072cfe53a5313593133ad1bd1","2018-09-27T16:09:36Z","13","28","0","28","1","0","0"
"150de1df6ea20d52bb46e1a2ecea041b55d2a309","2018-09-27T16:08:51Z","21","47","46","93","1","0","0"
