"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"faa809da43538ce31076b50f969b4bd64caa5ac9","2018-04-17T13:50:10Z","0","0","0","0","0","0","0"
"c96c5e1cfa684a9e805a4f950f682ce87b66ac47","2018-04-17T13:47:21Z","0","0","0","0","0","0","0"
"43c81e3f307e1d364094d0cba57f7618908e8145","2018-04-10T07:31:53Z","5","5","5","10","1","1","0"
"8e2466c2d3826b31cd28593cb515b26be8cd1065","2018-04-10T07:29:46Z","5","5","5","10","1","1","0"
"f86ca717dff3f5c84285a92ae554cfb8e4ed79a1","2018-04-10T06:39:03Z","0","0","0","0","0","1","0"
"9f192fd90802cb743ad1dedd68873052150017e6","2018-04-07T00:35:51Z","5","5","5","10","1","1","0"
"5cede4f0c19a1263020319937df888c0cc61e7dd","2018-04-05T21:55:10Z","0","0","0","0","0","0","0"
"43d213fd6bcbb8bb57f523c4de9ba4980983c0a7","2018-03-27T21:22:09Z","0","0","0","0","0","1","0"
"0d8a5e80410bd2a96848dbcd6d55d5e78e6834e8","2018-03-23T17:18:30Z","2","5","3","8","1","0","0"
"11f9d10f31b56540bf1f51e8b94c6810ee4230ec","2018-03-23T13:02:10Z","0","0","0","0","0","1","0"
"fa89ddbe7c4941186fdbfb520072b660ec527de2","2018-03-23T08:59:05Z","2","55","12","67","1","0","0"
"5537bd6e42cce3b7bafcffb81578757c8dbf4298","2018-03-10T18:13:31Z","2","289","2","291","1","0","0"
"12ee22a31126ae17142f58f43ad1de529c3f2bcb","2018-02-23T08:13:13Z","2","82","2","84","1","0","0"
"9fece62bba22c31ea05e45dc80e920651ebf6ced","2018-02-22T13:40:59Z","0","0","0","0","0","1","0"
"85bdd94de9aef697eb2507dffff5ceee9e0f1abd","2018-02-19T16:19:09Z","21","256","506","762","1","0","0"
"88c6d7d9009223cb1d769f6d76236315d7051434","2017-12-20T13:54:18Z","3","2383","6","2389","1","0","0"
"2e3554ad4f8fc2249203feeb557bffa5d1d5f0e0","2017-12-14T13:14:33Z","0","0","0","0","0","1","0"
"629d9eb02d84343640841c02ee3b5e4c29406488","2017-12-14T12:00:17Z","0","0","0","0","0","1","0"
"334afa60a950672ad245c78bd595629f2f1ecfd9","2017-12-12T12:22:28Z","0","0","0","0","0","1","0"
"e6f0c1ccfcc6ebeecae251c3a9a9a804034d793a","2017-12-12T11:04:19Z","0","0","0","0","0","1","0"
"7fcacf8bc870f992ea24d646b9dbb01e510ab8ab","2017-12-10T21:36:00Z","0","0","0","0","0","1","0"
"401cd69e2d2f9fc5ea50f712590854f155e0ba4f","2017-12-07T13:44:44Z","0","0","0","0","0","1","0"
"659b6858bba6c83fcb5a23d9b55da16a1d56de97","2017-12-07T12:54:29Z","0","0","0","0","0","1","0"
"eb64a7c04a367d1aa7044d8537afdec80e2d0df7","2017-12-07T11:08:56Z","0","0","0","0","0","1","0"
"8efe5d857343d95fdf47684322d73772c40d9116","2017-12-01T15:53:31Z","0","0","0","0","0","1","0"
"827de4d8fedf6a67b62dc58b827b6dc4dbf16def","2017-11-21T16:45:19Z","0","0","0","0","0","1","0"
"f626c6c45d0ffb23f7240c6e7a2ae6a1c2156389","2017-11-15T15:46:15Z","0","0","0","0","0","1","0"
"2c2473ad6b9f5a9489969df79ade1ed5302e7ddf","2017-11-15T13:05:10Z","0","0","0","0","0","1","1"
"6ebe12dd21f1933de218031670f3084990fd0765","2017-11-15T10:06:24Z","0","0","0","0","0","1","0"
"df7998f451687b31b991b05a48265645143a7b0d","2017-11-14T16:21:33Z","0","0","0","0","0","1","0"
