"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"0463bc0504efd29f07c5d22ec7c6be56b358ac77","2018-09-25T19:08:57Z","1","1","1","2","1","0","0"
"50000fe9676df63b724f85a7660cc92907ad26a3","2018-09-22T21:43:40Z","1","8","0","8","1","0","0"
"91711907a68c866769b6252637b08dba61a0b1e9","2018-09-22T21:03:15Z","1","8","0","8","1","0","0"
"088ad8299553ad5cfd6aba5369a2219fb973da4c","2018-09-21T21:19:24Z","2","27","6","33","1","1","0"
"fe02b87dd26caef78004ba2a94c138b11234b612","2018-09-21T21:05:43Z","2","25","5","30","1","0","0"
"d6289eca9959661b7715e14821f3e64c7fc0d2e2","2018-09-21T21:04:32Z","1","2","1","3","1","1","0"
"c1fa86f7a0b736a8104d0a926fc9f2f3af48bb04","2018-09-21T20:56:27Z","0","0","0","0","0","1","0"
"f168d6dbd0aee25db0aae4d9452a56d4843d136f","2018-09-21T20:45:55Z","0","0","0","0","0","1","0"
"9e426cc2afe22731692769b3040499fb50ca8c87","2018-09-19T18:36:42Z","0","0","0","0","0","0","0"
"f553664b04940772c5baf4af711a08f26a1c4f99","2018-09-17T13:26:02Z","1","2","2","4","1","0","0"
"a4fcfae06bea20e977417da0455abf8f55052874","2018-09-11T15:36:14Z","2","22","3","25","1","0","0"
"08b496f33cf03babf1c8b6a21ee7e281f1c04caa","2018-09-11T06:46:36Z","0","0","0","0","0","0","0"
"ea8c01bedcacbe9e4ec619cbf196abe0e024ff3b","2018-09-10T20:37:58Z","0","0","0","0","0","0","0"
"0a0c380ffa7d99205b765b17e8a2e31ec6136172","2018-09-10T20:05:50Z","2","22","3","25","1","0","0"
"683fd9b543321716854186f8252ee70cd255af1b","2018-09-06T12:57:31Z","4","1287","0","1287","1","0","0"
"efe8bee3f675fcbc24f12fe0ac5ffb0b9943a5a4","2018-09-06T12:30:49Z","4","1287","0","1287","1","0","0"
"0f3f3f14f150a41915e2cd34b5da68b8e233241b","2018-09-01T19:29:02Z","2","112","0","112","1","0","0"
"9c20cb23441b697fc3364c6332ede7dedcb80527","2018-09-01T17:38:51Z","3","108","63","171","1","0","0"
"155d8aeece101fac80ce5674e7176624c711713d","2018-09-01T14:42:24Z","3","67","0","67","1","0","0"
