"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d1ea2a53929d7d56d4f4560852e5586517a0dd47","2018-09-28T23:47:44Z","0","0","0","0","0","1","0"
"861823fda47c294eefee1a3130b15d4add4b70e8","2018-09-28T22:22:14Z","0","0","0","0","0","0","0"
"bc5d87cd66d71a3d7f01fa1b3b0d38197940bc39","2018-09-28T22:08:46Z","0","0","0","0","0","0","0"
"e9b1365c47e47f502e7e95281296dc89cbe3d7ae","2018-09-28T22:07:38Z","8","9","9","18","1","1","0"
"01921361f9e3f8b3c823fafee97e246b8418502b","2018-09-28T22:07:38Z","0","0","0","0","0","1","0"
"88389dbea942f74b2d80d66aa795b8a6ad7becd1","2018-09-28T22:07:38Z","0","0","0","0","0","1","0"
"b8ec80e6d33f36d03219aa1d1076fb23f3ae6b63","2018-09-28T22:07:38Z","0","0","0","0","0","0","0"
"8cd92b69a1e165fac348f5b2ad45d0d0ec380dd8","2018-09-26T22:08:21Z","0","0","0","0","0","0","0"
"962dca1f918a2524fd8731ad083bb622cc01eeeb","2018-09-26T21:43:28Z","0","0","0","0","0","0","0"
"a0aead168930fdf739cd290e51a00ac95399af73","2018-09-23T21:30:03Z","2","40","2","42","1","0","0"
"add3cf9f2ba7aad62f3f96a43fdd69ee944c3eae","2018-08-30T09:52:22Z","0","0","0","0","0","0","0"
"7b549b1d9ad88be845e469222c57c144ae1b7da1","2018-08-30T01:46:12Z","0","0","0","0","0","0","0"
"5f98d636174cc0c6b76c9f434ee17e2b36577414","2018-05-30T20:52:24Z","1","1","1","2","1","0","0"
"0ae53118955118d4618ccf8ae7cf1b6d96cbc02d","2018-05-30T15:06:51Z","0","0","0","0","0","1","0"
"cbffc55599097440e7941110b2c11bc13e8a9a22","2018-05-30T15:06:50Z","0","0","0","0","0","1","0"
"a7e1672f4315d86f3cb95f06ac35d88d778e8c3a","2018-05-30T13:35:48Z","2","4","2","6","1","0","0"
"4aebe7a8002a3f643af63c9c21c38556ce22a7e5","2018-05-30T13:23:14Z","5","90","28","118","1","1","0"
"c9f2764c9d3cf6de5371a29419631fa7a62cf7b2","2018-04-07T01:47:31Z","8","539","355","894","1","1","0"
"c1285b98dd444d477a1aae865c2c03a4bfd9607c","2018-04-07T01:37:01Z","0","0","0","0","0","1","0"
"76bb063112cfb681bece3689442f265479fc8c65","2018-04-07T01:07:04Z","0","0","0","0","0","1","0"
"f871b0a1c0561bcaf71dd03bdfce8bc4825d11e8","2018-04-05T21:50:29Z","2","15","1","16","1","0","0"
"dfc0d826b6908e629af0e6b0ac770b56243787aa","2018-04-05T21:34:36Z","1","12","2","14","1","0","0"
"d982caa3ebf4d4c96ee8a0a01b52f41729e4fb06","2018-02-12T16:36:21Z","9","548","277","825","1","1","0"
"c5c681c91c74a508e67911e0af4980846d676ba2","2018-02-12T16:36:21Z","2","56","14","70","1","0","0"
"e917d7964141615d4a653e4b24393088d8f35aa4","2018-02-12T16:15:10Z","3","37","1","38","1","0","0"
"fa07587cdf5ed421da3a24c7b45ca259f04ec42f","2018-01-16T17:57:46Z","0","0","0","0","0","1","0"
"2fd2a046f640f2f0a0addcdcc4badf6e594f4b4e","2018-01-16T17:52:54Z","2","57","0","57","1","0","0"
"58c7a8830e45b28d54f92be291d3e13aa2231cd3","2017-12-17T19:51:28Z","1","19","0","19","1","0","0"
"8fa6798553c0c8b0349fef9664dd8371cba40806","2017-12-17T19:48:35Z","1","3","1","4","1","0","0"
"f08b3ea04843ef901f20de212ab53f1e183305c3","2017-12-17T06:11:19Z","1","1","1","2","1","0","0"
"79eb70cb289f48cc048c4e42b5fb899259f3fd7a","2017-12-08T04:13:56Z","1","16","0","16","1","0","0"
"f5b77e2844f5052533e62011893a9a5d779681dd","2017-12-08T04:08:26Z","1","20","0","20","1","0","0"
"1b09f6982c764e1d8ea54cf78fdb043b7ddf82bd","2017-11-29T18:18:20Z","1","1","1","2","1","0","0"
"ee4a3a053488e99e086b69a912bc0ea06048f30b","2017-11-13T14:39:03Z","0","0","0","0","0","0","0"
"f6a059edc00f7ef71a73b14c6f4179ae35162760","2017-11-13T10:16:07Z","0","0","0","0","0","0","0"
"1ccbac9ecdaf46097397966181f5d6307e5d73f5","2017-10-30T23:09:39Z","0","0","0","0","0","0","0"
"9f6703de14864fd78521a94fd6c0da7274258095","2017-10-30T17:56:34Z","0","0","0","0","0","0","0"
"e177ea4f2e054f9027a559ec5c0a90d87151aae7","2017-10-09T14:53:37Z","0","0","0","0","0","1","0"
"6f85780bcf818f329ed0418f6867bf149990d0fa","2017-10-09T13:50:50Z","1","22","0","22","1","0","0"
"82bd1b1916694fd3f193786c5d380def643ac41d","2017-10-05T09:10:15Z","1","22","0","22","1","0","0"
"28d306e963a2e2a854dd0fc107f8f8a1228fa3f8","2017-10-02T13:37:14Z","0","0","0","0","0","0","0"
"3bbaf8bd4fdccbb8456acb444bc27157c7c1bfec","2017-10-02T11:49:10Z","0","0","0","0","0","0","0"
"b90efa845e300f3ef113458d656689bf187164c1","2017-10-02T10:33:48Z","1","5","4","9","1","0","0"
"ca92af4ce111ee66f1349a57671c4035cfa09fdd","2017-10-02T10:28:22Z","0","0","0","0","0","1","0"
"3ba701b9d83dc9a6a1d45695c55f4f6edaa103c7","2017-10-02T10:25:59Z","1","5","3","8","1","1","0"
"1d337c696cdee8a68bdd9e52d766297d9ebf1343","2017-10-02T10:21:02Z","3","184","0","184","1","0","0"
"cef764273f548240e6d5834f20e2ab64f9b4e405","2017-08-01T13:26:46Z","2","20","0","20","1","0","0"
"8b0c67dc82a95133639faa3fa784419271172520","2017-08-01T13:04:22Z","1","16","17","33","1","0","0"
"a37cfecf07984e7fd88705bf85573cb71ad99632","2017-07-31T18:53:08Z","2","165","0","165","1","0","0"
"66825d61bf5257445f62a8a91ffda9fff8dcc4dd","2017-07-18T16:18:21Z","1","3","1","4","1","0","0"
"b3fdbc28743019bcf855c3dccd7dd07a2372a53f","2017-07-18T15:14:44Z","1","1","1","2","1","0","0"
"1e7b4b694926cef7339e265bc2b3fad3b2370367","2017-07-03T10:53:23Z","1","4","0","4","1","0","0"
"8780f88348f927a512a958065f248efe408e6672","2017-06-19T13:13:25Z","8","20","20","40","1","0","0"
"739828811dffb04939f7de3c03dcb6084de4c110","2017-06-16T01:14:15Z","8","20","20","40","1","0","0"
"49530d632d38ed5cee168ac525673e515f8f595c","2017-06-13T17:22:11Z","3","5","5","10","1","0","0"
"35340f10ce6cba4c144bae279ad7fb0c785b0833","2017-06-09T04:50:58Z","3","5","5","10","1","0","0"
"5d96cf2f4676a7494e539838409b9a2b78ccdd15","2017-06-05T09:31:07Z","0","0","0","0","0","1","0"
