"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"220b77140bce70dcf9c767f8f04758b09097db14","2018-05-12T05:47:22Z","1","2","2","4","1","0","0"
"26adfcbcb07bca87f0d50084aaca7549c97abb0c","2018-05-12T05:34:27Z","3","102","10","112","1","0","0"
"426ffe7870b937ef9cfa25ebe20e7a478493da99","2018-05-12T05:32:07Z","3","24","46","70","1","0","0"
"1933e9727c694863d6b7a9bb98682b560510d212","2018-05-12T05:02:08Z","2","18","5","23","1","0","0"
"4d104721d96baaa6a6c28d2b472a37f631227f46","2018-05-12T04:48:40Z","1","3","6","9","1","0","0"
"ae7d21635654f1e93e4b732983d633af46f53b73","2018-05-12T04:20:56Z","26","31","25","56","1","0","0"
"e26267dd77b437f9e3ea155ae7a52013fde6c2f5","2018-05-12T04:20:54Z","1","0","5","5","1","0","0"
"105f7bdcdbfffc879d0737cf857c02b6823b1b73","2018-05-12T01:59:23Z","26","31","25","56","1","0","0"
"c8c05694da5489221c27e45a5e49d0f5fcb41863","2018-05-10T05:18:19Z","13","89","62","151","1","0","0"
"16491229eeee7cea72d35ff0de6ed7302fd088de","2018-05-06T19:39:02Z","2","37","23","60","1","0","0"
"ae99d7ebaa7ce4e8446150ce4ccbad4646433f8f","2018-05-06T18:24:09Z","3","38","23","61","1","0","0"
"eec4cf3503d226272642c7507686e96870307dfb","2018-05-06T06:20:29Z","1","8","1","9","1","0","0"
"59f10777132745ec84eefad77dcabd2109947e97","2018-05-04T12:10:34Z","2","64","19","83","1","0","0"
"20ec85e678bb20d5988491d50789811ed1ee9eca","2018-05-02T13:13:11Z","2","69","0","69","1","0","0"
"a810d2e3615da9a37ad74a7db2ca8bc6945ab9a8","2018-04-29T23:16:12Z","2","23","1","24","1","0","0"
"bdf1df7eb3ca76cdcdaca38f7df5d941bbb1c664","2018-04-29T22:25:23Z","4","27","7","34","1","0","0"
"39e90ee38c3ce7aa254bb89740282c12eb149162","2018-04-29T22:06:19Z","1","78","78","156","1","0","0"
"6be19a6fa26e6e5e3d716283bad4b5de0348a8b7","2018-04-29T21:42:51Z","2","20","1","21","1","0","0"
"77966f79996f3fc4c7828b4d02a926c071faf040","2018-04-29T19:42:22Z","4","90","9","99","1","0","0"
"f1b885d238d8576d91d71a09f8658358dd846921","2018-04-29T18:43:19Z","10","61","106","167","1","0","0"
"d2fb53fd1ca0e06d877c8e9b8cd5da897c0d6618","2018-04-29T17:01:41Z","0","0","0","0","0","0","0"
"e38dfd44829e13ee83fd62bfe937580f5a998c11","2018-04-29T02:58:51Z","4","62","15","77","1","0","0"
"850a9cc02fb72cc450d1a9dc41912fa80fee9020","2018-04-29T01:51:43Z","11","125","53","178","1","0","0"
"bf6667c439a1fa29ea50d531b65633ffe150d16b","2018-04-28T20:16:30Z","3","2","127","129","1","0","0"
"fa38b8a95414984c1ded0a3672adae95b51c1ab3","2018-04-15T22:26:40Z","0","0","0","0","0","0","0"
"176c173b24bf890460fe8ecb08ddf60d4fc2e195","2018-04-15T22:20:09Z","0","0","0","0","0","1","0"
"2b1ea0633ff5d4cba5db0e202a4ce0fbdccc19db","2018-04-15T22:19:58Z","0","0","0","0","0","1","0"
"04f0ab3bf48a4ea1247fa9619b34cac6f6049a6a","2018-04-15T21:56:18Z","2","41","2","43","1","0","0"
"834c81bb55d7ccdc0d7b158595ad7aa92db6ed8b","2018-04-15T21:54:11Z","1","6","6","12","1","0","0"
"18ef323541f6c369824e0c726b2be55880ec36da","2018-04-15T21:34:15Z","2","44","0","44","1","0","0"
"f25170a35a57d8cdc63b49f74eeb1b8041516490","2018-04-15T21:33:49Z","1","1","0","1","1","0","0"
"e9feec90dbd3e428dc1930c3b5efbd9271160d01","2018-04-15T21:09:14Z","2","12","3","15","1","0","0"
"47a7f5ab2a22a2ce526f96e0cf9f2c46511c56d9","2018-04-15T20:53:55Z","0","0","0","0","0","0","0"
"3c699bad0467bec4adc55666f0d02e312ab22a60","2018-04-15T10:39:44Z","2","43","0","43","1","0","0"
"0f7e0cc373aced32629f5321c9521f81d8248647","2018-04-15T03:08:25Z","4","26","15","41","1","0","1"
"e0f9c5fbb3961ab3a5baacabbde85a2569abed65","2018-04-15T00:18:28Z","2","1","3","4","1","0","0"
"a4dfbcf090102e13949cc15a973a9ad2721d98d0","2018-04-15T00:18:06Z","0","0","0","0","0","1","0"
"f37e6481d3acf115bfe09a699b6b20b93522f944","2018-04-14T20:54:21Z","2","1","3","4","1","0","0"
"197815a029b9a58566655b0ef343bb8c6a57fb2e","2018-04-14T20:48:08Z","0","0","0","0","0","0","0"
"1028b37a1dfbc5dda7b18cbe692ab168c54fb505","2018-04-14T20:43:05Z","2","14","1","15","1","0","0"
"2c4e79b104c0ff32566ce247617d47c0b39cc2c7","2018-04-14T20:27:36Z","6","77","2","79","1","0","0"
"71561e09e0f29ec5fd1bb918206f3d8e42876518","2018-04-08T02:38:58Z","0","0","0","0","0","0","0"
"f1110a9021c2caa28cbe3177c0c3a0f5ae326eb4","2018-04-07T08:39:25Z","2","40","1","41","1","0","0"
"03bffef1c7f6652f28214961bac16ad837064d32","2017-12-24T02:08:56Z","0","0","0","0","0","0","0"
"b92b4f6b9b3256e97bfb6a0732bf113b6da53a4c","2017-12-24T01:40:13Z","2","32","8","40","1","0","0"
"e5210d1f9ef4f1d41ff0a8c4a2ab8e9192d5e087","2017-12-22T21:49:47Z","2","3","3","6","1","0","0"
"11e018fe623758986910069a6285b614dd98cc98","2017-12-22T20:44:14Z","1","6","1","7","1","0","0"
"df272b77c2cf89e9cbe2512bbddf8a3bc28a704b","2017-12-22T18:25:08Z","3","13","1","14","1","0","0"
"bf4f99c72ba3d59486e0decb59a2b87edee4f1ff","2017-12-22T02:36:16Z","2","10","23","33","1","1","0"
"3676b132429306c722304e94177172dca42c2dda","2017-12-22T02:25:30Z","10","89","12","101","1","0","0"
"45c54996c4e8d74cf84304e767934ff584c24702","2017-12-22T02:08:30Z","1","2","2","4","1","0","0"
"02668f757c59f0c1a7ad8f3169faf061b4b787c1","2017-12-03T23:49:58Z","2","8","1","9","1","0","0"
"f9307ec96a894191e5d3782601ddb49fbfc53ea6","2017-12-03T23:13:40Z","2","13","0","13","1","0","0"
"f627193ce0950f0d55ed1b4f6a2fe9973447853a","2017-12-03T22:38:17Z","3","13","8","21","1","0","0"
"64eef180f610d0dad97873f6786b103700ddb8b2","2017-12-03T21:01:51Z","2","47","0","47","1","0","0"
"87b54a51777248440947c91ec43652b771c42dc6","2017-12-03T20:03:16Z","1","25","0","25","1","0","0"
"1791ef17ad6e0624a7b057b89439f7a33b3bbb82","2017-11-30T15:13:19Z","2","48","20","68","1","1","0"
"e9885f060d59dc2bd7351c5bd654a27cbe6de69a","2017-11-25T18:33:01Z","1","25","0","25","1","0","0"
"4c142cacf4d92b2214b3858e033d518ecdbf57f5","2017-11-24T21:42:17Z","1","6","1","7","1","0","0"
"c07c0eead5ec708303b7bfb54c28df2e7cad19e9","2017-11-23T21:34:44Z","10","158","15","173","1","0","0"
"461609f686bf49177f125425c160c730700f0c7a","2017-11-20T05:07:36Z","0","0","0","0","0","0","0"
"bbef9d720df519581e457f3415bcccdde0dda382","2017-11-20T04:42:24Z","0","0","0","0","0","1","0"
"429f2c7db2b60683be76d4a82fb28a561f941909","2017-11-20T04:42:15Z","0","0","0","0","0","1","0"
"6b5b09d21e5a712db88a76c4547e724de42475d5","2017-11-20T04:40:52Z","1","1","1","2","1","0","0"
"7daae314a23160ee1f3e64e106c0d50d38d5ccdf","2017-11-20T02:53:23Z","0","0","0","0","0","1","0"
"b001b304826d33f8f2b34fc7f14a931d9a97cf8a","2017-11-20T02:52:01Z","2","14","11","25","1","0","0"
"e6af571528c55832a015202ac4d8db9fc424d362","2017-11-20T02:43:10Z","2","32","0","32","1","0","0"
"6b1f53eeafc49e6a96f868115c19509a13000d21","2017-11-20T02:42:17Z","2","18","25","43","1","0","0"
"3e4b76b6bbfc0ae1681d197dfacb3bf5afe0a5c1","2017-11-20T02:42:03Z","1","6","1","7","1","0","0"
"f4c700b8cf147638eb09aa76a7ef4f2de70f8ea9","2017-11-20T02:31:36Z","1","182","0","182","1","0","0"
"c3f8caa7c16c08b803b0f34bfffdf9777c7e382c","2017-11-18T21:38:01Z","2","24","1","25","1","0","0"
"3475dc846d78e56422b3e6fdf36dfd4416f359f5","2017-11-18T20:52:52Z","2","43","3","46","1","0","1"
"8c7414da71bc7c156f44638f44718c5f70b70460","2017-11-17T03:24:18Z","0","0","0","0","0","0","0"
"9cb4bf068e6e76836b5fa740d7bcc2bb058a14e5","2017-11-17T03:21:38Z","2","28","0","28","1","0","0"
"d1f9c8ec636bfc813f2322e42c692303fa13fe91","2017-11-17T03:18:37Z","0","0","0","0","0","0","0"
"6f9013beaf53ab0786c4587505d1ba1f76e5eb99","2017-11-15T05:47:41Z","1","2","3","5","1","0","0"
"e38af6a351cef738885cb61fed828d9c9f6ec5a1","2017-11-15T05:38:38Z","2","11","3","14","1","0","0"
"3264eee7edb8eacb4da97155a7224712dceda9e0","2017-11-14T23:51:51Z","0","0","0","0","0","0","0"
"8808e3fbc5a8f25970c151d076636ad05798ff9d","2017-11-14T20:39:20Z","2","8","1","9","1","0","0"
