"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5d6cde22dbca7df3d6e6830bf94f98a6639ab559","2018-05-14T03:53:11Z","0","0","0","0","0","0","0"
"d4473b67573020f4625fc402976a32187f8210a3","2017-12-25T12:43:19Z","7","63","1","64","1","0","0"
"b040987babbb7d3f33e0417f76495473e1a0fcfd","2017-09-21T03:53:16Z","0","0","0","0","0","0","0"
"0d146b90902b16303e020a504a2595e8c5f94de1","2017-05-22T09:03:03Z","0","0","0","0","0","1","0"
"6eda9454dd70ac94ce6245fa946bce6d5723933c","2017-05-19T06:22:59Z","0","0","0","0","0","1","0"
"c90575474ca9d40f6ec45a1818b5d42fd95edac3","2017-05-15T08:35:50Z","0","0","0","0","0","0","0"
"e4254dc702b7b4cb22b9f809a1185dae9c474bf3","2017-05-15T08:26:04Z","0","0","0","0","0","0","0"
"8c9c8bc8228eca75658fe8a2f3d8d34bbe8f7373","2017-05-15T08:25:27Z","0","0","0","0","0","0","0"
"6fc15ff90606d25dde4967f3694e80929ca5511e","2017-05-15T08:23:21Z","0","0","0","0","0","0","0"
"dcda9a92986c75a7965cf464f6e77920fa2971fd","2017-05-15T08:23:03Z","0","0","0","0","0","0","0"
"b335572f6a1572789a723d447c71ac64e6e46f15","2017-05-15T07:59:49Z","156","2765","110","2875","1","0","0"
"c8af5adfb130c8c67c15c4c6e54e3b0e8ad6c081","2017-05-15T07:39:23Z","280","4760","0","4760","1","0","0"
"01ad346579623b94e7dcb2ce96dc60dc4cdf2bb8","2017-05-15T07:32:21Z","0","0","0","0","0","0","0"
"91ebe1cd392f874ed1ea5f6f8ba4a193b30d491a","2017-05-15T06:12:43Z","0","0","0","0","0","1","0"
"c1d1696fc5dda2849fdeefa2d47f7f2c3ee42ff5","2017-05-12T12:03:10Z","296","12976","4827","17803","1","1","0"
"ba303dcaa101b3a6dda1ed713d9b94419a60feb1","2017-05-12T07:44:48Z","1","47","47","94","1","0","0"
"ab695e55e99f74323c74160a2d79c61fc99576e5","2017-05-12T07:39:07Z","8","54","56","110","1","0","0"
"42bbb69624e5baeb2b2fc9fe9c1896b7e230228c","2017-04-28T08:37:37Z","0","0","0","0","0","0","0"
"2e6c5e2f5c8f3a61eb9dd77a35748c67e6825367","2017-04-21T13:42:54Z","1","1","2","3","1","0","0"
"5c39e38ca11bfd7a69c7c4652c8245e03597d4e1","2017-04-17T16:08:13Z","1","1","2","3","1","0","0"
"0e3afc3bb582a40df900397da6739dd0110c7097","2017-04-17T00:26:17Z","0","0","0","0","0","0","0"
"c89ca9c479aa9bf1e1a436f33066986330f5f379","2017-04-14T07:41:53Z","10","12","15","27","1","0","0"
"c90659ab5192945a3e2b38aa0f12e0461711fd1f","2017-04-07T02:31:21Z","10","12","15","27","1","0","0"
"368167e35ad2f30930abe5214904c01703f7173b","2017-03-17T07:36:30Z","1","2","2","4","1","0","0"
"462e818dd1f70ee4227dcbb174d1e0b21b9f19eb","2017-03-17T07:32:34Z","1","1","1","2","1","0","0"
"160cfcab2f697e1dc8deacc90459e43f61fcc7a8","2017-03-17T03:28:22Z","1","1","1","2","1","0","0"
"ce28058f0a78ef4b55b81836de9a7c4fad213f46","2017-03-17T03:22:45Z","1","2","2","4","1","0","0"
"50653e86a7c18490c51500c8bbae2b9e82e456c7","2017-03-12T15:52:19Z","0","0","0","0","0","0","0"
