"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a058aabd7df66b0c79343c71f204987c7f849704","2018-09-30T19:15:46Z","0","0","0","0","0","1","0"
"ec133a75dd78b50f25c8ad0d8171677331d12b29","2018-09-30T05:30:10Z","37","103","112","215","1","0","0"
"bcc247ee4cc1f31386324b044f678e2211df91f1","2018-09-30T04:59:03Z","11","28","29","57","1","0","0"
"d06339df3fbebd03bf4525a7717d11da3573d9c3","2018-09-29T18:34:11Z","0","0","0","0","0","0","0"
"5e4307445e54d2e59a61f3586dd5eb8bd2b0c9c8","2018-09-29T17:52:23Z","0","0","0","0","0","0","0"
"ce0eb207584044d471a08fcb6f9bc10a5708b14b","2018-09-29T16:35:07Z","0","0","0","0","0","0","0"
"c576fe667d0400e1197d0c61212fe95c09bab4d9","2018-09-29T15:55:16Z","0","0","0","0","0","0","0"
"a7ee0aff548cc5868c5a3878efafb11b8f27ff1c","2018-09-29T15:55:16Z","0","0","0","0","0","0","0"
"a03c8fe293620032bcd23648b7de402e7e81182e","2018-09-29T15:55:16Z","0","0","0","0","0","0","0"
"73f55b7b9733ef8ac80166aa9b446a12c0bb6353","2018-09-29T12:49:02Z","0","0","0","0","0","0","0"
"35f2ac4779cd19be5cf91eff4a24abe6cddc029e","2018-09-29T06:55:45Z","0","0","0","0","0","0","0"
"493e79b0a1c63bc76af2d829ab71117633fde10e","2018-09-29T05:07:09Z","7","23","3","26","1","0","1"
"57d57773d712b5b447e600b84e59e344b94aad9c","2018-09-29T04:37:02Z","0","0","0","0","0","0","0"
"74eaaccc5f0d6a2b96609f556032cfb561ce7d3f","2018-09-28T21:39:38Z","1","1","1","2","1","0","0"
"a21f16c18ab8532a02dc9954d0cfbd8bc1d96e4b","2018-09-28T21:05:01Z","1","1","3","4","1","0","0"
"a724883d960146bf710f7a6ae1dc510c4e9e3b0f","2018-09-28T11:13:27Z","0","0","0","0","0","0","0"
"21f6b67b41a420f635dd13aab4a258925159a33c","2018-09-28T10:41:18Z","1","0","5","5","1","1","1"
"051a3a85071cb20d266ade567869bafdc1e70c54","2018-09-28T09:16:51Z","0","0","0","0","0","0","0"
"25824cfa55e32b19297838eb1df04e440d8331c4","2018-09-27T19:44:30Z","0","0","0","0","0","0","0"
"cdb215bf7b0115255c18b7b57d67dd7ffa124aed","2018-09-27T19:44:30Z","0","0","0","0","0","0","0"
"40e7ed38588d68013a5f48a0eefb873fd9111772","2018-09-27T19:44:30Z","3","6","2","8","1","0","0"
"6eb5531571d16f2c989f0a1fa5d47bce8ed82611","2018-09-27T19:31:54Z","2","103","7","110","1","0","0"
"a1db2015889a751cf737a931e3d6a645639e0f96","2018-09-27T12:20:45Z","11","0","1974","1974","1","1","1"
"9eb5a58e9633cc01f5572742e8dd4cb4edd87df2","2018-09-26T16:35:36Z","0","0","0","0","0","0","1"
"0099fe7fa9c69ea43c0f45bdaf769ec10796138d","2018-09-26T14:10:38Z","0","0","0","0","0","0","1"
"67e12fe38a30092e43c0ead8a6d680a63d3d3f61","2018-09-26T14:10:08Z","0","0","0","0","0","0","0"
"b6642fcc29e002c4895a9b4e659205b33cfee932","2018-09-26T14:09:53Z","0","0","0","0","0","0","0"
"8bf3ec2d605681b3e962e46626913192632b8c48","2018-09-26T14:09:03Z","0","0","0","0","0","1","0"
"08c89f704d096042b3fe6bb7ec538229f853b86d","2018-09-26T14:08:47Z","0","0","0","0","0","1","0"
"4db8e8e359cb0a209b7321b5afc3a304e941c9f0","2018-09-26T08:05:10Z","8","157","87","244","1","0","1"
