"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"fd44dc7fb210614349a873cdd82087ef5677f583","2018-10-01T05:24:09Z","3","83","23","106","1","0","0"
"c1457be99555063b774db61f526fd0c059721c69","2018-10-01T02:51:59Z","1","1","1","2","1","0","0"
"b35e97125f291aa7dca22b8d897f9ab4b196fd37","2018-10-01T02:13:28Z","0","0","0","0","0","0","0"
"49b5206a82d0a47e01f4c5f7098119440061a1bb","2018-09-30T23:52:55Z","3","43","11","54","1","0","0"
"eb61df642d8227fb7eaa1099ec055145b02e3dca","2018-09-30T23:04:28Z","15","279","154","433","1","0","0"
"08dfab06e7919dfe625431b1978a3754b72d46a2","2018-09-30T19:01:11Z","1","1","1","2","1","0","0"
"69709d70fc2385516d4e07c0ec4a3e481a6e8d79","2018-09-30T05:29:57Z","0","0","0","0","0","1","0"
"22f1724123c267352116c18db1abdee25c31b382","2018-09-29T17:19:10Z","2","35","1","36","1","0","0"
"cb21bca400359e6b7e61555578b7539f27d9d2ff","2018-09-29T06:09:10Z","3","17","7","24","1","0","0"
"e7b6d65713857e55453e4558957fbd3c7a68ea04","2018-09-28T21:41:50Z","1","2","1","3","1","0","0"
"0a8205cb45667fd7d001f21e4e0412220b1abec1","2018-09-28T20:07:57Z","2","15","0","15","1","0","0"
"70d90c371833b09cf934c8c2358171433892a085","2018-09-28T05:39:44Z","0","0","0","0","0","0","1"
"9f7267dd2fedde86bf15aabdbc5256e5fc617184","2018-09-26T13:25:55Z","0","0","0","0","0","0","1"
"5916db11f65482fd226450a2b8da407a3397e8e9","2018-09-26T09:20:11Z","0","0","0","0","0","0","0"
"888423ee569d27876468c83243be6dab10a57dc9","2018-09-26T09:08:48Z","2","45","8","53","1","0","0"
"f712ce69fc2cb6a164b1ea8e491c9d68e6661933","2018-09-25T20:41:22Z","11","1242","76","1318","1","0","0"
"2933f21374ed383e4db1dfb9c7df02f1707903ba","2018-09-25T16:06:30Z","0","0","0","0","0","0","0"
"81d124440dfeaa421f9ef30e88924fc439f5b7bf","2018-09-25T08:14:20Z","0","0","0","0","0","0","0"
"c835331c7855c4bd60b3eb82b8f284006a1ee9b7","2018-09-25T05:01:00Z","0","0","0","0","0","0","1"
"057c5307e0f055b37794453d16f6f43b8c56528c","2018-09-24T20:27:39Z","21","1944","20","1964","1","0","0"
"86b4d9d58fc990939b654382adde7d86a4f4c24c","2018-09-24T16:25:54Z","1","6","2","8","1","0","0"
"95f9622cce2d4a47d59bdfe2dbce6c1cbc2e4573","2018-09-21T23:00:05Z","0","0","0","0","0","0","1"
"6ced8550b3183a71500a66728e9957c19456d4f9","2018-09-21T20:47:26Z","0","0","0","0","0","0","0"
"0bc7008e7559337b588c60366d1b935eace59ffc","2018-09-21T20:31:45Z","0","0","0","0","0","0","1"
"96132e2dbb69a0c6c11cb183bb05cefef4e30557","2018-09-21T18:55:56Z","8","8","8","16","1","0","0"
"f1f719211e5f28fe5163e65dba899b1da796a8e0","2018-09-20T22:55:10Z","11","77","51","128","1","0","1"
"7bc1019d4bdf2b9592a7fc3e08659aae7961046b","2018-09-20T19:20:03Z","5","33","6","39","1","0","0"
"9f187a9a880c603323a258df3450a29329f95d62","2018-09-19T22:09:33Z","1","1","1","2","1","0","0"
"df00f1a738b1fe4cfe1140f5ee966745659c212a","2018-09-19T22:05:39Z","0","0","0","0","0","0","1"
"af80dccc7dfb18c41d17d590a316cb6803294cbb","2018-09-19T16:10:15Z","0","0","0","0","0","0","0"
"88823c6016ea2e306340938994d9e122abf3c6c0","2018-09-18T21:19:41Z","9","94","115","209","1","0","0"
"43e21252cac8eebfbb168cd47d4de18241f8b755","2018-09-18T08:35:59Z","0","0","0","0","0","0","1"
"4bbbfaf39c79fc5dfa7fbc22842717b0fad13503","2018-09-18T08:01:54Z","1","1","1","2","1","0","0"
"d87ed233c9e3a8faf2a8032d62ff9b90b0e40bfb","2018-09-18T06:38:01Z","0","0","0","0","0","0","1"
"c5ef614bbf133e18bd207e22f2697a2d1d3e8e4e","2018-09-17T19:36:53Z","0","0","0","0","0","0","1"
"5e72f66ab5c6220098ebbd20957a05a1ed657ab7","2018-09-17T18:12:46Z","0","0","0","0","0","0","1"
"b21c66f9484a47f549cdfbdf286158fb2d85ee78","2018-09-17T16:35:00Z","0","0","0","0","0","0","0"
"607dea234f30a0c40d5a48f518a51372e02fa0a0","2018-09-17T16:22:36Z","1","9","2","11","1","0","0"
"3a8ab3258f8b461239bc7c0202f81c611745eee9","2018-09-16T07:17:07Z","0","0","0","0","0","0","0"
"4e31147a41f03f4ad4c0c8f11414e49d33e60aac","2018-09-16T07:11:05Z","0","0","0","0","0","0","0"
