"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"0bad428bb763fe404d01db5d9e08ee33a8f3776c","2017-07-07T18:29:18Z","0","0","0","0","0","0","0"
"f7ad786f194104051b1052ef7b19388911b5fbe1","2017-06-14T16:17:36Z","1","0","17","17","1","0","0"
"44a10dfd08af4a1f2e6573b7116d32ea958baed8","2017-06-09T14:02:28Z","0","0","0","0","0","0","0"
"21b3497a6769baccc5ac0c9c5eda4ba77c3006aa","2017-06-09T14:00:43Z","0","0","0","0","0","0","0"
"ba7000f5dda1d198d37001620361710c0bd9ed5f","2017-06-09T13:30:50Z","0","0","0","0","0","0","0"
"9e638693e868a2a2fd00275b7d01fe47d01b4c05","2017-06-02T20:17:52Z","0","0","0","0","0","0","0"
"3ed1ee75876ed1c9478ccadde58a4bbabf4385e2","2017-06-02T16:29:30Z","0","0","0","0","0","0","0"
"1d23ccc6064538216a37005e47dc75d4c1c8c523","2017-05-26T04:54:56Z","0","0","0","0","0","0","0"
"7ba8f29321786e556b49456529e56a75267dceef","2017-05-26T04:48:20Z","4","53","17","70","1","0","1"
"fc6138b76b62a7e85eb25349e17b6da71c34981f","2017-05-26T03:44:56Z","0","0","0","0","0","0","0"
"49011112b501f5f31a572fa5541832aa14ed3341","2017-05-26T03:34:24Z","0","0","0","0","0","0","0"
"eaf800ef259e0a189caa44a9db83d1b653b9db12","2017-05-26T03:33:51Z","0","0","0","0","0","0","0"
"4c29ba40dfb3f2509810449af7a8884df611f1d5","2017-05-26T03:33:42Z","0","0","0","0","0","0","0"
"664c56a5cc03a780855d5571a4f7f7db43c70b4a","2017-05-26T03:33:34Z","0","0","0","0","0","0","0"
"099f28ff09612dfc2b2c9116658f03048a00dc4a","2017-05-26T03:33:23Z","0","0","0","0","0","0","0"
"068fba703b2e97d2c9ff3f0dfdefe139e0c30e3b","2017-05-25T20:26:29Z","4","53","17","70","1","0","1"
"62072185ac54cfa90becb82ab9c75b101a19b282","2017-05-25T06:24:27Z","0","0","0","0","0","0","0"
"285f09ffd63fe4b7b50d2862dd127073a6fe3996","2017-05-25T06:24:17Z","0","0","0","0","0","0","0"
"659a4e3beaa5163c1d64d397503977562d2a7bd9","2017-05-24T21:39:58Z","0","0","0","0","0","0","1"
"6fffdabfc424f892f4090f289750909b3822c1a4","2017-05-24T18:13:33Z","0","0","0","0","0","0","1"
"3ce2727d1eb1d29905da5c48a260945fc201ba41","2017-05-24T06:16:16Z","0","0","0","0","0","0","0"
"fe5bb43d7b9e0bc728b78ab4f00264a60fe354a7","2017-05-24T05:54:00Z","0","0","0","0","0","0","0"
"8fff3349f8413553c8c92ff0db9648efa5fbc190","2017-05-24T05:51:28Z","0","0","0","0","0","0","0"
"2b073af432788fb126f9f9dead9780bac4f8b6da","2017-05-24T05:49:36Z","0","0","0","0","0","0","0"
"ddb253ebf042540de0be46050adb5dca775475ed","2017-05-24T05:39:41Z","0","0","0","0","0","0","0"
"9c19cbdfbd103bd224755258fef09b18c5f4ea4a","2017-05-23T22:13:20Z","0","0","0","0","0","0","0"
"76bcf239bc7b2189c089353313c885b3c04c0b70","2017-05-23T22:00:09Z","0","0","0","0","0","0","0"
"825658979c380a1f642994f07cfdf633addfe834","2017-05-23T19:47:00Z","0","0","0","0","0","0","0"
"dfdf2307948bab1e42dd02e9308f8283e671928c","2017-05-23T19:41:54Z","1","2","5","7","1","0","1"
"b1c6eaa56a1c882e2f3a5cbbd731b3866b102890","2017-05-23T11:56:19Z","0","0","0","0","0","0","0"
"5f5b8dbe99d14ed0f58b86b9b13a019fabe9a287","2017-05-23T11:20:10Z","0","0","0","0","0","0","0"
"fb26ba24eb29591c0164c1d1b360826d7b9b5cd3","2017-05-23T09:19:18Z","0","0","0","0","0","0","0"
"ec8a7f586c0ff4ab87e6fd7f37c9832b5e1ca7e8","2017-05-22T21:14:16Z","0","0","0","0","0","0","0"
"694ac3705628f223207f1fc697d31f3b99adaed9","2017-05-22T21:01:31Z","4","53","14","67","1","0","1"
"d7de1f71e95d0355f2669b0a73142882cec15a22","2017-05-22T09:35:29Z","0","0","0","0","0","0","0"
"eb25b2881c10069397cfd02eeb39005912cb7246","2017-05-22T09:22:18Z","0","0","0","0","0","0","0"
"35d4cca07c6dca4046de838e009ee3749f48c4ee","2017-05-22T09:20:50Z","0","0","0","0","0","0","0"
"8899dfdefb78433047ba8c763bd85fff7ceeb235","2017-05-22T09:19:03Z","0","0","0","0","0","0","0"
"188b882bda4b17e494f732ca171c2797a3875034","2017-05-18T16:50:02Z","0","0","0","0","0","0","0"
"5fc869cf273381e50556492facb1210b3bc65768","2017-05-17T04:20:04Z","0","0","0","0","0","0","0"
"20d80aca0ef26674a12ab5e8698fd40e0ded8abf","2017-05-17T04:05:08Z","0","0","0","0","0","0","0"
"9adeabc454454b9add2566b75eac56e42ef655ca","2017-05-17T03:31:16Z","0","0","0","0","0","0","0"
"6999f202316e872f84189e757da41499d98a1828","2017-05-17T02:54:20Z","1","1","1","2","1","1","1"
"670713d5e4ba03f87e147dd42f0c276dd20566f9","2017-05-17T00:59:50Z","1","1","1","2","1","1","1"
"f36d2e6f22dda1cf91e8c3320170bbd9975ae7b9","2017-05-12T13:52:01Z","0","0","0","0","0","0","0"
"9b4280ea05e33dd4171c7a4f618dbbc6f8d70c5d","2017-05-12T05:09:39Z","1","169","165","334","1","0","0"
"620ecd4f34bcee90792d2212e1449ec70d2c0c22","2017-05-11T19:43:24Z","0","0","0","0","0","0","0"
"00bf2d268504aa28e372fef257261490cdfb0eb7","2017-05-11T18:05:18Z","1","169","165","334","1","0","0"
"e09ed0ce15462321315d115424ad025a1f575336","2017-05-11T01:16:00Z","0","0","0","0","0","0","0"
"d60f4db18e1be1e12f95155a7542416e972d6b89","2017-05-10T16:57:14Z","0","0","0","0","0","0","0"
"b219f5bd550d7449e87ec900c52be733067250c5","2017-05-09T07:49:37Z","0","0","0","0","0","0","0"
"fef365648d3eacbf1eea829d662c63899989ae43","2017-05-09T05:18:10Z","0","0","0","0","0","0","0"
"d7bafd01990233b1f1705394a590641fcc790909","2017-05-06T15:21:26Z","0","0","0","0","0","0","0"
"2fc774d6b59e18cc43a4eb0bebba4dc3ba4a2cf8","2017-05-01T16:30:43Z","0","0","0","0","0","0","0"
"6be3aa2edaa483754a0d25bb33c1f26181a2ebe9","2017-04-05T02:30:00Z","0","0","0","0","0","0","0"
"a2a59d131dbf0835572faf0a968359829f199aa3","2016-12-11T16:58:26Z","0","0","0","0","0","0","0"
"9bc9b386bb757dc591e0ba1a813ea06a39295013","2016-11-29T23:02:33Z","0","0","0","0","0","0","0"
"00642a8181bb6036bdaf619ffb65fca324bbb527","2016-11-29T16:07:00Z","0","0","0","0","0","0","0"
"eeccbfab5e44b6a02abd0d1e8a92404bcf8f2636","2016-11-29T03:08:52Z","0","0","0","0","0","0","0"
"1a173b406e302c20e098a410dc8ded46c912ee60","2016-11-29T03:08:44Z","0","0","0","0","0","0","0"
"0272e02c097dda407f029e53543c85bd9b30351c","2016-11-24T13:55:47Z","0","0","0","0","0","0","0"
"dd5d8741270d42878fba3989087e2d9e07e9ab62","2016-11-24T03:35:14Z","1","1","0","1","1","0","1"
