"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9680fc801a6302a46cce0d299a960c2796ee21cd","2018-09-27T09:40:24Z","21","40","40","80","1","1","0"
"191cfb3d1a952ec94d4d34fdc72c2c802462c02a","2018-09-27T09:29:09Z","0","0","0","0","0","1","0"
"1474b8b9bffc5e60255f62b43b08a575436b9fa8","2018-09-27T09:20:26Z","0","0","0","0","0","1","0"
"8295fb9e82067a8635475950775cbc2455c8dfaa","2018-09-27T09:20:26Z","0","0","0","0","0","1","0"
"bb867dcca1d7fb5b8f3f53671b1a22139b367d9f","2018-09-27T09:20:26Z","0","0","0","0","0","1","0"
"524c9ca226c87bd251588f60023d4c8ee5d235ff","2018-09-27T09:20:26Z","21","40","40","80","1","0","0"
"f218cb6b88ab2cdc89cb1d6a9d95693a6501ab53","2018-09-27T09:20:26Z","0","0","0","0","0","1","0"
"e9cf30f3e0487c355e7ca524a3a7a2f1e22c7454","2018-09-27T09:20:26Z","0","0","0","0","0","0","0"
"341971a706afaa3ecd072ee43b9678df874b94dc","2018-09-27T08:35:06Z","0","0","0","0","0","0","0"
"7a8f064a810a06f8724db3fb3cfa41805a8c9cc5","2018-09-27T08:34:56Z","0","0","0","0","0","1","0"
"ce7211a3a79f2f976d4b1a5e79f55c0fc64c49e6","2018-09-27T08:34:37Z","0","0","0","0","0","1","0"
"0d3cea2ca3daba905fa9650d9a79930f308a4b10","2018-07-17T20:38:34Z","3","113","0","113","1","1","0"
"097adc30a94d253237c330f7e34b9617d8e7a9b2","2018-06-22T19:29:08Z","3","113","0","113","1","1","0"
"3748f09b249f47a24ef868595fed4556ec5e92b1","2018-05-30T20:53:23Z","0","0","0","0","0","1","0"
"310710b436bdaea75b41413bddfde39168638b65","2018-05-30T20:52:14Z","0","0","0","0","0","1","0"
"0c992b4e95ad25277e3fa695d5e0724ea39740c4","2018-05-30T20:51:41Z","0","0","0","0","0","1","0"
"c2e30510d87bcd17118fff1def3c785729ac8cc8","2018-05-30T20:50:39Z","0","0","0","0","0","1","0"
"8ec371ec675da9d66d142ec57f7f9c02432c6ad7","2018-05-30T20:43:26Z","0","0","0","0","0","1","0"
"66e07b64d861965ef15840c3506085a39b207947","2018-05-17T20:29:28Z","1","2","0","2","1","0","0"
"d874657795e23a2b29785fe5bdcca027e2bd67d9","2018-05-17T20:09:32Z","3","115","4","119","1","0","0"
"bd959caaba277162c64558bd2b3918db89f172d7","2018-05-03T20:28:12Z","0","0","0","0","0","1","0"
"c381bd4c1a4473ce3aefa7b025a06f2eda821576","2018-05-03T19:34:52Z","0","0","0","0","0","1","0"
"9dec93e8699a62ce09ef7043f6e94b5dd292833a","2018-05-03T19:34:44Z","0","0","0","0","0","1","0"
"cf2abb5df75d5c0cae61ca477110556a22634581","2018-05-03T19:31:33Z","1","2","0","2","1","0","0"
"c899b00114c56754d8d075ce3a10007dfb8242d9","2018-05-03T19:26:33Z","2","31","11","42","1","0","0"
"64092cd73f770d528326df0fa6ff1307feb46bdc","2018-05-02T19:51:45Z","1","8","1","9","1","0","0"
"43da91ed96dcfa4f27032487b617f8fef12f28eb","2018-05-01T19:35:37Z","1","3","1","4","1","0","0"
"3f5fccc864700bffa69a9305d0863f5e5c730e5f","2018-04-26T22:49:55Z","1","5","5","10","1","0","0"
"0650a340a7bb6a45ca3daa7e03d82c10cab96354","2018-04-26T22:33:18Z","2","27","3","30","1","0","0"
"5df87313af6f179ebee464f2d30a524a6d35c877","2018-04-24T17:48:07Z","2","27","3","30","1","0","0"
"a0e1b4a201538501adc02339cc24a579c192b8c8","2018-04-23T06:34:58Z","0","0","0","0","0","1","0"
"1560517c93445f61ee16e2ac49ed88d8f41889f7","2018-04-23T01:13:03Z","0","0","0","0","0","1","0"
"a734c390d570583960ba7bf5ea8ff20b07f17378","2018-04-19T20:06:23Z","0","0","0","0","0","1","0"
"08cfdd6e68abfffca59e257175210ff71487d138","2018-04-19T19:57:38Z","0","0","0","0","0","1","0"
"794763057c30a562a86d6ea0e5ce427a84034903","2018-04-19T19:27:19Z","0","0","0","0","0","1","0"
"354efb60429a9ada5efdcf70066da481e84fcb3e","2018-04-19T19:18:00Z","0","0","0","0","0","1","0"
"41fae0bee711a0c0a5b3ee9ca1f30161799fa88b","2018-04-19T19:17:14Z","0","0","0","0","0","1","0"
"d2bf8b79487a5fdbbf1a2765634a164dd34b697c","2018-04-19T19:14:59Z","0","0","0","0","0","0","0"
"f9f95929f8a1c58769d5d354d0b9a829ac975125","2018-04-19T19:11:20Z","0","0","0","0","0","1","0"
"151c6b4cf43191a39ef97d325bb313b65b819c51","2018-04-19T19:05:56Z","0","0","0","0","0","0","0"
"763a19dd3a459d4d8334ad22c29f8b0c3f77a09f","2018-04-19T18:38:27Z","2","29","0","29","1","0","0"
"b0cc33f7c87f79ae6adc94da95b71467624d4b7e","2018-04-19T18:37:19Z","0","0","0","0","0","1","0"
"f04482e28310eb0163708ed76fc170c71be6fce9","2018-04-19T18:36:32Z","2","36","3","39","1","0","0"
"6d3620f6bc54d73e9f1232911f81b4684b9fdc59","2018-04-10T20:38:16Z","1","1","0","1","1","0","0"
"34754bde70408c430e9e1d0a8852b2a544e6f14e","2018-04-10T20:38:16Z","1","21","2","23","1","0","0"
"082870be8c5e89e7b21fdc87804babe29889cee1","2018-03-17T19:21:16Z","7","11","8","19","1","0","0"
"54d6518c7931c4ac3412c9c4de5167e80a495642","2018-03-16T10:19:37Z","0","0","0","0","0","1","0"
"a060b40eda115b40b3a64c09243214b806e86af6","2018-03-16T10:19:30Z","0","0","0","0","0","1","0"
"622732f6183eb9145e1f7d1274d5e9174a4614b2","2018-03-16T10:09:40Z","2","17","13","30","1","0","0"
"373b1bfbf2b21432dddbeb3cfefa754f00b7500a","2018-03-16T10:06:14Z","6","481","10","491","1","0","0"
"f6ec0fdb002b4f0f433a3646e72f928679927204","2018-03-16T07:57:28Z","0","0","0","0","0","1","0"
"10f28b4e4b99b0cb5d22700a3bb671bccbed8b4a","2018-03-11T23:12:31Z","0","0","0","0","0","1","0"
"010c2dfd8d09911dbfa0e5764577148bdb9b16da","2018-02-26T23:09:54Z","2","99","92","191","1","0","0"
"4384903a1f170a6be83e571afa6a203ad9a83218","2018-02-25T21:02:43Z","2","45","51","96","1","0","0"
"de99b11839fbaa16d0c9f4e1d9fae20e3ab8b463","2018-02-25T20:51:30Z","3","316","211","527","1","0","0"
"9710a6ffc17a749b4c779b63f90d6243ff3227f1","2018-02-21T08:50:57Z","0","0","0","0","0","0","0"
"600b6c515267c44f191299b9e78801fdebd52b4d","2018-02-06T12:52:23Z","0","0","0","0","0","0","0"
"b35b77a3a85d1b1ac4a7a1f43b865e8ad62d220c","2018-01-22T22:10:18Z","0","0","0","0","0","0","0"
"e5e1d7ffd84e09249972e34175e65cfd1036778d","2018-01-19T15:25:36Z","1","89","173","262","1","0","0"
"3dd7a332bc882708c53fe0683f19696a01954bf4","2018-01-19T14:35:15Z","6","106","109","215","1","0","0"
"43aec9e489885b310e307b041e18cd6e5ce85703","2018-01-19T13:55:38Z","0","0","0","0","0","1","0"
"f2332f2abf0ad56e28b274484c48d11d1b6aa7f2","2018-01-19T13:53:35Z","0","0","0","0","0","1","0"
"a5c6e31fba29088ff3abf412a8c3b54b9d1d9cfc","2018-01-17T23:10:17Z","8","932","0","932","1","1","0"
"1583797f7eab11aa96171f96e262ed48a3ade3ae","2018-01-12T08:40:17Z","0","0","0","0","0","1","0"
"b434ba85e0a7881aef360b87c92c813471fe1e5d","2018-01-08T20:03:11Z","1","1","1","2","1","0","0"
"8acad9ecebc7e43b9f7b0509ebf91331c63c8572","2018-01-05T20:31:34Z","1","2","2","4","1","0","0"
"c6ca3d6eee21792ad987aad189c98fecef3ee94e","2018-01-05T20:14:11Z","0","0","0","0","0","1","0"
"c17a76de3753363a90f5e217b31b9951fff1a115","2018-01-05T20:12:02Z","1","10","3","13","1","0","0"
"3c0c8fbb7b8f6b4a715a8740990b43e4ad751cc9","2018-01-05T19:28:36Z","2","13","10","23","1","0","0"
"e7e2159f30fc9034f226870ae3c749db3a7eb93f","2018-01-05T16:34:54Z","0","0","0","0","0","0","0"
"006f65e586e1ef4321f7946997ce00806882d3e7","2018-01-05T13:56:40Z","0","0","0","0","0","0","0"
"a1464ab352f82aa034406e1d71124e05379f3217","2018-01-04T20:38:49Z","2","14","10","24","1","0","0"
"76af2248d79b731448ecef559cae66a3a5e03bf3","2018-01-03T20:04:38Z","1","17","28","45","1","0","0"
"d6f97b3cd93eb9e033b7b29818c532b896c82d73","2017-12-31T15:47:25Z","0","0","0","0","0","1","0"
