"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"23d63ea4a49ff7c2eb160160e89f2992e4fcefef","2018-09-30T09:03:11Z","0","0","0","0","0","0","0"
"7c60c7a87390d86cb0c0ec9643802dd9c491e315","2018-09-30T08:57:40Z","0","0","0","0","0","0","0"
"d6038e7985a2fb60f546e7c1896b4af23d327c20","2018-09-09T20:45:54Z","0","0","0","0","0","0","0"
"48a7bfd76ed6497837c3716ccb4b11cbae4279d8","2018-09-09T20:38:48Z","0","0","0","0","0","0","0"
"3a9765c0194dfd6d897e4b5ce521c902a069a807","2018-09-09T15:28:42Z","0","0","0","0","0","0","0"
"3cf2141b26c26b74a56fc8fb0083a858507dc903","2018-09-05T21:43:05Z","0","0","0","0","0","0","0"
"5ac3e13fd6b325b35ae94717ecb8d03860039414","2018-09-05T21:37:16Z","0","0","0","0","0","0","0"
"069a0d39e15a4cfe4ad1797c9e9697adbba39c1e","2018-09-05T18:12:51Z","0","0","0","0","0","0","0"
"75dc95525e8e9e945a1415ed6b29a600718e3da4","2018-08-25T08:08:28Z","0","0","0","0","0","0","0"
"5de62a1950a3723d20e270b513d778f1e55cb0f5","2018-08-25T08:01:30Z","1","2","2","4","1","0","0"
"91d5dc9dde0ec4efa793309afe8180dccb801ffd","2018-08-22T04:47:28Z","0","0","0","0","0","0","0"
"d891ae53b67b726da9ca5a6b793fd4cdfec40ec7","2018-08-22T04:39:15Z","1","17","0","17","1","0","0"
"704121b8c662a1c8125b68ff7d694b96baedf37d","2018-08-22T04:39:08Z","1","14","9","23","1","0","0"
"c7ff155ad089a44c0ce241a55ec61e692012d905","2018-08-22T04:38:55Z","2","17","1","18","1","0","0"
"077562ea54f1fa87ff8dd233c3060ddbf0f1ce26","2018-08-19T05:07:25Z","0","0","0","0","0","0","0"
"87d89835b8b03dc36cc5ad680a8486a2d3a7f905","2018-08-19T05:01:48Z","9","192","9","201","1","0","0"
"91c2899e5453e9214d7b06243dc1eaa9b9eb0639","2018-08-19T00:24:33Z","2","10","0","10","1","0","0"
"4e5af652d21ef055b1e5a747e0c8b235e98692d8","2018-08-19T00:20:22Z","0","0","0","0","0","0","0"
"f990cccb36f08752ed3a0734664b42015a5c7661","2018-08-19T00:17:38Z","1","0","2","2","1","0","0"
"fd6ac88424f800ff216e145a1713e477ab1af604","2018-08-19T00:17:38Z","9","182","7","189","1","0","0"
"d77b2fc8b544b7b0ca772e816fcc2ad560edaa03","2018-08-19T00:14:58Z","3","209","1","210","1","0","0"
"2f3b0310d315dc2af51d75dbf72d243134167cc7","2018-08-12T06:54:28Z","3","209","1","210","1","0","0"
"ee175c682aca82ac25fd2d00250f5188d6a9e954","2018-08-03T04:53:44Z","20","1","783","784","1","0","1"
"e736dab0b0437f09282e3b47309d0a758d09fe1f","2018-08-02T15:57:07Z","20","1","783","784","1","0","1"
"54e02acf466c4ad3f312cd8df95b72db5996eec4","2018-07-31T15:46:43Z","4","5","57","62","1","0","1"
"60d8b1015e1d14bb6a678217b78e80e28d3296b1","2018-07-31T00:56:20Z","0","0","0","0","0","0","0"
"4907979735e27d6382eecdfedc5faced0f2adf21","2018-07-31T00:43:21Z","3","16","11","27","1","0","0"
"1bfbfa2f9c65ab0e8a9253589d068652b8f8666f","2018-07-31T00:42:27Z","0","0","0","0","0","0","0"
"6965164a7c8392c2020343b0cb6f5a585d7e8935","2018-07-30T12:23:26Z","11","474","234","708","1","0","0"
"6eb71f54be6cf92a00ee95390b31daceade04552","2018-07-30T05:54:42Z","0","0","0","0","0","0","0"
"9af540f09eb972cb91bdd974b82be5842ad5c9f2","2018-07-30T05:49:22Z","5","290","196","486","1","0","0"
"f5ae44eb6280b6aac8454c36695c3a2d4b08039e","2018-07-30T02:42:51Z","0","0","0","0","0","0","0"
"e980285fc9fd9a0ffcc78b9586bc1a3901e52071","2018-07-30T02:37:00Z","6","184","38","222","1","0","0"
"68c91ed9b5e9ac22586673742feef0b2d8766264","2018-07-29T11:36:05Z","3","16","11","27","1","0","0"
"0e48f42cf18bed5d9ae7e421bef1121d15a3cc65","2018-07-29T07:58:27Z","1","0","2","2","1","0","0"
"e85484855f83f3bd82458ffdd2e7dedf44749ab5","2018-07-29T02:29:47Z","1","2","0","2","1","0","1"
"364108357632a278bed53269ca6d780f9681bfd7","2018-07-28T17:50:24Z","6","186","38","224","1","0","0"
"05760c885940009aa4b0c899090ee5a5a547a9af","2018-07-28T14:36:18Z","2","2","56","58","1","0","0"
"ff1ff0968cb48a1bc9626b78a8f46411b0d800fc","2018-07-28T14:33:49Z","1","1","1","2","1","0","0"
"1507683d1125cf83fb9ee7e50843b9118b87c902","2018-07-28T04:50:36Z","1","17","17","34","1","0","0"
"cc9926d19516227cdee1c20ecf904b418274e2f1","2018-07-28T04:20:44Z","1","46","0","46","1","0","0"
"527b5cda1817a15c7eca2a89653565c5f4418455","2018-07-28T04:13:32Z","1","0","13","13","1","0","0"
"dd5b6cbd0a820bbc3c85823b91ddaf3260655de9","2018-07-28T04:12:42Z","1","1","1","2","1","0","0"
"ef24e82d569c67414c86869b537abe25d5ffa638","2018-07-28T04:12:09Z","1","172","30","202","1","0","0"
"1279fd829d7aab6c2f387238065c10786b561056","2018-07-28T04:12:09Z","1","13","0","13","1","0","0"
