"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"bd2f2c4c28c9a3c9027507f51eda3c74bd769d63","2018-09-30T02:59:52Z","0","0","0","0","0","0","0"
"e0861cca577b33da5f3297f61962983d6b5b3740","2018-09-28T04:24:58Z","2","2","2","4","1","0","0"
"21a9c56975c5bb90e3488c2c773d13059188e92d","2018-09-28T03:42:22Z","0","0","0","0","0","0","0"
"2990583a1faff0d791dd6addc96380635d775253","2018-09-28T03:41:43Z","0","0","0","0","0","0","1"
"80f651a3eba26cc77f1314a8239f1ba00ca28e83","2018-09-27T15:44:55Z","1","2","2","4","1","0","0"
"a5d35730de3df891d7684060141532b364c842d2","2018-09-27T13:45:44Z","0","0","0","0","0","0","1"
"b5db9fa7f16b33b0f4946984638061ad1d08f925","2018-09-26T21:54:39Z","0","0","0","0","0","0","0"
"b7055944a9db2ff96efa8faabe97f58c4cb4dd6d","2018-09-25T18:52:05Z","0","0","0","0","0","0","0"
"705ddc24e3f25cd640cd8f281ab9829756bc7202","2018-09-25T11:08:54Z","3","6","46","52","1","0","1"
"11cbd5eae26e6df6ad4f868427d93ed0136d0623","2018-09-25T11:06:16Z","0","0","0","0","0","1","0"
"526717ec36472526492e248fe2ded4a62933b26c","2018-09-25T07:17:32Z","0","0","0","0","0","1","0"
"86c8671d64b347b0517fd36c4cd05eb96b74960e","2018-09-25T04:58:52Z","3","6","46","52","1","0","1"
"00dcac60d460238931e83652cf116083a7c03ae5","2018-09-25T03:21:07Z","5","239","20","259","1","0","0"
"2cb81857acea79724122bad621c5e43d5c2a3282","2018-09-25T02:55:49Z","0","0","0","0","0","1","0"
"9a652f87881d13311905d2ca47ae3a0cc4e14da9","2018-09-25T02:55:35Z","0","0","0","0","0","1","0"
"662386cc03374121787a61f474ac851b99497673","2018-09-25T02:50:43Z","0","0","0","0","0","1","0"
"026d16ba6803885d77d484b9966c99ed5370e6f1","2018-09-25T02:35:29Z","0","0","0","0","0","1","0"
"efd324b82fdc9463c54b6ccce93f0c81d5505bfd","2018-09-25T02:26:55Z","0","0","0","0","0","0","0"
"73ca7765c00aaebbb397ac7233b1d187b9b32d7e","2018-09-25T02:13:43Z","3","34","23","57","1","1","0"
"6e6e5338699bb426181e8c52d83e60d814759ac3","2018-09-25T01:49:25Z","1","2","1","3","1","0","0"
"735f0c39f7e0b09e5a40879835b04e2eae6daf6b","2018-09-25T01:48:25Z","3","34","23","57","1","1","0"
"11241a2b02d6e2ecd6ee5c003a9b9ab144f30448","2018-09-25T01:03:20Z","1","2","1","3","1","0","0"
"f873bd93b7522d1a8d42f6d9979af3287a28a773","2018-09-24T14:31:31Z","0","0","0","0","0","1","0"
"4392642f0352798d9eafefae5ebc150d2427755a","2018-09-24T04:12:54Z","0","0","0","0","0","1","0"
"f46690996749a0e718918ea88933a517567e476e","2018-09-24T01:16:52Z","2","12","13","25","1","0","0"
"5a46cd6bd588425bf77b74a6d295a6dfcc7f8baf","2018-09-21T04:20:11Z","1","8","16","24","1","0","0"
"242b7b1055d6e0c203bcd0f50747a10cbfd33293","2018-09-21T04:00:18Z","2","12","13","25","1","0","0"
"1ba25ef3f9892df2a0748d496490df02315f0d04","2018-09-21T03:36:40Z","1","1","3","4","1","0","1"
"a813cd135281efa32f1d125a8015b811d862314f","2018-09-21T03:34:30Z","2","18","6","24","1","0","0"
"226c0c14f2c032be320780a75e1f68eaca66abd7","2018-09-21T03:32:21Z","1","1","1","2","1","0","0"
"05cfb77430e0bbe070bc9e76f1f9d32ddc7b742f","2018-09-19T01:00:22Z","1","1","1","2","1","0","0"
"810199a442376ba0dcaa2c953cc4bd86ca4b8d94","2018-09-19T00:57:11Z","2","18","6","24","1","0","0"
"e0cdcd4ff8b34c6ff268cd6e73968d93a99c1b91","2018-09-14T13:00:13Z","1","4","4","8","1","0","0"
"df730cafb9a58a51130eddc65064cfab9d110ecf","2018-09-13T19:02:06Z","1","4","4","8","1","0","0"
"895c3ddb4971fde955f6e49eed12738cb599b1a5","2018-09-13T02:27:58Z","4","134","10","144","1","0","0"
"83b6b26e63a033699896f8d9b759dd17de1165d2","2018-09-13T02:24:22Z","3","13","1","14","1","0","0"
"62c14b872d01c102000979911ca4429c9406dab7","2018-09-13T02:23:56Z","0","0","0","0","0","1","0"
"d6ad1b8bade84c27ed3a757fa4094d39ae0db239","2018-09-12T22:08:01Z","1","1","0","1","1","0","0"
"c606f43a3dbce13e18de137916202b8ab4c9ebe4","2018-09-12T19:11:42Z","1","1","0","1","1","0","0"
"8e151b1df3ab48c5492bfff44a9195d1269b0b05","2018-09-12T05:25:42Z","1","1","3","4","1","0","1"
"46a42bc7ed6d8f5be6e777f9f4a9224d1ae5d93b","2018-09-12T05:25:09Z","3","13","1","14","1","0","0"
"3fa09dd110eb82be453519cf522c180fc870f466","2018-09-12T05:24:38Z","0","0","0","0","0","1","0"
"9050e42038e0ecb91697dcf7132439eee35f6924","2018-09-12T02:08:18Z","4","14","8","22","1","0","0"
"76cd590ca30e09bd9353b5e2900c4be112cd146a","2018-09-12T02:02:54Z","4","14","8","22","1","0","0"
"5bd96327560c882b182ed24098d6b2cb66f9e6b1","2018-09-12T02:02:27Z","0","0","0","0","0","0","1"
"c04f1bafde7c3052de2a2ee1e36ba8e3fa6a7e51","2018-09-12T01:50:02Z","0","0","0","0","0","0","1"
"9f2ed487b255f17b06ada519f7ceb2e90ce2bd19","2018-09-11T00:26:18Z","1","15","0","15","1","0","0"
"484fdfe4b6230c2891e7235a6cb76ce0dc08f135","2018-09-10T23:44:26Z","1","1","1","2","1","0","1"
"e7c745aac8ece9bb4e6ce982a0fb0a3d1a51b3bb","2018-09-10T23:31:24Z","1","1","1","2","1","0","1"
"67d07eb4508fa2b943dc760959d37707751bdc20","2018-09-10T22:33:39Z","1","15","0","15","1","0","0"
"d1c2cf9c6ce9911e04f08f8c684aa5948f464b67","2018-09-10T03:32:10Z","0","0","0","0","0","0","1"
"c008e0e2b6111eb0e10029c74b9972dcca843045","2018-09-10T03:25:56Z","0","0","0","0","0","0","1"
"29d08353ec32b2c8663f783c3d3fc869996751bc","2018-09-10T03:24:53Z","0","0","0","0","0","0","1"
"1ba07d4b7d6cfe8ecd0bcb08659b33c272c71394","2018-09-10T03:17:50Z","0","0","0","0","0","0","1"
"cb86194f8ff7f6f9a086a47499a6c59747ebdbba","2018-09-10T03:16:38Z","1","15","6","21","1","0","1"
"f980521c8e52673e8504930284dc82c9134829c2","2018-09-10T03:12:44Z","3","47","24","71","1","0","0"
"e7cae30bd8cb7835169d90deb2c15e5b43845a5a","2018-09-10T03:12:26Z","4","47","41","88","1","0","1"
"29bb93bc29d8fe16b24e20d52c0ef2b09dbee7df","2018-09-09T21:43:42Z","3","47","24","71","1","0","0"
"306664fb6aa97edc0ee2f8a1f659b2cad436d684","2018-09-09T21:05:33Z","1","15","6","21","1","0","1"
"738214531853ed40d7a20ed9c988f624b85f4286","2018-09-09T19:27:21Z","4","47","41","88","1","0","1"
"4f3c4182029b77dc8ac21febd7589fb7d6645cdf","2018-09-09T18:00:04Z","0","0","0","0","0","0","1"
"f5fe86dd782c94193e915e23db3b583bd90b03f0","2018-09-09T16:16:18Z","0","0","0","0","0","0","1"
"2a593da06c27224a5a598282c451f7ca73602d65","2018-09-08T18:58:44Z","0","0","0","0","0","0","0"
"24e0777ebdf49dadc79f3834dd1b55190789cdf1","2018-09-07T06:04:56Z","0","0","0","0","0","0","0"
"3c470575f4d3628a7390eaf488b50e10aeefdf54","2018-09-03T13:47:16Z","2","15","8","23","1","0","0"
"8a8cde0ce314e47aca220a356d95de7d62dccb8e","2018-08-31T07:51:34Z","2","15","8","23","1","0","0"
"597da2d861eb66424575a9778f6245bb6933aa06","2018-08-24T08:47:22Z","0","0","0","0","0","0","0"
"f9c53f39f481d577f7bb0c935a27bc17a4568235","2018-08-19T20:21:39Z","1","1","3","4","1","0","0"
"56e67088a991909931d9b98c6b93b9e066dc1115","2018-08-19T18:46:43Z","1","1","3","4","1","0","0"
"354db6b46f116f446123d18778a583a29b03c16e","2018-08-19T11:36:12Z","1","10","0","10","1","0","1"
"0c773a38f4bb449b94bb68bc6d6b538e68cd8dd4","2018-08-19T11:30:52Z","0","0","0","0","0","1","1"
"4bbc5b2ff80646e1ec5e037e3de430f017b1173f","2018-08-19T09:14:47Z","0","0","0","0","0","0","0"
"1b174233431436cfdd0a512bfe4305a8da723d42","2018-08-17T20:41:43Z","1","10","0","10","1","0","1"
"83f60d6bd7b2f0ef9ea54791ef8cc5c57dfee1a6","2018-08-15T02:54:30Z","0","0","0","0","0","0","0"
"9ea1f845a893ea84853961eeb63188e67e686676","2018-08-15T00:20:15Z","0","0","0","0","0","1","1"
"29bdc0aa45cc80569c2524b2f8e370d0649bdd80","2018-08-07T22:05:56Z","2","140","0","140","1","0","0"
"137ffc992f66df4dce0320355504fcfd8f96142c","2018-08-07T05:46:41Z","2","19","3","22","1","0","0"
"34f8f9472ff3ca09402f16460aada63e4ca0939d","2018-08-06T08:36:34Z","0","0","0","0","0","0","1"
"0f1fa3d3859f0f93167b7b65c161139349826996","2018-08-06T08:35:53Z","2","378","0","378","1","0","0"
"9251309c3f7e37401a2f16b8cca443e2eb628f71","2018-08-06T02:36:29Z","1","2","2","4","1","0","0"
"01f600cdd319246706a0a263793a47bbfba1ccf4","2018-08-06T02:34:21Z","2","2","2","4","1","0","1"
"c360a1c8401c9f77981025343ad6bf8cab6a2969","2018-08-06T02:20:25Z","0","0","0","0","0","0","1"
"3aa31d9135ff8c7f9d77563dd8928b0cfea14a18","2018-08-06T01:26:52Z","1","0","1","1","1","0","0"
"ee873b64f6c6e3527f538ad1617df131b08f0be0","2018-07-27T00:28:15Z","1","0","1","1","1","0","0"
"248be5805bb49c5fd9867e70a16ff6fb722cd36f","2018-07-25T01:03:23Z","2","2","2","4","1","0","1"
"6bb83abf8487d96e6eabde4083959054c216cef0","2018-07-25T00:51:18Z","1","2","2","4","1","0","0"
"78821bbc8041bbc1735aa3e1f41629c8d230ff7c","2018-07-18T02:44:20Z","6","43","34","77","1","1","0"
"bcd61c9621824d4fbce6333f80560949a44ac114","2018-07-03T20:57:56Z","0","0","0","0","0","0","0"
"2d7d2c116d4b1109eaf30524674f8316da6be61d","2018-07-03T20:52:49Z","0","0","0","0","0","0","0"
"0b0883db687a28c804fb8c27032d656baf54377e","2018-06-24T14:34:46Z","3","8","3","11","1","0","0"
"de79ed364e38b5554b4e2b8d30b316285ee0cb22","2018-06-24T14:03:08Z","1","2","2","4","1","0","0"
"627e62f507e809eb7f0e8e274512de858dd40d3c","2018-06-22T22:18:22Z","3","8","3","11","1","0","0"
"c9aee2e85383379bc4823909795efa6685b57046","2018-06-16T05:09:13Z","1","2","2","4","1","0","0"
"03ada87e90ad84edd2bad45f0c0837cb408f7cf5","2018-06-07T14:26:44Z","1","5","5","10","1","0","1"
"4666e069102a4a1e14cc5fc7bf0e9cd126e8708c","2018-06-07T00:12:29Z","1","5","5","10","1","0","1"
"cd9e6009555f3587cd5c091c724d1f47ab7b571c","2018-05-23T19:29:30Z","1","1","1","2","1","0","0"
"df3a6ce2aefc7f4e227ba336238b6864a6e9bded","2018-05-23T19:28:07Z","1","1","1","2","1","0","0"
"3ecdfb6374758678859d1a75cb1b890ac28656fa","2018-05-18T02:06:43Z","2","9","9","18","1","0","1"
"747053660662baae8ae629c78df56409ad2fdd8a","2018-05-17T14:20:55Z","0","0","0","0","0","0","0"
"dd86599d5b32c2f0e19427dc13854bc652027a3b","2018-05-17T14:14:35Z","0","0","0","0","0","0","0"
"b956b06f6dceaaaca272b4e7c5c47f8145ba25ce","2018-05-16T19:44:07Z","2","13","8","21","1","0","1"
"d48e3aaa276b089c17a4ad09392a8a84a9dfb784","2018-05-16T18:48:47Z","0","0","0","0","0","1","0"
"03f17310bca77ce330a0a99bba0dd737ed748fe6","2018-05-16T18:43:38Z","0","0","0","0","0","1","0"
"6142a167e903aff66e77f518827f7f9a381ea1c9","2018-05-16T02:03:02Z","3","11","5","16","1","0","0"
"d31f3c24822362f5e037ea0df7ea58e8820897bc","2018-05-16T01:37:29Z","3","11","5","16","1","0","0"
