"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"248dd75481c940e1a7b17d8a40ff73f33cdc2bda","2018-10-01T15:04:55Z","0","0","0","0","0","0","0"
"86ebe5ebb1ad6c75d35104c686e3c4e6c5f3fb69","2018-10-01T14:53:18Z","0","0","0","0","0","0","0"
"de7173be0d523fc852592d0580712681c4dc98b6","2018-10-01T14:34:56Z","0","0","0","0","0","0","0"
"48e42b9ab6d39e72fc7b5a49aa1cc3f1d9c9996e","2018-10-01T14:12:14Z","0","0","0","0","0","0","0"
"369bd2b3ce2958a957b49afc5a2233a7ef8152c1","2018-10-01T14:06:12Z","0","0","0","0","0","0","0"
"6ab461602ed320b1910ad24a9de64b227783f135","2018-10-01T10:22:48Z","138","2871","976","3847","1","0","0"
"290afb502d042c6649c3fa418e5b31245d57987b","2018-09-27T18:52:36Z","0","0","0","0","0","0","0"
"2f6716f50192c4769c247ebda821a3b945ebd37e","2018-09-24T07:05:15Z","1","9","5","14","1","0","0"
"88844b550789313d671634bcdebc575a2b39d655","2018-09-23T08:51:53Z","0","0","0","0","0","0","0"
"66a5dee9ddd94dd7770d48b066667fe57b163a92","2018-09-17T00:55:11Z","6","953","524","1477","1","0","0"
"b21ad1ec8487232ede9a661543cf560387eb5e31","2018-09-16T18:39:01Z","3","12","6","18","1","0","0"
"d14c67ecf0742babc906d825e165ad93a6e94d86","2018-09-16T17:37:00Z","2","232","11","243","1","0","0"
"4391ad913f3738a057ee5866c9d8292461d1f6a3","2018-09-16T17:37:00Z","2","204","1","205","1","0","0"
"c43c9d9c4e0fb399e001ada997ece0a3704a0a84","2018-09-13T16:31:32Z","3","512","513","1025","1","0","0"
"a0ffc719b822dad496fdd18e1d25939c9a731c6f","2018-09-08T00:02:01Z","55","111","160","271","1","0","0"
"8efb2ccec75161fdf9dea7dc0c806e2b2b400149","2018-09-07T16:51:47Z","20","384","23","407","1","0","0"
"af0016aa06592317003ce65f0c4b2f43d466dd86","2018-09-06T13:32:23Z","3","26","29","55","1","0","0"
"788236f177fc9c6fbbe14810d6e546ceec8760d4","2018-09-06T06:04:49Z","5","17","12","29","1","0","0"
"fdf7a9ed402f0f4626510bece72d6c795d5789fa","2018-09-05T00:27:25Z","19","379","20","399","1","0","0"
"d0f841387ae3d95efa437e4d2c77addc84592752","2018-09-04T13:01:22Z","1","1","1","2","1","0","0"
"3e504b92c4878540b0236e553c86ae18be26ef64","2018-09-02T10:45:13Z","1","1","1","2","1","0","0"
"585ab6d406d3c27be896acb5b42a7ad1bf0445b3","2018-09-01T12:28:22Z","0","0","0","0","0","0","0"
"4d462cb510d7e49fb02ef29e0da89fb4968ca3b6","2018-09-01T02:10:02Z","2","30","0","30","1","0","0"
"8fb6440058a706d31c2919f5975ecf91d25e5fc9","2018-08-22T19:14:32Z","3","10","9","19","1","0","0"
"940217cbfb0daa362bb41dfc13fa97a90f852160","2018-08-22T10:42:46Z","3","10","9","19","1","0","0"
"cc106a194e1246b0af7ea640a0304c71eee6a9fb","2018-08-21T17:43:58Z","12","89","89","178","1","0","0"
"915f86a07ebcd5235fa2b1e7cb1644a50f28732e","2018-08-21T16:41:41Z","1","1","1","2","1","0","0"
"882560abd4b93fb0cd203d1dd896ac312faee095","2018-08-21T16:16:01Z","1","12","0","12","1","0","0"
"b653ce54606dacc162de9a1800f16baa8eea379b","2018-08-21T10:36:01Z","1","12","0","12","1","0","0"
"f44dcefa9b05a071e82a8623010567f18b6e1d78","2018-08-16T14:36:38Z","6","642","53","695","1","0","0"
"ec8c26843a7abccf3b54f75f7d94d7e2833df28c","2018-08-15T07:25:49Z","1","5","5","10","1","0","0"
"b3f71be1e85f3100ea8eb3e138f484c213814600","2018-08-15T06:50:11Z","10","69","69","138","1","0","0"
"89a2f3bf80366a005e089bc2d666c74fe22ec598","2018-08-15T06:25:59Z","1","9","9","18","1","0","0"
"7fec21168b435762ff008daeefc547f58819fb18","2018-08-15T06:01:18Z","1","6","6","12","1","0","0"
"a9ea248e0e840c72a76caa703a2dd96213b04ba5","2018-08-01T15:46:13Z","6","80","50","130","1","0","0"
"2aaac21235bce7b93bfb3bf86e6b3b46278d9b4e","2018-08-01T14:33:22Z","1","1","2","3","1","0","0"
"f31526df1a8d8d86b25f6b5264732cf987e2e8d4","2018-07-29T07:02:18Z","12","422","9","431","1","0","0"
"058d6d15d433d2b87a5dae704293d82f208d90c5","2018-07-26T16:40:22Z","4","51","13","64","1","0","0"
"25a41f8730026a718ad8f3a8d459b834feb2321c","2018-07-26T03:39:00Z","10","382","7","389","1","0","0"
"f32c6249c25dfe8880fcfda2ea7b5d6a276f4b44","2018-07-25T18:29:29Z","5","78","5","83","1","0","0"
"5b06df36708c78ab34589e059f364ce692b49c5b","2018-07-25T15:43:08Z","5","49","2","51","1","0","0"
"fab70d282efdbc8808bd92002a0b4228c99d2ba5","2018-07-25T15:37:44Z","4","37","0","37","1","0","0"
"e3fcb77e0827b19744330bd3085c683e91a9851d","2018-07-25T15:28:22Z","1","2","0","2","1","0","0"
"1e224840c362367d42fa2617581f2446025f7ff4","2018-07-25T13:52:51Z","5","78","5","83","1","0","0"
