"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ceb42f132220c71c7ad9a2948b24ee4f9e7df8e0","2018-09-30T08:33:42Z","18","80","32","112","1","0","0"
"a1b6632fd921a05c7698e99952e58d3b6f55c01c","2018-09-30T00:34:22Z","0","0","0","0","0","0","0"
"0ebaef2b9bae5420d8ab4131a060e4b422aa6058","2018-09-29T21:32:32Z","2","40","5","45","1","0","0"
"5810c99e02176a9eb3bd7329e1050d89fb02299f","2018-09-28T16:41:07Z","1","1","1","2","1","0","0"
"cdd1c00c80cb81965e369fa335f5e9626d54a07a","2018-09-27T19:27:24Z","0","0","0","0","0","0","0"
"abb3744e0ac62818c525a8b7c54f90faf85ba332","2018-09-27T07:01:51Z","1","1","1","2","1","0","0"
"d2ddd4ef9d3f86d5e0df082bed000a77b155073e","2018-09-24T18:44:56Z","2","77","2","79","1","0","0"
"ea10cb471504029af34121b578b449d6c13e91e9","2018-09-24T12:30:32Z","3","64","28","92","1","0","0"
"5d8fdad791e84daadc7298fc539a9313674d9095","2018-09-24T03:25:27Z","3","64","28","92","1","0","0"
"dfcf01eba3018b49826648557b61214985a886bb","2018-09-22T21:57:18Z","1","0","1","1","1","0","0"
"66e1b2899cd7671a5b1f8ec4b9eb0a7654fd566d","2018-09-22T19:34:56Z","1","0","1","1","1","0","0"
"de4acc58bbe8d20853502b67c5d1dc8ea26c0fef","2018-09-18T03:12:57Z","2","20","21","41","1","1","0"
"0ad4130a085e04d368df02b83707f5ecbae8f076","2018-09-15T06:59:28Z","1","10","1","11","1","0","0"
"27cfc910ff43953617abb23e77fcc7065e967f23","2018-09-13T00:36:20Z","3","14","0","14","1","0","0"
"88b49fd8215266124ec9b010395072f2a7d5c9fa","2018-09-12T19:31:18Z","3","14","0","14","1","0","0"
"7bdedbe624ceae5aa87109c8dbfec5f1f7e40c19","2018-09-12T01:36:55Z","1","8","1","9","1","0","0"
"1df923143f087c826eb767ff7dfec940d8322dc8","2018-09-12T01:35:27Z","3","53","51","104","1","0","0"
"474c23aa3035dc34eb6487ee7e2d4ba03bfb8c7a","2018-09-11T19:39:51Z","5","502","118","620","1","0","0"
"0b2486f7f32fbe21c8630f330d240546a15beb66","2018-09-02T18:27:32Z","4","161","66","227","1","0","0"
"077281796ed65222e24e70b2233c9e1a7e21d4a2","2018-09-02T10:51:11Z","2","61","10","71","1","0","0"
"a01b5115985e555761fee9f9dafb9d7f14ad13cd","2018-09-01T11:32:53Z","2","71","2","73","1","0","0"
"a146e50427203d43dcc1f56bf86d5b04b14a6ae1","2018-08-31T20:04:02Z","3","26","0","26","1","0","0"
"e06de327e22d9302781611594037542e2fed5ea1","2018-08-31T05:55:09Z","3","65","0","65","1","0","0"
"ac402ea304eec058e7894d4bb53068194c064834","2018-08-25T03:59:14Z","1","1","1","2","1","0","0"
