"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b23643a3400c7c48aaaf7f896a267de9f2871bc3","2018-10-01T15:44:09Z","5","36","122","158","1","0","0"
"7bd080442fe951627f03a45f30cb0078fbeb3b88","2018-10-01T15:28:43Z","0","0","0","0","0","0","0"
"6ffb79766b78b11976ff50cc2080d6313f452bca","2018-10-01T15:28:18Z","4","18","8","26","1","0","0"
"3d62e2b3cb52c2905b6dcb812ee10e9d093a08e9","2018-09-29T09:29:27Z","0","0","0","0","0","0","0"
"81b4501b1a3212de015075f23ce390b3cd5e17fb","2018-09-29T09:28:58Z","0","0","0","0","0","0","0"
"ec0e79d3af8c995f458e3122118a33958a70cb24","2018-09-29T09:28:26Z","0","0","0","0","0","0","0"
"952d96fd3c4a194588bc750f49eb721292ed68cf","2018-09-28T09:35:22Z","1","20","2","22","1","0","0"
"baf368da91923fee598317a881cd5b3035e5d78b","2018-09-28T07:30:42Z","1","0","1","1","1","0","0"
"d160fddd152e2e763e2d591dede54ca1f7c33830","2018-09-28T07:30:33Z","3","54","22","76","1","0","0"
"9d508ac3a3740a6e73679a51994f1b52ac6a75f4","2018-09-28T07:27:42Z","1","11","7","18","1","0","0"
"b8551b842459c02dae3c0afeda3c897acc4dba3d","2018-09-28T06:11:18Z","0","0","0","0","0","0","0"
"c25fa5468d51a82bf8d8268fdadd1ee58ece44f3","2018-09-26T17:23:46Z","5","42","315","357","1","0","0"
"3456aa1dee4ec7f2bb25cdb2b70b643d6b291785","2018-09-26T12:50:43Z","1","3","1","4","1","0","0"
"bdb2a0e2294cdf356f231e38d2be4f9a83e0c61b","2018-09-26T12:49:38Z","5","57","36","93","1","0","0"
"d5348b150f6cf0a030af8e789627e8b47b2214ca","2018-09-26T12:37:30Z","1","2","1","3","1","0","0"
"e0281635cae006c518f2f99783a3326b43082909","2018-09-26T12:37:19Z","1","2","0","2","1","0","0"
"95cf6c92bc96e0c02a8de42078b01022c43e0345","2018-09-26T12:37:07Z","1","5","3","8","1","0","0"
"0d7a134f9458e4ef52c7e3a1e904301e4f929686","2018-09-26T08:26:02Z","5","5","5","10","1","0","0"
"643755ff3b34e18f50dc9da005c31145951c58f3","2018-09-24T16:25:12Z","7","110","942","1052","1","0","0"
"fecb03b7568cd452b01fc99d4c386a0ba2192618","2018-09-24T12:09:23Z","27","258","2744","3002","1","0","0"
"482cede42e173624c84f2cbf6ad397b08ee1fbe4","2018-09-22T14:41:53Z","27","190","1639","1829","1","0","0"
"42a3f3cb4d624f11bc477825fd1bb1cc10815a54","2018-09-22T11:07:04Z","12","106","740","846","1","0","0"
"696f99fb9bfde637398338e73dc8216143f14799","2018-09-21T15:22:04Z","2","20","0","20","1","0","0"
"f3e3b56ea9d314ffbf4651c7e131843f1e4b2b7c","2018-09-21T15:20:29Z","3","39","2","41","1","0","0"
"f2d373be2a99b441715eef819f27541484cf2ac1","2018-09-21T14:25:11Z","2","154","0","154","1","0","0"
"862b689f9ca8c4ce1cea1a4954fecd258f3c78b9","2018-09-21T14:14:27Z","4","68","2","70","1","0","0"
"a863f5909c257680e77965d37ee6ea320f720f59","2018-09-21T11:31:13Z","2","12","1","13","1","0","0"
"6f5a382b31e2cf6918b10e821c7d70ee63f1f684","2018-09-21T11:04:08Z","0","0","0","0","0","0","0"
"ef76713b676301c6b11555d401cb058b7d3fedb3","2018-09-21T11:03:35Z","1","1","1","2","1","0","0"
"c0e06ec39f1b21f5f0a81347c2827c5408e79fea","2018-09-20T11:01:14Z","16","240","128","368","1","0","0"
"30f361b7754730afd5ff3192c799f7b4cc6aa9e4","2018-09-20T10:44:04Z","28","300","268","568","1","0","0"
"9aee2799800c0edf05910ac4e560263aedbf6100","2018-09-18T13:48:36Z","0","0","0","0","0","0","0"
"3ea1c0fd734582f90c42c2c4b6c5c59a1177df51","2018-09-18T12:29:09Z","0","0","0","0","0","0","0"
"2b08f0bb921d28e5d9fcfa326154aa77cc068cfa","2018-09-18T09:58:02Z","0","0","0","0","0","1","0"
"6447a3af9fc104acf1bfe6d421afa3f99b46a4e2","2018-09-18T09:57:51Z","0","0","0","0","0","1","0"
"62dbdedf1633b8a3f1453f5e36b12f7a394bc580","2018-09-17T07:01:07Z","2","34","26","60","1","0","0"
"b669a99b442b3873f62674677428fbb9c1a2091b","2018-09-17T06:57:50Z","1","1","1","2","1","0","0"
"25d29acb1f7c74253edad7f8fb88d7eb7ead0907","2018-09-16T09:14:46Z","0","0","0","0","0","0","0"
"9a5bdc6c0ab97b6caa7f408ec215c05372031f9b","2018-09-15T09:33:03Z","0","0","0","0","0","0","0"
"398e3ba1b3f5a596cebab67e6ad5c07a19e1c16d","2018-09-14T15:06:12Z","1","11","1","12","1","0","0"
"a50eb9e0d7f59c3d2b2046b1520e545020c64d37","2018-09-14T08:16:05Z","2","59","0","59","1","0","0"
"c1bebaf6e245dc9b0588c9b05ff6c4b6eef21380","2018-09-14T08:15:58Z","1","27","157","184","1","0","0"
"7c532057f9a9161cc089877e001239514db53efe","2018-09-13T15:24:00Z","13","1824","5","1829","1","0","0"
"f574b603155277a60bdd2410497f05268b0b6c58","2018-09-12T10:54:15Z","20","353","14","367","1","0","0"
"7006fa59039e18e3b3798aa6c6fdaf255fe5acc3","2018-09-11T15:41:39Z","0","0","0","0","0","0","0"
"a0ab1cbdbfb033208e9face56e86e33e3b0d422e","2018-09-11T15:41:11Z","28","828","88","916","1","0","0"
"222b380170bc1615a8caf59ba9a827a6e730cb34","2018-09-10T10:28:53Z","0","0","0","0","0","0","0"
"6c17035c73d9f0e537816a57439d724b5de0ac21","2018-09-10T08:42:29Z","0","0","0","0","0","0","0"
"196b94d9da57a8a4df4b40a928246a28a21259d2","2018-09-10T08:42:12Z","0","0","0","0","0","0","0"
"26074a4ba82f8aa906e8683ee064b67ec85fb19a","2018-09-10T08:34:19Z","12","932","81","1013","1","0","0"
"387dd9307182f17ce785accf325ed8eb27909438","2018-09-10T08:33:15Z","3","81","9","90","1","0","0"
"f5e3618b330117200f483865eab485d8cae7a695","2018-09-08T14:29:37Z","4","49","49","98","1","0","0"
"583fb3cf3f18fac791f6447c139ceb2e84fb31bd","2018-09-08T10:29:20Z","0","0","0","0","0","0","0"
"ead4eae3420dfbd1ba9dd90be8ba57a3ce585a62","2018-09-08T10:28:50Z","1","94","1","95","1","0","0"
"e612c5c677849c77be0e25a68ba5c65e650b0f23","2018-09-07T14:50:09Z","0","0","0","0","0","0","0"
"52c33403a4434778910b66111ed72bedb67c54ff","2018-09-07T14:44:09Z","0","0","0","0","0","0","0"
"9ca5977758583bb757a47cbe41fb87e16f131622","2018-09-07T14:43:28Z","3","92","28","120","1","0","0"
"fc76530a49d7672863bf79f8050011ec8af2b6f3","2018-09-06T05:41:07Z","0","0","0","0","0","0","0"
"4fef15078cf3a1fcc6bf728e6c2098f20ac7dfbd","2018-09-05T15:10:27Z","0","0","0","0","0","0","0"
"f529d30e5ddc2e6aa8267328055cc83d7bde02fc","2018-09-05T15:10:00Z","7","17","797","814","1","1","0"
"7ed8fa6db9ddc753136c21f1c0ebf54d9655dbd9","2018-09-05T10:04:34Z","0","0","0","0","0","0","0"
"98270f49d8e7cb6da2761a783499e9f12764e351","2018-09-05T09:27:59Z","0","0","0","0","0","0","0"
"635607af43ea2f81eccb07cc4dfed51881a7be24","2018-09-05T09:27:25Z","2","71","36","107","1","0","0"
"61438568176f3d1401cbbc0b6a6fa52ec017c3ac","2018-09-04T13:12:28Z","0","0","0","0","0","0","0"
"d8c8ba54fe1ef82a4fc93081e042da77544a6aa0","2018-09-04T12:48:01Z","0","0","0","0","0","0","0"
"ee1c91b4c1a6be97519b4d61ae7858dbd7a2336f","2018-09-04T12:47:21Z","0","0","0","0","0","0","0"
"bd7d85490c99348c41f3f80837fb7522b5735fb2","2018-09-03T16:11:51Z","0","0","0","0","0","0","0"
"cdfe8fe10d86cc378676024ce981d392745a9cd2","2018-09-03T15:54:52Z","0","0","0","0","0","0","0"
"7b4641c5e155255457a05eb1575c3c904a2bb01d","2018-09-03T15:44:57Z","0","0","0","0","0","0","0"
"f65b54404ace6793beef1a388c18eef58131d26c","2018-09-03T13:35:01Z","0","0","0","0","0","1","0"
"3a28b43bcf8c030c318db9d1ddfaef057d97a616","2018-09-03T13:34:50Z","0","0","0","0","0","1","0"
"98c601fc1d444b37ea97626dd5e57de129ebc48f","2018-09-03T13:28:14Z","0","0","0","0","0","1","0"
"ca47b2baeb6ad1170924ff80610812a5dc8f8111","2018-09-03T13:27:03Z","0","0","0","0","0","1","0"
